ParlaMint-NO_2006-12-07-2.ana.ud1908e30	and
ParlaMint-NO_2006-12-07-2.ana.ud1908e45	I have listened with interest to today's debate, which more than next year's budget has been about other matters. Firstly, how are we going to meet the critical supply situation we can get in Middle Norway? Secondly, why do we not get wind investments triggered? In the light of the debate that has taken place at this morning's meeting, I feel that this is a topic that I too would like to address in my article, where I would like to respond to some of what has been raised. With regard to Middle Norway, for a year I have been working intensively with a demanding situation due to a joyful industrial development in Central Norway, combined with a lack of investment in networks and production. This is a challenge to get in place. Let's be clear: this is not and has not been a simple situation. Some of the debaters have been most concerned about a date for an action plan, which, incidentally, has never been intended to be presented to the Stortinget. It was supposed to be the government's work document. But what have we done in the year that has gone on? Firstly, we have carried out a thorough survey of the situation in Central Norway – how demanding it can be, given different river basin conditions and given the different years to the time when we can expect to have permanent production in place. Investments in stress aid to increase transmission capacity have been facilitated. The connection between Norway and Sweden, the Nea-Jerpstream, will be completed in 2009. Statnet's good at it. Planning of the transmission connection between Sogn and Møre is well under way. It will not be completed until early 2011 to 2012, if the investment is carried out in line with what Statenet foresees. It is also now known that Statnett will be purchasing spare power. Besides, it's been working on several gas power projects. Forests that we've had close contact with for a long time, the Celestial Goods and Fränna. It has been designed to give priority to the work on energy efficiency and on renewable energy in this area. We have asked the NVE to give priority to this work in its concessional treatment. NVE will also increase the procedural capacity by about a year in the context of next year’s budget. 10 posts. Already in the winter of 2008, we need measures to provide a safe supply until new transmission connections and new production are in place. When the debate today puts Statnett's investment in reserve against investment in wind power, I have to say that it may indicate a lack of understanding of the challenges to be faced. Reserve power must be deployed next harvest. The size also has through the treatment of St.meld. No 18 for 2003–04 concluded that this is an instrument to be used. There is reason to ask: when Statnett considers this to be necessary on a professional basis, should the State Council then have reviewed a professional assessment by Statnett that this is a necessary measure to ensure the security of energy supply? Is there anyone in the Grand Duchy who intends to make a proposal that this should not be used, as you might get the impression in today's debate? On the contrary, this measure is fully in line with the majority of the comments in the vote that are being debated today. In addition, long-term measures are being taken, including: linked to Forest. Forests have been granted an extended concession to build gas power plants without new demands being made on Industrialkraft Mid-Norway, but the government has said that if the forest is realised, we will contribute to CO2 management in the same way as we do elsewhere. We have also had a thorough work on Statoil and Shell to see if it could be possible to carry out the project on the Tent Goods. It has proved not to be easy. We have also been able to sketch a project at Fränna with CO2 handling. Some words about wind power: NTE made yesterday a decision to invest in excess of NOK 1 billion in wind power. Some today have produced it as if NTE had scraped their wind energy plans. I doubt that NTE will invest over NOK 1 billion if this is a loss project. It was also said from the opposition that you had a better setup, a finished set of green certificates. In the budget position for 2000-2001, the majority asked for an investigation. As a result, the government said in the first place that it was going to be consistent with established goals and strategies, and that it was unfortunate to put what was being done through Enova. Then you put St.meld. No 9 for 2002–03, where a scheme was outlined. One year later, St.meld was presented. No 47 for 2003-2004, and then sent out a draft at the hearing in November 2004. The most important thing remained. Negotiations had not been conducted with Sweden on burden-sharing. It was the most important thing, and it was not done from the previous government, and it was there stranded. Green certificates were not an option. This government has presented a scheme that is a historical commitment to renewable energy.
ParlaMint-NO_2006-12-07-2.ana.ud1908e81	It's going to be line change.
ParlaMint-NO_2006-12-07-2.ana.ud1908e84	When I hear the Council of State, I think of an old saying, "Don't tell me how much you work, but tell me what you get done." There's certainly a lot to consider here, and we've heard of that for at least one year. But there are very few concrete plans that will be completed. And once they do, they have the opposite effect of what was meant. This is the case when we look at renewable energy – where the enormous effort to be the best of times ends with a four-page big message and a pile of cancelled projects. I get a little worried when more people in this room talk very positively about gas pipes to Grenland. So the government has adopted CO2 cleaning on Kårstø to billions of dollars, without saying how much it costs, without being able to say what the operating costs are, or what the consequences are purely technological. We've been investigating gas pipes to Grenland for seven years, but there's no government going to make a principle decision that it's going to be a state authority. The state has authority over all the main electricity infrastructure, but I record that they refuse to take the same principal responsibility for gas pipelines to Grenland. Can the Council of State provide any positive clarifications here?
ParlaMint-NO_2006-12-07-2.ana.ud1908e96	I thank the representative for this opportunity to tell me what we have actually done, for I did not get it in my post. We have put forward a historical commitment to renewable energy, we are putting heavy emphasis on CO2 management, with a budget of 720 million. kr next year. The government has put in place an important management plan, and we have put in place an important agreement with Statoil on the handling of Mongstad. In a number of areas, important energy and environmental policy measures have been taken. In the case of gas pipes to Grenland, you are now in the final phase. Even before Christmas, Gassco shall present its report, which there is every reason to believe will conclude positively with respect to the commitment of the actors to be part of and use gas, so that this gas tube can be realized. As soon as that report is available, the government will start work to realize this, and we will then decide on the proportion of the state that has to enter the gas pipeline, in line with what is stated in the Soria Moria Declaration. There is no reason to so doubt the will to do this. It is true that the gas pipeline has been under investigation for a long time, but what this government has done is to get ahead of this and make sure that during the year that has now passed, a scheme is in place that will result in a positive result for gas pipelines to Grenland.
ParlaMint-NO_2006-12-07-2.ana.ud1908e106	It's a paradox that one day you say yes to NOK 2 billion for investment in mobile gas power plants and the same day you get an overview that shows that nine out of ten wind turbines are not implemented because the government's investment in renewable energy is too poor. I have a question for the Council of State: when you see that many renewable energy projects are not being implemented – not because we in the opposition say that the scheme is not good enough, but because the various industries say it is not good enough – will the Council of State then go back into the matter and consider strengthening the scheme, so that there is greater certainty that all these projects will also be implemented?
ParlaMint-NO_2006-12-07-2.ana.ud1908e113	It's not a paradox that Statnett is making the investment they're making. It is not possible for the representative Børge Brende to link this to the investments that will deliver on the network in 2009. These are two very different things. It is a pure insurance system Statnett does, in order to provide the people of Central Norway with a safe power supply from winter 2008 until permanent production can be in place. So to the matter of wind power. I sat down and read a little in old budget positions this morning while listening to the debate, and it is interesting to see that it is no more than four to five years since the Right actually proposed to wind up support, they proposed it removed in the budget position for 2000-2001 under the government of Stoltenberg. It is good that the Right also sees the need to stimulate the production of renewable energy. We're going to do that. I thought that the scheme that has been put forward will be sufficient, and the actors that are now believed to have an opportunity to push up the support you are going to receive, by saying that they are not investing, are wrong. It's a basis for investing, it shows the analyses that have been made. Investments should therefore be started as soon as possible. Nord-Trøndelag E-verk decided yesterday to invest over DKK 1 billion. I refuse to believe that it is a loss project.
ParlaMint-NO_2006-12-07-2.ana.ud1908e120	A week and a half ago, we received a four-page growth message on renewable energy. There is nothing there that is new in relation to what was published in the press releases or in the St.prp. No 1 for 2006-2007. We can question whether the whole big message is really unnecessary. Today I've been having a little fun, I've been listening to Almlid, and I've been online and I've heard him many times in an interview he's given with the NRK. There he says about the following: the framework conditions of the state are too bad. We have to renegotiate with the authorities, and it would be a failure statement if we now have to put away all wind power projects. This is the first construction step, it's the easiest way to expand, so we could make that decision. The simplest construction step, but we have to go into further negotiations. My question will then be: Is the Council of State willing to revise to bring more money to this basic fund and also to allow the large-scale groups in this house to increase the level of support in the four-page message we are about to deal with?
ParlaMint-NO_2006-12-07-2.ana.ud1908e129	It is absolutely right that the big message is on four pages. It was presented because the Stortinget asked for it. In fact, I prefer to present a big message on four pages that is targeted, and that says what we are going to do – instead of doing as the previous government, which put St.meld. No 9 for 2002–03, which describes what a green certification system is, then to present a new notification one year later, describing the process to be followed by a law to be passed at the hearing in 2004 and never being able to promote it. That's what the previous government did. There is a comprehensive set of documents that has been presented, but the result can be asked about. We have said that we want to strengthen the commitment to renewable energy, so that we can achieve the 30 TWh target. It is also communicated several times that we will aim for additional appropriations if necessary to avoid queues. And then we're going to have to hope that line occurs. I have already told the representative Børge Burnde that we will not now give any signals that the bets will be increased. So those who sit out waiting for it to happen as a result of the treatment you're now in are waiting in vain. Then it is better to start investing and make sure that we get new capacity on the web.
ParlaMint-NO_2006-12-07-2.ana.ud1908e136	I am surprised that the Council of State is not concerned that two thirds of a wind power project that could provide 40,000 households falls into such a demanding area as this is. It surprises me that it doesn't make any sense by a showing willingness to adjust the framework conditions, so that this project can be realized. Instead, the Council gives the impression that what is now happening is part of an extortion strategy by the builders. It's a rather eye-catching reasoning. I would like to be confirmed – or at any rate cancelled – that that is what I heard. The Council of State indicated in a previous reply that what is now taking place in the North-Tronde Team is not a real decision based on the fact that the government’s support structure is too poor, but that it is a speculative scheme to push the Government to support renewable energy in a more comprehensive way.
ParlaMint-NO_2006-12-07-2.ana.ud1908e145	That's by no means what I'm insinuating. Nord-Trøndelag Elverk has accepted investment decisions for more than NOK 1 billion. I appreciate that. Nord-Trøndelag Elverk must therefore build 20 windmills on the Outer Vikna, and they must complete Hundhammerfjellet windmill park with 11 windmills. What they say in the press release is: ‘On that basis, the Governing Board has chosen to go for a limited extension of the Outer Week in this round.’It is further stated: ‘Although we now choose to limit the expansion, the Governing Board’s decision constitutes an offensive commitment to further wind power expansion in the North Trøndelag.’ It is a positive decision taken on the part of the Nord-Trøndelag. I actually appreciate that. So I would have liked to have seen, like the representative of Kvassheim, that a decision had been made to implement this whole big investment in this round. It has already been divided into different stages of construction from the start. I would have liked to have seen a different decision now, because we need as much power as possible in this area, as quickly as possible, and preferably renewable power. I think that's the representative of Kvassheim and I'm 100 pst. agree. I take note that it has not been done, but I am all the more pleased that NTE is showing the way and adopting an investment of over NOK 1 billion.
ParlaMint-NO_2006-12-07-2.ana.ud1908e162	I think it's a bit funny to hear the government councils and government party representatives present the government's energy policy effort as a historical commitment to renewable energy, when the truth is that we might rather talk about the energy policy of the times. Today we have heard that nine out of ten wind turbines are being scrapped. Then my question becomes to the Council of State: Does the Council not see that much of this lapse is due to the fact that the Government's support schemes for renewable energy production are not good enough, and that a certification system, as the Government shrank, would be a much better solution?
ParlaMint-NO_2006-12-07-2.ana.ud1908e169	In fact, if Andersen’s representative were willing to turn significant costs over to consumers — in the event of a sharp increase in the electricity price — for a certification system, consumers would have to pay this over their electricity bill, without any guarantee that these investments would be made in Norway — then a certification system might have been better. If Torbjørn Andersen were willing to accept the demands that Sweden made – that Norwegian consumers would undertake to pay twice the Swedish bill – it would have been a better solution. But it was not possible to arrive at a balanced arrangement. The Progress Party criticises energy policy. But I have to say, after hearing Ketil Solvik-Olsen in a previous line change today, where he is taking the order to use the 2 billion that Statnet is now going to use on reserve power, to a pilot project on thorium, that it is the jam a bit of a greeting to send to the people in Middle Norway – a project that could have produced results in 20 years' time at the earliest. In fact, it is in 2008 and in the future that we need to secure the electricity supply to the population in Central Norway.
ParlaMint-NO_2006-12-07-2.ana.ud1908e176	That's the line change.
ParlaMint-NO_2006-12-07-2.ana.ud1908e179	The opposition has expressed in this debate that this is a sad day. There are some of us who don't agree with that. But if there's any comfort to the opposition, we would have about 365 days each year in the last four years. It says well about the attempt to label the proposals of a political alternative. This government has shown the will and ability to reconcile the conflict between growth and protection. It is absolutely necessary to cope with this balance, as Norway faces some specific challenges related to the following: How do we increase our competitiveness in a more globalised society?How do we ensure energy security and make us less vulnerable to energy supply?How do we meet climate change? My argument is that these three challenges are closely linked. Economic competitiveness, energy security and climate change all point to higher investments in energy efficiency, increased research, energy conversion and a well-functioning power market. It requires a smooth balance between growth considerations and protection considerations. In the future, every industry must also be an environmental industry. One of the greatest social and political challenges of our time is climate change. Socially, climate change raises fundamental issues in relation to justice and equality, between generations and between rich and poor. The challenge is to ensure a fair distribution of rights and responsibilities. Politically, the challenge is to ensure the consent of citizens, businesses and other countries around the world for reducing emissions, new technologies and high standards. And that's important. The CO2 concentration in the atmosphere is now higher than at any time in the last 740000 years. This leads to an increase in temperature, which in turn will be partly responsible for extreme weather. All the 10 hottest years since 1850 have been since 1990. The consequences will also reach us. The facts that confront us in this matter are strong. On a rational basis, the debate on climate change is over, and the question now is how we should respond. The costs of seeking to prevent climate change will be lower than meeting the consequences. The challenge is to have enough political will to be in the forefront. So what does the government do? An energy fund has been set up, CO2 management is supported, petrol taxes are revalued and public transport is supported. Natural diversity is a high priority. The Ministry of the Environment's budget is increasing by 89 million. kr. It's particularly gratifying that they've got room for the small thing in general: the government is proposing an increase of 7 million. kr for the development of the green structure and the cultural environment in Groruddalen. At the same time, we in Oslo are concerned about particulate matter from road traffic and wood stoves. Last year there were 51 days when the level of suspended particulate matter in the Oslo air was illegally high. There is no reason to believe that there will be fewer days in the future. This is alarming. I'm especially concerned about the kids who grow up in town. For this reason, it is good that the budgetary note has now provided some information on how to follow the recommendations of State pollution control in the case of clean wood stoves. So we're going to find the best solutions. The state and Statoil agreement to establish the world's largest full-scale CO2 cleaning plant at the planned CHP plant in Mongstad is an excellent example in this way. The cleaning plant shall be clear by the end of 2014. The first stage of CO2 management shall be in place at the same time as the planned start-up of the thermal power plant in 2010. With this project it is written industrial and environmental history. We're going to build the world's largest full-scale CO2 treatment plant. At the same time, we are making an important contribution to increasing the country's power generation. It is a pleasure that the Government is working successfully for the right balance between growth and protection. This budget is the first step on such a road, and it makes this a fine day and a happy day – not a sad day.
ParlaMint-NO_2006-12-07-2.ana.ud1908e225	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2006-12-07-2.ana.ud1908e228	The energy crisis in Central Norway is well known to everyone. The economy, the individual population, poor and rich, is already hit today by higher electricity prices due to the introduction of its own pricing zone in the region. Is this what the Government means by having a ‘heart for the whole country’? Large amounts of energy from More and Romesdal are used to send gas from Worm Lange to Easington in England, thus contributing to the energy crisis. The same energy helps generate huge revenues back to the state, revenues that benefit the whole country. It is therefore very unfair that businesses and residents in Central Norway should take the bill. It must be allowed to call for the logic of a policy in which Norwegian State Power establishes itself with gas power plants in Europe and produces gas with today's technology, while Mid Norway, which has the gas right outside the door, experiences that Statnet invests in extremely polluting mobile gas power plants at a cost of DKK 2 billion, billion that should have been invested in modern gas power plants and new technology in Central Norway. The right considers that the Government must take responsibility and ensure that the period of highly polluting mobile gas power plants is as short as possible. The gas must be used in its own vicinity as soon as possible, where the need is greatest, and where the power-intensive industry is located. Gas power stations with today's technology and requirements for rapid clean-up will reduce imports of coal power and the use of environmental bombs, such as mobile gas power stations. The result is more and cleaner energy, even in a global context. Industrial power Moore submitted on 1 December its concession request for the construction of gas power plants at Hustadmarmor in Fränna, a gas power plant in which Hustadmarmor can make use of approx. 50 pst. of the CO2 in its own production, in addition to the organisation for CO2 cleaning. The gas power plant can be completed as early as 2010, if the Government will. It would be a belief that they would, after what I have read in the Claims of Time on 17 October. It says that Ola Borten Moe, a landfill politician, believes that the government can no longer say no if there are now applications for more gas power plants. It also states that there is a greater need for power in central Norway than in Mongstad, and that Hydro has a special responsibility to contribute constructively, as it is their plant on Sunndalsøra and Augra that is the direct reason why the region will now suffer a power loss. Right expects the Government to give priority to the application from Industriekraft Møre. It will also serve the global environment in the long term.
ParlaMint-NO_2006-12-07-2.ana.ud1908e249	I just want to briefly remind you that the government has for a long time announced a review of the Energy Act of 1990. What the Government had to propose of changes to the law may seem somewhat unclear, but in any case it is that the Energy Act of 1990 made a very big step forward for Norwegian energy policy. I would like to say that a comprehensive reversal of the Energy Act must be seen today as completely out of date for most people, both inside and outside the Norwegian power industry. The Energy Act has come to stay. Even a red-green government will have to realize that taking the major changes in the energy law is almost impossible today. However, it is a partly serious problem that the Energy Act has not been able to provide sufficient new production capacity in Norway since its entry into force in 1991. The Norwegian and Nordic electricity markets have worked well on the demand side, but the market has not worked as well on the supply side because politicians have interfered and prevented the development of new production capacity. Time and again, we have seen examples of Norwegian politicians either rejecting or reducing good power deployments in Norway. Over the past 10–15 years, the majority of the population and the government have declined the expansion of around 4 TWh new power generation. I can mention examples like Upper Otta, Sauda, Svartisen and now last Weefsna. All are good examples of the fact that the political majority has stopped or limited the development of new demand for power generation in Norway. At the same time, we have seen that strange requirements for CO2 cleaning of gas power plants have also contributed greatly to training the construction of new gas power plants in Norway. Thus, the power market, including in the development of gas power plants, has not been able to function freely because of political intervention. I would also mention that the solution to Norway’s power policy challenges is not to expand even more sea cables or transmission lines abroad in order to import even more electricity into Norway. Norway must make great efforts to expand new production capacity here in Norway and become self-sufficient in electricity as quickly as possible. And building up increased production capacity in Norway should be one of the simplest issues in the world, because there are very few countries that have the same opportunities as Norway to master their energy challenges. Finally, I say, in Norway, we export twenty times more energy than we consume ourselves, and gas is a very good source of energy to solve the challenges we have on the energy side.
