ParlaMint-NO_2006-12-04-2.ana.ud2368e28	No one has asked for the floor. [[Fotation, see page 876]]
ParlaMint-NO_2006-12-04-2.ana.ud2368e44	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 5 minutes to each party. Furthermore, the President will propose that three lines of reply be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2006-12-04-2.ana.ud2368e53	I refer to the proposal by Mr Solberg, Mr Lönning, Mr Engeset and Mr Höie. Already today, there is a significant shortage of skilled workers in the health and care sector, and the Committee sees that this problem will be exacerbated in the coming years. It's not just the number of older people who are growing, but we see that more and more people are getting very old. These are people who often have a complex form of disease and who have chronic disorders that span many years. At the same time, we see that there is also an increase in the need for domestic care aimed at younger caregivers and disabled people. Increases in diseases such as diabetes, muscle and skeletal disorders, COPD, cancer, psychiatric disorders and drug dependence require special competence among health professionals. There's a desperate need for more highly qualified people, and it's urgent. Therefore, the proposal for a competence plan does not meet any counter-representation in the Committee. It underlines the importance of seeing the link between education, professional development and research and that those who choose to work in this field must be given the opportunity to remain professionally up-to-date and provide room for alternative career paths with pay after work. The proposers mention a number of good actions in the education and labour market sector which they believe can be used to provide more qualified people. Proposalers also stress that it is important to keep those working in health and care professions, and mention more measures in the labour market that they believe can be used to achieve this. The majority of the Committee, members of the opposition parties, believe that there is a gap between the expectations created by the Government for increased efforts to train health professionals on the one hand and the practical arrangements on the other. These parties point to the fact that a clean-up of matters in the vocational school sector has still not been established, and assume that the Government of Spring will propose a vocational school law which also contributes to the real financing of health schools. Vocational education will play a key role, and the Government is responsible for contributing to a quality improvement in nursing training. The majority of the Committee, the members of the Advance Party, the Right, the Christian People's Party and the Left, also believe that the capacity of geriatric specialists in hospitals needs to be increased. Last week we were able to read the results of a new study that showed that old patients who are being treated in their own Geriatric wards in hospitals get better health and manage in their own homes much longer after a hospital stay. The Government Parties and the Advance Party have stressed that the 10 000 new annual works for the care of the elderly in the municipalities are permanent. This means that strengthening the other nursing and care positions must be established in the municipalities to meet the needs, and it must be added to them. This majority refers to the fact that, in 2015, the lifting of skills, the increase of job breaks to full-time, part-time and continuing training will be good measures to increase recruitment and to maintain the labour force. The members of the Committee of the Progressive Party are doubtful about the emphasis being placed on increased labour migration by the proposers and would point out that there is considerable unused capacity by increasing job breaks, new recruitment and by pursuing a good senior policy. The majority of the Committee, the members of the opposition parties, will point to the need to strengthen the educational institutions in the health and care sectors and to strengthen research in geriatrics, and are critical that the Government has both reduced support for private colleges that train health professionals and the funding for research. According to the Central Bureau of Statistics, the number of nursing and care positions has increased in the last ten years by almost twice what the Government has as its objective — talking about 10,000 new annual works from 2004 to 2009. In the opinion of the majority, the number of nursing and care positions in municipalities needs to be increased far beyond the planned 10000 annual works in order to meet the needs of the coming years. This can be done by offering more full-time jobs, removing special age limits and facilitating more people to work in the care professions over a longer period of time. Furthermore, the members of the Committee from the Right and the Progressive Party believe that the proposal to ensure more flexible working time arrangements and to facilitate the establishment of several providers of care services will contribute to a better use of resources in the care sector. In order to ensure the implementation of the many important objectives of the plan, the members of the Committee from the Progress Party and the Right say that the plan must be followed up financially. With this I would like to address the proposal by the minority, the Progress Party, the Right and the Left.
ParlaMint-NO_2006-12-04-2.ana.ud2368e81	The representative of Vigdis Giltun has taken up the proposal to which she referred.
ParlaMint-NO_2006-12-04-2.ana.ud2368e84	First of all, I would like to commend the proposers for a comprehensive, creative and concrete proposal for a competence plan to recruit more qualified workers for the care sector. Yes, the proposal is far more comprehensive and concrete than the Government's plan, the Competence Plan 2015, which is part of St.meld. No 25 for 2005-2006, Mestring, opportunities and meaning. I believe that the few measures proposed by the Government will not be sufficient to address the major challenges facing us in the care sector in the future. Everyone agrees that one of the needs is to recruit more people to take different levels of health education. This is also pointed out in the Government's plan, the Competence Plan 2015. The more incomprehensible it is that the same government for the second consecutive year proposes cutbacks in the allocations to higher education institutions that actually educate those groups for which this is a screaming need. It is gratifying that people in Norway are living longer and longer. Luckily, most people are doing their own thing. Some people may just need a little help with everyday life's tasks, and others need social measures. However, a large group will need more comprehensive healthcare than before, both medically and nursingly. Today, on average, hospital residents have four different diagnoses, which of course will require highly qualified staff. We will need far more geriatric doctors, more nurses with advanced education in geriatrics, aging, palliative care, which is care at the end of life, etc. We will need far more help nurses and health professionals with continuing training in geriatry. All of this requires that we look at educational capacity, on the content and length of education, on the recruitment of education, etc. Let me take some issues within each of these types of education that may need to be considered: Geriatric training for doctors is very extensive. As I understand it, doctors must first go through intern medicine specialty before they or he can take geriatric training. Other countries have shorter courses of education, with some other content, which it may be worth looking at. In the case of geriatric training for nurses, it is too short for it to be eligible for university education. This in itself can make this particular education less attractive compared to others. This is also important to assess. In the case of continuing education at the post-secondary level, I have heard that it is more or less at risk in many of the counties. It has to be activated. The possibility of continuing training can be crucial when people choose their first training. This should find its solution. I believe that this proposal for a representative should follow the work of Mr St.meld. No 25, to be released on 20 February next year. We're going to have hearings for this announcement in December this year, and I expect that valuable recordings will come in this area also during the hearings. I believe that most of the proposals in the proposal for a representative are very good, but I cannot support them at this stage. I therefore agree with the majority that the proposals should be assessed and proposed in the context of the Committee's examination of St.meld. No 25 for 2005-2006, Mestring, opportunities and meaning — this in order to ensure a comprehensive treatment of how competences in healthcare can be strengthened in the years to come.
ParlaMint-NO_2006-12-04-2.ana.ud2368e109	The health sector is distinguished in today’s Norwegian society by an unusually low proportion of fully skilled labour, or – expressed in the other way – an unusually high proportion of non-skilled labour. It's a cross of thought in many respects, because it was to be expected that if there was any area where society should give priority to providing skilled labour, it was this very area. There might be a lot of reasons why things have evolved this way. A nearby explanation is that the need for labour has increased rapidly and will increase even faster in the years to come, and that, therefore, it is difficult to keep up with the need for skilled labour through education and training. Another possible explanation may be that there is a need for very different types of skills, that there are many different levels of education systems involved in this context, and that it is therefore difficult to get coordinated efforts to recruit skilled labour. It may also be related to the fact that for some years we have been entering a situation where the labour market is generally under pressure and where the demand for labour from other sectors is stronger than the demand from the care sector. Whatever the explanation, it is the opinion of the rapporteurs that this is urgent, and that is why we have put forward the proposal. There is an urgent need to provide the necessary overview, and there is an urgent need to draw up an overall national recruitment plan to ensure that, in the foreseeable future, we have a situation that is significantly better than the situation we have today. That is to say, we have a situation where the proportion of fully skilled labour is at the level of what applies to most other sectors of Norwegian society. It points out that the Committee is working on the report on the care sector, and a majority in the Committee would point out that it would be natural to examine the proposals contained in the proposal for a regulation in the context of the review of the notification. I agree. At the same time, I cannot see that there are any reasons why the Committee could not, at this stage, give the Government the task of preparing a satisfactory overall recruitment plan. It is quite clear that such a plan does not lie in the notification, and it is not reasonable for the Committee, when examining a comprehensive document, to undertake to do so. The Committee has no basis for that. So you're going to sit back with the question. Even when we get there that we're going to deal with the big news, it'll be up to the committee to decide whether it wants to give the government this mission or not. If you think that the assignment is necessary to give, you've been playing time by not taking your point of view here and now. It has been repeatedly pointed out – and also pointed out by the majority in the Committee’s vote – that the 10,000 year olds now in the Norwegian political debate for a year and a half are not responding to this challenge. As long as you are not willing to clarify what kind of annual work, with what competence and how the proportions between the different categories of health workers should look, the 10,000 annual works are not a response to anything. It is also pointed out in the setting that the crop that will be per. years in the five-year period covered by the Government, with the 10,000 annual works, would, if implemented, be significantly lower — yes significantly lower — than the average growth has been over the last ten years, i.e. Nor is the 10 000 annual works quantitatively almost an answer to the challenge.
ParlaMint-NO_2006-12-04-2.ana.ud2368e128	We in SV believe that there are many good proposals in the proposal for a representative from the Right. At the same time, I have to say that there are two things that are a little strange. One is that we could not deal with them in the context of the care notification that we have for consideration in the committee, where we are given ample opportunity to discuss exactly what the representative Wohnung was concerned about, and where we will also get good input from many organisations. The second is that the right did not take the opportunity to implement the proposals when they themselves were in government. I think it's a little strange to hear the tone of the representative's salary, because when he places so much emphasis on the urgency of this, it's very strange that it wasn't implemented in the four years when the Right had both the Minister of Health, partly, the Minister of Education and the Minister of Municipal Affairs, and also the Minister of Finance. As a matter of fact, it might be tempting to ask whether it was the Christian People's Party or the Left that at the time stood in the way of these proposals being implemented, or whether it was because it was tax-free for those who already had the most, who were at the top of the agenda. SV is looking forward to processing your caregivers. It is an important message, because it is too bad for the care sector in the municipalities. Four years of right-wing domination did not improve the situation; the local economy was forced to give way to ever-new tax havens. For us, it has been important to correct this bias, but much more is needed than a strengthened local economy. SV very much agrees with the intentions of the representatives behind this proposal. Higher competences are definitely important to ensure a good care sector, in order to ensure recruitment and increased status in the profession. In addition, there is a need for a settlement with the number of part-time positions in the municipalities and with the stop-clock mentality that has a wide range of locations, not least with the support of the Right Sea. The Nursing Communication outlines several actions to meet the challenges of care: the number of apprenticeships and the proportion of higher education will be increased, real skills assessments and recruitment campaigns will be carried out, further education through the VET system will be ensured, the use of part-time will be reduced, management will be invested – which is what is really needed – and the improvement of the working environment. In addition, further attention should be paid to educational nursing homes, just to mention something. Thus, this government is not leaning back and thinking that it is not urgent to implement a good deal of action in this sector – on the contrary. This is exactly why the message has been submitted. So I think in essence that the post to the representative's salary appeared in a strange light. But at least we're looking forward to the discussions we'll have when we're going to deal with the care message. I also take note that the Christian People's Party has decided to support the fact that we are going to take them in the context of that treatment, which is a unique opportunity to have a wide discussion on this topic.
ParlaMint-NO_2006-12-04-2.ana.ud2368e143	I also wonder how busy some of those who were in government during the previous period have suddenly got it to do something and to make a commitment to competence in this area. The government has promoted a big message to be heard a little before Christmas, which will be discussed here in January-February of the month, where we will have plenty of opportunity to finish the course in the future. Some have said that this message is too little concrete. People should think so. What the government has said, and as the Center Party actually believes is very important, is that all parties should be invited to participate and create a good care for the elderly for the future. In fact, I think it is good that the government does not put on the table a document where everything has been cleared in advance, but just invites the Stortinget to deal with and be open to concrete and good suggestions that had to come. I have to say I have been surprised this last autumn in meeting with the care of the elderly somewhere around the country. I must really stress that there must be a lot of force to do before it shines out of this care. In previous articles in this case today, something has been said about local economy and something about what happened in the previous period. I really believe that there is a lot to take back before there are enough hands and sufficient quality in the care services around. In meeting the local health service in Right-Handed Bergen, for example, I experience a lack of professionalism in the service, a lack of communication with them, a lack of coordination and a lack of quality assurance. I have to say that in meeting the care services, I have actually been surprised. After talking to many relatives around, one sees that in many municipalities there is actually a lot to do before the care services work well enough. I'm, as part of the government parties, honest enough to say this. I hope that even more people can be honest enough to say this, and that we can stand together in the Stortingen to create a better care for the elderly. I believe, as I said, that the Government has provided a good basis for getting this done through St.meld. No 25 for 2005-2006. I think I'm giving up on it.
ParlaMint-NO_2006-12-04-2.ana.ud2368e154	I'm going to take the facts into account when I'm going to keep my post, I'm not going to try on any polemics. The number of older people over 80 will almost double over the next 35 years. Only maintaining today's standard of care and care means that the number of annual works has to be more than doubled. If we're going to increase the standard, which is probably everybody's wish, then the number of annual works in this sector will have to increase much more than a doubling, maybe we'll have to increase by 250,000. We're talking about giant numbers over the next 30-40 years. And if we can disagree about many things in this room, we're at least a few that we're facing a huge challenge in the care sector. The left-hand side doesn't think it'll be enough just to think about the work of the year and hands. That is why we need to focus more on increasing the competence of those working in the sector, and that is exactly what the Right – Left – representative proposal focuses on, and we need to address the challenge that everyone sees coming. As the representative on the payroll said, it's urgent. I don't think we need to disagree that it's urgent. The left believes that empowerment may be the most important key to resolving the future care challenges. In addition, it must facilitate the provision of skilled workers. We have heard that it is very much in part-time settings, especially in the health care profession. We know that they even want to expand their settings, so here we have a huge labour potential that we need to find a better solution for than the current situation. The left also suggests that more attention should be paid to home services. The cost of home-based care is only a small fraction of the cost of a health care facility. But also those who work in that sector, in the home services sector, must of course have high and appropriate skills. It is also important that the professional status of this group be given a lift. We think that's an important element for recruiting this group. The challenges associated with providing sufficient labour to maintain and expand supply in the care sector and other welfare services in the future are so great that there will be a need for labour migration. The committee has come up with that. What I want to say in addition to what the committee says about this is that we in the Left think that it should not be seen as any sleep cushion that we can pick up someone from abroad. The country's most important task, which is to care for its own elderly and caring people, must be primarily solved by its own labour force. Therefore, there must be a strong and strong focus on recruiting qualified workers, on which this proposal is based.
ParlaMint-NO_2006-12-04-2.ana.ud2368e171	Document No The 8 proposal makes it visible that there is a cross-political consensus that the municipal health and care sector is facing major challenges in the future, both in terms of capacity and competence. We agree, I think, among other things. that the sector needs more hands, that we need to maintain and provide opportunities for continuing training for those already working in the sector, that the sector is too numerous for unskilled workers, and that the sector needs more highly skilled people. It is then that this government has done a lot in a year, even though the representative is trying to produce it in a different way. The government has developed a new competence and recruitment plan for municipal health and care services. We have called it the Competence Lift 2015. As is well known, these measures are mentioned in the major communication currently being discussed by the Committee. We have looked at the experience of previous recruitment plans for the sector and tried to adapt the actions of the Competitiveness Pact to the challenges we are facing today. The commitment to competence, as we propose, consists of a four-year rolling action programme with effect from 2007 to be updated annually during the planning period until 2015. The long-term strategy is to exploit the demographically stable period of the next 15 years to increase the level of education in the municipal health and care sector, so that municipalities have good professionals in the service when the needs increase too fully. The objectives of the Competence Plan for the next few years are: increasing the number of persons employed in the care sector by 10,000 new annual works, with relevant vocational training increasing the level of education and training in care services, inter alia. by facilitating the entry of more than one higher education institution to ensure the availability of healthcare professionals with around 4500 every year access to a wide range of people with different backgrounds in order to obtain a wider range of professional services to strengthen guidance, internal training and continuing training. As you know, the government has proposed 152 million. kr to the Competence Lift, where the main measures are: to ensure educational places for pupils who are trained as health professionals to qualify health and care professionals who do not have health and social education, to decentralise health professionals to decentralise several higher education students in higher education, through the vocational education system to further train personnel with the higher education management initiative ‘Good to people in first-line education’, to provide care at the end of life and to relieve treatment to increase the competence of the ethics recruitment campaign to mention something In addition to these measures, the 2007 NSP and the 2007 State budget indicate that we have proposed strengthening research on care services by 5 million. kr. Here we also have extensive cooperation. with the Norwegian Pensioner Association. We have also taken the necessary steps to strengthen medical care in hospitals. And we're going to present a separate action plan for specialist health care for the elderly over the next year. The government believes that local variations and needs should be largely based on how to design services in the future. In this context, I would like to mention the cooperation agreement on quality development in health care, where the Municipalities' Central Association and the Government agree on a number of important issues: increasing the proportion of higher education, facilitating the reduction of the use of part-time jobs in the sector and strengthening the leadership functions in the sector. So to the question of labour immigration. Here, I would like to express a somewhat different view than what appears in Document No. The 8th proposal. The number of older people is increasing worldwide, and the vast majority of countries — including in Europe — will have deficits on health and social workers in the coming years. I believe, therefore, that we cannot commit to an active recruitment policy where we brave other countries — especially the poor countries — for the necessary personnel. The main goal must be to ensure that we train the health and social personnel that we need.
ParlaMint-NO_2006-12-04-2.ana.ud2368e237	The following speakers shall have a speaking time of up to 3 minutes.
