ParlaMint-NO_2006-05-23.ana.ud1471e51	The so-called alternate of the state of Troms, Ole-Anton Tegen, has taken a seat.
ParlaMint-NO_2006-05-23.ana.ud1471e68	At the request of the Foreign Affairs Committee, the President will propose that the maximum speaking time for speeches by the main speakers from each party group and members of the Government be set at 10 minutes, and for other speakers at 5 minutes. Furthermore, the President will propose that there be an opportunity for a succession of up to three lines with replies after the speeches of the main speakers from each party group and five lines with replies from members of the Government. – It shall be deemed to have been adopted.
ParlaMint-NO_2006-05-23.ana.ud1471e75	A few days ago, I saw the documentary «Our Daily Bread» on Swedish TV2, a program about the Indian woman Vandana Shiva – the woman called «The Green Killer», who is conducting an effective fight for the right to own food production for the Indian countryside – and about her fight against the patenting of valuable cereal varieties by multinational food producers in her home country. She had just won an important victory because the EU withdrew the patent rights on gluten-poor wheat from Monsanto. Vandan Shiva represents the new independent and active women in several of the countries of the south, and shows the importance of ending up on women’s networks and local gender equality. At the same time, the story of Vandana Shiva's work highlights the red thread in the Minister of Development's thorough presentation, namely: Development policy is not just aid, although it is. Contributing to peace, jobs, food production and distribution and infrastructure is equally important. This is both the responsibility of the international community and the duty of local and national authorities to provide it. The authorities of a country have a responsibility for the people having the food they need. It is good governance in a broad sense. At the same time, this is about international justice, international distribution policy – a world order in which we have a global development policy, as we built the Norwegian welfare society throughout the last century. The extreme poverty of our time is the greatest challenge of human rights, and I believe the challenge of human rights. The right perspective is central, as has also been established by a broad majority in the treatment of both the 2005 Development Communication and the 2004 Globalisation Communication. In our development policy, we must place the crucial emphasis on the Millennium Goals adopted by the UN General Assembly in September 2002. They commit Member States to the environment, peace, security, development, poverty reduction, human rights, democracy and good governance. The best known goal is to halve poverty, the proportion of people living on less than a dollar per. day, by 2015. It's a difficult goal. It may not be possible to achieve this by 2015, but it is possible to achieve significant improvements. The definition of the objectives is otherwise set so low that billions of people to whom we refer in daily terms as very poor fall outside. But as the Council of State stressed: if this generation does not abolish poverty, it is not because we cannot, but it is because we do not want enough. One of our challenges, as the Council of State also said, is that although we need to focus primarily on the MUL countries, especially in Africa, it is important to be aware that the large numbers of poor people are actually in middle-income countries, among others. in Latin America. This is a developmental challenge not only for individual countries but also for the world community. Development policy must be an integral part of our foreign policy. On 8 February the Minister for Foreign Affairs, in his statement, launched a new policy towards Africa: It is time to think new and strategically about attitudes towards the whole continent.Norway needs a renewed African policy that can see development and foreign policy in the context.We also need strategic alliances with African countries. We must seek foreign policy cooperation with African countries and institutions on both African and other international issues, for example. oil, energy, the WTO and conflict resolution, and we must focus on increasing contact with both the African Union and African countries. The head of the African Union Commission, Alpha Ouman Konaré, had recently met with both government members and with the Foreign Affairs Committee. Sudan, both aid and UN forces, was on the agenda, but also developments in Zimbabwe, Kenya and the Horn of Africa, and, of course, the African Union's capacity for conflict resolution and peace. Some time ago, we met with parliamentarians from São Tomé. They are now receiving Norwegian assistance under the Oil for Development programme to ensure that the oil finds benefit the broad population groups and to build up an oil administration that prevents the powerful mafia from draining oil revenues. Energy is one of the main priorities of our aid policy. Here we have competence, here we have something to contribute. In addition to the small country of São Tomé, I will mention large parts of West Africa, but also countries such as Sudan and Chad as current partners. Development policy is also part of our security policy. That is why there is a link between our assistance to Afghanistan and our participation in the ISAF force. We contribute to the construction of the country, we provide emergency aid, help with security and try to provide Afghan farmers with alternatives to drug production. This is also how we fight terrorism and heroin imports into Europe. When foreign sex slaves sell their bodies right outside this house, and trafficking now is the source of income. 2 to international Mafia, it is both an important safety issue and a question of development in the countries from which they are recruiting. That obligates us. The target of 1 pst. of the gross national income for assistance is important, but that must not be the only thing we are discussing. To a far greater extent, we need to take a political debate on – and lead to – the device on the content of aid. Just the increase in GNI from one year to another gives us more than $1 billion extra to go with to aid projects. We need to have an opinion on how to use that billion, and what kind of auxiliaries we're channeling the money through. We must concentrate our efforts where we are best, where our expertise is indisputable. We need to know that our efforts make a difference. I agree with the main focus of the Council of State on energy, women, peace/ reconciliation and the environment, in which areas we have competence, as well as developing small industry and trade and using micro-credit, among others. to formalise the informal sector. Norad has put forward a strategy to fully follow the aid money. It's positive. Then I am very happy that the Council of State is notifying a conceptual review, both to get the map to vote with the terrain and to have the right governance tools. The five largest beneficiaries of Norwegian broad assistance are Afghanistan, Mozambique, Tanzania, Sudan and Palestine today. Only two of them are the main countries of cooperation. Sudan does not even have the status of a cooperating country. Here cleanup is needed. I also think we should look at how we can use regional appropriations. They should be directed towards internal development in some regions, e.g. in Africa? My impression today is that regional appropriations are being used in much the same way as our bilateral assistance. Concentration has to be both geographically and in terms of areas in which we are good. That's how we can have a developmental effect out of the means that we're using. In line with the Soria Moria declaration, we must have a main focus on the UN, including local tools for development. Part of the UN reform work has been to set up the UN Resident Coordinator in each country of destination, often under the auspices of the UNDP. This coordination work must be continued and reinforced. It is also important that we have closer cooperation between the United Nations and the World Bank, where the UN is more pre-emptive of the Bank's priorities. I would also like to ask the Council of State to take an initiative in contacting European countries in order to build a unit in front of the World Bank meeting in September, to underline the trend we have seen in the bank over time, a change in the requirements imposed on developing countries by loans or debt cancellation. Finally, when we want more aid money to be channelled through the United Nations system, it is also because we believe that the United Nations Development Programme and other UN agencies are receiving assistance and that they are where others are not.
ParlaMint-NO_2006-05-23.ana.ud1471e139	It's going to be line change.
ParlaMint-NO_2006-05-23.ana.ud1471e142	The Labour Party has had a decisive influence, both within and outside the government, on the design of Norwegian aid policy, a policy that has to a large extent been characterised by naivety and genius, in which money has been uncritically sent without demanding assistance to those who need it. Despite countless reports, press releases and reports from aid workers on corruption in the recipient countries, there has been no criticism of spending even more money. Now we see that the Workers' Party is in government with SV, where the Minister of Development of the Socialist Left Party is going to put a heavy strain on corruption in the recipient countries. Is the Workers' Party comfortable with this conversion of aid policy? And if so, why in all the world has the Workers' Party not previously shown the will to make demands and counter corruption?
ParlaMint-NO_2006-05-23.ana.ud1471e147	First of all, the government has one policy, and that's what we're all about. We are also united on development policy. I would argue that the Labour Party has pursued a development policy and an aid policy that we have not called for, because that is not right. We have been concerned with good governance for all years. We have demanded that you do not have corruption. We've seen to it that development aid comes out. We have assisted, among other things, by building up national audit and administration, and we have, among other things, Parliament agreed to stop direct budget support for Mugabe in Zimbabwe, simply because it does not get where it is going. That doesn't mean we don't support any groups in Zimbabwe. This means, among other things: that we support popular groups, trade unions, political parties and women's organisations. But we're taking the consequences of Zimbabwe being mismanaged.
ParlaMint-NO_2006-05-23.ana.ud1471e152	Most of us have probably not been able to avoid recording the enthusiastic description of the Left Wind of Latin America by the Council of State. It's probably Venezuela, Bolivia and Cuba in particular that warms a socialist heart, I think. For all intents and purposes – I agree that we are making happy progress on the South American continent. For me, Brazil and Chile in particular are good examples of balanced and positive regimes from the left side of the region. Can we be sure that the Workers' Party will continue to maintain the poverty focus in aid and not allow itself to be torn off in favour of middle-income countries in some sort of ideological intoxication?
ParlaMint-NO_2006-05-23.ana.ud1471e159	It is in the priorities outlined by the Council of State and which we end up with, that Africa still has the main focus. It also means that the starting point is poverty reduction and the Millennium Goal. This means, among other things: that we will continue to support Tanzania and Mozambique. We will give priority to Sudan as one of our most important areas for broad assistance. Then it's Latin America. If you look at the government in Chile, which actually has a majority of women, it's important to provide assistance to support gender equality in Chile, which may have an opportunity under this government. I also believe that regimes based on popular movements, which have an intention to create distribution policies and welfare systems, for example. in Bolivia, it is important to support: But these must be a couple of important projects, that you pick out a couple of countries in Latin America. It won't be the main focus. It'll still be in Africa.
ParlaMint-NO_2006-05-23.ana.ud1471e166	I would essentially like to agree with what the representative Nybakk had. I thought it was a good review of a policy area and a good summary of the composition of the Council of State. I also want to enter this left wind, because I assume, of course, that there are developmental objectives and what is Norwegian development policy, which will be at the heart of it, and not what a colour the regime has in each country. There may be a lot of positive happening in South America now, but it is very important to conclude that the political color of the regime alone is not a criterion. So, happy, the representative Nybakk said the goal of 1 pst. is stuck, but she had a ‘but’ afterwards. I hope that it was not a decrease of 1 percent, but that it was a summation of several other things. I just want to get an assurance that the 1 percent is clear, even without a "but."
ParlaMint-NO_2006-05-23.ana.ud1471e175	I can assure you that the 1 percent is fixed. But that means something else. That means that I mean that for too many years we have said that we have a target of so and so high a percentage of gross national income, but we have taken far too little of a discussion about priorities, about what we should focus, and perhaps not least about how we can concentrate our assistance, so that it reaches a much greater extent than what you might otherwise think it does, and that we don't have to spread in width. I think we should have a discussion about which channels we should provide assistance through. Is it the United Nations system that needs the most? Are we going to bet on bilateral assistance, and how much are the volunteer organisations going to have? The Rattsø Committee has now looked at the voluntary organisations. There will be, as far as I know, a vote on 1 June, and then we will have the opportunity to discuss how we will use the voluntary organisations and civil society. This is a debate on content that Norway has far too little. I think it's a very exciting debate. So that was the content of my ‘but’.
ParlaMint-NO_2006-05-23.ana.ud1471e180	The cord shift is over.
ParlaMint-NO_2006-05-23.ana.ud1471e184	When a policy statement is as rich in content as the Minister of Development presented last week, this is a well-used resource use. There is a lot of exciting presentation here, and there are constructive recordings in an area that hasn't been too often characterised by a fundamental debate on long-term impact. Of course, the Progress Party does not agree with everything that was presented, but we feel that there is now a real focus on content, that there is a willingness to be critical of all aspects of development policy, and that one will constantly seek to find out what actually works. In such a debate, we would like to participate and influence. I don't think there is much disagreement between us and the Government about what we want to achieve with development policy. Eliminate poverty, eliminate injustice, promote democracy and human rights – these are the values we stand together on. But in terms of the instruments, there will be disagreement between us, but not all the time, and perhaps we will see that we can approach defining what is good development policy. We don't want to join the goal of 1 pst. in assistance. It is not linked to lack of solidarity, but because we believe this does not reflect a modern development policy, but to a policy that focuses on quantity rather than quality. In relation to our view of economic unhelp, there are more and more people who are expressing the same thing. Kenyan economist James Shikwati said in an interview with Der Spiegel: "For God's sake, stop the unhelp. With the aid money, huge red tape is being financed. The money promotes corruption and inaction. The Africans are trained to become beggars and not independent. In addition, local markets lose much of their function as a result of the unhelp and entrepreneurship that we desperately need to be held down. As absurd as it sounds, u-help is one of the reasons for Africa's problem. If the West stopped this aid, then ordinary Africans would not notice this. Only politicians and bureaucrats would feel the effect." This is also a voice This is also a voice from Africa, probably not representative of everyone, but nevertheless with a message that we have to listen to, take seriously and take over when we evaluate what we're doing. The quotation is pointed, so it may be easy to write it off, but we believe it deserves to be heard. A fundamental challenge for development policy is that it is very easy to fall into temptation to set goals, big goals and good goals. This is probably natural, but we don't think it necessarily leads very well with it. Often, these objectives result from summits and the desire of large organisations to focus and set an agenda that they are unable to follow up. A 1990 UN meeting set a target for the year 2000 for all children to be offered schooling. That target is now deferred until 2015. A previous UN meeting, in 1977, set a deadline for 1990 to obtain public access to water and sewage. That target is also deferred until 2015. No one was held responsible for not keeping these deadlines. The point is that such goals will almost never be achieved, and at least not with the current policy. While the plan economy as a system has largely been thrown at the garbage heaps of history, in the West we are now going to use this as an instrument for the poor world. This is both arrogant and faulty and shows that we have learned little from history. Today’s global development policy is collective in its device, while it must be primarily individualised. We have to help the individual person. We have to take the small steps and build a whole, rather than planning a whole that doesn't bring added value and results to the individual. We believe that the UN stands for such a plan policy, assisted by many sub-organisations, large bureaucracies and well-meaning politicians. Therefore, it is good to record that both the Minister of Development and the Prime Minister want to make demands on the UN. Nevertheless, we are skeptical as to whether this will bring about, and whether we really want to settle the culture with grand plans and countless summits. Norwegian non-governmental organisations receiving money from the development budget are increasingly demanding, and they are being checked and evaluated on all fronts. And that's good and healthy. But how do we evaluate the impact of assistance going through the UN system? Is the Riksrevision there? Do we know how much money goes to bureaucrats and consultants, and how much does it get into the field? The UN is important and no one can replace the role of the United Nations. But as one of the largest donors in the United Nations, it must be allowed not just to make demands, you actually go in and evaluate, if so on your own, where we find it necessary. The Progress Party believes that many non-governmental organisations today are better channels for Norwegian assistance than many UN organisations are, not least because we have a different control and a different proximity to our home actors. We therefore ask that we limit assistance through the UN until we can be sure that this is an effective way of providing assistance. We listened with interest to the signals of debt relief, and here we are responding to the government's policy. This is a field where, in the last period, together with today's government parties, we laid the groundwork for a more offensive policy. The Minister for Development pointed out quite correctly that the issue of illegitimate debt is difficult. But anyway, we can't give up. A country that becomes free should be allowed to shape its own future, without being charged with the sins of former dictatorial regimes. It's clear that border crossing is a problem, and there's a lot of grey zones. But there can be no doubt that lenders have a responsibility when lending money. If a bank lends money to a country, it must be the responsibility of the lender to check that the loan has been taken up by the authorities authorised to do so. And even though it may be historically difficult to agree on such issues, it might be easier to make rules for the future. These should be so simple that those taking up a loan on behalf of a country must be empowered to do so by a elected parliament, and we have today several international institutions that give approval stamps in relation to whether elections have been sufficiently free etc. However, if a bank wants to borrow money, even if it does not have such a mandate, they must be aware that the money can be lost. In this way, we can also prevent banks from continuing to finance regimes that otherwise do not have the right to life. Unfortunately, the lack of legislation on illegitimate debt helps to extend the life of some regimes that could have been eliminated to their advantage. Historically, it is not difficult to find examples of totalitarian states that have survived because banks and institutions in the West have provided funding. I want to challenge the Minister of Development to think outside the traditional framework. Energy has been identified as an area in which Norway may have something extra to contribute. Within both petroleum and hydropower, we have competence that it is right to seek to transfer. But also within other forms of energy, such as: solar panels for Africa, we should play a role. Access to energy is a prerequisite for economic growth. We ourselves have experienced this and experience with today's oil price huge revenues. This obligates. If we look at Africa's challenges in a wider perspective, we know that China today is active, especially because of energy. Energy policy cooperation with China is therefore not only about China, but also about Africa, and not least about the environment. If we can help upgrade China's coal power plant, we will address one of the world's most serious environmental problems and, at the same time, significantly increase China's self-sufficiency of energy, and perhaps – I might stress – have China as a partner in terms of development in Asia, Latin America and Africa. I'd like to admit that this is enough to draw Norway's role far, and the task is greater than what we can do alone. But the challenge is to realize that in today's world, the approach to a better world can go through other channels and using other means than what you traditionally think of. And then there will be a demand for the aid to meet the ODA conditions, not necessarily the most conducive to development. The challenge must be constantly to be willing to think, reconsider old attitudes and seek a policy that is practical, concrete and solution-oriented, a policy that solves real problems for most people. In this article, I have not touched on – and for time’s sake – important issues such as corruption, the role of industry, women’s assistance or health and education. These are themes that we look forward to debating in the future and working with the Minister of Development on as Norway can play an active role. Finally, I will be allowed to comment on a chronicle in the newspaper today, where we are being attacked for our policies in this area. We appreciate getting that opportunity to respond. First of all, that must have crept into a misunderstanding. We are also being attacked for our role in relation to emergency aid. At least I want to take the opportunity from this speaker to point out that we feel that we have had a very offensive role in relation to emergency aid, and hope that that word has crept in there is a mere misunderstanding. The rest of the chronicle is characterized by a completely different belief in whether traditional u-help has an effect, and we also look forward to discussing that further.
ParlaMint-NO_2006-05-23.ana.ud1471e236	It's going to be line change.
ParlaMint-NO_2006-05-23.ana.ud1471e239	I actually want to praise Høglund for holding a very positive and nuanced post, where he has refrained from what has often been the policy of the Progress Party in this area, simply to drive with hoarseness and have a strong rhetoric when it comes to other people's policies. Nevertheless, if one goes into the Progress Party programme, it clearly says that one will terminate the assistance, and if one goes into the alternative budget for the current year, one will see that the assistance has almost halved. That means that the help that we are giving to the poorest of the poor, namely Africa, could not have kept up with the Progress Party system, which would have been very negative for those who are getting this help today. It is also the case that if other countries were to follow the policy of the Progress Party with cutbacks in transfers to the UN, the organisation would not have worked for the future, simply because it was not funded. Then the most important gathering place for the world's nations would have collapsed. My question is: does he not see that the policy of the Progress Party will create a more insecure value and increase the risk of terrorist acts also in Norway?
ParlaMint-NO_2006-05-23.ana.ud1471e250	No, we don't mean that. When we show the effect of assistance, not least in relation to how the UN operates, we believe that there is a need to give strong signals in relation to it. There is a demand from almost most people that the UN be reformed, but no one is willing to press the right buttons to get this done. We think it has to be done. As I pointed out in my post: the UN must be there. The UN must play a role in the world community. But what the United Nations we have today, unfortunately, does not play that role, so we believe this is a need to say clearly. When reference is made to the fact that we are making significant cuts in the aid budget, that is quite correct. I'm going to be allowed to admit that in our alternative state budget we have created a foreign budget at the same time, where we have placed a considerable amount of money to tackle not least health challenges, which we, like the Workers' Party, believe is a serious challenge in Africa. So for the sake of balance, I would like to point out that there is a whole in our view of this.
ParlaMint-NO_2006-05-23.ana.ud1471e257	No one should be able to attack the Progress Party for not having been involved in emergency assistance, on the contrary. In the last five years, I think it has been a major theme in my meeting with the Progress Party in this work, while it has been a lot more difficult to hear a debate on the long-term measures. These things are connected. We may not see that at least in these days on the Horn of Africa, among other things. in Kenya, with the drought disaster there. Actually, it is a matter of repeated drought disasters, approximately. every seven-eight years, which requires emergency assistance. But one must also have a look at the causes. It is about distribution and governance, where each country has considerable ownership, but also about what we can contribute from society in terms of the lack of social structure development, infrastructure, etc. Can we expect the Progress Party not only to provide emergency aid again and again, but also to recognise the need to contribute to resolving the root cause?
ParlaMint-NO_2006-05-23.ana.ud1471e264	Yes, absolutely. We are being attacked for our policies. At the same time, it is not our policy that has been ruled, either in Norway or in the UN or in most donor countries – far from it. There is another policy that we are attacking, and it is the policy that has been shown to give the result that we see drought disasters year after year, with hunger as a result in the same country, of a lack of a good governance set. So when we challenge, we're being criticized for the results of the policy we're criticising. I can't quite see the context: that we are going to take responsibility for drought disasters in countries with poor governance, where the regimes have to take a significant responsibility for their own people now suffering from hunger.
ParlaMint-NO_2006-05-23.ana.ud1471e269	I too must commend Morten Höglund for many constructive contributions. But what clearly distinguishes us is the analysis that there are power conditions in the world that, among other things. This means that there is a great deal of injustice and poverty in many places and that there are strong collective arrangements that guarantee individual freedoms. One area I think it's exciting that the Progress Party has moved a lot on is the view of illegitimate debt. In that context, I would like to call for the view of the debt as a result of the shipping campaign. I would then challenge the Progress Party to see the link between the environmental effort in developing countries – it is an important area to save the earth for both the poor and the rich – and that, through environmental policy here in Norway, we can do something for the poor of the world. It's a fact that we're one of the countries that uses the most energy and emits a lot of CO2.
ParlaMint-NO_2006-05-23.ana.ud1471e281	In terms of debt and debt issues, it's a question that we've gradually become more and more concerned with, and that we've been busy for a while. For us, illegal debt is a very serious problem. I referred to in my post that we wished to welcome what was said by the Minister for Development, including the shipping import campaign. We look forward to the government coming back to Stortinget with this, and have nothing more to add. We are prepared to seek to solve the crowd that has arisen there, and we also believe that this is an area where we have a responsibility to be in the driver's seat internationally. In terms of the environment, we would like to connect it to energy and, in an energy policy cooperation with the outside world on a broad basis, we are looking to find the best solutions. I agree with a lot of the analysis that the representative Valle came with, and I do not have much more to add.
ParlaMint-NO_2006-05-23.ana.ud1471e288	The cord shift is over.
