ParlaMint-NO_2006-11-08.ana.ud1671e24	The called alternate of the Rogaland County, Siri A. Meling, has taken the seat.
ParlaMint-NO_2006-11-08.ana.ud1671e33	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President will propose Hans Frode Kielland Asmyhr. – Other proposals are not available, and Hans Frode Kielland Asmyhr is unanimously elected president of the Stortinget meeting today. The representative Ib Thomsen will present a proposal for a representative.
ParlaMint-NO_2006-11-08.ana.ud1671e40	On behalf of Per-Willy Amundsen, Åge Starheim and myself, I would like to promote a proposal for a representative on enhanced requirements for the independence of auditors in the municipal sector.
ParlaMint-NO_2006-11-08.ana.ud1671e45	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2006-11-08.ana.ud1671e69	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Åslaug Hagastatsråd Bjarne Håkon HanssenState Council Karita Bekkemelm The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Robert Eriksson. The president wants to ask the representatives who are advertised for follow-up questions, to move down to the sides here, so you save time when it's time to get to the pulpit.
ParlaMint-NO_2006-11-08.ana.ud1671e90	My question goes to the Minister of Labour and Inclusion. On repeated occasions, the government has promised to reduce poverty. Today, we have 246,000 minimum pensioners, who, according to the Pensioners' Association, have income below what is defined as the poverty line. There is little doubt that the economic everyday life and living conditions of many minimum pensioners are difficult. I have myself received a number of enquiries from the minimum pensioners who say that they have such a hard time financially that they do not have the opportunity to go to a dentist, pick up prescription medications at the pharmacy, eat dinner every day, buy Christmas presents for children and grandchildren or have some sort of distraction, such as coffee visits and holidays, as we others take for granted. The Progress Party believes that many of today's minimum pensioners live an unworthy life and have an unworthy economic everyday life. That is why we have proposed, on several occasions, inter alia: to increase the minimum pension. The Progress Party believes that the past efforts of pensioners in society must not be forgotten. Many may suggest that the government has just forgotten it. The government’s new proposals for pension reform will lead to a reduction in the minimum pension rate. It is also documented by Professor of Social Security at the University of Oslo Bjørgulf Claussen. Does the Council of State really think that it is worth the majority of the minimum pensioners living below the poverty line? And what will the Council of State do to prevent this?
ParlaMint-NO_2006-11-08.ana.ud1671e103	It is an important topic that the representative addresses. My answer must first of all go in the direction that the main act of the Government will be to make changes to the pension system in relation to the problem of the minimum pension trap, which I will be concerned with calling it. We can start the work to make sure that it disappears. The real dilemma of today’s pension system is that a lot of people have worked a lot, especially women – they may have started late in working life, they have worked a lot, but perhaps not full time. Then we see that today's pension system is designed to make you, however, the minimum pensioner, even if you have paid over the year for an additional pension in social security. The big, important move to do something about changing the pension system, so that in the future we will have a pension scheme in which to ensure that what I call the minimum pension traps will be liquidated. The government has recently provided a big message where we are just taking the steps that will prevent us from getting such a minimum pension trap in the future. The new popular peace model is about earning money from the first crown. All the earnings count. You get earned if you have absences from work related to care, and you get earned if you have absences from work related to protective duties. This means that if you are to become a minimum pensioner with the future pension system, you must not have worked one day, you must not have had any care tasks, and you must not have been in the military. Those who then become minimum pensioners, I think it's right to become minimum pensioners.
ParlaMint-NO_2006-11-08.ana.ud1671e112	I thank you for your answer. It is interesting when the Council of State mentions the new pension reform. As I said, Professor of Social Security, Bjørgulf Claussen recently stated that the new pension reform will lead to an increase in poverty. If the Government aims to reduce poverty, it cannot keep the minimum pensions as small as they are added up to, he says. He's also gone through and calculated this, and looked at different numbers. It is true that a good part of the reform will also have an impact on those who are the minimum pensioners today — the increase in the pension rate will be reduced by average wage and price increases in relation to the system today. If you take this into account, as the professor points out, a cut like that put up in the new reform will give you a pension of $91,000 based on today's value. That is, every minimum pensioner will be poor, no matter what definition you put on. Does the Council of State consider that there is a worthwhile income for the country's minimum pensioners?
ParlaMint-NO_2006-11-08.ana.ud1671e121	Firstly, it is interesting that there is a representative from the Progress Party who addresses this question. It will be exciting to see what eventually becomes the pension model of the Progress Party. So far, the Progress Party has put itself on a model that is about making everyone the minimum pensioner, so that the contribution of popular interest is such that everyone only gets a basic pension from the state, and then you have to take responsibility for supplementary pensions. To the extent that someone should feel struck by attacks from other parties, I have not perceived it differently than that the last party that should promote that criticism is the Progress Party. However, it is important to say that the pension reform is based on the assumption that a minimum pension should be regulated in line with wage developments. There is no index-based regulation of the minimum pension – i.e. a mix of pay and price – but the starting point for the regulation of the minimum pension should also be wage developments in the future.
ParlaMint-NO_2006-11-08.ana.ud1671e128	The President will accept four follow-up questions – first Martin Engeset.
ParlaMint-NO_2006-11-08.ana.ud1671e131	There are many things that may feel unreasonable to those who are pensioners, among other things. the fact that combining work and social security is very difficult and often very unprofitable. In addition, we know that the government is now making it considerably more expensive for employers to employ older workers, because there is a dramatic increase in the employer’s pay for them over 62 years. The labour supply is already the largest scarcity factor in the Norwegian economy. There is a urgent need for action that can have an effect quickly. Therefore, the Government will receive an excellent proposal from the Right. Today, those who have reached the age of 67 and who continue to have health and a desire to work are punished with a triple report until they reach the age of 70 – with top taxes, full social security contributions and, in addition, a curtailment of the pension. Therefore, the right will propose to liquidate this abbreviation for them between 67 and 70 years. It will make working more profitable, Norway will have more labour, and many older people will be able to use their skills for themselves and society — almost a Kinder Egg, three things at a time. Would the Government support this proposal?
ParlaMint-NO_2006-11-08.ana.ud1671e138	The right has been in government for four years and had the opportunity to promote this proposal, without having done so. Now I see in the newspapers that the Right in opposition is now planning to promote it. It is important for me to say that the Government wants to see all the proposals before it takes a position on them – so we will go through the proposal when it is promoted. This is an attempt to give a positive answer, in the sense that I will not here and now reject a proposal that has not yet been promoted in the Storting. We're going to go into it and look at the benefits and disadvantages. I believe that the Government and the Right in principle agree very much that we need to create a pension system with much greater flexibility. That is why I believe that the main thrust of the pension reform is that one in the future can combine work and retirement fully, with full flexibility.
ParlaMint-NO_2006-11-08.ana.ud1671e144	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2006-11-08.ana.ud1671e147	I think a lot of people are happy to hear that the government says to drop the minimum pension trap, as has been said by the Council of State in many ways. The jumping point is maybe what pensioners will be left with to the seventh and last-- the sum, not what we call the minimum pension, in case. For many, not least for pensioners, owning a home is a great asset, and what the boutet poisons are is of great importance to what you are left with at last. After all, the government has made sure that the tax on wealth is increasing sharply for pensioners. 63 pst. of the country's minimum pensioners actually pay taxes on wealth, and 20 pst. increase of two years means much too many. So my question is, will the government, and the council, work to ensure that the pensioners, especially the minimum pensioners, can also get out of that retirement trap?
ParlaMint-NO_2006-11-08.ana.ud1671e154	I could have gone into a debate about the wealth tax in many forums. But I want to reserve myself against going into that debate, because I believe that all the questions relating to the tax system and the tax policy must be asked to the Council of State responsible for it. I therefore do not choose to go into an argument for and against the property tax measures taken by the Government.
ParlaMint-NO_2006-11-08.ana.ud1671e159	André N. Skkelstad – for follow-up questions.
ParlaMint-NO_2006-11-08.ana.ud1671e162	We probably agree that today's pension system needs to be looked at, so that we also get fewer minimum pensioners, as the Council of State has been about. But I want to focus more on what is today's and not tomorrow's minimum pensioners. Today’s minimum pensioners now have in front of them a winter with increased electricity prices and have a housing tax that has increased for them in the same way. That's what's in many ways the point ahead. Is the Council willing to attend and look at a national pledge for today's minimum pensioners, as well as looking at tomorrow's minimum pensioners?
ParlaMint-NO_2006-11-08.ana.ud1671e167	As I just said, I find it difficult for someone who does not have that responsibility in the government to participate in a debate on the tax system. That question, I think, must be addressed to the Minister of Finance. Issues related to high housing costs are also the responsibility of another State Council, which is present here. But I want to say that we have an emergency group in the government related to monitoring the development of power prices. If they are to turn out to be as bad as many have predicted, we must take action to help people, not least those with poor advice, to deal with the situation that arises, so that people do not freeze in their homes. Otherwise, it’s – once again – interesting to hear that there’s now a violent commitment from previous government parties to a raise for the minimum pensioners. In that case, there is a new commitment that is expressed today.
ParlaMint-NO_2006-11-08.ana.ud1671e176	Kari Kjönnaas Kjos – to the last follow-up question.
ParlaMint-NO_2006-11-08.ana.ud1671e179	The pension model of the Progress Party would provide a significant boost to the minimum pensioners. It's also quite familiar to most people, I think, that the Progress Party has been a driver for increasing the minimum pension, and not least for removing the abbreviation between married and cohabiting minimum pensioners. Governments talk a lot about the new pension reform and the minimum pension trap, but it does not help today's minimum pensioners, who have difficulties. Many of them go to the social office to receive supplementary support, and they need housing support. I would ask the Council of State to say specifically whether he will be involved in increasing the minimum pension or removing the shortening between married and cohabitant on the next pension settlement.
ParlaMint-NO_2006-11-08.ana.ud1671e186	I first have to stress that as I have read the proposals from the representative of the Progress Party in the Pension Commission, and also the position of the Progress Party related to the handling of the Bondevik Government's pension message, it has been about a system that has a flat-rate pension for all. In my vocabulary one can then choose to formulate it in a different way, and that's that everyone should be the minimum pensioner. There is a dramatic difference between what the government is proposing, which is a system that is about giving supplementary pensions to all those who have had income. So one adds up to a system that stimulates work. That is why I think it is right for me to problem that the Progress Party, which is occupied by the minimum pensioners – that is to say, the party must have – is in principle in favour of a system in the future that will make everyone the minimum pensioner.
ParlaMint-NO_2006-11-08.ana.ud1671e191	The size goes to the next main question.
ParlaMint-NO_2006-11-08.ana.ud1671e194	Let me compliment Councillor Bjarne Håkon Hanssen on a well-being message that contains many good and sensible suggestions. Let me therefore stress that the present opposition in the Stortinget meets the Government with a completely different attitude from that expressed by Prime Minister Stoltenberg was the position of the previous opposition, namely to go against everything for the sake of sport. So now we can work together on a lot, and that makes a lot of sense in the message. It says, among other things: a very sensible way of communicating and meeting young social welfare recipients: with activation, with job search and with work training, in which we have good practical experience for real results, both for ethnic Nordics and for those whom we often call so beautiful our new countrymen, whom unfortunately there are too many of them both on social security and on various other forms of support. These tests include, inter alia: is provided for in the Labour and Welfare Administration Act, which opens up the possibility of carrying out so-called task differentiation attempts in municipalities. When Bjarne Håkon Hanssen was in opposition, he also participated in expressing strong support for this through Innst. S. No 198 for 2004-2005, where, inter alia: read: ‘This majority would stress the importance of such a framework agreement stimulating the testing of different cooperation models between the State body and the municipalities in view of the fact that the total instrument can be used in the most efficient way possible from the user’s point of view.’ But now the government's warning is that these attempts should be stopped when the period is over. Before the new NAV office is in place, for example: several parts of Oslo, as well as being well described in today's edition of the Newspaper, stop the trials. My question is, why stop something that works well, and works in line with the welfare message?
ParlaMint-NO_2006-11-08.ana.ud1671e209	It is an important question that the representative Foss is now addressing. First, I want – there is a limited time here – to start by answering that we agree that we should implement a NAV reform. The NAV reform is about both government and municipal authorities investing all their resources in a single office. Those who work in the office, regardless of whether they can delegate between themselves and freely dispose of these measures, with one exception, and there is a lasting disability. A person who has previously worked in the social office may in the future have the full opportunity to provide measures that are originally linked to the old Aetat. Where the money comes from, in the future it will be irrelevant, in the sense that it will be the community located in the NAV Office, which will decide what kind of action the individual user should have. And it's the user's needs that determine measures, not what kind of income insurance they have, and where the resources originally come from, whether they come from the state or from the municipality. So I hope that Foss and I agree that once we have rolled out the NAV reform, the debate on task differentiation becomes a little old-fashioned, in the sense that if the money comes directly from NAV to the NAV office, or from NAV via the municipality to the NAV office, it is not important. Then I agree with Per-Kristian Foss that there are some exciting attempts in Oslo – from which the whole NAV reform has taken a lot of inspiration – which is such that they are likely to be closed before the city section in question gets a NAV office. I have had a meeting with City Councillor Erling Lae, where I have said that if there are any urban areas that are in such an experimental situation and are likely to terminate the experiment before they get the NAV office, I am willing to look at it.
ParlaMint-NO_2006-11-08.ana.ud1671e218	I thank you for the answer, because I perceive this, despite a long introduction, as an outstretched hand, so that the urban areas that are now running trials on which there is a broad political consensus locally – no parties have opposed it – will continue the period until the NAV office is established. I understood the answer this way. So they have been notified of a halt in the trials at the end of 2007, or at the end of 2008 – there are a little different periods of time for the trials – but I now perceive the signal of the Council of State as different. I also see it as different from what is in the state budget. This is due to a change in policy. Because I agree with what the Council of State said, namely that these attempts locally have been the pattern of the NAV reform in many ways. This is how it should work: active, close follow-up and close contacts between what was previously a social office and is now part of the NAV Office, which is active in dissemination, qualification programmes, etc. So I see it as a concession that the tests can be passed on to a new NAV office.
ParlaMint-NO_2006-11-08.ana.ud1671e225	I'll try to be precise, because this is important. I have told Mayor Erling Lae that if there are attempts in urban areas in Oslo that will be completed before the same district has possibly received the NAV office, I am willing, on the initiative of the Municipality of Oslo, to look into continuing the experiment in the relevant districts. Initially, I am very positive about this, because I see that it is important that we do not get a stop during the trial period and then we should start again when the NAV office is in place. But then I think it's important to stress that as far as I know, subject to doubt, it's not 100 pst. identify the urban areas of Oslo that will have NAV offices in 2007. If Oslo has now decided, we can already respond to enquiries from the Municipality of Oslo. If it has not yet been decided, we will have to decide when it is decided.
ParlaMint-NO_2006-11-08.ana.ud1671e232	There will be three follow-up questions – first Robert Eriksson.
ParlaMint-NO_2006-11-08.ana.ud1671e235	The government has said on several occasions that the most important thing about NAV was to get more people to work and fewer to work. At the same time, it has also been seen in the welfare communication that time is needed to get qualified social welfare beneficiaries to go out to work. As Foss points out, there are some places in Oslo where one has tried, and in the cases has also tried very positively. Social assistance recipients have been given back and forth to work. Can the Council of State guarantee that the ongoing trials will continue? And will the Council consider extending this pilot scheme, when it is as successful as it is, and when it reaches the goal of getting these social welfare beneficiaries into work?
ParlaMint-NO_2006-11-08.ana.ud1671e242	As far as I know, the cases are one of the districts that have established the NAV office. There are two urban areas in Oslo that set up the NAV office this year. The cases are as far as I remember one of those neighborhoods. There we are in the situation that you have a community, consisting of those who worked in Aetat before, and those who worked in the Social Security and Social Security Office. It is then possible to place all these resources in the NAV-Reform in the NAV-Office. So with the kind of experience you gained from the project on the Sagens – which I know very well, and which I think has inspired both myself and former government councils with my responsibility – it can be completely possible within the NAV reform not to run an experiment, but to run the business that has happened on the Sagens, as a permanent arrangement. But that means that the municipality of Oslo will also add the delegation opportunities that lie within the NAV system.
ParlaMint-NO_2006-11-08.ana.ud1671e247	Dagfinn Højbråten – for follow-up questions.
ParlaMint-NO_2006-11-08.ana.ud1671e250	I would like to compliment the Council of State on the offensive way in which he continues the reform of labour and welfare management, both in terms of the organisation that we are now talking about, and in terms of all the arrangements that need to be coordinated and directed much more towards getting people from passiveness into work or other activity. What is my concern about this reform is that some of the purpose was to tear down the walls between the employment offices, social security offices and social security offices, and to make sure that the focus is on the individual person and not on the systems. I think that I see a lot of leads when I'm out traveling, that a person organizes the business very after old shots, that's NAV/work. We also see that the municipalities, which are a very important partner here, are somewhat lagging behind in this major cultural change process. How does the Council of State assess the potential for success in the significant cultural change he has launched?
ParlaMint-NO_2006-11-08.ana.ud1671e257	Yes, the Højbråt points here to the core of the NAV challenge. I believe that we are doing a great deal in common, both in position and in opposition, to facilitate. But the moment of truth is what happens out there. What is really affected by the two previous questions as well is getting to this NAV office where one gets to tear the walls. It's a little about changing the people's rights law and stuff like that, but it's also about making an agreement between the state and the municipality in each municipality. At that time, not least the local municipality must also be prepared to grant a wide range of powers in its budget and its system to the NAV Office, and the State must do so in the same way. I've told the state we're going to give authority and delegate. But it is clear that we can experience that many municipalities are skeptical, and then I think we are going to have to get to some good offices that work properly, so that we can gradually adjust cooperation agreements that may not work well enough.
ParlaMint-NO_2006-11-08.ana.ud1671e262	Odd Einar Dørum – for follow-up questions.
ParlaMint-NO_2006-11-08.ana.ud1671e265	It's a time for battle and a time for praise. I would like to say to the Council of State that on the left, we are pleased that the Council of State has raised the idea of welfare contracts, in order to have dignity and respect in its life, through the NAV reform. We call it a citizen's salary, some call it guaranteed minimum income. But we meet in dignity. Then, as a representative of the City of Oslo, I would like to say that I am pleased that we have a council of states that is now actually going to have a dialogue with the city's management, as it turned out in the reply to the representative Foss, and not try to act as an extra municipal government for Oslo, even if you don't necessarily agree with the policy being pursued in the city. That line has previously been expressed by the Council of State in an inter-pelling debate where I took up integration policy, and the Council of State is continuing it. It's a line we're basically on often in Norway, because when we can find the arenas for community, we're building something that's important together. And when we have a fight, we have room for that. Building the cultural change that the Council of State is now talking about in the case of NAV, that is, not just tearing down the walls, but mentally filling in the image between the senses, it's a difficult cultural job. I'd like to hear the council talk more about it, because it was exciting when he started talking about it instead.
ParlaMint-NO_2006-11-08.ana.ud1671e275	Thank you for your words. I must admit to remembering a past on the opposite pulpit where I wasn't always as good at it. That's why I notice it when it comes. What is our challenge is that we should build a new NAV culture that is not based on the culture that was in the old social security system, not on the old culture that was in Aetat, nor on the culture that was in the old social services. Now we have to build the new common NAV culture. I think the Højbrätt said well when he said that there is a culture that should be less concerned with rules and arrangements and more concerned with the user's needs, where the case handlers literally have to get their noses up from the rulebook and their eyes up on the user. Then we have to dry down to give them flexibility, dry to relieve the rules so that they can tailor the packages that the user needs, that is to say, build down the rules for the benefit of the user perspective. It's easy to say, but it's hard to do, but we're going to try everything we can.
ParlaMint-NO_2006-11-08.ana.ud1671e282	The size goes to the next main question.
ParlaMint-NO_2006-11-08.ana.ud1671e285	I also have a question for the Minister of Labour and Inclusion. The Christian People's Party is concerned that children should not grow up in asylum recipients. The Storting said in June that we should have a new legislation specialising in the care of children, which focuses on children's living time and ties with the kingdom. Furthermore, the majority said that we should not coerce any children who could be expected to receive new treatment under the new rules. This clarified the Council of State in the autumn in a separate press release; no children are to be sent out pending a new legislation specialising in the treatment of children. Nevertheless, last week we experienced that two small boys were sent from Stokmarknes to Kosovo. Fortunately, the foreign authorities changed the decision the same day, so the case ended well, and the boys were sent back to Stokmarknes. This thing ended well. They'll have a new assessment. Can the Council of State guarantee that no more children will experience forced dispatch now before the new rules are in place? And then the boys were picked up and were to be sent out of the country in the middle of the night. Can a really treat a child like that? What will the Council of State do with the way in which two minors are treated, or does the Council of State think that we should continue to risk having such a course of action?
