Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e49	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SHK	Horne, Solveig	F	1969	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e62	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e78	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e85	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.IHE	Heggø, Ingrid	F	1961	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e111	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SHK	Horne, Solveig	F	1969	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e130	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ADA	Dahl, André Oktay	M	1975	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e144	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e151	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.THB	Breen, Thomas	M	1972	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e164	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.KNUS	Storberget, Knut	M	1964	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e175	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SMY	Myrli, Sverre	M	1971	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e190	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ADA	Dahl, André Oktay	M	1975	
