ParlaMint-NO_2006-06-07.ana.ud1744e57	The representative of Ola T. Loan will make a private proposal.
ParlaMint-NO_2006-06-07.ana.ud1744e60	On behalf of the representatives of Line Henriette Holten Hemdal, Ingebrigt S. Sørfonn and myself, I would like to propose the construction of a new, modern and functional clinic building for farmed animals at the Norwegian veterinary college, NVH, or alternatively the co-location of NVH with the University of Environmental and Bioscience at Ås.
ParlaMint-NO_2006-06-07.ana.ud1744e65	The representative of Ketil Solvik-Olsen will make a private proposal.
ParlaMint-NO_2006-06-07.ana.ud1744e68	On behalf of the representatives of Tord Lien, Torbjørn Andersen, Kenneth Svendsen, Jan Arild Ellingsen and myself, I would like to make proposals on impact assessment and referendum on the protection of tissues.
ParlaMint-NO_2006-06-07.ana.ud1744e73	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2006-06-07.ana.ud1744e87	At the request of the Transport and Communications Committee, the President will propose that speaking time be limited to 5 minutes to each party. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2006-06-07.ana.ud1744e96	The proponents of the Progress Party propose that the Government consider proposing the introduction of a subsidy scheme for the establishment of road safety halls in Norway. Let it be said immediately that the current government prioritises effective road safety work very high and continuously assesses the possibility of introducing new and effective road safety measures. When it comes to bringing down the accident figures, it's important to look at a lot of things in context, and nothing has to be out of the question. However, targeting efforts is also important. As regards the relevant road safety hall in Rogaland, the experience with it will be evaluated. We in the Stortinget should await the evaluation report before one now starts something that costs the driver's training for the individual. It is not acceptable for young licence applicants to bear a significant additional cost if the operating costs are not covered by the other activity in the hall. It can then be assessed how such halls can be used, how they can be financed, and also how many such halls may be needed in Norway. These are important issues, which need to be clarified before we can enter into a State grant scheme for the establishment of road safety halls. However, it is worth noting that some measures of the kind referred to by the proposers have been considered interesting by the State Road Service. The road authorities have participated in the establishment of, inter alia: the Rogaland Road Safety Hall. The State has also participated in the establishment of a smooth and smooth runway in Våler in Hedmark. The latter is an important training measure and is in use throughout the year. The conclusion is that once the road safety hall in Rogaland has been evaluated, we will be better equipped to say something about the effects such halls have on road safety. It is important to use the means of road safety for effective action. That's how we get the most traffic safety for the money spent, and that should be interesting in every batch in this room. Furthermore, the conclusion is that this Document No. The 8th proposal should be annexed to the minutes.
ParlaMint-NO_2006-06-07.ana.ud1744e117	I think it is positive that the Council of State is in favour of Document No. The 8th proposal. Even if you do not choose to introduce a new system now, you are at least positive about taking a look at this. You can also see the very positive effects of the hall that is in Rogaland. I also think it is important to evaluate the road safety hall that is already running. But I know that there are many other places in the country where this can be very interesting, how many think that such a way of organising road safety work is exciting and innovative. It's important to get this into an environment where you have a totality and a whole. You can choose to focus on different groups of people. Both children who are in kindergarten or in school, and the business community is now very interested in that kind of hall. For them, this is love. They want this to come. I want to say a little bit about the road safety hall in Rogaland, so people will get a glimpse of what this is all about. It's like having different types of activities around the hall. It could be to see the effect of having a case of noise standing in the car, see what speed and what weight it gets when it spreads into the car in the event of a possible collision, etc. You also have a roll-over carpet, so you can sit in a car and experience rolling in traffic. You have a room, or a booth, a memory space, where you get time to think about, where you have a car where someone has lost their lives in traffic. The feedback I have received from the road safety hall and those who run it in Rogaland shows that it makes a strong impression both on young people and on older people who get there. It gives room for reflection, which we think is important. It also makes this hall very special and very positive in road safety work. As I said, the hall is very popular. Kindergartens use it actively. They don't pay anything to be in the hall. The kindergartens in the area use the hall very actively in their road safety work to teach children how to behave and move in traffic. The same is true of school. Of course, it's business that's the big contributor to this hall. They use it in the work of their employees, to try to ensure that you do not lose employees who are at work, in the traffic or in the leisure, of course. That's why we think this is an exciting offer, especially when there are other states that want this. Not least organisations are active on this front and want to establish this type of action. I fully agree with the Council of State that it is important to look at the economic aspect around this. We believe that what the State should contribute to is a short-term grant, i.e. a one-off grant and not a permanent operating cost. That's what you think you can do. It is not that there will be increased costs for those taking driving training. You've managed to avoid that in Rogaland. It's the ATL, the traffic schools in Rogaland, which are joint owners, who actively use it in their training without costing the students any more. I think it is important to bear in mind that this should not cost those who take driving training, anything more. This is getting things into a context. You get an environment where you get the sense of realism in a completely different way than you get when you drive around and you just have parts of it with you. If you put it up in a school or kindergarten, you don't get the same effect you get by having a hall, where you have the whole environment and can have both the overall perspective and perspective of the individual parts. We support the proposal for a decision. We think it is positive that the Council of State in its letter is positive, and that the Directorate of Road is positive to these types of halls, but that one also wants to have the system evaluated. So maybe we were a little early out. At least I think these are exciting measures. I hope the Council of State will continue to work on this, and that she will ensure that, in cooperation with organisations and counties, traffic safety halls will be established in the future.
ParlaMint-NO_2006-06-07.ana.ud1744e134	The main objective of the Christian People's Party with transport policy is to develop a safe, environmentally friendly and efficient transport system. The Christian People's Party's vision is that no one should be killed or seriously injured in traffic. We therefore give priority to measures that increase road safety. Traffic safety must always be of the highest priority. It is important that we have a wide and targeted training provision, so that the emerging generations — and we who may need some refresher training and refresher — understand the importance of safety work in traffic. An example for follow-up, said our previous transport minister, Torild Skogsholm, when she opened the road safety hall at Forus outside Stavanger in the summer of 2004. Today, the hall is largely used by the driving schools in Rogaland. In addition, significant interest is reported from enterprises that want their employees to have the health, environmental and safety experience that a course in the road safety hall can offer drivers of both small and large vehicles. There seems to be little doubt that the road safety hall in Rogaland has been a great success and an inspiration for many. We have recorded that Rogaland's research is to evaluate the experience with the hall and that the report from there is to be available in the autumn. Hopefully that report will provide a good basis for assessing whether more halls should be built, how many halls may be needed and how they should be financed. In this context, it is important to clarify that the economic impact that the establishment of road safety halls could have on possible increased costs of driving training should be taken into account. The Christian People's Party agrees that the operation of the road safety halls should not be an additional cost for driving school students. In its letter to the Committee, the Council of State also warns that the Road Directorate should assess the need to establish a general subsidy scheme for local road safety measures. It is positive if we can put in place a system that facilitates the full exploitation of all good ideas and initiatives in road safety that appear around the country. Finally, we note, at least, that the Stortinget can today unite in a broad political consensus that work to increase road safety will continue to be a high priority.
ParlaMint-NO_2006-06-07.ana.ud1744e153	In the national transport plan, road safety is one of the five main points of transport policy. I believe that all measures that can lead to increased safety and to fewer damage and killings in traffic need serious consideration and great attention. The Rogaland Road Safety Hall, which opened in 2004, is thus very interesting. I have to say that I was impressed when I went into the Internet and saw what kind of offer is given here. One of the measures of the course is that the students themselves should know how an accident feels. I think it is important that arriving drivers notice how frightening a car accident can be, and strong tools to develop that feeling are often necessary – unfortunately, one can say – if not for everyone, too many! The government is busy with a continuous assessment of the feasibility of implementing new and effective road safety measures. The Central Party will provide support to the Council of State, which, by letter of 29 March 2006, claims that the Ministry will await the evaluation report of Rogaland’s research into the Rogaland Road Safety Hall before taking a position on whether to build several such halls around the country. It is also positive that the Minister of Transport, in the same letter, states that the Department will ask the Directorate of Road to assess current practices for the addition of local road safety measures and the need to establish a more general and uniform system of supplements for local road safety measures. I expect that the Council of State will inform the Council of the evaluation report of Rogaland research when it is in its possession.
ParlaMint-NO_2006-06-07.ana.ud1744e166	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 2565]]
