Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e26	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e69	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e72	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.GJH	Hagesæter, Gjermund	M	1960	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e77	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e91	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.STEG	Gullvåg, Steinar	M	1946	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e119	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e122	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OYK	Korsberg, Øyvind	M	1960	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e131	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e134	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PETL	Løvik, Petter	M	1949	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e143	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.HPED	Pedersen, Helga	F	1973	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e177	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e180	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PETL	Løvik, Petter	M	1949	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e185	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.HPED	Pedersen, Helga	F	1973	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e190	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e194	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.IVK	Kristiansen, Ivar	M	1956	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e211	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-01-12	ParlaMint-NO_2006-01-12.ana.ud152e249	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-01-12	2006-01-12	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-01-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
