ParlaMint-NO_2006-03-29.ana.ud2478e24	The called alternate of the Aust-Agder County, Kjell Ingolf Ropstad, has taken the seat.
ParlaMint-NO_2006-03-29.ana.ud2478e33	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President will propose Per Ove Width. – Other proposals are not available, and Per Ove Width is unanimously elected as chairman of the Stortinget meeting today. The representative, Jan Tore Sanner, will make a private proposal.
ParlaMint-NO_2006-03-29.ana.ud2478e42	On behalf of the big business representatives Ulf Leirstein, Hans Olav Syversen, Lars Sponheim and myself, I would like to propose the establishment of a simplified regulatory framework for small limited liability companies.
ParlaMint-NO_2006-03-29.ana.ud2478e47	The representative, Robert Eriksson, will make a private proposal.
ParlaMint-NO_2006-03-29.ana.ud2478e50	On behalf of the representatives of Kenneth Svendsen, Kari Kjønaas Kjos, Siv Jensen, Harald T. Nesvik and myself, I would like to make proposals to reward those who wish to contribute their labour force after the age of 67, so that the pension earned is not cut off against labour income.
ParlaMint-NO_2006-03-29.ana.ud2478e55	The representative Borghild Tende will make a private proposal.
ParlaMint-NO_2006-03-29.ana.ud2478e58	On behalf of the representatives of Lars Sponheim, Gunnar Kvassheim and myself, I have the honour to make proposals to exempt bioethanol, biogasoline, to fuel targets for charges similar to biodiesel.
ParlaMint-NO_2006-03-29.ana.ud2478e64	The representative of Torbjørn Hansen will make a private proposal.
ParlaMint-NO_2006-03-29.ana.ud2478e67	I would like to make proposals on behalf of the big business representatives Jan Tore Sanner, Petter Løvik, Bent Höie and myself on rules that ensure a level playing field between public and private companies.
ParlaMint-NO_2006-03-29.ana.ud2478e72	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2006-03-29.ana.ud2478e96	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: City Council Åslaug HagaState Council Sylvia BrustadState Council Helga Pedersen The announced members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative of Inge Wohnning.
ParlaMint-NO_2006-03-29.ana.ud2478e115	In the newspaper just a week ago, Minister of Health Sylvia Brustad said that she was upset about the care of the elderly in the municipality of Oslo. She also states that she is provoked that Carl I. Hagen denies the political responsibility for the situation in Oslo. In the state council's own home state of Hedmark, the Health Authority has found a number of serious deficiencies in the care and care service. I'll be careful with one example. A report on the supervision of the Labour Party controlled municipality of Elverum states that there is no system in place to ensure that the basic needs of the users are met. Persons entitled to a health care centre are unduly refused because of a lack of capacity. Some users are not allowed to meet their demands for a normal daily rhythm and social contact. The local authority does not have procedures for cooperation with the local authority on patients. The Norwegian Pensioners’ Association in Hedmark County has just submitted a brand fresh report, in which 830 relatives at 40 hospitals in the county have given their assessment of the health home offer. The report provides a number of scare examples from the relatives, including: points out that older people only get a shower every fourteen days. In a 2006 report, the Health Inspectorate pointed out that the offer to individual users is so poor that it has to be characterised as irresponsible. Does this mean that the Council of State takes the time to be upset by the serious deficiencies that her own supervisory authority has revealed in the care of the elderly in worker party-driven municipalities?
ParlaMint-NO_2006-03-29.ana.ud2478e128	I can assure the representative that I am equally upset by obvious shortcomings in the care of the elderly or others who need care, whether it is directed by one party or another. I take most seriously what the Health Authority has pointed out in the examples that have been referred to, but unfortunately there are many more examples. However, I would like to say that it is consistently so that we have good care in our country, but unfortunately there are too many examples of the opposite. There's something called attack is the best defense. I understand why Wage chooses the angle of incidence he does, because wages belong to the Right, which, together with the Advance Party, has run Oslo for many years. There are many examples in this city of what I think is too poor care for the elderly. With regard to the specific case referred to here, which the Newspaper has focused on lately, there are too many, including in this city, who are getting too poor services compared to what they should have. When it's so that people can't go, almost can't lift their arms, are almost blind and deaf, they actually deserve room in the nursing home and help from the public. When the opposite is the case, I think it's critical. I also believe that either one belongs to one or the other party – in this case it was the Progress Party it was going on – one must actually take responsibility for the policy pursued in the municipality of which one governs, and not owe it to the system, as Carl I. Hagen did in this case. Because it is a fact that Oslo has been run, among other things. by the Progress Party since 1997, and it is also the Progress Party which has the City Councils in this area.
ParlaMint-NO_2006-03-29.ana.ud2478e141	I'm a little in doubt if there's any reason to thank the Council of State for the answer, because there was really no answer. Instead, it was a repetition of the occasions when the Council of State never fails to throw itself at arbitrary and misleading media postings, while she sees no reason to follow up serious reports from her own professional body, for which she herself is responsible the Council of State. I find that difficult to reconcile with the role of the Council of State. It is well compatible with the role of party politicians, but it is difficult to reconcile with the role of the Council of State. The Minister of Health and Welfare in Norway has the overall responsibility for all that is happening in the care and care sector, and is like the conductor of an orchestra, where many are going to play. It doesn't create a good mood in Kommune-Norway, I think, if the Council of State will continue to hang on to random media games where it fits party policy purposes, while she doesn't follow up her responsibilities as the Council of State.
ParlaMint-NO_2006-03-29.ana.ud2478e150	There are rather dry claims that come here from the representative Wage. I just have to say that wages cannot possibly know what I am doing in my daily work, both day and night, in terms of this important sector. I will immediately reject the claim that I do not seriously follow up on the reports from the State Health Authority. That's the opposite that's the case. I spend a lot of my working time trying to correct many of the shortcomings that are in several municipalities, whether they are managed by one or the other party – just let it be clear. And it's not random, or so I just rely on what's being said in the media; we strongly support what's coming from our health services. This government is taking this very seriously. One reason that there has been too poor an offer to the elderly and the sick in this country is that there has been a long-term starvation of the municipalities. In fact, the representative of the Party of Wages must also bear responsibility for that, a party that has just had representatives in government, only five months ago. That is why we have already started a step up towards the municipalities, so that they are better able to do an even better job for the elderly and others who need care and care. That's absolutely necessary.
ParlaMint-NO_2006-03-29.ana.ud2478e159	The President will allow four follow-up questions on this issue, which is essential – first Vigdis Giltun.
ParlaMint-NO_2006-03-29.ana.ud2478e162	I would like to ask Sylvia Brustad a follow-up question. There has been strong criticism of Oslo and the care of the elderly there, but unfortunately this also applies to a lot of other municipalities, not least in Eastfold, where all the cities are run by the workers' party. So it doesn't help much to blame one municipality or another. We see that the municipalities have not followed up the intention of 25 pst. the level of coverage in the case of institutions or day-old care homes, and there is also too little provision for residents. When taxes on property are to be introduced or increased, the elderly are used – they are pushed ahead, and cuts in the care of the elderly are threatened. This is unworthy. It's about how care for the elderly is financed. How will the Council of State ensure that older people receive a good and equivalent offer throughout the country with the current form of funding?
ParlaMint-NO_2006-03-29.ana.ud2478e175	We had a meeting last night between all the political parties in my office. I think that was a very positive meeting. The party of progress was also represented. We agreed that care for the elderly is too important a policy area for us to be able to operate with too much party political tactics. There are some areas of old age policy that we disagree on, but I think it's very much that we can also agree on, for the benefit of the elderly. I think there was a lot of constructive input in the meeting we had yesterday, which we are going to follow up on the matter we are going to present to the Stortinget in June. That's how we have to do a lot in many areas. The most important thing now is to make sure that we get a better quality of the services we offer to our elderly people, whether they live at home, in nursing homes or in nursing homes. Then it's also absolutely essential that we manage to get more employees who have enough time to take care of those who need help, time for what they actually need help for. It is therefore this government's clear objective that, during this four-year period, we should have 10,000 more annual works into this important sector.
ParlaMint-NO_2006-03-29.ana.ud2478e183	Dagfinn Højbråten – for follow-up questions.
ParlaMint-NO_2006-03-29.ana.ud2478e186	We have a successful commitment to the development of nursing homes and homes. We have a lot of unmet needs ahead of us, and we have a challenge in getting more quality into the care of the elderly, more doctors, nurses and caregivers who understand the diseases of the elderly and who can provide even better care. We need to bet more on relieving treatment. I think there is reason to give the Council of State credit for the initiative she has taken in cross-political cooperation on an older reform II, as the Christian People's Party has asked. At the same time, it would be useful for that process if we avoided the kind of party political games that we've had in progress here today. I think the process is worth it. My question to the Council of State is whether she, when she comes with this older reform II to the Stortinget, will come up with an obliging plan of money, or whether she will make enough investigation. It is, of course, the question that I would strongly recommend that a binding action plan be drawn up in relation to the challenges I have mentioned.
