ParlaMint-NO_2006-05-30.ana.ud2641e38	The representative of Mr Sonja Irene Sjøli will make a private proposal.
ParlaMint-NO_2006-05-30.ana.ud2641e41	On behalf of the representatives of Inge Wohnning, Trond Helleland and myself, I would like to make a proposal to authorise medical cars to drive in collective fields.
ParlaMint-NO_2006-05-30.ana.ud2641e46	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2006-05-30.ana.ud2641e60	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after the intervention of the Council of State within the allocated speaking time. Furthermore, it is proposed that those on the list of speakers, in addition to the allocated speaking time, should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2006-05-30.ana.ud2641e69	The matter we are dealing with today concerns one of the animals in Norwegian nature that are most threatened by extinction. It's about wolves. Today we have two breeding flocks of wolf in Norway. The goal is for us to be able to get up in three breeding flocks. The Party for Progress has presented a Document No. 8 proposals requiring the inclusion of some of the cross-border flocks in the stock target for wolves. The majority of the Committee, all other than the Advance Party, set out the ground for the 2004 Stortingen on predatory policies. So it's only been two years since the Storting had a broad review of predatory policy. Based on the stocking targets set by the Stortinget in 2004, Norway shall contribute to viable populations of wolves, bears, yorks, gloats and king eagles, and work actively on anti-conflict measures. Population figures shall be able to be assessed based on the effect on grazing, grazing animals and the quality of life of people in areas with a high level of predators. There is a broad majority in favour of rejecting the proposal of the Progress Party. However, I would like to comment on some of the other points mentioned in this matter, especially relating to the comments submitted on behalf of the Right and Christian People's Party. Let me first take the comment from the Right and Christian People's Party, where it is assumed that border forces have increased sharply in recent years. That doesn't lead to correctness. When the predator agreement was concluded two years ago, there were three border flocks of wolves. Today it's two. So that's not the right thing to think about, that the assumptions have changed. The Right Party and the Christian People's Party write that today the border groups are outside national administration. Of course that's not right. A concreteisation was made by the Bondevik II government in March 2005, to which the broad majority joined, which requires that decisions on killing affecting family groups or re-marking pairs of wolves where parts of the territory are located in Sweden, be taken after contact with the Swedish authorities. In this case, there is reason to stress that the Norwegian game law applies on the Norwegian side of the border. This implies that border groups will also be managed by the Norwegian authorities in the future in the event of damage or risk of damage on the Norwegian side of the border. Since these are issues relating to neighbouring countries, the management of border flocks shall be governed by regulations to the central authorities and not to the surveyors. In the comment from the Right and Christian People's Party, it has also been suggested that two years ago, the settlement extended the living space for wolves in Norway. That's not right, and I'm surprised you can write it. The proposal of the Bondevik II government was a management area for the wolf of 17 706 km2. The final administrative area following the agreement in Stortinget was 16 616 km2. So it was reduced by 90 km2 and it's less than the Bondevik II initially. Here, too, I am surprised that the Right Party and the Christian People's Party are breaking up with what was at that time the carnivorous settlement. With regard to what is at the heart of the proposal of the Progress Party, including some border wolf flocks in the stock target, it is quite clear in the predator agreement that you do not want to. Bondevik II was also in its clarification in the regulation of 18 March 2005 and later in the discussion in Stortinget of a Document No. Eight proposals in spring 2005 are quite clear that it should not be. On this basis, a broad majority rejects the proposal of the Progress Party. I recommend the Committee's attitude.
ParlaMint-NO_2006-05-30.ana.ud2641e99	Norway has a responsibility to manage nature, and conservation of biodiversity is a major challenge. We have the Berne Convention to deal with, and therefore there is no question of whether we should have predators in Norwegian nature, but of how we should manage it, and how the administration should take place. The last report of predators was dealt with in Stortinget in the spring of 2004. There was a broad agreement between the Workers' Party, the Right, the Socialist Left Party and the Christian People's Party. This agreement has been addressed by the Red-Green Government through the Soria Moria Declaration and will follow up at all levels. Norway shall have viable populations of wolf, bear, gloupe, yerv and king eagle, and work actively on mitigation measures. The latter is particularly important, because some communities experience fear, and fear of predators is something we should take seriously. I do not think we can completely avoid conflicts; there is no country with predatory populations, but we can mitigate the conflicts and improve the quality of life for people. Document No The 8th proposal from the Progress Party is limited to dealing with frontier wolves. If the border wolf is half the time on the Norwegian side, the Progress Party considers that it should be included in the stock target of three annual juveniles. If this says the agreement in the Inner East. S. No 174 for 2003-2004 that the border groups ‘must be managed in cooperation with Sweden and cannot be included in a Norwegian target’. This cannot be understood in any other way than not including the wolf's cross-border flocks in the wolf's stock register in Norway. When the agreement was concluded, there were three young people in the border area. Today it's two. This can be seen from the information contained in the letters of reply from the Council of State, which refers to studies conducted by the College of Hedmark. It's amazing that both the Right Party and the Christian People's Party, from my point of view, are already coming out of the 2004 conciliation. That the stock of wolves in Sweden has increased cannot be denied, but no more than was expected when the settlement was concluded and the case was adopted. It's really just claims when the Right Party and the Christian People's Party believe that an increasing number in Sweden will give larger flocks on the border. So it hasn't happened, according to what the Hedmark College says -- with today's two young people. I believe that remarks based on assumptions and assertions should not really be the subject of any debate; at least it creates conflicts. To propose that the Government should come back to the Storting with proposals for measures if the stock of predators is larger than at the time of adoption in 2004, says everything about the breach of the Right and Christian People's Party has now done to the settlement. This is a new policy. They point out that the situation is different from the settlement. So it's not. Now no one knows what predatory policies these two parties have. But the left is at the agreed settlement. The centre party was not involved in the agreement in 2004, but will nevertheless follow current practices in predatory policies. The red-greens are gathered behind the Soria Moria Declaration, and it is the current predatory policy today. I expect the government to follow closely the development of the border groups of wolves, which is particularly important if the border population increases significantly. The majority have said that account should be taken of the fact that the total pressure on predators should not increase in the regions where there is a lot of time already, rather the number should decrease. Robbery policy is not problem-free, we should not hide it, but I take it as a matter of course that when predatory wildlife subjects complete the management plans for the different regions, to which the revised national budget has allocated money, and get the full overview, 2006 will be an exceptional year with regard to the prohibition of grazing on land by some farmers.
ParlaMint-NO_2006-05-30.ana.ud2641e125	First of all, I would like to say that I refuse to believe that the majority of the Storting may have seen the special situation that has now arisen at the inception of the 2004 predatory settlement. The decision at the time involved a wolf zone whose prevalence extends over large parts of Eastfold and Akershus – and paradoxically also Nordmarka in Oslo. In addition to these areas, the wolf zone consists of a stripe east of Hedmark. Within this zone, the majority considered that there should be at least three breeding wolf flocks before allowing local predators to take over the management and stock management of wolves. This winter there have bred four flocks within this zone. All of these four flocks have in common that they have most of their territory and spend most of their time in Norway. But since two of the breeding flocks are in Sweden now and then, they are not included in the stock target. As a result, there are 41 wolves in Norway. So you might think it is little or much, but when 31 of these are in a few municipalities in Hedmark, yes, then there is a problem, a problem that, in my opinion, could not have been the intention of the 2004 Robbery Agreement. The result of the policy that the majority wants to pursue is, among other things: that because so many hunting dogs are lost to wolves in Eastfold, hunting with a dog is an extinct form of hunting in the county. However, more serious is what happened in the nations on Friday 26 May: Sauebonde Kåre Kleiva and two of his colleagues in Elverum have received notice of grazing. It is precisely grazing and/or massive losses to predators that are the most serious consequence of this policy the majority wants to lead. You can't get past that. It's about denying people the right to practice a profession that's been practiced for centuries. So there are more wolves in Norway that are not part of the Norwegian population target than those that are part of the population target. An overwhelming part of this Norwegian and Norwegian-Swedish wolf tribe has established itself in a small area around Elverum. Then I wish I could say that at least it won't get worse. But it will be. All the time our Norwegian wolf zone along the Swedish border and the Swedish wolf tribe is constantly growing, against 300 individuals, this problem will only increase. We have to deal with that with the decision that is being made today. I refer to the debate in the media which has shown to some extent that some parties have stated that they are bound by the Soria Moria Declaration, and that is why they are not going to vote in favour of the proposal today. Then I would like to refer just to the statement by Soria Moria, which says: ‘The quality of life of people living in predatory areas shall be able to assess stock numbers.’;» [[...]] Who is best able to assess what conditions threaten the quality of life of people in Hedmark and in Eastfold? I think it's the Eastern folds and the Heathmarks. The majority believe that it is the Ministry of the Environment and the Directorate of Nature Management that are best placed to make such decisions. I believe that large parts of the population in the most severely affected areas of Hedmark experience their quality of life as impaired by the presence of the wolf. The media's attention to this debate may indicate that. So if the government thinks anything with its formulations about predators and the right to local administration, etc., they have to get on the road – and it's soon – in this case. In conclusion, I would like to point out that there is something strange about this whole debate. I would like to quote from a letter that should have been sent to the representative Magnhild Meltveit Kleppa from the rapporteurs and vice-presidents of the Central Party in Hedmark: ‘Where else do we find a government that does not count with individuals living in border areas?’ Yeah, where do we do that? Where else do we find stateless predators? I honestly don't understand why it makes sense to manage a stock based on the idea that one wolf is Norwegian, another wolf is Swedish, while another wolf is Norwegian-Swedish. But I hope that the representatives of the majority government intend to give me answers during the debate. There's one thing I'm absolutely sure of, and that's that the sheep that's eaten in Hedmark is Norwegian as just Christmas – no matter what state identity we assign to the wolf. With this, I shall end by presenting the proposal of the Progress Party.
ParlaMint-NO_2006-05-30.ana.ud2641e155	The representative Tord Lien has taken up the proposal he referred to.
ParlaMint-NO_2006-05-30.ana.ud2641e158	I am quite surprised at the debate so far, when the government parties so totally choose to reject the fact that there has been a development during these two years since the settlement was concluded and until today. In many ways, you choose to stick your head in the sand and rather promote claims that the Right Party and the Christian Party have abandoned what you were involved in. Of course, that's not right. But at least it's an elegant attempt to turn your eyes away from the general debate. Just as a curiosity, I can mention that Heidi Sørensen, in his own way, rejects everything written as an annotation, and what people living in border areas experience to their everyday lives – and just gallantly asserts that the cross-border fleets have not increased at all, and that the cross-border fleets as such are within national administration – and say that all this is not right. Then I register on the other hand that the Workers' Party's representative states that it cannot be denied that the wolf population in Sweden has increased. That's the whole point of this case. We must be politically able, when the situation so warrants, to apply at least some of the mountain-wet rules that need to be applied. If the development is the same as the claims, which can also be substantiated by studies carried out, it is necessary to be able – at least when you have two years of experience – to navigate towards the evolution that has taken place. The ear lids must not be taken entirely on in relation to those living in these areas and to which one should have a close and good relationship. The interests of people living in these areas should also be safeguarded, who are to live there and carry out business development. It must be possible to have two thoughts in your head at the same time in this case. Of course, we need to safeguard the interests of the frontier groups and the predatory game, but we also have a responsibility towards those who are going to live and live in the areas in which the population is primarily located. When the central claim placed on the table almost daily from these areas is that in Norway over the year there are more wolves that are not part of the Norwegian stock target than those that are part of this stock target, the overall objective is weakened. We have to take this seriously. The proposals that the Right Party and the Christian People's Party are making, I have taken as a matter of course to be adopted by the rest of the Stortinget. It becomes almost comical, if you take the break to read the debate from two years back and some statements from the election campaign last year, to see how one of the government parties has now completely turned its back on the population for which you used in many ways, just like most elections, in order to take more care of the interests of the population than the interests of the wolves. I hope people notice that. When one last year, for example, So one of the central party leader Åslaug Hagas' statements, that the matter of the wolf's further fate in Norway is so important to the central party that there would be a difficult question in any government negotiations, it must be timely, when the centre party today chooses to vote against our proposals, which are so cautious in their form and in its request to the government to take a review, to say that people living in border lines must feel that the centre party is completely failing their interests. One has forgotten one's own side with statements, and one has forgotten the people who live in these areas. One of the most important areas of the agreement was the extension of the area for those who were heavily burdened. The experience today, after two years, is that you have not succeeded in this. We see that there is a relatively limited geographical area in Hedmark, around Elverum, which has received the most strain. I didn't mean to. That is why my advice to the government parties must be – and there is reason to apply the mountain-wet rules – to implement in the name of the master what has been said. On this basis, I would like to address the proposals No. 2 and 3 referred to in the setting.
ParlaMint-NO_2006-05-30.ana.ud2641e173	The representative Ivar Kristiansen has addressed the proposals to which he referred.
ParlaMint-NO_2006-05-30.ana.ud2641e176	The trustee's responsibility obliges us to take care of the diversity of species in nature. In Norway, we are obliged to have a sustainable population of the four large predators wolf, bear, yerv and gloat. We also have a responsibility to take care of the king eagle. The question that can be asked is how many we are going to have, where they are going to have their areas of life and how best to manage them, while at the same time we are going to have living settlements and an active business. In 2004, the new framework for Norwegian predator management was laid through the treatment of the wild game notification. There was a broad majority of the parties that ended up on the deal. I assume that the centre party also now joins the frames that were then laid, and no longer sits on the sideline in such an important matter. The Christian People's Party is still on the agreement. This – the setting – is no breach of the agreement we made in 2004. But it's important that the whole deal is followed up, and that it happens in line with the Biggest assumption. The main challenge in predatory policies is to build trust between the administration and people affected by predators. The debate on Norwegian predatory policy is engaging, and it affects many. The case itself has many contradictions and conflicts of interest that may seem irreconcilable — even incompatible. Many live with fear. Conflicts are many and partly high in the relationship between protection interests, local communities, district industries and public administration. I think we're wise to take these conflicts seriously -- it's about people's everyday lives a lot of this. It's a challenge to build trust. The overall aim of predatory policies must be to seek measures that can reduce and mitigate this tension. Our predatory policy must be sustainable, and it must not promote conflict. We therefore need a rapid and sound procedure in the case of the predators concerned. We also need a greater degree of consistency in stock assessment. The national stock monitoring programme is therefore important. And one should ensure a greater degree of local involvement to mitigate disagreement on population numbers. Adequate resources must also be allocated to prevent and mitigate conflicts in the region. Since the settlement of predators, the wolf population in Sweden has increased considerably. It is reasonable to assume that this could also lead to an increase in the Swedish-Norwegian border population. Developments in the wolf population in Sweden have been broadly similar to those in Norway. As I said earlier, the Christian People's Party is firmly committed to the predatory settlement that the frontier flocks should not be part of the national stock target for wolves. However, we believe that the objective of a national stock target and the local management of predatory stock may be weakened if the border flock is larger than the Norwegian population. We have to recognise that a sensible management must be based on where it is natural geographically the predators have their habitat. We also have a professional assessment of that. Then we have to try to protect the areas that are most exposed to the loss of sheep and other bofe on the outback. Nevertheless, the Christian People's Party will express concern that some municipalities, such as Rømskog and Aremark, to mention two from my own county, experience a greater concentration of wolves than other municipalities in much of the year. This is a heavy burden, and the quality of life is perceived to deteriorate in the local environment – yes, in relation to the grazing area and also in the use of forests and land. Good prevention is important here, and various remedial measures are also provided for by the conciliation. If this does not work, the agreement on predators also assumes that wolves moving or staying regularly close to the population and population must be capable of being killed if no other effective action can be taken. This is a situation that we should avoid. The Christian People's Party therefore asks the Government to come back with proposals for measures and means to avoid the burden of wolf management being concentrated on a few municipalities, in order to mitigate a level of conflict in the municipalities concerned as far as possible.
