ParlaMint-NO_2006-10-02.ana.ud1206e32	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2006-10-02.ana.ud1206e44	The President-in-Office of the Council will ask the Secretary of the last big thing, Signe Eye, to act temporarily as a secretary.
ParlaMint-NO_2006-10-02.ana.ud1206e53	Honourable co-representatives! It was with great sorrow that we received the message that our good colleague and friend, Vice President of the Lagtinget and representative of West Agder Jon Lilletun had lost the fight against cancer. He slept quietly in his home with his closest friends around him on August 21, 60 years old. Jon Lilletun was born in Vossestrand on 23 October 1945. His parents belonged to Pentecost in the village, and Jon got many and strong impressions from here. He was rich in knowledge even though formal education was limited to secondary and commercial schools. In his professional life, he was among others merchant and municipal youth secretary, cultural consultant and action consultant. Jon Lilletun was elected to Stortinget in 1989 and started in 2001 during his fifth period. Before this he represented the Christian People's Party in various municipal and other public positions, he was active in the party's youth organization and was Vice-Chairman of the Christian People's Party for 12 years, from 1987 to 1999. From 1983 to 1987 he was a member of the National Council for Children and Youth. At Stortinget, Jon Lilletun has been an active and committed member of both the Municipal and Environmental Protection Committee, the Church and Education Committee, the Business Committee and the Foreign Affairs Committee. From 1993 to 1997, he was head of the Church, Education and Research Committee. He has been a delegate to the United Nations General Assembly and a member of the Parliament's delegation to the NATO Parliamentary Assembly and the Delegation for Relations with the European Parliament. In the last year, Jon Lilletun has been Vice President of the Lamentations. When the central government was formed in 1997, Jon Lilletun was the natural choice for the post as Minister of Church, Education and Research. Such a large department needed a knowledgeable, committed and liberal boss. When the Cooperation Government was formed in 2001, Jon Lilletun received the important key office as parliamentary leader of the Christian People's Party and was thus an important person to solve the government's affairs in the Stortinget. Jon Lilletun pursued politics through unselfish efforts throughout his adult life. The tracks stand there as things he fought for and won, such as the Research Fund and the Faith Training Reform, or as difficult matters he wisely contributed to the solution of, like the CRL subject. He had an involvement in the whole spectrum of political issues, from cultural and environmental issues, abstinence and voluntary activity to the conditions of business, in particular small and medium-sized enterprises and primary industries. Children and young people were always close to his heart. The tracks are also among people whose cause he spoke – those who are persecuted for their faith, the poor, drug addicts of the world, the unborn, the oppressed people of Kashmir or the victims of holocaust and antisemitism. There was never any doubt that he was standing on their side that needed it the most. He was a man who cared for others. Jon was a political gardener. He sowed and planted his ideas and values generously. Curious and innovative – occupied by people's everyday lives. He made sure that the ideas got nourishment, light and warmth with their good follow-up and their many encouraging words. That is why he was also reaped in the form of political results. Jon Lilletun was a committed and knowledgeable person and a pure and raw person. Through his life and his whole manner of being, he also communicated the core of the Christian faith, which was an integral part of his entire person. He fought markedly for his values and for new generations to have a share in them. He wanted respect for human dignity to shape society. But above all, he let it affect his own dealings with people. He had a vision of a warmer society with more care and closeness, and we could see the vision realized in his own care and love for those who came in his way. Jon Lilletun was a populace of which it glowed on the pulpit, and which could often come with good and striking spontaneous lines in debates. He was solution-oriented, and through his contagious laughter and a witty line he could solve the most locked situations. He never used humor to hit anyone, just to highlight something. This says something about how Jon Lilletun was in every context, and that's the best nobility a human can get. Jon Lilletun had a serious cancer diagnosis a year and a half ago. But we had all hoped that he would get well again and get to live and enjoy us for many more years. He was a person in whom it was easy to be happy, and who was easily happy in others. With him is a distinct Christian People's Party politician gone. He will be deeply missed by the colleagues from all parties in Stortinget. In reverence and gratitude, we bring peace to Jon Lilletun’s good and happy memory. The representatives heard the President's commemorative speech.
ParlaMint-NO_2006-10-02.ana.ud1206e83	From the Prime Minister's office there is the following letter to Stortinget, dated 29 September 2006: ‘In the Council of State of the H.M. King held at Oslo Castle on 29 September 2006 at 2.30 p.m. 11 a.m. is determined: The Council of State Odd Eriksen is granted, on application, by way of derogation from his office as a member of the King's Council of 29 September 2006 at 9.30 a.m. 14.00.Standingsrepresentative Dag Terje Andersen is appointed as State Council and takes over from 29 September 2006 at 2.30 p.m. by the Ministry of Economic Affairs and Trade. 14.00.State Secretary Frode Berge and Karin Yrvin for State Council Odd Eriksen are hereby dismissed from office as from 29 September 2006 at 10 a.m. 14.00.State Secretary Frode Berge is appointed State Secretary for State Council Day Terje Andersen from 29 September 2006 at 2.30 p.m. 14.00.’» The President proposed that this letter be annexed to the minutes – and considered adopted. The first alternate for the Vestfold County, Silvia Kristoffersen Kosmo, takes the seat as a representative of the time the representative Dag Terje Andersen is a member of the Government. A roll call was then made. The following representatives were absent: Åse Gunhild Woie Duesund, Jan Petersen, Hans Frode Kielland Asmyhr, Jan Tore Sanner, Vidar Bjørnstad, Ulf Erik Knudsen, Lise Christoffersen, Karl Eirik Schjött-Pedersen, Trygve Schlagsvold Vedum, Olav Akselsen, Ingebrigt S. Sørfön, Øyvind Halleraker, Karin S. Woldseth, Harald T. Nesvik, Eli Sollied Upperaas, Bjørn Jacobsen, Ivar Kristiansen, Anna Ljunggren, Olemic Thommessen, Heikki Holmås, Øyvind Vaksdal, Solvveig Horne, Gunnar Kvassheim, Torfinn Opheim, Lena Jensen, Gunn Karin Gjul, Jorod Asphjell, Sonja Mangt-Bartholsen, May Hansen and Line Henriette Heimdal. The following representatives had reported the decay: Jan Petersen, Jan Tore Sanner, Ulf Erik Knudsen, Karl Eirik Schjøtt-Pedersen, Olav Aksensen, Øyvind Halleraker, Harald T. Nesvik, Eli Sollied Överaas, Heikki Holmås, Gunnar Kvassheim and May Hansen. From the other representatives present the application for leave [[see below]]
ParlaMint-NO_2006-10-02.ana.ud1206e112	The President-in-Office shall propose that the Rules of Procedure used last time be put into effect. – It shall be deemed to have been adopted. A number of permit applications are available: from 2 October 2006 to 30 March 2007 from the Socialist Left Group on the maternity leave of the representative of Ms Gunn Karin Gjul for the period from 2 October 2006 to the end of the Stortinget autumn session of the Centre Party on the maternity leave of the representative Mr Trygve Schlagsvold Vedum for the period from 2 October to 6 October 2006 from the representatives of Solveig Horne, Anna Ljunggren, Sonja Mandt-Bartholsen, Torfinn Opheim, Ingebrigt S. Sørfonn and Olemic Thommessen for the period from 2 October to 13 October, all to participate in the 61st Annual General Assembly of the United Nations in New York from the United Kingdom delegation to the 2006 session of the Council of Europe, Part 4th, in Strasbourg, applications have been submitted by the Executive Director of the delegation, the High Representative of the United Nations. The application concerns the period from 2 October to 6 October of the representatives of Jorod Asphjell, Vidar Bjørnstad, Lise Christoffersen, Åse Gunhild Woie Duesund, Bjørn Jacobsen, Øyvind Waksdal and Karin S. Woldseth from the representatives of Hans Frode Kielland Asmyhr and Line Henriette Holten Hemdal on leave from 2 October to 13 October, both to take part in the total defence course of the Defence College from the representative of Ivar Kristiansen on leave from 2 October to 5 October in order to take part as a representative of the Parliamentary Arctic Cooperation Committee at a conference in Petrozavodsk in Russia. Those applications are proposed to be examined without delay and accepted. – It shall be deemed to have been adopted. The first deputy of the Nordland County, Søren Fredrik Voie, is currently abroad and is therefore prevented from meeting in the Stortinge under the authority of the representative Ivar Kristiansen. From the first alternate of the Rogaland County, Unn Therese O. Sørensen, there is an application to be exempted from meeting in the Stortinge under Torfinn Opheim's leave, due to illness. That application is proposed to be examined immediately and to be accepted. – It shall be deemed to have been adopted. The following alternates are proposed to meet during the leave period: For East-Agder counties: Kjell Ingolf Ropstad For Akershus County: Tove Nyhus and Gorm Kjernli For the Province of Buskerud: Nina Mjøberg For the county of Hedmark: Arnfinn Nergård For the Hordaland County: Knut Arild Hareide and Georg Indrevik For the Mora and Romesdal counties: Ingrid I. Opedal For the Nordic counties: Margunn Ebbesen and Knut Petter Torgersen For Upland State: Audun Blue For the Rogaland County: Bente Thorsen, Odd Jostein Zazzera and Espen Torsteinsbø Hansen For the counties of Troms: Ole-Anton Teggen For the South-Trundellag County: Knut Tomb and Oddlaug Børseth Brecken For the Westfold province: Tom Stroemstad Olsen For Eastfold County: John Thune – It shall be deemed to have been adopted. Kjell Ingolf Ropstad, Tove Nyhus, Gorm Kjernli, Nina Mjøberg, Arnfinn Nergård, Knut Arild Hareide, Georg Indrevik, Ingrid I. Opedal, Margunn Ebbesen, Knut Petter Torgersen, Audun Blegen, Bente Thorsen, Odd Jostein Zazzera, Espen Torsteinsbø Hansen, Ole-Anton Tegen, Knut Gravråk, Oddlaug Børseth Brecken, Tom Stroemstad Olsen and John Thune are present and will sit.
ParlaMint-NO_2006-10-02.ana.ud1206e293	The Presidents and Secretaries shall then be elected. The President-in-Office will refer to the fifth and sixth paragraphs of Section 4 of the Rules of Procedure, which reads as follows: ‘In the first election of Presidents and Vice-Presidents, the votes shall be in the case of non-signatured banknotes. In subsequent elections in the same parliamentary term, the rules of § 44, first paragraph, points (d), first and second sentences apply. more than half of the votes cast. If none of the candidates reaches such a majority in the first election or in the case of free re-election, the two candidates to whom the highest number of votes has been cast shall be re-elected. [[(see section 4.4). § 45 para. (b)]] That provision of the Rules of Procedure means, therefore, that the election of Presidents and Vice-Presidents can now be made in a normal manner, without the use of ballots. The President-in-Office will then propose that we vote in the usual manner. – It shall be deemed to have been adopted. The President-in-Office of the Council is asking for proposals from the President of Stortinget.
ParlaMint-NO_2006-10-02.ana.ud1206e309	I allow myself to propose Thorbjørn Jagland.
ParlaMint-NO_2006-10-02.ana.ud1206e317	Mr. Thorbjørn Jagland has been proposed to the President of Stortinget. Other proposals are not available.
ParlaMint-NO_2006-10-02.ana.ud1206e326	The President then asks for proposals from the Vice-President of Stortinget.
ParlaMint-NO_2006-10-02.ana.ud1206e332	I allow myself to propose Carl I. Hagen.
ParlaMint-NO_2006-10-02.ana.ud1206e340	Carl I. Hagen has been proposed as Vice President of Storting. Other proposals are not available.
