ParlaMint-NO_2006-05-24.ana.ud2089e24	The representative, Ms Eriksen, will make a private proposal.
ParlaMint-NO_2006-05-24.ana.ud2089e27	On behalf of Gunnar Gundersen, Jan Tore Sanner and myself, I am delighted to make a private proposal on fiscal equal treatment in the setting-up of gift professorships at universities and colleges.
ParlaMint-NO_2006-05-24.ana.ud2089e32	The representative of May-Helen Molvær Grimstad will make a private proposal.
ParlaMint-NO_2006-05-24.ana.ud2089e35	On behalf of the representatives of Storing Ingreigt S. Sørfonn, Knut Arild Hareide and myself, I would like to present a Document No. 8 proposals to start work on a ban on slot machines.
ParlaMint-NO_2006-05-24.ana.ud2089e40	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2006-05-24.ana.ud2089e64	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Åslaug Haga State Council Life Signe Navarsete Councillor Karita Bekkemelm The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We'll start with the first main questions, from the representative Jan Tore Sanner.
ParlaMint-NO_2006-05-24.ana.ud2089e79	My question goes to the Minister of State. It seems that the sitting government sees it as a measure that as much as possible must pay as much as possible in property taxes. The government has now made a proposal that allows municipalities to charge even more taxes on property. This property tax, which has now been proposed by the Government, has also been referred to as the cab tax, because the landlords too are now liable to be subject to property taxes. I don't think the people who sit with the big palaces are the ones who fear the government's proposal, but I think there are quite a number of pensioners, teachers, nurses – who may have taken over a family place, or who through a long life have saved for a cabin. We should not underestimate the strength of the cottage dream in the Norwegian people. I believe it is of great value that a cabin has not been reserved for the few, but has been an opportunity for the many. We now see that there are many workers' party rapporteurs rubbing their hands and looking forward to sending the tax charge to the lodgers. The government itself has calculated, according to its websites, that this could cost a cabin owner between NOK 5000 and NOK 10000. I hope the Council of State does not choose to blame the previous government. It is true that the previous government decided to extend the property tax base, but the previous government rejected such a proposal because it would turn out unsocial. So my question to the Council of State is: does the Council of State see that property taxes have social effects, because there is not necessarily any connection between the value of the property and the person's income or pension?
ParlaMint-NO_2006-05-24.ana.ud2089e92	Today's system is that it's up to the municipalities whether or not they want to introduce property taxes. In the later years, a number of municipalities have been forced to introduce property taxes because they have fed the municipalities financially. From this point of view, there are very many municipalities that experience that they have in practice had no choice when it comes to introducing property taxes. As everyone will know, it is that the previous government was not very willing to increase the limits of the municipalities, and the consequence was that many, contrary to what they wanted inside, introduced property taxes. What the Government has now proposed is to remove the distinction between urbanly developed and non-urbanly developed struts, if the municipalities choose to introduce property taxes. You can still maintain property taxes only in urbanly developed areas, but this will be up to the municipalities. So the freedom of choice for the municipalities is increasing. It will also be possible for municipalities to have property taxes only on works and uses. It's true, as the representative Sanner says, that property taxes can have their negative social aspects. Therefore, my party has not been particularly pleased with property taxes. But it's a fact that the municipalities have that opportunity today. It has turned out very special in many places that there has been a distinction between urban and non-urban construction. We know that the legal proceedings have been pending in relation to this.
ParlaMint-NO_2006-05-24.ana.ud2089e101	I don't think this was particularly reassuring for the many tenants in Norway, who are very much ordinary people, with very common income and ordinary retirement. When you know that this can cancel out with thousands of dollars a year, it's interesting that the government then recognizes that this has unsocial effects. Interestingly, a government council in the Red-Green Government is promoting a proposal that is recognized as unsocial. Let me follow up with a local democratic angle on the question. It is true that the tenants have very little voting rights in the municipality where they have a cabin. One thing is that the inhabitants can vote out tax-seekers, but a landlord does not have the right to vote in the municipality where he has the cabin, and thus does not have the opportunity to vote out tax-seekers. My question to the Council of State is: does the Council of State see that there is a democratic dilemma with the proposal that has now been made, as the tenants do not have the opportunity to vote on politicians who introduce cab tax?
ParlaMint-NO_2006-05-24.ana.ud2089e110	It is not new that municipalities have the possibility to introduce property taxes. As the representative Sanner now puts it, it is quite surprising that the Right, who has been in government for four years, has not chosen to abandon the possibility of local authorities introducing property taxes. With the strong principleal objections that the representative here makes, both in terms of democracy, and in terms of the social impact of it, I sincerely wonder that the Right did not take a different line when they were in government. As far as Sanner is concerned as the cab tax, it's unlikely that there are those who can afford to have a cabin, which represents the most suspicious aspects of property tax.
ParlaMint-NO_2006-05-24.ana.ud2089e117	There will be three follow-up questions – first Åge Starheim.
