ParlaMint-NO_2006-04-26.ana.ud1963e24	The representative Anders Anundsen will make a private proposal.
ParlaMint-NO_2006-04-26.ana.ud1963e27	It's a pleasure to make suggestions from Bård Hoksrud, Per Ove Width, Kåre Fostervold, Per Sandberg, Arne Sortevik and myself on the full standard four-field E18 from Larvik to Telemark's border.
ParlaMint-NO_2006-04-26.ana.ud1963e32	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2006-04-26.ana.ud1963e56	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present and we can start the oral questioning procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main question, from the representative Dagfinn Høybräten.
ParlaMint-NO_2006-04-26.ana.ud1963e65	The Minister of Foreign Affairs issued a statement on Norway’s line in support of the Palestinian territories and the new Hamas government. Gahr Støre's statement was fully in line with what the Government had previously informed the Storting, and it was fully in line with the fundamental demands of the international community, the United Nations, the EU, the United States, Russia and important Arab countries: the Hamas Government must refrain from violence, they must recognise Israel's right to exist, and they must accept agreements concluded. Assistance is important to ensure development in the Palestinian territories, and Norway must continue to provide assistance through other channels to those who need it. But we cannot channel aid through a government that does not take a clear distance from violence and terror, and that aims to eradicate the State of Israel. But then we're witnessing something peculiar. There will be a dispute in SV about the foreign minister's statement, and another government council in his department will provide a clarification on the ministry's own website in ten footnotes to the Foreign Minister's statement to explain what Gahr Støre really meant. The Prime Minister's attempt to clean up only leads to increased confusion. A signature campaign against the Minister of Foreign Affairs is under way, with a number of central representatives of the government parties signing. The Prime Minister is moving out again, without it helping. The Minister of Foreign Affairs is summoned to the carpet, above the NRK, by one of the Workers' Party's depositors. The whole thing culminates in the fact that the two Councils are going out with a joint press release on what they really meant and meant. It's probably not over yet, we're going to believe today's newscasts. There are group meetings today. The government-friendly newspaper summarized it as follows yesterday: ‘During the last weeks, chaos and political conflict have prevailed between the government parties around Norway’s support for the Palestinians.’ Unfortunately, this is a striking description, but it is bad. Worse still, it is in the field of foreign policy, where it is important that we appear with a clear line. The worst thing is that it's not the first time SV puts the government in embarrassment in this area. We remember Afghanistan. We remember the boycott of Israel, and now it's happened again. My question to the Prime Minister is: How will the Prime Minister exercise his leadership in the future to fulfill the election promise that games, speculation, rematches and all that hesitation will end, as he said in a NRK debate on 16 August last year? How will he implement this in the field of foreign policy?
ParlaMint-NO_2006-04-26.ana.ud1963e83	I thank you for the question. I understand that the representative Dagfinn Højbräten is trying to make a political game out of something that is actually very clear and clear. It is set out in ten points, and it is a balanced approach to the whole Middle East conflict, which we believe is absolutely necessary. Firstly, we are still working for a peaceful solution in the Middle East. We're trailers of a two-state solution, i.e. that we should have a viable Palestinian State, and we should have an Israeli State within internationally recognised borders. Then we shall continue to support the Palestinian people. We're going to do it at least the same level as we did in previous years. We're going to do it through the UN and through non-governmental organisations. I have invited the President of the Palestinians, President Abbas, to Norway and meet him later today, just to discuss other ways of channelling aid, including. to the health service, through the authorities and bodies under the control of the President. In the case of direct budgetary support, which forms a minor part, at the lower edge of 20 pst. of the total Norwegian assistance to the Palestinian people, we have said that we will await new payments. There was a March payout of $10 million. dollar, almost $70 million. kr. We will await the question of new payments until we see what kind of policy the new Hamas government is actually implementing. We support the demands of the entire international community, that Hamas should refrain from violence, recognise the State of Israel and respect international agreements, just as we demand Israel to respect UN resolutions and to withdraw from the occupied country.
ParlaMint-NO_2006-04-26.ana.ud1963e92	These are clear clarifications from the Prime Minister regarding the content of the case. But I have to say it's one to naughty boundless boldness the prime minister now shows by claiming that it's the opposition that has started this game around this case. Was it the opposition that issued ten footnotes to the Foreign Minister's statement on the Foreign Ministry's websites? No, it was the State Council of Solheim in the Prime Minister's own government. Was it the opposition that launched a signature campaign that was endorsed by leading representatives of all government parties? No, it was the government coalition's own people. Was it the opposition that found it necessary to call in to the Storting? No, it wasn't, for the government had been in the Storting and explained its views and gained agreement in the Storing. So this has with respect to notify the red-green alliance ready to take care of itself. What is serious is that the Prime Minister does not recognize it. And it's even more serious that it's not the first time it happens. I repeat the question: what will the Prime Minister do to ensure that there is predictability and clarity in the field of foreign policy and that leadership is exercised?
ParlaMint-NO_2006-04-26.ana.ud1963e105	To continue to lead a government with clear positions, for example: in the Middle East conflict. The points put forward by the Minister for Development are not contrary to what the Minister for Foreign Affairs has put forward. These are common points. They complement each other, and that's exactly the same political message. So the fact that different governments are formulating the government's policy, as long as it's the same policy that's formulated, I can't see that's a problem at all. When it comes to meeting in Stortinget, it's quite right that the government has explained these things in Stortinget. That is, of course, in line with what we have explained in the Storting, what the Government says, what I say, and what the Foreign Minister says. But of course, we are prepared at any time to elaborate, justify and argue for those positions. That's why it's not about getting into the carpet, but it's about an ordinary political process that we're constantly explaining our positions and opinions, and I think that's part of a political process. So it's not a problem that you have a review of, for example, Middle East policy.
ParlaMint-NO_2006-04-26.ana.ud1963e112	There will be follow-up questions – first Morten Højlund.
ParlaMint-NO_2006-04-26.ana.ud1963e115	The Prime Minister says the government has been clear and clear. Representatives of the government parties in this Chamber have clearly not perceived that clarity and clarity. We've seen that from the opposition. We had an early perception of what the Government meant, and we have basically agreed with the Government. But then there's an attempt at a rematch after a rematch. The representative Højbråtten has referred to part of this. Is the Prime Minister comfortable with the situation as it has evolved? Is he comfortable with the fact that Norwegian foreign policy is the subject of a discussion in this way? The Labour Party has much of the credit for a broad consensus – at least in relation to the outside world – on important parts of Norwegian foreign policy. Is this about to slide?
ParlaMint-NO_2006-04-26.ana.ud1963e122	The answer to that question is no. Fortunately, it is a broad consensus, and it is also clearly anchored. It is anchored in the Stortingen on several occasions in what this government believes about the Middle East policy, and we have received broad support from the Stortingen for it, at the latest in the context of the foreign policy statement and in other consultations with the Stortingen. There the representative, Mr Höglund, is absolutely right, there is agreement and agreement on the policy that the Government has taken in the Grand Duchy. Paragraph 2: That policy is described and argued for and presented in ten points, a joint press release from the Minister for Development and Foreign Affairs, and that is in line with what we have explained in the Stortinget. Paragraph 3: Fortunately, we in Norway have a debate on foreign policy. I believe that there is indeed a strength in Norwegian foreign policy that it is also subject to discussion. I think we just have to see it as something positive that there are discussions, different assessments, different views both in the general public and in different parties, including the government parties. But as long as the government has a clear position and clear positions that are anchored in the Stortinget, there is no doubt about what is the views of the Government and Norway, and we shall say that, among other things. in meeting with President Abbas today.
