ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u1	Member's promise
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u2	Ladies and gentlemen, we will now proceed to the pledge of a new Member for Miroslav Kalousek, who has given up the parliamentary mandate. First, I will ask the chairman of the mandate and immunity committee, Mr Stanislav Grospič, to inform us of the steps that this committee has taken and then read the Constitution's prescribed promise to the new Member to put in the hands of the President of the Chamber of Deputies. Please, Mr. Chairman, you have the floor.
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u3	Thank you, Mr Vice-President. And ladies and gentlemen...
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u4	Ladies and gentlemen, please calm down. I ask that we create a dignified atmosphere so that we can carry out our new colleague's promise. Thank you. Please, Mr. Chairman, continue.
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u5	Thank you, too, Mr Vice-President. Dear members of the government, let me inform you, under the authority of the mandate and immunity committee, that at the 35th meeting that took place today, the Committee adopted Resolution No. 158, in which he stated that On 19 January 2021, the mandate of the Member of the Chamber of Deputies of the Parliament of the Czech Republic Ing expired. Miroslav Kalousek, born 17 December 1960, in a manner according to the provisions of Sections 3 and 6 of the Scripture. (c) Law No 90/95 Coll., on the Rules of Procedure of the Chamber of Deputies, as amended; On 19 January 2021, the mandate of a Member of the Chamber of Deputies of the Parliament of the Czech Republic was created to Mr Jan Jakoba, born 2 December 1982. On 19 January 2021, Mr Miroslav Kalousek gave up the mandate of a Member and his mandate expired on the same day. According to the results of the elections to the Chamber of Deputies held on 20 and 21 October 2017, the President of the Chamber of Deputies called for the vacancy of the first replacement of the TOP 09 for the election region the second - Central Bohemia - Mr Jan Jakob, who today took over from the President of the Chamber of Deputies the certificate of establishment. In accordance with the provisions of Section 4 of the Act on the Rules of Procedure of the Chamber of Deputies, Mr Jan Jakob shall take a vow prescribed by the Constitution. And now I ask the Member to appear before the Chamber of Deputies, and at the same time I ask the President of the Chamber of Deputies to accept the pledge of the new Member. So please, ladies and gentlemen, for the duration of your promise to stand and rise. [[The present rise.]] "I pledge allegiance to the Czech Republic. I promise to uphold her Constitution and laws. I promise on my honour that I will carry out my mandate for the sake of all the people and according to my best knowledge and conscience." [[Mr Jan Jakob, by handing the President of the Chamber of Deputies, "I promise" he makes a promise. Let's hear it.]] Dear Member, congratulations.
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u6	Let me welcome Mr Jan Jakob among us and wish him every success in his parliamentary work.
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u7	Ladies and gentlemen, today's meeting would begin with points from the third reading block for which legal deadlines are met, i.e. paragraphs 347 to 352. Next, we'll continue with the points from the block of second reading laws. I would remind you that at 18.45 we placed a firmly electoral point of change in the composition of the Chamber of Deputies. I'm asking if anyone is interested in speaking on the agenda at the moment. Mr. Chairman Stanjura on the agenda. So, please, you have the floor, Mr. Chairman. And I'm gonna ask my other colleagues once more to calm down, we're halfway there, yet the noise level is too much. Thank you.
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u8	Thank you, Mr. Chairman. I just want to find the right point number so I can make my proposal. I'm not good at this... That's the connection in the Chamber of Deputies... [[He's been looking for a little time on his laptop.]] There. I'd like to suggest we move one point of this block. It's the law that has something to do with the Dukovany nuclear power plant...
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u9	Once again, I will ask for peace in the room to hear what my colleague is proposing!
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u10	Point 351. [[Mr. Faltynek suggests a point number.]] I thank Prime Minister Faltýnek. As you know, the government has set up a government committee dealing with the construction of new nuclear units. The last meeting was in December. This committee had the initiative of the Prime Minister to convene meetings at the level of the political parties represented in the Chamber of Deputies. According to my information, this meeting will take place on 27 January, and I would consider it useful for us to discuss paragraph 351, respectively, to vote at 3rd reading after the meeting. [[9.10 hours]] So at this point, I'm proposing that we move point 351 to the center of the variable week, I feel like it's February 10th, but I'm not quite sure Wednesday of the variable week. I think it is useful for us to let the political negotiations first take place, at which we will look for a consensus on the tender, and then, if necessary, we have voted on this bill. Thank you.
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u11	Well, thank you, it would be the first point of the third reading block on February 10. With priority rights to the agenda, President Faltýnek.
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u12	Good morning, fellow Members, Mr President, allow me to propose two amendments to the agenda. One is only technical and has a link to the fact that the electoral commission extended the deadline for submitting proposals, so we agreed yesterday that the changes in the House bodies will be voted today at the end. I would like to propose that paragraph 384, changes in the House's bodies, be the first point on Friday. It should only take ten, 15 minutes tops. And the second proposal, which is more serious, however, I would suggest that item number 22, this is the Parliamentary Press 800, the amendment to the Military Intelligence Act, placed on the present point 17, it is the second reading of the agenda, for the current item 17 of the agenda - I feel that these are two points by Minister Maláčová. I don't know exactly. Thank you.
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u13	Well, thank you. I'm asking if there's anyone else on the agenda. Mr. Ferjenčík.
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u14	Thank you for the floor, Mr President. Dear colleagues, I suggest moving point number - I hope I remember it well - 532, Czech National Bank Act, for the point of moving mandate in the second reading block. [[correct printing]] I ask Mr President if he can process this. [[The President shall consult the Office's staff.]] I'm sorry I don't have the other number. Anyway, it's point number 15, print number 390. So moving on to the Czech National Bank Act. There's a meeting going on with the Minister, and I believe we can come up with a compromise. Thank you.
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u15	Well, thank you. The motion shall be put to the vote. We voted on the Czech National Bank yesterday, but it was a different proposal, so this vote is possible. Mrs Gajdůšková.
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u16	Hello, Mr President, Madame Members. I ask, on behalf of the petitioners, to withdraw the Senate press 126, it was item number 23 under the name of the backed-up maintenance. At this point, it's before the second reading. However, this bill has already fulfilled its role by submitting it. I thank all of you who supported him at first reading and thus contributed to the fact that he was processed and submitted a government bill, which is under the name of replacement maintenance. It is important, it really helps at this point very and very children of singles, singles. I think that, as the Chamber of Deputies, we have done a good job, and this press 126, at this point in time, I say, has done its part. Please remove him from the House's agenda at all. I'm not going to make a firm suggestion of inclusion at this point, but I'd like us to include Senate press 695 in a variable week, which is a novelty of a so-called long-term infirmary. I think it's a matter that would be very and very helpful at the moment, but I don't want to suggest it until we agree between the deputies. Thank you.
ParlaMint-CZ_2021-01-20-ps2017-079-02-001-999.u17	So I understand that this is a withdrawal of the proposal. It is point 25, printing 126 and third reading has the designation point 368. So we're going to take these two points off the agenda, although basically, when I take note of the withdrawal, there's no need to vote. Anyone else on the agenda? That's it. So first of all, Mr Stanjura's motion to include paragraph 351 on Wednesday 10. 2. as the first point in the third reading. I'm taking the vote, I'm asking who's in favour? Who's against it? Voting number 35, 103 Members registered, for 86, against 1. The motion was accepted. First of all, President Faltýnek suggested that we place the electoral point of change in the institutions of the Chamber of Deputies as the first item of negotiations on Friday 22 January. At the moment he is ranked for today at 18.45 and proposes here to move to Friday as the first point. Initiating vote, I ask, who's in favour? Who's against it? Voting number 36, there are 101 Members, for 86, against 1. This proposal has also been adopted. Furthermore, President Faltýnek proposes paragraph 17, sorry, paragraph 22, House press 800, amendment to the Military Intelligence Act, reassign and give it to the current item 17 of the agenda. Initiating vote. I'm asking who's in favour. Who's against it? Voting number 37, 103 Members are logged in, for 70, against no one. This proposal has also been adopted. Mr Ferjenčík proposes paragraph 11, which is an amendment to the Act on the Czech National Bank, press 532, to include as paragraph 15, which is an amendment to the Constitution concerning a rolling mandate. So I'm opening the vote. I'm asking who's in favour of this transfer. Who's against it? Voting number 38, registered is 106, for 26, versus 20. The motion was not accepted. As Mrs GajdůGajdůšková has withdrawn her bill, there is no need to vote on it, this item will be excluded from the agenda. That's all and we'll continue according to the approved program. I'm opening a point.
