ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u1	Member's promise
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u2	Ladies and gentlemen, we will proceed to the pledge of a new Member, who is joining Jan Schiller, who has lost his parliamentary mandate. In this context, I will first ask Mr Stanislav Grospič's chair of the mandate and immunity committee to inform us of the steps that this committee has taken and then read the Constitution of the prescribed promise that the new Member will put in the hands of the President of the Chamber of Deputies. I beg the chairman of the mandate and immunity committee. [[It's very busy in the hall.]] I ask for peace, colleagues and colleagues. You have the floor, Mr. Chairman.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u3	Thank you, Mr. Vice-President. Ladies and gentlemen, honourable Members of the Government, let me inform you that on 22 December 2020, Mr Jan Schiller delivered to the President of the Chamber of Deputies a statement drawn up in the form of a notary record giving up the mandate of a Member of the Parliament of the Czech Republic on 31 December 2020. According to the provisions of § 54 para. 1 of Law No. 247/1995 Coll., on the elections to the Parliament of the Czech Republic, an alternate from the candidate list of the same political party, political movement or coalition listed on the ballot list in the election region in which the candidate was a Member before the mandate was empty, according to the election results. The three successors of the ANO 2011 movement for the electoral region 6 - Ustecký on 17 December 2020 delivered separately to the President of the Chamber of Deputies notary minutes by which they gave up their position as alternate in the elections held in the Chamber of Deputies on 20 and 21 October 2017. The mandate and the Immune Committee took note of this statement by Resolutions No. 150, 151 and 152, which was adopted in the spring at its 34th meeting on 6 January 2021 and in which he stated that Zdeněk Plecitý, Ing. Jindra Zalabáková and . Pavel Elias lost his seat as an alternate member of the ANO 2011 movement for election region 6 - Ústecký on 17 December 2020. By resolution 153 also on 6 January 2021 at the 34th meeting of the mandate and the Immune Committee, it stated that: On 31 December 2020, the mandate of a Member of the Chamber of Deputies of the Parliament of the Czech Republic, Jan Schiller, born on 6 April 1972, expired in accordance with the provisions of Sections 3 and 6 of the Act. (c) Law No 90/1995 Coll., on the Rules of Procedure of the Chamber of Deputies, as amended; On 31 December 2020, the mandate of a Member of the Chamber of Deputies of the Parliament of the Czech Republic, Mrs Jaroslava Puntová, born on 20 December 1957, arose. [[14.10 hours]] This resolution was delivered to the President of the Chamber of Deputies, who, in accordance with the provisions of Section 2, second sentence, § 29 para. Article 4 (1) (a) (a) the Rules of Procedure of the Chamber of Deputies called for the loose mandate of the ANO 2011 movement for the electoral region 6 - Ústecký Mrs Jaroslava Puntová, which he handed over today on 12 January 2021 a certificate of the establishment of the mandate. I ask Mrs Jaroslava Puntová to appear before the Chamber of Deputies and to the President of the Chamber of Deputies to take the prescribed oath. At the same time, I ask the President of the Chamber of Deputies to accept the pledge of the Member. Ladies and gentlemen, I see you've already risen, so please hold on for the time of your promise. "I pledge allegiance to the Czech Republic. I promise to uphold her Constitution and laws. I promise on my honour that I will carry out my mandate for the sake of all the people and according to my best knowledge and conscience." [[Mrs Punt stands before the Members and makes her vows to the President of the House.]] Madam...
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u4	Let me welcome Mrs Jaroslava Puntová among us and wish her every success in her parliamentary work.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u5	And now we would proceed to identify the verifiers of this meeting. I propose that we designate Mrs Jana Černochová and Mrs Markéta Pekarová Adamová. I'm asking if anyone else has a proposal regarding verifiers. [[Mrs Černochová is not present. Consultation with the head of the organizational department off the microphone.]] I propose here on a microphone - I hope there is no need for anyone to go to the microphone - to take over this role, if that is understood by Mr Berkovec. He's giving me a sign, isn't he? Thank you. So we will vote that the verifiers be designated by Mrs Markéta Pekarová Adamová and Mr Stanislav Berkovec. If there is no objection to this, I shall take a vote. Initiating vote. Who's in? Who's against it? Voting number one. At the moment, 167 Members are registered, for 20, against no one. [[There's a notice on the board that the kvora hasn't been reached.]] There's been some mistake. There's been an error, logged in 21. We will have to repeat the vote. I'll check you all out. Please try to log in one more time. Unfortunately, we have a new system, as far as I know. Isn't it? [[Finding out where the mistake went. It's a delay.]] I'm sorry, but I have to stop the meeting for five minutes for technical reasons. We'll continue at 14.18 hours. [[The hearing shall be suspended from 14.13 to 14.18 hours.]] Ladies and gentlemen, we will continue. This technical error happened because it was necessary to remove Mr Kalousek from the system and this made it difficult. Now we'll continue to be fine. We shall repeat the vote on verifiers. Again: the proposal is Mr Stanislav Berkovec and Mr Markéta Pekarová Adamová. We're not logged in yet, please sign in. There are more and more of us than the information boards show. Well, I'm gonna start the vote. I'm asking who's for the proposed verifier. Who's against it? Voting number two. 144 Members are registered, for 139, against no one. I note that we have appointed Stanislav Berkovec and Markéta Pekarová Adamová to the 79th meeting of the Chamber of Deputies. Now, in the course of this meeting, in the presence of 200 Members - which is the current moment when we will vote on the laws returned by the Senate - I declare that these Members asked for apologies: Margita Balaštíková - health reasons, Ivan Bartoš - health reasons, Jaroslav Dvořák - health reasons, Miroslav Grebeníček - health reasons, Jan Hrnčíř - health reasons, Stanislav Juránek - health reasons, Josef Kott - health reasons, Lenka Kozlová - health reasons, Jana Levová - health reasons, Václav Votava - health reasons. [[14.20 hours]] The members of the government apologize: Lubomír Metnar - working reasons, Tomáš Petříček - health reasons, Robert Plaga - working reasons. At the moment when only half the number of Members will be present, under the agreement of the Presidents of all Clubs, I note that these Members, even if they are not present or excused, are deemed to be excused under the agreement of the Club Presidents. honourable Member, honourable Members. On 6 January 2021, by my decision number 87 as President of the Chamber of Deputies, on the basis of a proposal from the Government, I declared a state of legislative emergency. In connection with the announcement of a state of legislative emergency, the Government has requested that the following House prints, which it approved and submitted to the Chamber of Deputies, be discussed in a short hearing pursuant to Paragraph 99 (1) of the Rules of Procedure. 2 of the Act on the Rules of Procedure of the Chamber of Deputies. This is a government bill amending Act No. 437/2020 Coll., on certain adjustments in the field of benefits of state social support and the contribution to care in connection with emergency conditions in the epidemic, House printing 1122, and Government bill amending Act No. 461/2020 Coll., on compensation bonus in connection with the prohibition or restriction of business activity in connection with the occurrence of SARS CoV-2 coronavirus, as amended by Act No. 584/2020 Coll., House Press 1134. By decision Nos 88 and 91, I decided to discuss these government proposals in a short hearing and ordered the House press to the Social Policy Committee, the House Press 1134 to the Budgetary Committee, and set them an unbreakable deadline for the submission of the resolution by 21 January 2021 by 1 p.m. Ladies and gentlemen, following what I have read, pursuant to Paragraph 99 (1) of the Rules of Procedure. 4 of the Rules of Procedure of the Chamber of Deputies are in a state of legislative emergency before discussing the proposal for a programme to assess whether the state of legislative emergency persists. I am therefore opening up a debate on this. I'm asking if anyone's checking in. I don't see anyone. Therefore, if no one has applied, I will conclude the debate and proceed to the vote. I shall make a motion for a resolution. "The Chamber of Deputies confirms the duration of a legislative emergency." Initiating vote. I'm asking who's in favour. Who's against it? Voting number three. Registered is 157, for 145, against 5, the proposal was accepted. Thank you. And now we come to the 79th meeting, the proposal of which is on the invitation. First of all, I would like to inform you about the proposals on which today's grémium has been agreed. We're suggesting I. to include new points in the proposal for a 79th meeting, namely: 1. a draft law which has been tabled with the announcement of a state of legislative emergency. This is House printing 1134, this is the compensation bonus. 2. The Senate Bill - Amendment to the Crisis Management Act, House Press 1111 rejected by the Senate, for item 7 of this programme. 3. In the block of the report, proposals and others to include the draft rules on the management of Members' clubs for 2021, House document 7182. II. Fixedly include points, namely: 1. Paragraph 382 of the proposal for a programme, an election point, changes in the composition of the institutions of the Chamber of Deputies, on Wednesday 20 January 2021 at 1845. 2. Furthermore, points from the contract block, second reading: paragraph 326, printing 760, point 327, printing 915, paragraph 328, printing 1034, to be included on Thursday, 28 January following written interpelations. 3. Furthermore, point 475, print 1123 - Financial liabilities of the State contained in the concession contract for design, construction, financing, operation and maintenance of the D4 motorway - PPP project - at 14.00 on Tuesday 9 February 2021. 4. Furthermore, paragraph 8 of the proposal for a programme, House press 756, a government bill amending certain laws in connection with the further electronisation of public authorities' procedures, second reading, to include firmly on Thursday 11 February 2021 at 11 o'clock. III. Discuss points from the block of laws - second reading in the following order: paragraph 9, House printing 532 - on the Czech National Bank; paragraph 10, House printing 660 - foreign trade; paragraph 15, House printing 1025 - on employment; paragraph 13, House printing 374 - on road traffic; point 14, House printing 390 - Constitution; point 11, House printing 535 - safety of work and point 12, House printing 961 - children's groups. Then proceed according to the design of the show. That's all from Gremia. Before the opening of the meeting, Mr.Faltýnek signed up with priority rights, from where President Stanjura is reporting at this time, both with priority rights. Please, you have the floor.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u6	Good afternoon. Colleagues, colleagues, Mr President, I would follow up with my speech and proposal on the meeting of today's Grémium of the Chamber of Deputies, where there has been quite a long discussion as to whether today's first point was to include government information through the Minister of Health on the current situation, vaccination and other matters related to the current situation. As a parliamentary club, after the debate and agreement with the Prime Minister and with Minister Blatný, we have concluded that this request is logical that we will support it. At the same time, my proposal lies in the way we talked at the meeting of the Chamber of Deputies, that there may be a majority here that would make some compromise solutions so that outside this point, we can also discuss some of the laws returned from the Senate today. Therefore, allow me to propose, on behalf of our membership club, to this day, on Tuesday, 19 January 2021, from 5 p.m., to discuss the agenda item of the block meeting by the laws rejected and returned by the Senate. These are House prints 575, 576, 1111, 834, 886, 918 and 986. At the same time, on behalf of two parliamentary clubs, that is to say yes and social democracy, I would propose that the House, pursuant to § 53 para. 1 of the Rules of Procedure has agreed that we will be discussing these Senate proposals today and to vote in a procedural manner after the 19th and 21st hour for sure. So that's one of my suggestions. The second proposal follows up on the information, or on the resolution of the Chamber of Deputies, which concerns the solid inclusion of points for this Friday, because I feel that we have not done so as a grémium, but if I am wrong, Mr President, then correct me.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u7	You are not mistaken, Mr President, we have merely included.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u8	That's how we're gonna put 22 on this Friday. 1. as the first two points of the meeting day draft laws in the context of a brief hearing in connection with the announcement of a state of legislative emergency: prints 1134, government bill on compensation bonus to entrepreneurs in relation to the occurrence of coronavirus, and 1122, government bill on certain adjustments in the area of benefits of state social support. Thank you for supporting these proposals.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u9	Thank you. Thank you for writing them. I could use it. Mr Stanjura also applied.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u10	Thank you for the floor. In order to have the logic that we will discuss laws rejected or returned by the Senate at 5 p.m., which we will support, I would like to propose, on behalf of the ODS, KDU-ČSL and TOP 09, to include on the agenda the first item today entitled Information on the course of vaccination and vaccination strategy. I will leave a detailed explanation for the debate afterwards, because I understand from the previous speech that there is a majority that will support the inclusion of this point, and I think it will be good for us to show citizens in this debate that we all understand that the task of these days, weeks and months is to ensure that the vaccine gets as many as possible and as quickly as possible to those who want to be vaccinated. Thank you for supporting this joint proposal.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u11	Thank you. Mr. President Jurečka has applied with priority rights. It doesn't work anymore. In that case, a written application - Mr Klaus.
