Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	-	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	-	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Regular	MP	notMinister	TOP09	Political group TOP 09	-	Centre-right	JanJakob.1982	Jakob, Jan	M	1982	
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	-	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	-	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	-	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	-	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u12	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Regular	MP	notMinister	TOP09	Political group TOP 09	-	Centre-right	JanJakob.1982	Jakob, Jan	M	1982	
ParlaMint-CZ-en_2021-11-10-ps2021-001-02-012-017	ParlaMint-CZ_2021-11-10-ps2021-001-02-012-017.u13	Parliament of the Czech Republic, Chamber of Deputies, 2021-11-10	2021-11-10	Lower house	ps2021	-	ps2021/001	ps2021/001/02	ps2021/001/017	COVID	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	-	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
