Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-07-08-ps2017-111-02-007-395	ParlaMint-CZ_2021-07-08-ps2017-111-02-007-395.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-08	2021-07-08	Lower house	ps2017	-	ps2017/111	ps2017/111/02	ps2017/111/395	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	MonikaJarosova.1970	Jarošová, Monika	F	1970	
ParlaMint-CZ-en_2021-07-08-ps2017-111-02-007-395	ParlaMint-CZ_2021-07-08-ps2017-111-02-007-395.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-08	2021-07-08	Lower house	ps2017	-	ps2017/111	ps2017/111/02	ps2017/111/395	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-08-ps2017-111-02-007-395	ParlaMint-CZ_2021-07-08-ps2017-111-02-007-395.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-08	2021-07-08	Lower house	ps2017	-	ps2017/111	ps2017/111/02	ps2017/111/395	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2021-07-08-ps2017-111-02-007-395	ParlaMint-CZ_2021-07-08-ps2017-111-02-007-395.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-08	2021-07-08	Lower house	ps2017	-	ps2017/111	ps2017/111/02	ps2017/111/395	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-08-ps2017-111-02-007-395	ParlaMint-CZ_2021-07-08-ps2017-111-02-007-395.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-08	2021-07-08	Lower house	ps2017	-	ps2017/111	ps2017/111/02	ps2017/111/395	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2021-07-08-ps2017-111-02-007-395	ParlaMint-CZ_2021-07-08-ps2017-111-02-007-395.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-08	2021-07-08	Lower house	ps2017	-	ps2017/111	ps2017/111/02	ps2017/111/395	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-08-ps2017-111-02-007-395	ParlaMint-CZ_2021-07-08-ps2017-111-02-007-395.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-08	2021-07-08	Lower house	ps2017	-	ps2017/111	ps2017/111/02	ps2017/111/395	COVID	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanChvojka.1980	Chvojka, Jan	M	1980	
ParlaMint-CZ-en_2021-07-08-ps2017-111-02-007-395	ParlaMint-CZ_2021-07-08-ps2017-111-02-007-395.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-08	2021-07-08	Lower house	ps2017	-	ps2017/111	ps2017/111/02	ps2017/111/395	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-08-ps2017-111-02-007-395	ParlaMint-CZ_2021-07-08-ps2017-111-02-007-395.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-08	2021-07-08	Lower house	ps2017	-	ps2017/111	ps2017/111/02	ps2017/111/395	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	JakubMichalek.1989	Michálek, Jakub	M	1989	
ParlaMint-CZ-en_2021-07-08-ps2017-111-02-007-395	ParlaMint-CZ_2021-07-08-ps2017-111-02-007-395.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-08	2021-07-08	Lower house	ps2017	-	ps2017/111	ps2017/111/02	ps2017/111/395	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-08-ps2017-111-02-007-395	ParlaMint-CZ_2021-07-08-ps2017-111-02-007-395.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-08	2021-07-08	Lower house	ps2017	-	ps2017/111	ps2017/111/02	ps2017/111/395	COVID	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	AlenaGajduskova.1954	Gajdůšková, Alena	F	1954	
