Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-12-01-ps2021-003-01-004-001	ParlaMint-CZ_2021-12-01-ps2021-003-01-004-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-01	2021-12-01	Lower house	ps2021	-	ps2021/003	ps2021/003/01	ps2021/003/001	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	-	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2021-12-01-ps2021-003-01-004-001	ParlaMint-CZ_2021-12-01-ps2021-003-01-004-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-01	2021-12-01	Lower house	ps2021	-	ps2021/003	ps2021/003/01	ps2021/003/001	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	JanaPastuchova.1965	Pastuchová, Jana	F	1965	
ParlaMint-CZ-en_2021-12-01-ps2021-003-01-004-001	ParlaMint-CZ_2021-12-01-ps2021-003-01-004-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-01	2021-12-01	Lower house	ps2021	-	ps2021/003	ps2021/003/01	ps2021/003/001	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	-	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2021-12-01-ps2021-003-01-004-001	ParlaMint-CZ_2021-12-01-ps2021-003-01-004-001.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-01	2021-12-01	Lower house	ps2021	-	ps2021/003	ps2021/003/01	ps2021/003/001	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	-	Right to far-right	LucieSafrankova.1987	Šafránková, Lucie	F	1987	
ParlaMint-CZ-en_2021-12-01-ps2021-003-01-004-001	ParlaMint-CZ_2021-12-01-ps2021-003-01-004-001.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-01	2021-12-01	Lower house	ps2021	-	ps2021/003	ps2021/003/01	ps2021/003/001	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	-	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2021-12-01-ps2021-003-01-004-001	ParlaMint-CZ_2021-12-01-ps2021-003-01-004-001.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-01	2021-12-01	Lower house	ps2021	-	ps2021/003	ps2021/003/01	ps2021/003/001	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	JanaPastuchova.1965	Pastuchová, Jana	F	1965	
ParlaMint-CZ-en_2021-12-01-ps2021-003-01-004-001	ParlaMint-CZ_2021-12-01-ps2021-003-01-004-001.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-01	2021-12-01	Lower house	ps2021	-	ps2021/003	ps2021/003/01	ps2021/003/001	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	-	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2021-12-01-ps2021-003-01-004-001	ParlaMint-CZ_2021-12-01-ps2021-003-01-004-001.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-01	2021-12-01	Lower house	ps2021	-	ps2021/003	ps2021/003/01	ps2021/003/001	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	JanaPastuchova.1965	Pastuchová, Jana	F	1965	
ParlaMint-CZ-en_2021-12-01-ps2021-003-01-004-001	ParlaMint-CZ_2021-12-01-ps2021-003-01-004-001.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-01	2021-12-01	Lower house	ps2021	-	ps2021/003	ps2021/003/01	ps2021/003/001	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	-	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2021-12-01-ps2021-003-01-004-001	ParlaMint-CZ_2021-12-01-ps2021-003-01-004-001.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-01	2021-12-01	Lower house	ps2021	-	ps2021/003	ps2021/003/01	ps2021/003/001	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	JanaPastuchova.1965	Pastuchová, Jana	F	1965	
ParlaMint-CZ-en_2021-12-01-ps2021-003-01-004-001	ParlaMint-CZ_2021-12-01-ps2021-003-01-004-001.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-12-01	2021-12-01	Lower house	ps2021	-	ps2021/003	ps2021/003/01	ps2021/003/001	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	-	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
