Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanChvojka.1980	Chvojka, Jan	M	1980	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanChvojka.1980	Chvojka, Jan	M	1980	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	JakubMichalek.1989	Michálek, Jakub	M	1989	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Regular	MP	notMinister	SPD	Freedom and Direct Democracy - Tomio Okamura	-	Right to far-right	LubomirVolny.1973	Volný, Lubomír	M	1973	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u12	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	LukasCernohorsky.1984	Černohorský, Lukáš	M	1984	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u13	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u14	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	LukasCernohorsky.1984	Černohorský, Lukáš	M	1984	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u15	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2021-07-09-ps2017-111-03-000-000	ParlaMint-CZ_2021-07-09-ps2017-111-03-000-000.u16	Parliament of the Czech Republic, Chamber of Deputies, 2021-07-09	2021-07-09	Lower house	ps2017	-	ps2017/111	ps2017/111/03	ps2017/111/000	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
