Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	KaterinaValachova.1976	Valachová, Kateřina	F	1976	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	TomasKohoutek.1983	Kohoutek, Tomáš	M	1983	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	MarekVyborny.1976	Výborný, Marek	M	1976	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	JanHrncir.1977	Hrnčíř, Jan	M	1977	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u10	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	MarekVyborny.1976	Výborný, Marek	M	1976	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u11	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u12	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u13	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u14	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	PatrikNacher.1974	Nacher, Patrik	M	1974	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u15	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2021-03-24-ps2017-092-01-001-001	ParlaMint-CZ_2021-03-24-ps2017-092-01-001-001.u16	Parliament of the Czech Republic, Chamber of Deputies, 2021-03-24	2021-03-24	Lower house	ps2017	-	ps2017/092	ps2017/092/01	ps2017/092/001	COVID	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanChvojka.1980	Chvojka, Jan	M	1980	
