Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u1	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u2	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BarbaraNowacka	Nowacka, Barbara	F	1975	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u3	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u4	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BarbaraNowacka	Nowacka, Barbara	F	1975	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u5	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u6	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Regular	MP	notMinister	Lewica	Koalicyjny Klub Parlamentarny Lewicy	Opposition	Centre-left to left	BeataMaciejewska	Maciejewska, Beata	F	1968	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u7	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u8	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Regular	MP	notMinister	Lewica	Koalicyjny Klub Parlamentarny Lewicy	Opposition	Centre-left to left	BeataMaciejewska	Maciejewska, Beata	F	1968	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u9	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u10	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Regular	MP	notMinister	Lewica	Koalicyjny Klub Parlamentarny Lewicy	Opposition	Centre-left to left	BeataMaciejewska	Maciejewska, Beata	F	1968	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u11	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u12	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Regular	MP	notMinister	KP-PSL	Koło Senatorów Koalicja Polska – Polskie Stronnictwo Ludowe	Opposition	Centre to centre-right	JarosławRzepa	Rzepa, Jarosław	M	1972	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u13	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2022-04-13-sejm-52-3	ParlaMint-PL_2022-04-13-sejm-52-3.u14	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 52, Day 3 (2022-04-13)	2022-04-13	Lower house	9. kadencja Sejmu	52. sesja Sejmu	-	3. dzień sesji Sejmu	-	COVID,War	English	Regular	MP	notMinister	Konfederacja	Koło Poselskie Konfederacja	Opposition	Far-right	GrzegorzBraun	Braun, Grzegorz	M	1967	
