Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Regular	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΚΑΤΣΩΤΗΣ_ΠΕΡΙΚΛΗ_ΧΡΗΣΤΟΣ	Katsōtīs, Chrīstos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Regular	MP	Minister	N.D.	New Democracy	-	Centre-right	ΘΕΟΔΩΡΙΚΑΚΟΣ_ΔΗΜΗΤΡΙΟΥ_ΠΑΝΑΓΙΩΤΗΣ_ΤΑΚΗΣ	Theodōrikakos, Panagiōtīs	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Regular	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΚΑΤΣΩΤΗΣ_ΠΕΡΙΚΛΗ_ΧΡΗΣΤΟΣ	Katsōtīs, Chrīstos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Regular	MP	Minister	N.D.	New Democracy	-	Centre-right	ΘΕΟΔΩΡΙΚΑΚΟΣ_ΔΗΜΗΤΡΙΟΥ_ΠΑΝΑΓΙΩΤΗΣ_ΤΑΚΗΣ	Theodōrikakos, Panagiōtīs	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΑΧΜΕΤ_ΣΑΜΠΡΗ_ΙΛΧΑΝ	Achmet, Ilchan	M	-	
