ParlaMint-BG_2018-07-12.u1	There's a quorum. I'm opening the meeting. Mr. Velchev, come in for a procedure.
ParlaMint-BG_2018-07-12.u2	Madam President, honourable Members! My procedure is on the agenda for this week. For today, the first item is the second vote of the Law amending and supplementing the Law on the Integration of Persons with Disabilities. My request to you is that we continue and complete yesterday's third item on the fuel agenda, a second vote on the bill on the administrative regulation of economic activities related to oil and petroleum products. My idea is that there is little left of this bill, let's finish it and then move on to item one of today's agenda. Thank you.
ParlaMint-BG_2018-07-12.u3	Thank you, dear Mr. Velchev. Come back, Mr. Stoinev.
ParlaMint-BG_2018-07-12.u4	Thank you, Madam President. Colleagues, every Wednesday, we accept an agenda. Let us at least keep this agenda from Wednesday to Thursday, because on Friday, there are always major scandals. Having such an agenda, today's item one is for disabled people. Let's finish the point, it's an expected bill and then proceed with the Fuel Act. Thank you.
ParlaMint-BG_2018-07-12.u5	Thank you, dear Mr. Stoinev. I put to the vote Mr. Velchev's proposal to move the dots. Vote 155 MPs: 86, against 52, abstention 17. The motion is accepted. Let's continue with: SECOND VOICE OF THE LAW FOR THE ADMINISTRATIVE REGULATION OF ECONOMIC ACTIONS RELATED TO OIL AND OIL PRODUCTS. Here you go, Mr. Dimitrov.
ParlaMint-BG_2018-07-12.u6	Thank you, Madam President. Allow me to remind the honourable ladies and gentlemen of the fact that yesterday at the request of the National Representative Valentin Nikolov was adopted the thesis of the registration proceedings and the specialized structure which will assist the Minister in the exercise of this law to be in the Ministry of Economy. In this regard, the National Assembly has also spoken everywhere in the texts, where it was laid down..................................................................................................................................................................................................................................................... In all the texts, I read the Minister of Economy as you have already spoken to be. Thank you. Allow me to proceed to reading.
ParlaMint-BG_2018-07-12.u7	Thank you. Mr. Dimitrov, come in.
ParlaMint-BG_2018-07-12.u8	"Chapter 5" - Forced administrative measures and administrative penal provisions. The Commission shall support the text of the importer for the name of Chapter Five. "Section I "Instructions of administrative measures. " The Commission shall support the text of the importer for the name of Section I.
ParlaMint-BG_2018-07-12.u9	Statements? I can't see. I shall put to the vote the name of Section I, which the Commission also supports the name of Chapter Five. Vote 137 MPs: 117 against 8, abstention 12. The motion is accepted.
ParlaMint-BG_2018-07-12.u10	Under art. 28 The Commission shall, in principle, support the text of the importer and propose the following version: Art. 28. (1) In the case of a person acting under art. 2, para. 1 in breach of a condition laid down in Chapter 2 or without registration, the Minister of Finance or the Minister of Interior, respectively authorised by each of them, shall issue an order for the suspension of the activity of the person concerned and the sealing of his undertaking until the relevant condition for carrying out the activity has been fulfilled, respectively, until the person to carry out the activity is registered. (2) Where the infringement is for a separate activity under art. 2, para. 1 or a separate object of the controlled person, only the activity concerned shall be discontinued, and the object concerned shall be sealed accordingly. (3) The order under para. 1 shall be issued and appealed under the order of the Administrative Procedure Code. The appeal shall not stop the execution unless the court so requests.
ParlaMint-BG_2018-07-12.u11	Statements? I can't see. I shall put to the vote the editorial of art. 28 on the Commission report. Vote 127 MPs: 111 against 7, abstention 9. The motion is accepted. Section II "Administrative Criminal Responsibility." The Commission shall support the text of the importer for the name of Section II.
ParlaMint-BG_2018-07-12.u12	Statements? I can't see. I shall put to the vote the name of Section II, supported by the Commission. Vote 131 MPs: 114 against 7, abstention 10. The motion is accepted.
ParlaMint-BG_2018-07-12.u13	Under art. 29 has a proposal from the National Representative Todor Baychev. In Article 1, paragraph 1 is replaced by the following: 29 the following amendments shall be made: 1. para. Two o'clock is out. 2. para. 3 " 5" becomes respectively. 2............................................... The Commission does not support the proposal. There is a proposal from the National Representative Christian Mitev, made in accordance with the order of art. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the In Article 4 (1) (b), point (c) is replaced by the following: 29 the following amendments shall be made: In Al. 1 the amount of the fine is changed and becomes from 1000 to 10 000 BGN. Allinea three, drop out. Allinea four, drop out. In Al. 5 the amount of the fine is amended and is from 2000 to 20 000 BGN. The Commission does not support the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. 29: Art. 29. (1) Person carrying out activity under art. 2, para. 1 without registration, outside its scope, or in breach of a condition laid down in Chapter Two, Section I and II shall be punished with a fine, respectively with a penalty of 25 000 to 250 000 BGN. (2) Transported oil and/or petroleum products, vehicles and other equipment used to carry out activity under art. 2, para. 1, t. 4 without registration shall be taken in favour of the State regardless of whose ownership they are. (3) In the event that oil and/or petroleum products withdrawn for the benefit of the State constitute emergency stocks, their status shall remain unchanged until the expiry of the period within which they should be maintained and stored as emergency stocks. (4) A person who, as a legal representative of a legal person or a sole trader, has committed an infringement under para. 1 is punished with a fine of 1000 to 10 000 BGN. (5) For repeated infringement under para. 1, the fine, respectively the penalty, is from 50 000 to 500 000 BGN
ParlaMint-BG_2018-07-12.u14	Statements? Here you go, Mr. Baichev.
ParlaMint-BG_2018-07-12.u15	Thank you, Madam President. Honourable Members of the National Assembly, the proposal I make next in art. 30 and 31 are similar, as in our legislation in various laws as a forced administrative measure and currently there is the withdrawal of the means by which the act or crime has been committed. Here it is proposed to be the vehicle by which transport is carried out and including fuel. I believe that this text is not precise and does not correspond to the actual factual situation, as well as to the economic relations that exist at the moment, as the trader, transport company, manufacturer or other trader, which have sold the fuel in bulk, cannot examine each other, do not have the competence to examine the permits, the licensing regimes, whether excise duties, VAT and other taxes and rates due, and so on. For this reason, civil court proceedings will also be difficult to prove the crime and the guilt of the transport company or the trader concerned. That is why I propose that this paragraph be dropped and withdrawn by one paragraph at a time, as the President has read it. Thank you.
ParlaMint-BG_2018-07-12.u16	Thank you, dear Mr. Baichev. - What's the line? I can't see. Any other speeches? Here you go, Mr. Mitev.
ParlaMint-BG_2018-07-12.u17	Thank you, Madam President. Dear MPs, in addition to what my colleague Baychev said, I have made a proposal to drop out of para. 3, since if his proposal is accepted, para. 3 becomes pointless. I will draw your attention to the strange approach in which, throughout the section on administrative criminal provisions, you will see that we have exactly the same sanctions in respect of natural and legal persons. Interesting, I'd say, unusual legislative approach. In most laws, where we have administrative penal provisions, the fine is in different sizes than the penalty. Moreover, in particular in the provision of art. 29 we will also notice one danger of breach of the principle..................................................................................................... 1 and para. 4. In para. 1 we cover the cases of individuals operating under art. 2, para. 1 without registration, outside its scope or in breach of a condition laid down in Chapter Two, Section I and II. In para. 4 Once again we have a punishment for a person as a legal representative of a legal person or a sole trader who has committed a violation under para. 1. In practice, in both cases, we can come across and we will find ourselves in the hypothesis of a natural person who committed the infringement, and, frankly, it is not very clear to me which of the two rules should be punished, as in both cases it will have committed the administrative infringement described in their compositions. I believe that this is not a proper legislative solution. It will create more difficulties in implementing these sanctions than producing the real effect which should have such an administrative criminal law. Thank you.
ParlaMint-BG_2018-07-12.u18	Thank you, Mr. Mitev. Any lines to Mr. Mitev's statement? I don't see any speeches. Any other speeches, colleagues? I can't see. Let's move on to the vote. First, I put to the vote the unsupported proposal from the Commission by the National Representative Todor Bajchev. They voted 137 MPs: 51, against 38, abstention 48. The offer is not accepted. I am now voting on the second proposal of the Parliamentary Representative Christian Mitev, which the Commission does not support. They voted 120 MPs: 19 against 39, abstention 62. The offer is not accepted. I am now putting to the vote the editorial of art. 29 on the Commission report. Vote 128 MPs: 101, against 10, abstention 17. The motion is accepted.
ParlaMint-BG_2018-07-12.u19	Thank you, Madam President. The Commission shall in principle support the text of the importer and propose the following version of art. 30: Art. 30. Person carrying out activity under art. 2, para. 1 which provides a document with incorrect, inaccurate or incomplete information or does not provide a document certifying the security made in instructions under art. 10, para. 4 and/or Art. 12 period, if the act does not constitute a crime, is punished with a fine of 2000 to 5000 BGN, respectively with a penalty of 5000 to 10 000 BGN. For a repeated infringement, the penalty shall be from 5000 to 20 000 BGN
ParlaMint-BG_2018-07-12.u20	Statements? I don't see any speeches. I shall put to the vote the editorial of art. 30 on the Commission report. Vote 131 MPs: 112 against 4, abstention 15. The offer is not accepted.
ParlaMint-BG_2018-07-12.u21	Under art. 31 has a proposal from the National Representative Todor Baychev: In Article 1, paragraph 1 is replaced by the following: 31 the following amendments shall be made: 1. Alinea 2 is out. 2. Paragraph 1 shall become the content of art. 31. The Commission does not support the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. 31: Art. 31. (1) Whoever violates the prohibition of art. 24, para. 1 and/or para. 2, is punished with a fine, respectively with a penalty of 25 000 to 250 000 BGN. (2) Oil and/or petroleum products, vehicles, facilities and real estate, subject or used to carry out the infringement under para. 1 shall be taken in favour of the State regardless of whose ownership they are.
ParlaMint-BG_2018-07-12.u22	Statements? I can't see. I put to the vote the unsupported proposal of the MP Todor Bajchev. 135 MPs voted: 48, against 29, abstention 58. The offer is not accepted. I shall put to the vote the editorial of art. 31 on the Commission report. Vote 128 MPs: 105 against 6, abstention 17. The motion is accepted.
ParlaMint-BG_2018-07-12.u23	Under art. 32 has a proposal from the National Representative Todor Baychev: In Article 1, paragraph 1 is replaced by the following: 32 the following amendments shall be made: 1. Alinea 2 is out. 2. Paragraph 1 shall become the content of art. The Commission does not support the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. 32: Art. 32. (1) Whoever violates the prohibition of art. 25, para. 1 is punished with a fine, respectively with a penalty of 20 000 to 200 000 BGN. (2) Oil and/or petroleum products, vehicles and equipment, subject or used to carry out the infringement under para. 1 shall be taken in favour of the State regardless of whose ownership they are. (3) Whoever violates the prohibition of art. 25, para. 2 is punished with a fine, respectively with a penalty of 10 000 BGN. up to £20,000. (4) In case of repeated infringement under para. 3, the double amount of the fine or penalty shall be imposed and the registration of the activity shall be deleted. The person shall not be entitled to apply for a new registration for the same activity within six months of the deletion.
ParlaMint-BG_2018-07-12.u24	Statements? I don't see any speeches. I put to the vote the unacceptable proposal of the Parliamentary Representative Todor Bajchev, which the Commission does not support. They voted 137 MPs: 44, against 35, abstention 58. The offer is not accepted. I am now putting to the vote the editorial of art. 32 on the Commission report. They voted 133 MPs: 111, against 13, abstention 9. The motion is accepted.
ParlaMint-BG_2018-07-12.u25	There is a proposal from the National Representative Emil Dimitrov to create art. 32a. The Commission shall in principle support the proposal, which shall be reflected in art. 32, para. 3 and 4 and it's already been voted out. The Commission shall support the text of the importer for art. 33. The Commission shall support the text of the importer for art. 34. The Commission shall support the text of the importer for art. 35.
ParlaMint-BG_2018-07-12.u26	Statements? I don't see any speeches. I shall put to the vote the texts of the importer for Articles 33, 34 and 35, which the Commission shall support. Vote 137 MPs: 118 against 9, abstention 10. The motion is accepted.
ParlaMint-BG_2018-07-12.u27	The Commission shall in principle support the text of the importer and propose the following version of art. 36: Art. 36. (1) The acts establishing the administrative infringements under art. 29, 31, 32, para. Art. 1 and Art. 1 33 shall be composed of officials authorised by the Minister of Finance or the Minister of Interior, and the criminal decrees shall be issued by the head of the office or by an official authorised by him whose official has drawn up the act establishing the administrative infringement. (2) The acts establishing the administrative infringements under art. Art. 30, Art. 34 shall be composed by officials authorised by the Minister of the Economy and the criminal decrees shall be issued by the head of the office or by an official authorised by him whose official has drawn up the act establishing the administrative infringement. (3) The acts establishing the administrative infringements under art. 32, para. 3 and 35 shall be composed of officials authorised by the Minister of Interior and the penal decrees shall be issued by the Minister of Interior or by an official authorised by him. (4) The establishment of infringements, the issuance, appeal and execution of criminal ordinances shall be carried out in accordance with the Law on Administrative Violations and Punishments.
ParlaMint-BG_2018-07-12.u28	Statements? I don't see any speeches. I shall put to the vote the editorial of art. 36 on the Commission report. Vote 126 MPs: 110 against 9, abstention 7. The motion is accepted.
