Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-10-20-prot-202122--18	i-d869bce87c22df5e-8	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 18	2021-10-20	Unicameralism	2021/22	-	-	2021/22--18	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202413	Sätherberg, Anna-Caren	F	-	
ParlaMint-SE-en_2021-10-20-prot-202122--18	i-d869bce87c22df5e-27	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 18	2021-10-20	Unicameralism	2021/22	-	-	2021/22--18	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243576	Lahti, Birger	M	-	
ParlaMint-SE-en_2021-10-20-prot-202122--18	i-d869bce87c22df5e-40	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 18	2021-10-20	Unicameralism	2021/22	-	-	2021/22--18	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4971184	Olsson, Lotta	F	-	
ParlaMint-SE-en_2021-10-20-prot-202122--18	i-BmzXvQVXEe1NX8UgvhGk9S	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 18	2021-10-20	Unicameralism	2021/22	-	-	2021/22--18	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202413	Sätherberg, Anna-Caren	F	-	
ParlaMint-SE-en_2021-10-20-prot-202122--18	i-d869bce87c22df5e-55	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 18	2021-10-20	Unicameralism	2021/22	-	-	2021/22--18	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4971184	Olsson, Lotta	F	-	
ParlaMint-SE-en_2021-10-20-prot-202122--18	i-d869bce87c22df5e-59	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 18	2021-10-20	Unicameralism	2021/22	-	-	2021/22--18	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202413	Sätherberg, Anna-Caren	F	-	
ParlaMint-SE-en_2021-10-20-prot-202122--18	i-d869bce87c22df5e-62	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 18	2021-10-20	Unicameralism	2021/22	-	-	2021/22--18	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4971184	Olsson, Lotta	F	-	
ParlaMint-SE-en_2021-10-20-prot-202122--18	i-d869bce87c22df5e-67	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 18	2021-10-20	Unicameralism	2021/22	-	-	2021/22--18	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q65499866	Christiansson, Alexander	M	-	
ParlaMint-SE-en_2021-10-20-prot-202122--18	i-d869bce87c22df5e-72	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 18	2021-10-20	Unicameralism	2021/22	-	-	2021/22--18	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q65499866	Christiansson, Alexander	M	-	
ParlaMint-SE-en_2021-10-20-prot-202122--18	i-d869bce87c22df5e-89	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 18	2021-10-20	Unicameralism	2021/22	-	-	2021/22--18	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202413	Sätherberg, Anna-Caren	F	-	
ParlaMint-SE-en_2021-10-20-prot-202122--18	i-d869bce87c22df5e-93	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 18	2021-10-20	Unicameralism	2021/22	-	-	2021/22--18	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q65499866	Christiansson, Alexander	M	-	
ParlaMint-SE-en_2021-10-20-prot-202122--18	i-d869bce87c22df5e-98	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 18	2021-10-20	Unicameralism	2021/22	-	-	2021/22--18	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202413	Sätherberg, Anna-Caren	F	-	
