Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-11-23-prot-202122--32	i-bc10df96875463e4-2	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 32	2021-11-23	Unicameralism	2021/22	-	-	2021/22--32	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q57168821	Berglund, Jörgen	M	-	
ParlaMint-SE-en_2021-11-23-prot-202122--32	i-bc10df96875463e4-14	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 32	2021-11-23	Unicameralism	2021/22	-	-	2021/22--32	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q57168715	Modig, Linda	F	-	
ParlaMint-SE-en_2021-11-23-prot-202122--32	i-bc10df96875463e4-29	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 32	2021-11-23	Unicameralism	2021/22	-	-	2021/22--32	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168756	Gunnarsson, Hanna	F	-	
ParlaMint-SE-en_2021-11-23-prot-202122--32	i-bc10df96875463e4-42	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 32	2021-11-23	Unicameralism	2021/22	-	-	2021/22--32	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2021-11-23-prot-202122--32	i-HgUwvsPemiE5qB9StVD1MF	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 32	2021-11-23	Unicameralism	2021/22	-	-	2021/22--32	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4887285	Carlsson, Clas-Göran	M	-	
ParlaMint-SE-en_2021-11-23-prot-202122--32	i-bc10df96875463e4-74	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 32	2021-11-23	Unicameralism	2021/22	-	-	2021/22--32	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168756	Gunnarsson, Hanna	F	-	
ParlaMint-SE-en_2021-11-23-prot-202122--32	i-bc10df96875463e4-77	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 32	2021-11-23	Unicameralism	2021/22	-	-	2021/22--32	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4887285	Carlsson, Clas-Göran	M	-	
ParlaMint-SE-en_2021-11-23-prot-202122--32	i-bc10df96875463e4-80	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 32	2021-11-23	Unicameralism	2021/22	-	-	2021/22--32	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168756	Gunnarsson, Hanna	F	-	
ParlaMint-SE-en_2021-11-23-prot-202122--32	i-bc10df96875463e4-84	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 32	2021-11-23	Unicameralism	2021/22	-	-	2021/22--32	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4887285	Carlsson, Clas-Göran	M	-	
ParlaMint-SE-en_2021-11-23-prot-202122--32	i-bc10df96875463e4-86	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 32	2021-11-23	Unicameralism	2021/22	-	-	2021/22--32	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q57168715	Modig, Linda	F	-	
ParlaMint-SE-en_2021-11-23-prot-202122--32	i-QHLLeERuwyhpBgeFF2rspA	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 32	2021-11-23	Unicameralism	2021/22	-	-	2021/22--32	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4887285	Carlsson, Clas-Göran	M	-	
