Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-0	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-3mKHbuxhiWTDuPHgFZA549	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-2	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168756	Gunnarsson, Hanna	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-7	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-18	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-42	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q6201234	Sällström, Sven-Olof	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-59	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-73	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168756	Gunnarsson, Hanna	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-92	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-110	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6027267	Olsson, Kalle	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-126	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q6201234	Sällström, Sven-Olof	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-131	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6027267	Olsson, Kalle	M	-	
