Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-39244588a9a1ef17-0	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	notMP	notMinister	M	Moderaterna	-	Centre-right	Q4755577	Norlén, Andreas	M	-	
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-39244588a9a1ef17-2	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4958102	Karlsson, Annelie	F	-	
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-39244588a9a1ef17-17	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q6039678	Pehrson, Johan	M	-	
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-39244588a9a1ef17-32	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q6039678	Pehrson, Johan	M	-	
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-39244588a9a1ef17-33	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q518776	Åkesson, Jimmie	M	-	
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-39244588a9a1ef17-47	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-39244588a9a1ef17-65	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4941329	Busch, Ebba	F	-	
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-39244588a9a1ef17-80	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1780398	Kristersson, Ulf	M	-	
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-39244588a9a1ef17-94	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q439393	Lööf, Annie	F	-	
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-39244588a9a1ef17-104	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18238235	Dadgostar, Nooshi	F	-	
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-39244588a9a1ef17-114	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-TdYU8sEc4jCiDZpG5ekM41	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2021-07-07-prot-202021--152	i-39244588a9a1ef17-130	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 152	2021-07-07	Unicameralism	2020/21	-	-	2020/21--152	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
