Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-2	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-14	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-26	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-35	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-42	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-45	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-50	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-54	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-62	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71055616	Morell, Thomas	M	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-71	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-76	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71055616	Morell, Thomas	M	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-83	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-87	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71055616	Morell, Thomas	M	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-92	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-96	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-107	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q27750419	Carlsson, Christian	M	-	
ParlaMint-SE-en_2021-10-22-prot-202122--20	i-00146e7ffaa115ca-112	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 20	2021-10-22	Unicameralism	2021/22	-	-	2021/22--20	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
