Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-03-12-prot-202021--93	i-a3402b004d475cf5-2	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 93	2021-03-12	Unicameralism	2020/21	-	-	2020/21--93	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-03-12-prot-202021--93	i-a3402b004d475cf5-9	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 93	2021-03-12	Unicameralism	2020/21	-	-	2020/21--93	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q57168715	Modig, Linda	F	-	
ParlaMint-SE-en_2021-03-12-prot-202021--93	i-a3402b004d475cf5-21	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 93	2021-03-12	Unicameralism	2020/21	-	-	2020/21--93	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71055616	Morell, Thomas	M	-	
ParlaMint-SE-en_2021-03-12-prot-202021--93	i-a3402b004d475cf5-28	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 93	2021-03-12	Unicameralism	2020/21	-	-	2020/21--93	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-03-12-prot-202021--93	i-a3402b004d475cf5-37	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 93	2021-03-12	Unicameralism	2020/21	-	-	2020/21--93	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q57168715	Modig, Linda	F	-	
ParlaMint-SE-en_2021-03-12-prot-202021--93	i-a3402b004d475cf5-47	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 93	2021-03-12	Unicameralism	2020/21	-	-	2020/21--93	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71055616	Morell, Thomas	M	-	
ParlaMint-SE-en_2021-03-12-prot-202021--93	i-a3402b004d475cf5-51	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 93	2021-03-12	Unicameralism	2020/21	-	-	2020/21--93	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-03-12-prot-202021--93	i-a3402b004d475cf5-57	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 93	2021-03-12	Unicameralism	2020/21	-	-	2020/21--93	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q57168715	Modig, Linda	F	-	
ParlaMint-SE-en_2021-03-12-prot-202021--93	i-a3402b004d475cf5-62	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 93	2021-03-12	Unicameralism	2020/21	-	-	2020/21--93	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-03-12-prot-202021--93	i-a3402b004d475cf5-68	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 93	2021-03-12	Unicameralism	2020/21	-	-	2020/21--93	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-03-12-prot-202021--93	i-a3402b004d475cf5-74	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 93	2021-03-12	Unicameralism	2020/21	-	-	2020/21--93	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71055616	Morell, Thomas	M	-	
