Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-11-30-prot-202122--37	i-8982415ab265ab4d-0	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 37	2021-11-30	Unicameralism	2021/22	-	-	2021/22--37	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-11-30-prot-202122--37	i-8982415ab265ab4d-6	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 37	2021-11-30	Unicameralism	2021/22	-	-	2021/22--37	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-11-30-prot-202122--37	i-8982415ab265ab4d-11	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 37	2021-11-30	Unicameralism	2021/22	-	-	2021/22--37	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-11-30-prot-202122--37	i-8982415ab265ab4d-21	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 37	2021-11-30	Unicameralism	2021/22	-	-	2021/22--37	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-11-30-prot-202122--37	i-8982415ab265ab4d-25	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 37	2021-11-30	Unicameralism	2021/22	-	-	2021/22--37	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-11-30-prot-202122--37	i-8982415ab265ab4d-29	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 37	2021-11-30	Unicameralism	2021/22	-	-	2021/22--37	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-11-30-prot-202122--37	i-8982415ab265ab4d-33	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 37	2021-11-30	Unicameralism	2021/22	-	-	2021/22--37	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-11-30-prot-202122--37	i-8982415ab265ab4d-37	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 37	2021-11-30	Unicameralism	2021/22	-	-	2021/22--37	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-11-30-prot-202122--37	i-8982415ab265ab4d-48	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 37	2021-11-30	Unicameralism	2021/22	-	-	2021/22--37	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-11-30-prot-202122--37	i-8982415ab265ab4d-59	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 37	2021-11-30	Unicameralism	2021/22	-	-	2021/22--37	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-11-30-prot-202122--37	i-8982415ab265ab4d-66	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 37	2021-11-30	Unicameralism	2021/22	-	-	2021/22--37	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
