Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-3	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-17	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-27	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-36	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-47	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-56	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-62	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-69	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-74	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-81	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-92	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-103	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-113	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-118	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-123	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-129	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5807932	Hjälmered, Lars	M	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-140	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2021-09-24-prot-202122--10	i-f217afa7c8b684bb-148	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 10	2021-09-24	Unicameralism	2021/22	-	-	2021/22--10	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5807932	Hjälmered, Lars	M	-	
