Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-0	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-11	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-17	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5596130	Beckman, Lars	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-24	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-31	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5807932	Hjälmered, Lars	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-39	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-47	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4990984	Åberg, Boriana	F	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-52	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q99527006	Höglund, Malin	F	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-58	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-70	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5596130	Beckman, Lars	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-79	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-88	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5807932	Hjälmered, Lars	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-93	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-99	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4990984	Åberg, Boriana	F	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-102	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q99527006	Höglund, Malin	F	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-106	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-116	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5596130	Beckman, Lars	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-121	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-127	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-135	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-140	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4990984	Åberg, Boriana	F	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-151	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-158	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4990984	Åberg, Boriana	F	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-165	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-173	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4990984	Åberg, Boriana	F	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-178	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-182	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-187	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71055616	Morell, Thomas	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-196	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2021-01-26-prot-202021--70	i-2a12480308ea766c-206	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 70	2021-01-26	Unicameralism	2020/21	-	-	2020/21--70	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71055616	Morell, Thomas	M	-	
