ParlaMint-NO_2008-01-30.ana.ud1816e22	The representative Karita Bekkemelm, who has been on leave, has once again taken up the seat.
ParlaMint-NO_2008-01-30.ana.ud1816e47	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. We then start with the first main questions, from the representative, Siv Jensen.
ParlaMint-NO_2008-01-30.ana.ud1816e56	The Prime Minister and the Government have for a long time created expectations that it is impossible to meet. Expectations have been made that, then, all unsolved tasks around the municipality of Norway will be fulfilled now that you have received this red-green government. What's the situation, is that it's very easy to make the kind of promises when others are going to do the job. Then you can also blame others when things go wrong. The fact is that all people in this country live in a municipality, and they feel that there is a misunderstanding between this huge boast that the government always brings: there will be speed in the care of the elderly, in the school, there will be well-filled pools. Now the government has been out and promised more money for cultural purposes, more for drug treatment and more for sports. There will be more doctors in hospitals, increased efforts will be made to rehabilitate and increased rates of social assistance will be provided. Even the maintenance of churches and other municipal buildings will increase. There are quite a number of tasks that this Government promises to do on behalf of its municipalities. The situation is that most people feel that things are going the opposite way. Now several of the leaders of the Central Party are out and expect more money in the context of the revised budget for spring, and there is an insurrection of the rapporteur on the rise in the Workers' Party. There is evidence that many municipal politicians are starting to feel disturbed and uncomfortable at the crisis of expectations that is being created in relation to the reality of the local economy. Then it might be interesting to hear the Prime Minister give a realistic assessment - a realistic description of reality - instead of repeating the celebrations he normally holds when he meets in Stortinget.
ParlaMint-NO_2008-01-30.ana.ud1816e67	I thank you for the question. I heard on the radio that the representative Jensen was concerned that I should be humble, and I let myself be inspired by the humble question of trying to be as humble as I can. I want to start by saying that you have to make a difference between two questions. One is whether there's actually been improvements, and the other is whether it's all good. I believe very clearly that there are very clear improvements, a lot of strengthening of the local economy, much better now than a few years ago, when Siv Jensen supported the government's budget structure over several years. But that doesn't mean everything's good. That doesn't mean we're in all areas. That doesn't mean it's not much of a draw. But let me just remind you of some areas where we're setting up and strengthening a municipal economy after several years with very tight and poor municipal economy. One is the actual accounting figures. Before that, a large number of municipalities were in deficit. ==References== 140 municipalities were on the so-called ROBEK list - that is, put under state supervision because there were problems with managing the economy. That figure has now been reduced to 42, so there has been a sharp decrease in the number of municipalities that are under state control due to weak economy. And the municipalities go together in profit. However, more important than the accounting figures is that municipalities are in the process and are in the process of providing 10,000 new annual work in the care of the elderly. They have 25 000 more children in kindergarten, and 2.5 billion more were spent at school in 2007 than in 2006. That doesn't mean that we're in the goal, but that means that we're in the process of a formidable lift. There has been a significant increase in money to municipalities because we got a new majority and a new government in 2005. So we've started a reverse operation, but we're not in the goal, so we want to continue our policy.
ParlaMint-NO_2008-01-30.ana.ud1816e82	I'm going to make the question very simple, so that the Prime Minister may see it. Is it realistic for people to expect an improvement, both in the care of the elderly and in school? Can they expect full basins, higher social assistance rates, growth in drug treatment, more for sport, more for cultural purposes, stronger rehabilitation, more doctors in nursing homes, increased funding for the maintenance of churches and municipal buildings? These are all of the promises made by the Prime Minister and the Government on behalf of the municipalities in recent years. Does the Prime Minister consider that there is a link between the Government's promises and the ability of the municipalities to make these promises?
ParlaMint-NO_2008-01-30.ana.ud1816e93	I thank you for the simple question and will try to answer it. Yes, the government is going to make sure that we have a municipal economy where we can still expand the important welfare systems. This means that there is going to be more money for the care of the elderly – more hands in the care of the elderly. There's going to be more kindergartens. Through, inter alia: We're also going to make sure that there's more money for culture. We're going to make more money for sports, and we've already shown that we're doing it. But once again, it's not that even though we provide more money for a purpose, it's necessarily enough money. I meet many rapporteurs who are pleased that there has been more money for important purposes and more than when Siv Jensen supported the Bondevik II Government, but I also meet many rapporteurs who want even more. I never think we'll get there that the rapporteurs say it's enough, we don't need more money. We must always make every effort both to get more money for the local economy and to spend the money in the best possible way.
ParlaMint-NO_2008-01-30.ana.ud1816e102	There'll be four follow-up questions--first Bent Höie.
ParlaMint-NO_2008-01-30.ana.ud1816e105	If the country's rapporteurs and local authorities were able to balance their budgets with the Prime Minister's rhetoric and arrogance, they would not have been in the situation they are in at present, namely that the municipalities land and beach around the kutter in their budgets. The fact is, as the director of Gudbjørgsrud in KS said to the evening post recently, that the budget line for 2008 is tighter than the budgets that Erna Solberg presented. The national budget clearly shows that the free revenues of municipalities have been reduced in both 2007 and 2008. In such a situation, the prime minister's councils travel around the country and the beach and promise more and more on behalf of the municipalities. As the representative Siv Jensen went through, more is promised for sport, more is promised for addicts, more is promised for social assistance rates, etc. When will the Prime Minister show leadership qualities and stop governments from promising more and more on behalf of municipalities without being financially able to implement them?
ParlaMint-NO_2008-01-30.ana.ud1816e112	I'm not going to stop the councils from promising more when we follow the promises. When it comes to the local economy, we've followed up on what we promised. We have ensured a strong growth in the total income of municipalities. Based on the latest, quality estimates we had in the national budget, there are over 20 billion kroner in increased revenues of three years for municipalities. Then those numbers will be constantly revised. We get new estimates for both tax revenue and cost growth, and we will of course take that with us when we present the municipal plan for next year. But there is no doubt that there is a record growth in the revenues of municipalities, and that is why many right-wing rapporteurs have also thanked for the efforts made by the red-green government. So we're going to provide more money for important purposes, and we're going to keep doing that. And we have said that we must fully finance new reforms. When, for example, now promises several hours at school, it brings money to the municipalities for several hours at school. Well, of course, it's missing. We're not there, of course, that everything's in place.
ParlaMint-NO_2008-01-30.ana.ud1816e120	Bjørg Tørersdal - for follow-up questions.
ParlaMint-NO_2008-01-30.ana.ud1816e123	The Christian People's Party is pleased with the escalation that has taken place in the local economy and with the increased tax revenue, which has also led to increased welfare production in municipalities. However, we must agree that this escalation has stopped, and we must take it seriously when rapporteurs from all parties throughout Norway send signals and tell them that they must now cut into teaching positions and in auxiliary care positions, in the care of the elderly, etc. We have to take them seriously and say that we share the reality that they have. And then they ask us, yeah, what's up? If you agree that we have to cut jobs for different reasons - it has become more expensive, there are increased costs, there are more students in school, etc. - Yeah, what's up? My question to the Prime Minister will be: Will he give priority to the local economy when one comes to the revised budget?
