ParlaMint-NO_2008-05-21.ana.ud1553e22	The representative, Karin S. Woldseth, will present a proposal for a representative.
ParlaMint-NO_2008-05-21.ana.ud1553e25	I am delighted on behalf of Ulf Erik Knudsen and myself to propose the winding-up of the system of state scholarships and guarantee receipts to artists.
ParlaMint-NO_2008-05-21.ana.ud1553e30	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2008-05-21.ana.ud1553e56	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Bjarne Håkon Hanssen State Council Heidi Grande Røy State Council Board Vegar Solhjell The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. AscendingSort order for mail groups We then start with the first main questions, from the representative Kenneth Svendsen.
ParlaMint-NO_2008-05-21.ana.ud1553e75	I have a question for the Minister of Labour and Inclusion. It is now social security settlement time. Minimum pensions in Norway are well below the poverty line in the EU. The minimum Danish pension is approximately NOK 200 000. The Progress Party has repeatedly proposed a strong increase in our minimum pensions. In the Soria Moria Declaration, the red-green lower proportion promised. The result has been an increase every year. The minimum pensioners are major consumers of this, so they get a worse offer. Owner trust has sessioned. More and more pensioners are buying private health insurance because of long waiting time and poor treatment. It helps create a class distinction between well-managed pensioners and the least-pensioners in society. In the revised national budget, the government manages to increase the amount of fuel and diesel tax at the top of the market increase that has occurred on petrol and diesel. This leads to the announcement of NOK 18 per person. litre for fuel - which the minimum pensioners also have to pay. We have a super expensive agricultural settlement, and the bill has been sent to the users. One expects an increase of approx. 10 pst. on food prices, which, of course, the minimum pensioners also have to pay. Private sector wage growth seems to be at 6-7 pst, and we are now going into the government payroll, which can be the same or more. The costs of pensioners, and especially the minimum pensioners, those who have been with and built this country, have increased sharply lately. Then my question to the Council of State is simple: can the Council of State guarantee here and now that the minimum pensioners are covered by these costs and get an increase in their pensions in line with the other workers in Norway?
ParlaMint-NO_2008-05-21.ana.ud1553e88	The answer to the question is yes, the wage development of pensioners will follow the other wage developments. The Government aims to implement the social security system fully in line with the guidelines adopted by the Storting. Those guidelines are very clear, in the sense that you're both going to see if there's any lag from last year -- and that's this year, and that's what needs to be paid after -- and then you're going to compensate for the expected wage development this year. The same thing happened last year. This led to last year's best social security settlement, because wage developments were generally high. Last year, the minimum pensions increased by more than NOK 10000. Everything suggests that we get into the situation that last year's best social security settlement is this year replaced by the best social security settlement of the time, precisely because wage developments are as high as they are in society. In the last big period, as Vice-Chair of the Social Committee, I worked closely with, among other things. The party of progress and then the committee leader John Alvheim, and we were in a very active position to make the guidelines that we are now implementing the social security schemes. They're very precise, clear and clear that we're not going to underregulate G in terms of wage developments, and we're going to follow those guidelines now. Then during the autumn, the Stortinget will be presented with a legal case in which we will establish new guidelines for the regulation of pensions in the future. But per year. Today, it is quite clear that the Government will ensure that the social security settlement this year follows the wage trend that the general population has had, and all indications are that it will be the best social security settlement of the time.
ParlaMint-NO_2008-05-21.ana.ud1553e99	There is nothing that delights both me and the Progress Party as much as we get a good settlement. The problem is that what the Council of State calls the best settlement of the time - which we had last year - led to minimum pensioners with 120 000 kroner a year, far below the EU poverty line. Compared to Denmark, where the minimum pensions are nearly SEK 200 000, the Norwegians are far, far behind. So it's about giving the people who, through a long life, have built this country, stone on stone, a good offer. Then the question is, does the Council not support the minimum pensioners who have helped build the country, a higher pension? Will he take the initiative to follow up the proposal of the Progress Party on a number of occasions, namely a minimum pension of between 130 000 and 140 000 kroner?
ParlaMint-NO_2008-05-21.ana.ud1553e108	Now there's another question -- what was the main requirement -- was that we should follow the social security policy and that pensioners should have the same wage development as everyone else. I have recorded that the Stortinget, not least the Advance Party, is very often concerned that the Government must be responsive to the decision and signals of the Stortinge. I agree with that. In any case, we must be very committed to following the decisions, and there is a very clear and clear decision in the Grand Duchy on the guidelines for implementing the social security system. The Progress Party has been active in shaping this, and we are going to implement the social security system in line with those guidelines. This will result in both minimum pensioners and other pensioners like everyone else getting a very good paycheck this year. The pensions, like the salaries of people, will be raised, so I think we can all count on a real wage increase in 2008.
ParlaMint-NO_2008-05-21.ana.ud1553e115	There will be follow-up questions--first Dagfinn Højbräten.
ParlaMint-NO_2008-05-21.ana.ud1553e118	The Christian People's Party is concerned with justice in the pension system both for the minimum pensioners and for other groups. Many have experienced becoming minimum pensioners or getting a low supplementary pension because they have taken care of their own children at home. It has been and is a task of great value to families and society, but until 1992 there has been no census in the form of service provision. The Christian People's Party has long called for retroactive power to be given to care generation legislation in favour of this group. We are satisfied with the pension reform, which ensures the vesting of pension entitlements for unpaid care work in the future as well, and we support the Government's proposal on the retroactive effect on care scores for this group of people who become subject to new retirement rules for retirement pensions, i.e. in whole or in part for persons born after 1951. But this in any case has no consequences for those who are already old-age pensioners. Will the Government initiate a more detailed retrospective assessment of care scores for this group, and if so, when can we expect a more detailed review of this need?
ParlaMint-NO_2008-05-21.ana.ud1553e123	We have no plans to implement such a return of care services. What we are now working on is a pension scheme that will in the future be such that those who earn new social security benefits will have a retrospective provision of care in new social security. This is related to the fact that those who earn a new pension have an annual rule that counts when they have to calculate their pension, so that every year counts. Thus, it is important that those who are out of work for some years because they have care tasks get a free-of-charge earnings for those years. In the existing public interest, there is a best-year rule that applies. That's why we didn't think it was important to go back to before 1992 with a generation of care for those groups, precisely because it's very difficult to document what happened before that time.
