ParlaMint-NO_2008-06-05-lower.ana.ud688e30	The representative, Robert Eriksson, will put forward a draft representative law.
ParlaMint-NO_2008-06-05-lower.ana.ud688e33	In doing so, I am delighted to make a proposal by the representatives of Carl I. Hagen and myself on the law on amendments to the Law of 28 February 1997 No. 19 on popular security - the People's Security Act.
ParlaMint-NO_2008-06-05-lower.ana.ud688e38	The legislative proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2008-06-05-lower.ana.ud688e52	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. In addition, the President will propose that there be no change of line, and that those who have to sign on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. It shall be deemed to have been adopted. The President has reason to believe that not all speaking time will be used.
ParlaMint-NO_2008-06-05-lower.ana.ud688e63	I think the President is right about that. I just want to say that this proposal for a representative, promoted by the Progress Party, actually deserves praise, because through this proposal they have caught up with a group that we have not seen. It is about health professionals, a new professional title with a course of vocational training, etc. which was introduced as part of the Knowledge Commitment in secondary school. The starting point is that those following an ordinary course of training will first take a professional test next summer. The government would have had to submit a proposal to that effect during the year. But then there's someone who has so much practice and theoretical knowledge that they can take a professional test right now in ours. Apprenticeships on adult education and traineeships with sufficient practice may be subject to a vocational test as early as spring 2008. This group is safeguarded by the fact that the Progress Party promoted this proposal for a representative, which we immediately addressed here in Odelstinget as a legal matter. I want to praise the Advance Party because they promoted this proposal and captured this group of apprentices, and I am happy that we can make this legislative change now. So I'm not going to say anything more. I don't think there are so many more who should say anything either--perhaps Nesvik?
ParlaMint-NO_2008-06-05-lower.ana.ud688e74	That's absolutely right.
ParlaMint-NO_2008-06-05-lower.ana.ud688e77	I'm not going to spend that long. I just want to say that the proposal certainly looked plausible at first; it was a relatively small proposal, which might not get the exit it got. But for those that this applies, it's incredibly important. For those who will be able to be trained this summer, it is important that this system is in place when we have said that it should be in place. In this regard, I'm not going to spend any more time, but just say this is a school example of how things can be done if you're looking to find together. I would like to pay tribute to the government parties and the rest of the committee, who have joined the proposal. Now it's actually in place. So our case rapporteur, the Schjellaa, and the department and others here have been willing to see how we can solve a case that might only concern a few, but that's very important to them. It is good that this is now in place for the proposals of the Progress Party to be adopted, and also for all the government parties.
ParlaMint-NO_2008-06-05-lower.ana.ud688e88	It is rare to hear so much praise all ways as in this matter. I would also like to commend the Committee, all those who have supported this proposal and this position, because it is an important matter that has also been discussed by the representatives of Nesvik and Skjellaa. Health-career training is known as a new education and is part of the Knowledge Lift. It's clear that it would have been a little silly-- if it's allowed to say that-- if we hadn't been able to use the resource that's there, as soon as possible. So I'm also very happy and very pleased with what I understand will be adopted later here today.
ParlaMint-NO_2008-06-05-lower.ana.ud688e95	Then there is great joy also at the presidential table, because there have been many people who have not asked for the floor in case No. Add User-ID Succeeded [[Footing, see page 535]]
ParlaMint-NO_2008-06-05-lower.ana.ud688e111	At the request of the Economic and Social Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. In addition, the President will propose the possibility of a replacement of lines of up to five lines following the intervention by the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2008-06-05-lower.ana.ud688e120	It is not intended to destroy the good spirit after the examination of the previous case, but it is now for the business committee to examine Ot.prp. No 35 for 2007-2008, on amendments to the Competition Act, where there is a sufficient gap between the conclusions of the Government and those drawn by the opposition parties. The amendments in question relate to Section 21 on the review procedure in merger cases, Section 18 on the notification of concentration and Section 19 on the enforcement ban in merger cases. The most fundamental proposal is the amendment in Section 21, which means that the Government can jump over the claim for review of the competitive consequences of a merger, and rather go straight to political review, without competitive treatment. The reasons for this proposal are, in my view, reasonably absurd. The government claims that abandoning the professional review process would be a simplification measure and that it is difficult for the outside world to understand today’s approach. Of course, it will be easier for the Government and for the companies that will carry out a anti-competitive merger if the professional assessment requirement is removed. However, the aim of the Competition Act is to ensure an effective use of society’s resources, in particular from the point of view of consumers. It would then be reasonably absurd to present a clear weakening of the legal instruments against anti-competitive mergers as a simplification measure. When it is not even possible for the Government to demonstrate any measurable savings in this respect, this part of the explanation becomes reasonably thin. The claim that today’s appeals procedure is difficult to understand is also met with headshots from all those who have expressed their opinion on this proposal. The Government, on questions from the Committee, has indicated that the Prior-Norgården merger was difficult for the outside world to understand. It is quite right that it was quite difficult for many people to understand the government’s overrun of the Competition Authority in that matter. But it was not the system of review that was difficult to understand, but, on the other hand, the government's conclusion, to give Prior a monopoly on eggs based on a alleged fear of a new WTO agreement. It was a rather incomprehensible and anti-consumer decision. It could also be said that it was reasonably incomprehensible that the Government gave Statkraft a more dominant position in the Middle Norwegian power market. However, the fact that the government’s overrun of the Competition Authority in these cases does not seem logical is therefore no reason to change the appeal procedures for such cases. An overall opposition, like most hearing bodies other than the LO and the Agricultural Cooperation Group, concludes that the proposal lowers the threshold for the political recognition of anti-competitive mergers. This weakens competition policy as a whole. An overall opposition is opposed to the proposal. In such cases, the parties will always claim that the merger does not prejudice competition. If the Government does not carry out the competitive appeal proceedings first and concludes on this side of the case, consumer considerations as an element of any political assessment will be pushed under the carpet. In other words, the amendment of the law makes it more comfortable for the Council of State to fail consumers at the expense of special interests. It is striking that the Government wants to weaken its own decision-making base in such consumer cases. Business is also strongly opposed to such a weakening of the Competition Act. The amendment makes the Competition Act less predictable and more arbitrary. The fear is that the amendment of the law increases opportunities for lobbying and more discrimination. Impaired predictability means that companies will start to assess mergers that would otherwise have been dropped. This removes part of the preventive effect of the Competition Act. The right considers that there are weaknesses in today's appeal-handling system, but will of course go in the opposite direction and strengthen the professional appeal-handling system. We believe that experience suggests a more independent professional handling of appeals, and in this context shows that this was proposed by the Right in Document No. 8:08 for 2006-2007. As regards the extension of the requirement to the content of mergers notifications pursuant to Section 18, this increases the field of business forms. The proposal implies that merging companies must report on the five main competitors also in markets where the merged company has less than 20 pst. market share. An overall opposition is also opposed to this proposal, because we believe it is better to give the Competition Authority a little more resources to even ask for such information than that everyone merging should report more. This is a rather important principleal attitude towards the simplification work, which the Government has done little in this period. With regard to the prohibition of implementation in Section 19, the Committee supports this, although this leads to a slight increase in the burden on business. The change is basically correct, and the government has given good answers to questions about the thresholds that I think are on the right level. In common with the changes in Sections 18 and 19, the impact on business has been assessed to a small extent. And it's unfortunately a review tone in many things that this government is presenting.
