ParlaMint-NO_2008-06-17.ana.ud1058e117	The representative, Jan-Henrik Fredriksen, will put forward a proposal for a representative.
ParlaMint-NO_2008-06-17.ana.ud1058e120	I am pleased to present a proposal from Torbjørn Andersen, Tord Lien, Ketil Solvik-Olsen and myself on the establishment of hatchery and melting facilities for salmon in Tana.
ParlaMint-NO_2008-06-17.ana.ud1058e125	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2008-06-17.ana.ud1058e139	I'm not going to take a long time. I just want to say that there is a unanimous committee behind the proposal for a decision on the amendment of the tax agreement between the Nordic countries. But the opposition has a special note on the basis that the government has signaled that a plan to introduce a source tax for pensioners who have moved from Norway to abroad. This expresses the opposition to skepticism, and one asks that it be thoroughly analysed before making proposals for such a source tax. But the debate on that is going to take place when it comes to Stortinget.
ParlaMint-NO_2008-06-17.ana.ud1058e146	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 3785]]
ParlaMint-NO_2008-06-17.ana.ud1058e162	No one has asked for the floor. [[Fotation, see page 3785]]
ParlaMint-NO_2008-06-17.ana.ud1058e178	No one has asked for the floor. [[Fotation, see page 3785]]
ParlaMint-NO_2008-06-17.ana.ud1058e194	No one has asked for the floor. [[Fotation, see page 3785]]
ParlaMint-NO_2008-06-17.ana.ud1058e210	I just want to add a few comments to the matter. As you can see, the position of the Foreign Affairs Committee is unanimous. I am pleased that both the Government and a unanimous increase believe that the OSCE must concentrate on the work on its core tasks, as a forum for dialogue and cooperation on security policy issues in a broad sense. In addition, it is important to stress the active role of the OSCE in trying to resolve the remaining conflicts in South Caucasus and Moldova, and the focus being placed on this. The OSCE has played an important role, both in the presence in the various countries and with democratisation and human rights programmes, in the transformation processes that have been carried out and which are still ongoing in some places. It is also essential that the role of the organisation in work on safety and stability be continued. Nor should the organisation focus on ethnic and regional conflicts, organised crime, trafficking in human beings, arms and drugs trafficking and international terrorism. It has also been shown in these areas that the OSCE can play an important role. Finally, I would like to stress that the decision of the Foreign Ministers of Madrid to strengthen border controls between the Central Asian countries and Afghanistan must be actively followed up.
ParlaMint-NO_2008-06-17.ana.ud1058e221	I fully agree with what was said by the rapporteur. However, I will draw attention to what in many circles is called the forgotten war. That's the situation in Chechnya, which is far from ideal. We know that it is a difficult matter to deal with Russia, but nevertheless the OSCE, if practical, should address this with the Russian authorities. I've spent some time reading some of what political journalist Anna Politkovskaya has written. I just have to admit that it was a shocking reading. The situation may appear to be somewhat stable, but it is far from a peaceful and fair situation. So my call is, if that's possible, please keep up the situation as well.
ParlaMint-NO_2008-06-17.ana.ud1058e228	Several have not asked for the floor on case No. 5th@item: inlistbox [[Fotation, see page 3785]]
