ParlaMint-NO_2008-05-30.ana.ud383e55	The representative, Mr Harald T. Nesvik, will present a proposal for a representative.
ParlaMint-NO_2008-05-30.ana.ud383e58	I have the pleasure on behalf of Per Egil Evensen, Jan Henrik Fredriksen and myself to propose the introduction of an annual hospital proposal.
ParlaMint-NO_2008-05-30.ana.ud383e63	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2008-05-30.ana.ud383e77	At the request of the Church, Education and Research Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies following the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2008-05-30.ana.ud383e86	The talk of Biggest Things, about the University Museums, is well received in the professional environments and well received in the Biggest Committee. That's the short summary of the setting. Then it is that the two crucial factors that the notification addresses, and which the Committee also stresses, are that the university museums have a clear social responsibility and that they are crucial in an important general perspective. The building and storage conditions at the museums are one of several important areas to be addressed, and this is, in the Committee's view, the most critical in the current situation of the university museums. It's this one collective committee says about the purpose of the museums, and about what's the most critical of the museum's functions. The Committee is also gathered on the importance of museums to ensure society's need for knowledge of our nature and cultural heritage. Then we go into some concrete museums, to which I come back. Among other things, we have referred to the work being done with a university museum in Stavanger. I have nothing to add there besides what is in the setting. It is also the case that the Committee considers that it is appropriate to stress what is stated in the Communication, that the university museums need to develop a good relationship and, more generally, a closer relationship with universities in the field of research and development. The growing house on Tøenen is e.g. an impressive gene bank. It's not only an archive of living plants and other relationships that have to do with nature and life in nature, but also a large gene bank, a large archive. There's something that meets the needs of the audience. There is something that meets the needs of young people, so that they can meet different parts of society with curiosity. As far as the various museums are concerned, they must be presented in a good way not only internally but also externally. In this context, you would like to talk about the museum's basic exhibitions. I myself have been on a button inspection with someone else in the committee, among others. at the Cultural History Museum here in Oslo, and it is clear that it is crowded there. It's crowded where it's to be shown, and the place is used with great imagination -- you have to give it to those who do the job. It is also clear that when you see what is stored in the basement, there is a lot that could have been shown that is not shown. When you also know the magazine situation at the same time, you underline the comments made by the Committee in its unanimous position. With regard to these basic exhibitions at the museums, which are thus a living presentation of their basic tasks, a minority in the Committee, the representatives of the Progress Party, the Right, the Christian People's Party and the Left, say that we believe that the costs associated with the renewal of the exhibitions should not only be charged to the internal funding system, but that the museums here must receive a share of fresh funds for this purpose. Then it is that in our time of digitalisation we also support further work on the plans of a national digital university museum, and we support the idea that a sample will be set up to look at this further. There has been a considerable debate about the university museums on how to organise and manage them. The Ministry has chosen to join the minority in an investigation group on this matter and wants the museums to remain part of the university system. The Committee agrees wholeheartedly and unanimously. It's almost impossible to imagine -- after traveling around the world -- that one might, for example. had to remove libraries and museums from a university. The phenomenon is then somewhat ludicrous, both professionally and in the sense that each subject should have its own specific character, and not least from the perspective of generalisation which is also underlined in the communication and to which the Committee subscribes. In the case of the building mass, it is critical. Here it is that a minority in the Committee, the representatives of the Progressive Party, the Right, the Christian People's Party and the Left, are promoting a proposal, which I am addressing just for the sake of order, asking you to come back with a systematic plan to look at the need for the critical thing to be resolved. It's important that this is lifted up, and as a minority and opposition representatives, we have found reason to promote it. Then there's a special mention in the setting from the committee of two of the major museums. One is the Cultural History Museum at Tullinløkka. Here, a minority in the Committee, representatives of the Right, Christian People's Party and the Left, say that we want the state to move forward with the plans to secure the site of this museum in Bjørvika, as it has been planned in the past. I just want to say this on behalf of these three parties in the context I'm presenting it. The Progress Party has its own comments on this point, which they themselves will present. Then the committee agrees wholeheartedly and positively with the plans to set up a greenhouse. We know that there are private people who want to give something. The minority in the Committee, the Progress Party, the Right, the Christian People's Party and the Left, make a strong call to the authorities to strike, so that we can get the greenhouse to be a good scientific centre, a science centre, at the University's 200th anniversary in 2011. In doing so, I will address the proposal to which I have referred earlier.
ParlaMint-NO_2008-05-30.ana.ud383e116	The representative Odd Einar Dørum has taken up the suggestion he referred to.
ParlaMint-NO_2008-05-30.ana.ud383e119	First of all, I must thank the rapporteur for a good job. The representative Dørum and I also got the opportunity to visit several of the university museums in Oslo in the work on this message. It was instructive, but it also gave cause for concern for the situation of several of the museums. There is a great deal of consensus in the Committee on Much, as the rapporteur also stated. It is also worth noting that the university museums are pleased with the message, and that it gives a reality they can recognize themselves in. The challenge for all of us will be to work for the means to follow up the measures proposed, not only in terms of building conditions, but also in terms of dissemination, digitisation and R & D activity. In this respect, I would like to mention that the Government has provided earmarked funds for collecting management and securing to remedy the building situation, and for Digforsk AS’ work on digitisation. This does not mean that there are some things that remain, and it also points to the message. Much remains to be done with regard to the digitisation of collections, on the building and warehouse sites, and with regard to research and development. The message points to many important actions that need to be taken. With regard to the further priorities of the Government of the economy for the follow-up of the measures, they will be seen in the annual discussions on the State budget. It is important to establish the social responsibility of the university museums, both in documenting and researching our cultural and natural heritage, and in communicating it to the general public and to children and young people in particular. It's an important work done in the museums to document our common heritage. Professional cooperation between museums and universities can continue to be strengthened. At the same time, it is important that the dissemination of results is done in a way that creates interest. The basic exhibitions must be relevant and up-to-date. As far as cooperation with the science centres is concerned, it is also important. I think it is right that there are stronger leads to cooperation with the school and the science centres, and that this is indicated as an incentive in the message. This does not mean, however, that there is an absolute requirement, as the Right and Advance Party claim in a note. Non-cooperation will not have budgetary implications, but cooperation will be a theme of the department's dialogue with universities and science centres. I assume that other representatives of the government parties and the state council will come back to more of the content of the message, so I want to mention a few specific things. First, I want to highlight the role of museums in the work on biodiversity, environment and climate information. Our natural history collections are based on a very comprehensive documentation of our diversity of species. They are a national and international source of knowledge on biodiversity. We aim to stop the loss of biodiversity in Norway by 2010, and the natural history museums are an important source of knowledge about this. In this context, I would also like to mention the work done by the Art Database, in cooperation with and as the recipient of competence and material from the university museums. This cooperation combines knowledge and environmental policies, which are crucial in our efforts to stop the loss of biodiversity and to take climate change seriously. The Committee is in agreement in its note on the Archaeological Museum in Stavanger as a new university museum. I am aware that in these days there is a formal process going on between the University of Stavanger and the Archaeological Museum, and that there is a consensus that this is what you want. After all, it runs counter to the fact that the Archaeological Museum is soon linked to the University of Stavanger and becomes a university museum. There will be a solution for which the Labour Party and the Government will be very pleased. Finally, I would like to point out a new greenhouse at the Natural History Museum. This is a very exciting project. As the representative of Dørum had in mind, there are promises of private donations, and so far there has been a pre-requisite that the building should be financed without additional appropriations from the State. If it requires additional appropriations, the project must be assessed in line with other construction projects, and we must then come back to this when we are going to examine the budget.
ParlaMint-NO_2008-05-30.ana.ud383e140	I would also like to start by thanking the rapporteur. The collections of the University Museums are extensive. They span a variety of disciplines, and they form an essential part of our cultural and natural history heritage. Of course, there is reason to take seriously the warning signals that have come from the National Audit Office that the collections are in many ways not stored in a good enough way, and the indications that the management of these museums is not good enough either. Through the selection, led by Professor Bjarne Rogan, we have an investigation that points to the University Museums' responsibilities and responsibilities as social institutions, their history, and not least the challenges facing university museums. There has been a theme in the Rogan Committee on the organisation of university museums, and a majority of them wanted a changed form of association where university museums were removed from universities. However, the government has stated that the university museums will continue to be organised as university entities, which the Committee agrees to. In this respect, it has been crucial for the Progress Party to look at the role of the museums in relation to the research and teaching part at universities, but we clearly see that this presents significant challenges in relation to the external part, external responsibility for dissemination, and not least the university museums' development opportunities. Today we take exclusively for ourselves the university museums, because these are the ones that sort under the church, education and research committee. However, it is important in this context that some action be taken, so that museums that sort under other departments are also included in the overall assessment that you have to make. Museums and construction have been put on the agenda for the last few days, and we have been presented for different plans here in the Oslo area. The Progress Party believes that we need to take seriously the serious signals about the need to upgrade the building mass at the university museums, not least because of the many irreplaceable values they house. It is also important to facilitate the participation of the public in our historical taxes. In our opinion, we have too many cultural memories that are currently only available to researchers and archivists. To this end, the Committee has been concerned about how the public should be able to participate more fully in this. In this connection, we have discussed both toilet facilities and coffee cups and perhaps something good for the children. Dissemination responsibility has been a main focus. What must be done to make the audience find it attractive to visit these museums? Here, we believe that much more needs to be done to identify what is needed to increase the number of visits. The Progress Party has also pointed out that the organisation of the sector should not prevent cultural memories from being displayed and made available to the public near the site. We believe that in some cases it may create a greater interest to see ancient finds and cultural memories in the regions where they are found or have their origins. Of course, a prerequisite for this is that it is professionally sound and that the items are secured in a safe manner. Modern collection management is largely made up of digitised information. Large amounts of data have been transferred from analogue to digital form, but it is important that a comprehensive strategy is also in place to make use of these large quantities of data and to facilitate the use of the material for dissemination, management and research purposes. The opposition parties point out that there is a need for fresh money to renew the basic exhibitions, and not least a stepping-up plan must be drawn up to ensure funding for the upgrading of the building and warehouse conditions at the university museums. The Committee has been consulted on the plans for the construction of a new greenhouse building. For those of us who have been inside today's greenhouse, there is no doubt about the need. If one realises the planned greenhouse, with its public and reading facilities, it will provide the area and opportunities for dissemination a significant boost. The Progress Party has noted that cooperation between science centres and university museums is being called for. Of course, it's a vision we share. In a way, the White Centres have their origins in the museums. Using interactive exhibitions, themed exhibitions, etc. knowledge centres can make a good contribution to the dissemination of knowledge to school students, teachers and others. The Communication points to formalising cooperation between university museums and science centres. For us, it is equally natural to look at the cooperation with other museums both locally and nationally. The Party is concerned that such cooperation must be initiated and based on common interests. The role of university museums in relation to research will also be essential. It is an important challenge to establish closer cooperation between university museums and other museums in order to develop the R & D of the museums. The University Museums play an essential role in gaining knowledge and insight and are important in both basic research and applied research and development. Just because these museums in this way differ somewhat from other university research, which is mainly advocating theoretical insight, it is essential that the speciality of the museums in this field is also well taken care of.
ParlaMint-NO_2008-05-30.ana.ud383e170	In the autumn of 2004, the Bondevik II government reduced a sample under the direction of Bjarne Rogan, who was to explore the role of university museums in national museum policy. Your setting is the basis of the big message we are currently processing. The university museums play a central role in research on cultural heritage and natural heritage, and the museums are important suppliers of knowledge in cultural memory and nature management. There is no doubt that both the university museums and all our other museums have a great need for new recruiting professionals. It is important that we work all the time to be in advance of the training of professional positions at these institutions. It is of the opinion of the right that it is important that the critical conservation conditions that have been identified are followed up and that the ministry reinforces the measures already in place to improve the situation. As the Rogan Committee underlines, clearer control signals and upgrading of building conditions are key measures in this context. The continuous inclusion of new objects in collections also entails a long-term responsibility for preserving, securing and making available. To this end, the right supports the proposal to develop joint plans at the university museums, which will be seen in the context of the university museums' priority areas for research, management and dissemination. It has been established that there is a lack of conservation competence in Norway. It is therefore positive that the Government will consider increasing educational capacity both to meet the needs of the university museums themselves and to contribute to better meeting the need for conservators in other areas of the museum sector. In this context, increased cooperation with other countries could also contribute positively to improving conservation competence. A major challenge for the university museums is too poor framework conditions, including: an excessive build-up mass and poor storage and storage conditions. The right considers that institutions, and thus the university museums, need to be provided with increased resources to improve the framework conditions, so that museums can have better opportunities to prioritise work on the renewal of basic exhibitions. The right-wing view is that it is initially very good that good cooperation is established between the science centres and the university museums on dissemination adapted to the curricula of the school and to the public. On the other hand, we do not support the proposal as it now appears to be, that such cooperation should be a prerequisite for financial allocation to the scientific centres. It is good that economic instruments are put in place to promote dissemination, but the Right believes this should not be done by imposition, but by voluntary cooperation based on common interests. Right supports the Department's recommendation that university museums continue to be organised as university entities. It is essential, as also pointed out in the sample, that governance and cooperation are improved. The proposed measures in the message have financial implications. It is therefore important that this is followed up in a systematic and predictable manner. There are many people who have criticised the message for being too low commitments. The right, together with the other opposition parties, proposes that the Government return to the Stortinget as soon as possible with a financial escalation plan to strengthen the university museums, with particular emphasis on building and magazine conditions. There will be a clear signal that the Government is serious about the message. I am still hoping for an opportunity for the government parties to vote in favour of the proposal during our examination today. Finally, like the rapporteur, Mr Dørum, I would also like to draw up a point on which the opposition parties stand together. It's to make clear the new greenhouse built for the anniversary. I hope and believe that it will be possible. It can be seen that the Right Party, the Christian People's Party and the Left were almost at the top when the position and the proposal that we stand together were written, namely that it is important to set aside sufficient plots in Bjørvika for the Cultural History Museum at the University of Oslo.
ParlaMint-NO_2008-05-30.ana.ud383e193	I would also like to be allowed to give the case spokesperson credit for facilitating the work and releasing the committee through it in such a way that today we have, in my opinion, a very good attitude to discussion in Stortinget. Of course, on behalf of SV, I am pleased that the Government is getting in touch with what is a good message, which has been well received around the sector. In the follow-up to the museum reform, there is a lot of exciting happening in Museums-Noreg for the time being. I am pleased that this sector has increased economic freedom to do development work, but it is clear that there is an incredible amount to be taken up here. In this large sector, we are already in a phase where we are forced to address what is going on in quality and organisational development. So let me quickly go over to what's today's text about the university museum and not include the whole sector. I thought the case-speaker was doing well for the social value of these institutions when it was up to them to collect, when it was up to research, when it was up to them to preserve, when it was up to exhibiting objects, and not least when it was up to them to give evidence of nature, culture and art-historical development. It's an incredibly important job. I am also pleased that the case-speaker drew out the foundational perspective that we can derive from this, because it is clear that this is the starting point for experiences. This is the starting point for learning. This is the starting point-- at least that could be it-- for recognizing who we are, and what context we're in. And then I want to bring out the kind of special task that the natural history museums have, and the different collections that we have, for example. the job done by the Art Database to collect knowledge of biological deficiency. What I mean is a third perspective when it relates to the important job being done in this sector. We have this case today because the Riksaudition not so many years ago did an investigation that was quite discouraging when it spelled out both the collection preservation, the security and the management of these institutions. SVs Ågot Valle was the case spokesman for the case when Stortinget discussed it. When the matter was dealt with, it turned out that of the state museums it was the university museum that came out very badly. She pointed out that it might be that they got a little confused between research and education. And that is well, as the sector itself says to us, the need for coordination and for clear governance. I am very pleased that the department is so well aware of the message when it comes to a wide range of measures, for example: the proposal to clarify, through a separate regulation, cooperation and division of labour between universities. I'm glad that the government gets in touch with a long line of proposals, which is the concrete follow-up to the proposals and discussions in the Rogan Committee. Many point to construction, and there is no doubt that this is a major challenge for these institutions. Many of the buildings are built at a very different time, and they are not prepared for what is a modern museum work. Research is another challenge, and I thought this was a good way to discuss the message. I also think it is very wise that one has intended to ask the Norwegian Research Council to develop a national R & D effort when it comes to the University Museum and Archaeological Museum in Stavanger. Making the collection available to the eel is a challenge for this sector as a whole. It's clear that, through new technology, we have an enormous potential to do just that, to make the collection and historical material available to everyone. It's also a challenge to make this attractive, so people actually want to see, experience and learn from the historical data that we actually have. I'm also convinced that technology is a lot of the answer, so here I'd like to draw out Digforsk, which we've seen of money for in this year's budget. It's an amazingly exciting move, where a company organized under the University of Oslo is still doing the registration work itself around the district of Norway. I thought it was a model for follow-up. I would like the state to choose that form of organization more often. The common feature of a lot of the challenges for the museum thinks I'm competent. I was in contact with my museum board at home, which itself is highly advanced and has moved home to my hometown. She says that the university environment is very important. When she was a student in Tromsø, they were a source of inspiration. They made it possible to involve students in the work, and this meant that she has been recruited to the sector today. That's what I thought I might be the one, the most important message we have today.
ParlaMint-NO_2008-05-30.ana.ud383e216	I join those who say that the rapporteur here has done a good job. He also gave us a good summary of the main points of the message. There's been a good setting, and there's a lot of consistency. In this respect, one might say that the Government has been given too much credit in this message, and that is good. I'll talk a little bit about the Riksrevision, because it often gives us some thinkers. So also in this context. Their 2003 study on conservation and security at the five state museums pointed out that many of the collections at the university museums were not kept under sufficiently good conditions and that the management of the university museums was not good enough. For this reason, a selection was set up under the direction of Professor Bjarne Rogan, who was to explore the role of university museums in national museum policy. We then got a NOU, Knowledge for the community, which made many concrete recommendations. It is good that the department now follows up with a big message, which we are dealing with today. The content of the message is not necessarily just a kosprat. By the way, it was supposed to be missing. «Tingene's speech» is a very descriptive title, and it's strange to say it, but I actually associated with «Tunge Tidal Speech», a poem by Halldi's Moren Vesaas. The content can in no way be compared, so it was probably the word game or the alliance that I was occupied with. At the same time, one can at least say that the message shows that we have a heavy responsibility for the best possible functioning of the university museums. As the Committee writes, the university museums have a high level of social responsibility, and there may be grounds for stressing that these museums are of crucial importance in terms of the general education perspective. The building and magazine conditions at the museums are one of several important areas mentioned in the message. As I see it, this area is the most critical in the current situation of the university museums. Warehouses shall be storage sites adapted to the needs of each item. Ideally, they should also have room for the reception of new objects, preservation and preservation. In addition, there should be room for research and education. That's how we know that there's not a lot of places. The storage areas are small and narrow, and sometimes even damp. Magazines must in many ways be navigable in the activities of museums, and they are essential for museums to be able to fulfil their social obligations. When I focus so much on this, it's because I know very well the challenges of the cultural memory message 'Living with cultural memories'. I was so lucky to be the case rapporteur when it was presented in the previous period, and the entire committee was then able to see how valuable historical items were being destroyed due to difficult storage conditions. So this is important to get something done in many areas. It's interesting to see the wide spectrum that the university museums span. The 'yellow boxes' in the message show artful examples - everything from 'E6 archaeology' to 'Norwegian Red List and Black List', if there are extremities. The first case concerns the extension of E6 in Eastfold. Several cultural memories that could conflict with the wide-ranging development of the road have been explored. The second heading concerns biodiversity. The red species are considered to be vulnerable groups in our country, blacklists are alien species in Norway that should not be here. We see that the museums take responsibility for the entire spectrum. The university museums are an important actor in telling our history. Dissemination is therefore an important area. There's a lot of ways to do it. It is very important to stimulate cooperation with the cultural school bag. Different exhibitions must be up-to-date and relevant. It was also mentioned here instead that a person would like to have coffee and something good for the kids - there is no bad way to do it. The communication is concrete in many areas and sets out clear measures. That's good. An overall committee believes that it is quite right when the department writes that the measures will have financial consequences and must be implemented in a balanced manner over time.
