ParlaMint-NO_2008-06-19.ana.ud497e228	The representative, Ulf Erik Knudsen, will put forward a proposal for a representative.
ParlaMint-NO_2008-06-19.ana.ud497e231	On behalf of Karin S. Woldseth, Jan Arild Ellingsen, Ketil Solvik-Olsen and myself, I am delighted to make proposals on demands for police clearance for all those who work with minors.
ParlaMint-NO_2008-06-19.ana.ud497e236	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2008-06-19.ana.ud497e250	No one has asked for the floor. [[Fotation, see page 3942]]
ParlaMint-NO_2008-06-19.ana.ud497e266	At the request of the Defence Committee, the President will propose that the debate be limited to 2 hours and 55 minutes and that the speaking time be allocated to the groups as follows: Working Party 65 minutes, Progress Party 40 minutes, Right 25 minutes, Socialist Left Party 15 minutes, Christian People's Party, Center Party and Left 10 minutes each. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers for each party group and five lines with replies after the posts of members of the Government - within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - This is deemed to have been adopted.
ParlaMint-NO_2008-06-19.ana.ud497e277	There is no doubt about what the expectations of the process around the long-term defence plan have been. Firstly, it has been that we should finally achieve a balance between tasks, structure and financial resources, a good-bye to uncertainty, conversion and frustration, and a desire to have a firm framework. This is an easily understandable wish. But it's also a desire to get a defense that can solve the problems. We have recorded that there has become growing concern that it is really possible. There is no doubt that the major changes we have seen in the Defence have been necessary. We've got a new security policy picture, and this had to give us a new defence. It has meant many and rapid conversions, a lot of frustration and a lot of uncertainty, but there has been no alternative to the process we have been through. I think that's all reason to stress that during this process a lot of right and important has happened. We've got a better balance. We've been given a qualitative boost - we see, for example. What's happened in Homeland Protection -- and we know that we're going to get qualitative lift pretty soon, as we see in Maritime Defense. But the media image has in many ways been characterized by many of the immediate problems that the Defense has faced, which were not least targeted by the Defense Chief in his interview with NTB at the end of April, where he tells us that we must now cut in practice, training, fuel consumption and ammunition, flight hours, sailing hours and training days in the Army. It's clear that this is a concern, and it's supported by a steady look in the press. Therefore, there are not just questions now about creating a balance in the long term. We have a serious challenge that we need to address now, and where it is not possible to wait until the impact of structural measures has been achieved. Therefore, the focus must also be on the first few years of the long-term programming period. I want to say that I think maybe too much of the debate has been about what's going to happen in a 20-year perspective, and too little about the way there. Now there's been a desire among the parties to make a broad deal. With experience from the conversations that have been, I would like to say: It has been an honest wish from everyone to get a settlement to send the signal that it is firmness and tidyness to base their business on. It's been a clean process and a good tone, but we didn't agree. Those of us who belong to the opposition felt that the government was not willing to reach out enough to solve the immediate problems the defense is facing, and willing to build up what we see as a very clear minimum for the defense to be able to solve its problems. Therefore, it was not possible to reach the agreement that we all probably wanted to get. As I mentioned, one of the objectives has been to complete the work of balancing defence. In essence, this is a calculation operation, but of course, there's a lot of sense in how the defense is to be arranged, and there's a lot of discretion behind the calculations themselves. There we met the very first problem in this whole process. Neither in the defense chief's investigation, which is underlying, nor in the proposition, is there any particular explanation for this judgement - what the moments have been - and there is also very little explanation for the numbers. Thus, although this is not explained, the Storting has been invited to set an economic objective, a figure, for the 2012 allocation. But the Storting has not, with the material we have received, had any prerequisite to verify whether this objective is correct or not, and when the consequence of this objective was to force everything within the framework that was then established, there must have been more transparency about the premises than it has been. Yes, in fact, what should have been a calculation for the Storting became a matter of trust and faith: do we believe in the numbers, or do we not believe in them? In fact, here's a bunch of questions: what's a satisfactory balance? What's the imbalance now? What is the right level of investment? We are invited to reduce the investment volume by SEK 1.6 billion per year. But what does that amount say? Why isn't it $1 billion? Why isn't it $2 billion? For Storting, this appears to be the ‘think of a number’ game. We are invited to accept an investment gain of 0.5 pst. per 1 % years. Well, what if we get hung up on, like it's been so far? When do they get 800 million? kr as proposed by the Government? What is the right level of investment, sailing day and flight hours? What do we do until the structural measures take effect? Have we now got a grip on the problems associated with price rise? How important are the structural issues? My feeling is that they've been oversold at the expense of e.g. the level of allocation. If I perceive the Ministry's message in these areas correctly, they send the Stortinget the following message: Take it easy! We've figured this out! We've arranged this, but this shouldn't bother the Storting. I'm an educated lawyer, it's probably a long time back, but in my profession, of course, we're interested in what people mean, and we're even more interested in why they mean it, and what the premises are. So we have been told too little, so it has not been possible for the Storting to follow up the invitation to determine the amount we are going to impose on the entire Defense in 2012. I am aware that there are heavy professional assessments, which I respect, but I must say that during this process I have also experienced that the concept of ‘professional military assessments’ is probably a rather over-sold concept. I want to give an illustration of it: we have heard that there were professional military assessments behind the fact that the MTBs were to be phased out, and it certainly does. But my impression is that we get different professional-military assessments depending on whether we're talking to a general or an admiral. And that's just right. That's the way it should be. I believe that the defence committee has worked for the three years it has been, after traveling around has experienced that there is a wealth of professional-military assessments - many shades, many important points of view - and that is just how it should be. The point is that they must be broken against each other, and it is the task of the National Assembly to change the sun and the wind. It is not the task of the national Parliament to adjourn. It is the task of the national Parliament to assess the professional advice we receive, but professional advice is different. This brings me to a point I want to make, since I am on my way out of Norwegian politics in a year's time. If I were to remain in the Defence Committee, I would have one clear request for reform. It is that the defence budgets were written in such a way that the Storting could gain greater ownership of the details of it and greater ability to determine the major figures. With the debate we have now had on important levels of operations, I think the Storting should take responsibility for talking about practice activities, about sailing days, about flying hours and other important things for the defence to be up and also in the short term. It would mean far more detail, more work, but also, as I said, more ownership and greater responsibility. But I get to say to those in the department who listen to this: Relax! It's too short for me to do anything special about this now. Then, of course, there have been questions about setting a target for budget development per year. 2012. I understand that this is fascinating in many ways, and in many ways it is also right, except that we in Norway lack the mechanism that makes this number appear to be something other than a pious wish. I've been here so many years that I know that the Storting is still setting targets for budget development, which is rarely implemented. In fact, as it has been lately, these measures seem as much as the maximum figures. It is not the responsibility of the Ministry of Defence, the Minister of Defence or the head of defence, but it is, of course, the tough priorities that must always be implemented in a government that has not yet been achieved. Rightly, we have now had a relatively useful percentage of the fulfillment of the last four-year period, but there is every reason to stress that the failure has been clearer at the end than at the beginning of the period. It's actually what's being made as a defenselift, plus 800 million. kr in 2012, is no more than a hundred million above the level of the red-green government itself in the last two budgetary procedures. So maybe there won't be that much left of it. That we lack an opportunity to lock the amount, we can't just think about a number and determine it. That's why the minority wants - i.e. The minority of the population, but the majority of the committee - to build up budgets differently. This is shown in the setting, so I will not use my time on it now. But I would like to stress that what we are facing here is quite a fundamental question: how do we want the defence budget to evolve in relation to other budgets? We must note that this, which is one of the fundamental institutions of society, is constantly losing to what is in itself urgent, but which is about how good the standard of living in this country is going to be. That's great what we're doing in all the other areas, but we're now letting the very basic institutions confused, and that's not good enough. It requires political will, and we're trying to manifest it by the fact that unfortunately this time it wasn't possible to reach an agreement on this. But we hope that the leadership that is now needed is exercised in the context of the 2009 budget. I believe in many ways that it's going to be the test whether the government really wants to rebuild the defense. We need to see a material improvement in the 2009 budget compared to the 2008 budget. Otherwise, we must note that the government is entering the electoral year as a great disappointment in this area. So the question is, how are we going to rebuild? I do not have the opportunity to ‘run’ through this post, but I have to openly acknowledge that on the question of whether it is more expensive, the answer is yes, it is more expensive. We believe that with as much growth as the state budgets in general have gone over the last few years, it is economically possible to do so. We're going in for a structure that's plus/minus $1 billion higher than the government's going in for. We believe that we need to do something about the immediate operational problems we are now facing, so that the competence of the defence does not conflict. And yes, it costs money, and yes, we're going to take the price rise question seriously, because I'm still not quite sure if the head of defense and the Department of Defence speak the same language in terms of how to increase the budget. But we must be careful, and we must ensure that the special increase in defence prices is explicitly stated in the budgetary documents. If not, it'll just be the general price rise you get. With regard to the individual structural measures, other speakers from the Right will come back to this. For my part, I just want to stress that most of our money goes to the increase in the scope of the Army, phased in in the long term. This cannot be done from 1 January 2009. It has to be done during the period. But we want to build up support and management elements, and we want to get to a fourth battalion. We want Home Security to keep its crew training. We want to keep the Defence Operational Headquarters where it is now. For the sake of the northern regions, we want to keep the Olavs protection. We see no reason to weaken the central management of the defence by moving the general inspectors out of the Oslo area. Then someone will probably miss that we don't go deeper into security policy issues. It's not least that although the government explains too much, there's no innovation we have to decide on in the proposition. That's why we just have to say that we're kind of on track here. In conclusion, I would just like to stress one thing: NATO membership is still very central, and it is important that we build it up under it in practice, partly through our efforts in international operations, but also through the provision of access points at home. It's about exercises. This concerns the Joint Warfare Centre and the need to put AWACS activities at the top of the structure. With this, I would like to address proposal No. 10, which is included in the setting.
ParlaMint-NO_2008-06-19.ana.ud497e320	The representative Jan Petersen has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2008-06-19.ana.ud497e325	In fact, in the last seven years, the Right Party and the Labour Party have had about the same amount of money for the Defense, except for the current year, where the Right has 200 million. kr more. But when the Right now goes in for a significantly higher amount, I find it very strange that all the professional military advice on how to use the increased appropriations has been added. Yes, in the option from the right, the whole FS 07 is actually zeroed out. Now it's just bases and location that are important to the Right. Petersen has often said that you listen to the professional military advice, no matter where it comes from. My question to Petersen's representative is: what has happened when you turn down everything you previously thought it was important to focus on, as you now increase the appropriations?
ParlaMint-NO_2008-06-19.ana.ud497e332	One of the points was that I started counting on what the structural measures that the government has proposed, really means, and it's surprisingly small. It's plus/minus 1 pst. of the budget. The vast majority of changes actually make the government itself. We have then assessed that some of the measures it proposes will not be at the best of the defence. They're there because you want to force yourself into a frame that gets too tight. I agree with the Government on one point, which is actually written in, namely that the level of appropriations is of great importance. Then we get it, and then we say yes, we understand that the head of defense's call for help that he expressed to NTB at the end of April, must get an admissibility response, because it does not help to wait for the changes to get money for it. We also see that we listen to the demands and wishes that have come to build the Army. It costs money, too. That's what we call a professional-military council. So we feel very, very confident that we have solid ground under our feet.
ParlaMint-NO_2008-06-19.ana.ud497e339	I'm not going to fuck Petersen's representative to continue another period on Stortinget. But that might be desirable, because I would like to welcome the initiatives that come about that the Storting should be more involved in the specific budgets. In addition, it is also mentioned in the Committee's remarks that we are not so much gear on this long-term planning, for it hosts a reconstructed situation that does not necessarily create the best debate for the future of defence. But then there's an occasion like this: economics and structure are important for balance, and of course also for the tasks to be carried out. But I haven't at any point been able to see that the opposition, nor the Right, has contributed to the debate on structure, has come up with some positive, concrete suggestions on what we can do with the structure, so that means can be released for more operational capability. Is it that Right sees that this structure is locked, now and for all future?
ParlaMint-NO_2008-06-19.ana.ud497e346	Many structural measures have been taken in the past. What we're talking about now is in many ways the final round. I believe that the Red-Green Government too is aware that there are no more measures than those currently on the agenda, which can be implemented without having a far too dramatically reduced defence. What we're talking about now is the last little fine-tuning of the structure. Then it is basically my opinion that I think that these structural measures have taken too much of the debate. The entire debate on FS 07 was focused precisely on the structural measures. There has been a little bit about the price rise mechanisms, but most about the structural measures. When you see what the economic scale really is, it's actually amazingly modest what you can get out of it. I don't think you can solve any problems for the defense by going into the remaining measures the government is proposing, which is 275 million. kr increasing to 375 m. kr in 2016. We have to put the light on other parts, as the Right does, and then you don't get beyond the level of allocation.
