ParlaMint-NO_2008-05-07.ana.ud368e22	The representative, Bent Höie, will put forward a proposal for a representative.
ParlaMint-NO_2008-05-07.ana.ud368e25	On behalf of the representatives of Kari Lise Holmberg, Elisabeth Aspaker, Inge Wohnning, Trond Helleland, Olemic Thommessen, André Oktay Dahl and myself, I will make a proposal to strengthen privacy and ensure the proper management of personal sensitive information.
ParlaMint-NO_2008-05-07.ana.ud368e30	The representative of Kåre Fostervold will present a proposal for a representative.
ParlaMint-NO_2008-05-07.ana.ud368e33	On behalf of the representatives of Øyvind Korsberg, Per Sandberg, Hans Frode Kielland Asmyhr and myself, I am delighted to make a proposal for the preparation of my own travel life message to Stortinget.
ParlaMint-NO_2008-05-07.ana.ud368e38	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2008-05-07.ana.ud368e64	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Tora Aasland State Council Anne-Grete Ström-Erichsen State Council Day Terje Andersen The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. AscendingSort order for mail groups We'll start with the first main questions from Per Ove Width.
ParlaMint-NO_2008-05-07.ana.ud368e83	I have a question for the Minister of Defense, not surprising. There has been a precarious need for the replacement of our old C-130H transport aircraft for several years, not least from the Progress Party. There has been a constant mention of the lack of material, without a satisfactory answer to why things are not in order. Our background has been that it is important that Norway provides its soldiers with safe and secure evacuation and transport capacity in connection with foreign operations. We have therefore focused on the importance of operational capacities in the acquisition of transport aircraft. The government decided in 2007 to launch a so-called quick acquisition of new Hercules C-130J transport aircraft. In the government's justification for the rapid acquisition of new transport aircraft, it was claimed that this was the only way to ensure the defence of a satisfactory transport aircraft capacity as soon as possible. My question remains: when will the new transport aircraft be operational and ready to serve in war zones, for example? in Afghanistan?
ParlaMint-NO_2008-05-07.ana.ud368e92	With regard to our new transport aircraft acquisition, it was a very important matter for the Government to get through, because we saw that our old C-130 aircraft, the old Hercules planes, were in a very bad condition, and they are now out of service. They weren't such that we could use them out in international operations, at least not in very many years, and very long-term upgrades. That's why we went to Stortinget last year and were happy to join in the quick acquisition of C-130J. The first plane will be delivered in October, the next plane will be delivered in March 2009, and the last two planes will be delivered something later. It is estimated that you are fully operational and have a full operational flight capacity in 2010. I want to say that if we hadn't gone to a quick acquisition, made the acquisition this way, it wouldn't have been possible for us to have a transport flight capacity. So it's also like when we acquire transport planes, there's a lot of things to learn in this context: it's the training of the entire crew, and it's logistics, but these things we're now doing. The first plane will be delivered in October.
ParlaMint-NO_2008-05-07.ana.ud368e99	In other words, we have no transport aircraft capacity at the moment, as the Council of State expresses it. I actually thought the old planes to some extent were upgraded so that it was possible to use them, but I understand that the council thinks they are not operational. This means that we do not have operational transport aircraft for our soldiers in Afghanistan until 2010. Then you have to ask yourself, what kind of quick acquisition is this? Then we also have to ask, since the background to this was the security of the soldiers who are in Afghanistan: how are the soldiers being transported today in Afghanistan, and do the Council of State consider that they are being carried properly?
ParlaMint-NO_2008-05-07.ana.ud368e104	In fact, I would like to remind you that before I entered the government office, the Ministry of Defence, it had not been decided to purchase new transport aircraft, although there had been various projects on it in the past. Our old planes were in a very bad condition - it was planned to upgrade some of the wings, but it would not provide any additional protection for use in, for example. Afghanistan. This has been known to the Stortinget and also to the Defence Committee in the past. I think it was very important to have something done with this, and therefore I recommended a quick purchase. There's actually no other way to get the planes fast, than the process that's now done. So the Air Force has limited capacity both to fly the old planes and to be trained on the new ones. It's the same crew that's going to go to the new ones. That's why everything has been put in place to get into the new ones, and [[The President cut off]]
ParlaMint-NO_2008-05-07.ana.ud368e111	There will be two follow-up questions - first Odd Einar Dørum.
ParlaMint-NO_2008-05-07.ana.ud368e114	I'm not going to go into the transport planes, even though the Left, as the Progress Party, voted against acquiring the ones we've acquired now. I'm much more concerned with what's also on the question raised by the representative Width - namely that the people we have in Afghanistan have the best possible security in what they otherwise do, and that they have the best possible mismanagement. I would like the Minister of Defence's comment and assessment here. When you meet our citizens in uniform, and I meet some of them, you meet people you can be very proud of, because they know what they're doing, and what they're going to be busy about. When I last met one of them, he was typically Norwegian concerned that the civil effort should be good. He wasn't talking about his own case, but about the fact that civil society has to be very good, so that what we're fighting for is going to be important. When people are so good and so real, they also deserve to have the best equipment possible. There has been talk of a vehicle also in relation to the aeroplanes that have been taken up. I would like to have the Minister of Defense's assurance that what is going on is now done, so that our people in the field will have the best possible equipment to do the job they're set to do.
