ParlaMint-NO_2008-06-17-lower.ana.ud527e55	The representative Borghild Tende, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-06-17-lower.ana.ud527e77	In this case, the Government proposes clarification of Section 26(b). One wants to get a more precise description of the home in relation to being able to introduce boat licenses and boat drivers' registers. The progress party believes that this case is reasonably thin if you want to get the Stortingen's agreement to introduce a boat driver's license and a boat driver's register. The Progress Party therefore wants the Government to come back to the Storting with a case on this which is much more thoroughly investigated, where a consultation on these issues has been carried out, and where the Committee may also have a proper examination in relation to whether this is a wish out there. Therefore, the Progress Party will vote against the Committee's proposal for Section 26(b).
ParlaMint-NO_2008-06-17-lower.ana.ud527e82	The right has no own comments or suggestions in this proposition, so I'm actually just taking the word to comment on what goes on a boat driver's license. In the vote, the Progress Party notes that the proposal does not provide the Stortinget with sufficient grounds for introducing a system of requirements for boat driving licences and boat drivers' registers. I agree with that. But the thing is that this proposition was adapted to a statute that exists in today's law. In this case, the Storting does not decide whether or not to impose requirements on a boat driver's licence. The right voted against a proposal from the Workers' Party in the previous period on the introduction of a compulsory boat driving licence, because we doubted whether the introduction of such a scheme would be an appropriate instrument to prevent a trend in the number of accidents at sea. Today's government has then set up a working group to look into the evolution of the number of accidents involving recreational boats. I share the government's view that we have a challenge with ever more recreational boats with ever larger engines, while the qualifications of those who run these boats have obviously not been involved in this development. The right is also concerned about the evolution of the number of marine casualties. It should be safe to travel in our near waters. Therefore, the right will decide on the question of any new requirements for boat drivers when the Government has concluded, as appropriate, how it will monitor the situation of the working group.
ParlaMint-NO_2008-06-17-lower.ana.ud527e93	Several have not asked for the floor in Case No. 1st@item: inlistbox [[See page 709]]
ParlaMint-NO_2008-06-17-lower.ana.ud527e109	It's a unanimous committee that provides the setting. There is only reason to point out that the landfill treatment of Ot.prp. No 63 for 2007-2008 is divided between the Labour and Social Committee and the Health and Care Committee, that the Health and Care Committee is to address the issue of extended health care rights for chiropractors and manual therapists and that it will be addressed until the autumn. The two proposals put forward unanimously by the Committee are to amend the Law on People's Rights so as to allow the provision of rehabilitation benefits to persons who fall ill after the end of their stay, and to allow for the granting of rehabilitation benefits to persons who receive benefits for living after the end of a long period of paid day in the course of illness.
ParlaMint-NO_2008-06-17-lower.ana.ud527e116	Several have not asked for the floor in Case No. 2nd@item: inlistbox [[See page 710]]
ParlaMint-NO_2008-06-17-lower.ana.ud527e132	All lots, with the exception of the Advance Party, are responsible for the Committee's suspension. The changes presented here come as a result of the social security scheme and the proposals made in the social security scheme. I just want to be allowed to address the proposal that the Progress Party is promoting in this matter.
ParlaMint-NO_2008-06-17-lower.ana.ud527e139	The representative Robert Eriksson has addressed the proposal he referred to.
ParlaMint-NO_2008-06-17-lower.ana.ud527e142	The government is proposing to add $180 million. in 2008 to increase the supplementary pension for young disabled people, from 3.3 to 3.5 pension points. Although the organisations with which the government negotiated initially required an increase that was two and a half times stronger than this - up to 4 pension points - they still seem satisfied with the results. So generously as the government has acted in the payroll this year, and then especially in connection with the AFP, it would be very surprising if the government had not had any fresh money to add to this settlement as well. When figures presented by the Government itself in the revised national budget show that the sum of increased structural tax receipts and changes in the estimate of dividends and the rule-driven changes in popular security have given the Government over DKK 10 billion in fresh - new - money in the 2008 budget, it is probably not 180 million extra dollars to meet the huge challenge. Moreover, the Christian People's Party and the other opposition parties have supported the proposal to set aside extra money in the budget for the effect of wage settlements, including social security. Either the Christian People's Party is in government position or in opposition, we have as principle that we support appropriations and legislative proposals resulting from settlement where the state and the counterparties have negotiated agreement. We also do so in this case. As the Government has explained in the proposition, there is a bill here related to the fact that the benefits linked to the basic amount have to be compensated in order not to compensate the basic amount itself for the lag in relation to the wage development of society in general. The government has warned that this will to a large extent be used to increase the minimum rates of benefits. It's a profile that it's not hard to agree with. At the same time, I would like to remind the government parties that in the current year they have been responsible for, in my opinion, a very unfortunate tightening of the legislation on reintroduction fees. The disabled people’s organisations reacted unequivocally negatively when the right to return after completion was cut from six to three months in the current year’s budget. In this respect, the persons represented by the organisations of disabled persons have been partly responsible for paying the increased appropriations currently made available by the Government. When we first focus on the theme of return benefits: maybe it would have been an idea to reverse this measure? As I said, the Christian People's Party supports the outcome of the social security discussions regarding the supplement for young people and will vote in favour of the proposal put forward by the Government.
ParlaMint-NO_2008-06-17-lower.ana.ud527e157	We had intended to take the debate on social security in its entirety during the matter to go into Stortinget, but when the representative Woie Duesund still chooses to start a debate, there is a need to answer a few things. One is that this is a promise that has occurred now during this Government. These benefits have remained silent for very many years, even under the government where the Christian People's Party has been a participant. So this is the first time something happens in very many years. The second is that I hear over and over again that this government has got so much more in tax revenue to use. Then I hope that representatives of the parties who have been in government for many years are aware that when you set up a budget, you cannot include all the revenue that comes in. Then what would happen to a year when tax revenue went down? Would the Christian People’s Party break down social welfare arrangements and destroy them because tax revenue went down? When you set up a budget, the system is so that you don't include these revenues in the budget, and when it's good times, we spend a lot of money, and when there's bad times, we go into the welfare systems and the measures in the labour market. There are systems in the state's way of setting up the state budget that balance this, which makes us not in bad times make it even worse for people who have it difficult. This system has used the Christian People's Party when they have presented their budgets. I hoped that all the staging representatives were actually aware that the system had these kinds of safety valves in it, which means that we don't get any bad results, especially in bad times. It could have been tempting to spend more money now when we have a lot of money. It may be difficult to understand logically that we can't do that, but I actually expect that parties that have been in government for many years either agree with the system that ensures welfare services in bad times, or that they propose a new system - that they can't later use the money at any time and in any way, without harming us and those who have the hardest, especially in bad times.
ParlaMint-NO_2008-06-17-lower.ana.ud527e170	Several have not asked for the floor on case No. 3rd@item: inlistbox
