ParlaMint-NO_2008-04-08.ana.ud2463e67	The representative, Elisabeth Røbekk Nørve, will present a proposal for a representative.
ParlaMint-NO_2008-04-08.ana.ud2463e70	I have the honour, on behalf of the representative Leif Helge Kongshaug and myself, to present a proposal for a representative that ship tunnels be treated in the same way as other infrastructure in VAT legislation.
ParlaMint-NO_2008-04-08.ana.ud2463e75	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2008-04-08.ana.ud2463e89	At the request of the Control and Constitutional Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies following the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2008-04-08.ana.ud2463e98	It has not happened many times that the Parliament has decided to ask the National Audit Office to carry out a survey. However, on 5 April 2005, the Stortinget took the following decisions: ‘The Parliament asks the Riksrevision to carry out a specific examination of the administrative practices of the Ministry of Defence and to draw up an assessment of the traceability of the professional recommendations given.’ The background to the decision was, among other things, that the Riksrevision had not found the basis for approving the Ministry of Defence’s accounts for 2003, nor was it able to confirm that the accounts of the Defence Military Organisation for 2004 did not contain significant errors or deficiencies. One of the problems was the lack of evidence. Oral clarifications and unclear processes made control of the arrangements difficult. The report on the follow-up to the Storting decision, which is being discussed here today, shows that the situation with regard to the follow-up to the procedures between the Ministry and the Defence Military Organisation has improved, but that in some of the decision-making processes that have been carried out, it could have been even better. Although there is agreement that significant issues should be documented in addition to the final product, so that it is clear how professional advice is interpreted and handled, the study reveals that this is not fully followed in all matters that must be considered essential. Therefore, traceability can and should be further improved. Which issues are significant and which are not, of course, will always be a matter of judgement. Moreover, the nature of policy is such that, in substance, and politically, it is not necessarily parallel in size. The recently adopted Constitutional Law of the Government’s obligation to provide information to the Storting provides a specific reason for each State Council to ensure evidence of the basis on which the decisions are taken. In a situation where the question of what information has been available to a Council of State is at the forefront, it could be essential to document the decision-making process. It is also important that the obligation to provide information does not stop when a case has been sent to Stortinget. Important information that comes to the Government after a case has been handed over to Stortinget is to be notified to Stortinget. In order for the Storting to exercise effective control over the administration, the Riksrevision must not only have free access to the information it needs, but must also be able to track the handling of professional recommendations and recordings. A unanimous committee endorses the Riksrevision’s assessment that the traceability of the work on St.prp has deteriorated. No (1) as a result of the fact that the budgetary document is no longer sent for formal consultation to the Armed Forces. It is true, as the Ministry points out, that there is no requirement to do so, but the change should lead to reinforced requirements for internal documentation and thus the possibility of verification. The Committee has taken note of the fact that it has not been possible to provide documentation on the process of part of the de-employment in the Defence. This has been one of the truly significant changes made in the defence in recent years, and where the requirement for evidence must be considered to be indisputable. When the investment budget is not fully exploited and the explanation is a lack of brand and technical support in the Defence Logistics Organisation, this underlines that the consequences of the reduction in the annual work framework have not been sufficiently passed on to the Stortinget. The Committee has found grounds to stress that the fact that the Defence Manager has extensive powers to dispose of people in his own organisation does not relieve the Council of State of the obligation to keep the Storting informed of the consequences of the downsizing. There are also issues related to financial management and consumption in 2006. However, this is a question which was addressed in connection with Document No. 1 for 2007-2008, the National Audit Office’s report on the annual audit and audit for the financial year 2006, the last Tuesday, and I therefore do not go into detail. However, it is positive that after 2004, financial reporting has improved, both in terms of traceability and quality. The continued non-standardisation of financial reporting will require the Committee to address it.
ParlaMint-NO_2008-04-08.ana.ud2463e127	I am pleased that there is a unanimous committee that is so ready to ask the ministry to ensure better traceability of decisions, decisions and dispositions taken in the ministry. The reason I asked for the floor is that in another context I have sent a letter to the Minister of Defence on the corruption issues that have been in the media and the ministry for a long time. Among other things, I have asked for an overview of the contacts, meetings, telephones and e-mails that have been between the department and Ecokrim in some of these cases, in particular the cases against the counter-miral Rectsten, counter-miral Karlsvik and the flag commander Greening sets that Økokrim has now deposited. I have received a long response, but I have not received any specific information about which meetings, telephones and e-mails have been. And that's the traceability, to know what contact has been between the department and the ecocrim in very delicate and difficult things that I've been asking for. I have not received that, and I allow myself to ask the Council of State for her now, after this debate, will ensure that I get the chronological overview, with dates, names and what was the message in all contacts between the department's people and Ecocrim, possibly also from the Dalseide II Committee to Ecocrim.
ParlaMint-NO_2008-04-08.ana.ud2463e136	I would like to stress that I am pleased that the Riksrevision has carried out such a comprehensive study of traceability. This is important, also in view of the possibility for Storting to review its decisions. This concerns in particular the need for information to the Storing and documentation and traceability of proceedings and decisions. The survey covers the period 2002-2006. The National Audit Office has reviewed a total of thousands of pages of documentation to illustrate the traceability and information passed on to the Stortinget. I share the Committee's and the National Audit Office's view that dialogue between the Department and Defence must be traceable in essential matters and in professional recommendations. This is important if there is disagreement between the ministry and the establishment, and particularly important in the new form of organisation of the department with integrated strategic management. I share the Committee's view that this form of organisation requires great care to ensure traceability of decisions. I am concerned that the information provided by the Government to the Storting must be correct, in the sense that there must be consistency between the information and the underlying reality, as the Committee underlines in the vote. I can assure you that this government, and I as the Council of State, are taking the duty of information to the Storting in the utmost seriousness. I have noticed what the committee says in the setting regarding traceability and information related to the consequences of the down-management. I believe that the information necessary for Storting's handling of the defence conversion has been communicated to Stortinget in my period as State Council. In this context, I would like to refer to the set migration targets and the information provided related to them, inter alia. in the budgetary proposals during the relevant planning periods. However, in the light of the Committee's comments, I would like to stress in the future that traceability will be as good as possible and that the consequences of the decisions will be made known to the Stortinget. I further point out that the Government, in line with the Soria Moria Declaration, informed Stortinget in the spring of 2007 about the experience of the downsizing in Defense, cf. St. pp. No 78 for 2006-2007, About investment in Defence. It is shown here that the Government of the future conversion work will facilitate a greater implementation of changes in device and manning, based on total economic considerations, and that personnel will be well maintained in the future. This was agreed by the Committee. I would also like to stress that the Stortinget has been clear that the migration targets for the period 2002-2005 had to be met. This has underpinned the management of the department during the period in question, so that the main objectives were met. I am pleased that the Committee welcomes the overall improvement of financial management in defence since 2006. Nor do I consider the small consumption of investment funds in 2006 to be satisfactory. However, I believe that budgeting was also within the framework of realistic budgeting requirements in 2006. A number of measures have been put in place to improve the implementation of the material investment projects. Finally, I would like to emphasise again that I take my obligation to inform Stortinget in the utmost seriousness. I agree with the Riksrevision's assessments regarding the need for information to the Stortinget and the importance of keeping the Stortinget informed about significant management issues. In general, in response to Mr. Carl I. Hagen's question, I would like to say that all enquiries that come formally from the Stortinget should be answered.
ParlaMint-NO_2008-04-08.ana.ud2463e162	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 2825]]
ParlaMint-NO_2008-04-08.ana.ud2463e178	At the request of the Control and Constitutional Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies following the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2008-04-08.ana.ud2463e187	The extensive change in defence that has taken place in recent decades has also been aimed at strengthening Norway’s ability to participate in international operations. This has required the conversion of a mobilization defence with a focus on anti-invasion defence to an effort-based defence to ensure both national and international operations. In principle, all defence units, with the exception of the Garden and the music, should also be able to contribute to international operations. The aim of the National Audit Office's investigation has been twofold - firstly, to assess whether the defence meets the Storting's decisions and assumptions relating to participation in operations abroad, and secondly, to what extent the Ministry of Defence and Defence facilitate these assumptions. The study reveals that the defence lacks access to both material and personnel, which limits the possibility of participating in foreign operations. There are concerns that the defence depends on the same key personnel in order to participate in different operations abroad. This places a considerable burden on individuals and will in the long term help to reduce the opportunities for action. I have noticed that the Government in its long-term plan underlines the need to strengthen logistics and sanitation support. This is important and necessary to support operations abroad. It is also serious when the study shows that insufficient capacity for personnel with technical and marked competence in the Defence Logistics Organisation is a contributing cause for the suspension of, among others. material acquisitions. The lack of capacity has consequences for the ability of the FLO to assist foreign forces. This is an unintended consequence of the landing in the FLO that needs to be addressed. A number of the findings presented in the National Audit Office’s report have been made known to the public through recent years’ accounts and administrative audits. This applies, inter alia, to: improvement points related to requirement and quality assurance of reporting. Similarly, there are still weaknesses in the experience transfer system and unclear responsibilities related to financial management for out-of-office operations. This also applies to the material deficiencies, as dealt with by Stortinget in Document No. 3:16 for 2004-2005, on material investment projects in the Defence. This study covers some substantial delays in acquisitions. Of course, in the case of foreign operations, Norway does not sign up for participation if we do not have the capacity to do so. If we are to participate, we must have sufficient crew, proper crew and relevant equipment. This is why, despite their lack of this survey, Norway has participated in important foreign operations. We have a comprehensive and long-term commitment in Afghanistan, and we were ready to participate in Darfur. But the shortcomings that exist place limits on what we can contribute. There are limitations on the extent to which the contributions can be made, and there are limitations on where we can contribute. Then we also have to remember that there is a situation we share with all the other countries. Even the world's strongest and best equipped defenses -- the American -- now we have our capacity limits in this way. This is not to devalue the seriousness of the findings of the management report. An overall committee emphasises that the Ministry of Defence takes seriously the comments of the National Audit Office and takes action to correct the deficiencies and weaknesses that have been identified. It is important that the Storting should be kept informed of progress and that any specific challenges should be communicated. There is one particular comment in the vote, and I assume that the spokesman of the Advance Party himself will explain it. But I allow myself, as spokesman for the Workers' Party, a comment on the part of the remark that comes out in a proposal that the Government will come to the Stortinget and ask for more money when those who are granted are exhausted. This shows how far the Progress Party has gone from its point of view - as a party for a strong reduction in taxes, taxes and bureaucracy. Today there is a party that signals to the Defense: the decision to grant the Trust may be considered temporary. There will be more when the money is spent. This shows that the Progress Party has become a party for a strong reduction of budgetary discipline and respect for the decision of the Storting. The message is: waste away. That's enough egg liqueur for everyone.
ParlaMint-NO_2008-04-08.ana.ud2463e221	Let me first repeat to the rapporteur that he was not quite correct in the representation of our proposal and its contents. This principle is not a general principle. We've said it's about operations abroad. Operations abroad by military forces are per year. definition, as a rule, dangerous. There are vulnerable people who are at risk of life and who may be at risk of significant harm. In a situation that is completely different from when this party was founded in 1973, we now have an annual surplus in the state economy of NOK 300 billion, and we have a fund of over NOK 2000 billion. It wasn't the situation in the old days. It was then difficult to balance the budgets, and there was a very different need to rationalise and maintain budgetary discipline. So we change as society changes, where others stand completely firm in what they decided 20-30 years ago, instead of following in time and adapting gradually. We honestly believe that in the case of our military forces involved in operations abroad, it should not be necessary for them not to have the best equipment to defend themselves with, the best protective equipment, the best transport equipment and the best - which we come to the next case - sanitation that can be provided. We've seen things where it's been more important for different governments to save money and put more into shares and bonds abroad than to make sure that our soldiers have the best equipment, but we have a completely different priority. The usual reasons for not spending more money are domestic economics - with regard to inflation risk, interest rate rises, price rises and losses of industrial workplaces. In terms of equipment acquisition for use by our foreign strengths, purchasing this equipment from suppliers other than Norwegians has no impact on the Norwegian domestic economy. That's why we have this principle in this area. We're not even going to experience what we've experienced in Afghanistan, where there's been a lack of transport capacity -- which, at last, after there's been a lot of public mention of it, has gotten better -- and lack of sanitation staff. When it was discovered, liberal appropriations were suddenly not made before - therefore this principle. I have great pleasure in bringing up our proposal No. 1, which refers to operations abroad and our forces there, and not the general principle on which the rapporteur tried to have fun. The second proposal I would like to raise is proposal No. 2nd@item: inlistbox We look with concern at the attempts to frustrate the head of defence's involvement in public debate and exchange of views, so that professional views in various areas are not expressed. Probably they're going to be suffocated in the Defense -- in the so-called common strategic leadership, which the Progress Party was opposed to, and where we still see that we were clearly right. If not all the Norwegian society and the Norwegian people, and of course the opposition parties, in the public exchange and in the public debate on defence policy issues, are to know what the defence leadership, that is, the head of defence, and also other officers think, it becomes meaningless. In all other areas, you are very happy to get professionals on the job in the public exchange, and in fact, there are many who claim the overall research base - even if it is completely wrong in terms of climate - and you rely on economists. But when it comes to something as important as the Defense, those who have it should not be allowed to participate in the debate. That is why we disagree with the planned merger of the press and information department to the Heads of State or Defence, and therefore we propose to postpone this merger until the matter has been dealt with in the Stortinget. At least I can notify you that we will be against it. Rather, we want to go back to the way it was in the past, to strengthen the position of the head of defence, to leave the ministry, and to ensure that management is not only right, but also obliged to express publicly its views on defence policy issues. It will be enriching for this debate if those who really have the most knowledge of it, at least professionally, are involved and share their views in the public space, instead of the trouble that this government, in my opinion, is now putting up, and that was done in the past, by the very, very unfortunate merger that happened. I then deal with the proposals No. 1 and 2 of the Advance Party in this case.
