ParlaMint-NO_2008-05-27-lower.ana.ud2053e29	The proposition will be dealt with in a regulatory manner.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e43	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies following the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e52	Today, we are adopting a new law, which brings together the legislation on medical and medical research. The entire Committee agrees on a note stating that the Health Research Act will: ‘contribute to ensuring that research is of high quality and facilitates the work of researchers by bringing together legislation on medical and medical research in order to give researchers one law to take on board’. An important purpose of the law is to simplify the process of prior approval of research projects, so that the Regional Committee for Medical and Health Sciences, REK, becomes essentially the only body for approval before start-up - the principle of one mailbox, as it has been called. The Act sets out overall requirements for the organisation and conduct of medical and health research and, through its work, the Committee has clarified that the interests of science and society should be given priority to the well-being and integrity of participants. Section 5 of the bill. Furthermore, the proposed legislation contains rules on transparency and transparency of research, stating that research participants and the public should be given access to health research, and that a public register of research projects with sources of funding, with both positive and negative findings, should be established. Good health research is an important tool to ensure the best possible health care for the population. Systematised knowledge acquisition on health, disease, different treatment forms and techniques, medicinal products, etc. is important to learn from both what is done right and what is done wrong. For example, the Cancer Register has provided society with knowledge that is used and needs to be used to improve cancer treatment in Norway. In order to promote good and ethical research, we need to find the right point of intersection to ensure that human privacy and integrity are safeguarded, while at the same time enabling important research that can provide better health services and save lives. This is demanding, especially in the case of weak groups. Society must be extra careful in its approach to researching children, sick and demented -- people without consent. At the same time, maybe these are the ones that need the most research that can give them a better life. I don't think it's an exaggeration to say that this balance sheet creates political commitment. The Committee has spent a lot of time discussing the legal consent provisions. There are some minority proposals, one from the government parties and some from the Right, Christian People's Party and the Left, which I suppose they will explain to themselves. In spite of these proposals, however, the Committee unanimously supports most of the vote. The committee has taken a lot of time, but I would like to express my special thanks to the chairman of the committee for managing the work in a constructive and tidy manner. The law states that, as a general rule, health research should be consent-based. At the same time, an opening is proposed in order to give so-called broad consent, so that human beings can – if they wish – consent to the use of health information or biological material for example. cancer research in general, rather than having to consent to each research project. In order to ensure that the necessary research can take place, some derogations from the general rule of consent are also proposed, such as: in acute situations, where ex-post consent is required, and by allowing REK to approve, under strict conditions, the new or modified use of previously collected human biological material or health information without obtaining new consent. For research into children under 16 years of age, parental consent shall be required. The Government Parties propose here only a limited derogation, so that regulations can open up the possibility for children aged 12 to 16 to consent to research into health information in special cases. I believe that the interests of the individual's privacy should be very well protected by the Health Research Act that we are now to adopt. Several provisions will help to ensure the well-being, privacy and integrity of research participants. These include the right to withdraw consent, the requirement of soundness of research, prior approval of the REK and transparency. The Committee has also made a number of other important clarifications that are set out in the Committee's position, but I am not given the time to go through enough now. I would like briefly to mention that Section 10 will now allow an appeal to be made against decisions concerning the prior approval of the REK. Section 38 ensures that it is possible to re-check research projects after they have been completed. I would also like to mention that the Committee has discussed the relationship between the Data Protection Authority and the REK, and between the Data Protection Authority and the Health Authority. Furthermore, I refer to the Committee's comments and promote the minority proposal of the Workers' Party, the SV and the Centre's party. I see that speaking time is coming to the end, but I will comment briefly on a misunderstanding in the setting. There is a comment from the opposition parties that it is proposed that: ‘in the proposal for a new kindergarten law that children should be able to be identified and registered without parents being informed of it or given the opportunity to make reservations against it’. As long as this is aimed at the proposal for so-called individual data, I would like to make it clear that this is a proposal that was included in the draft consultation, but is not included in the Government's Bill for the Stortinget.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e88	The representative, Dag Ole Tegen, has taken up the proposal he referred to.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e91	I would like to begin by commenting on the last thing the rapporteur had in mind, and I hope that, if necessary, it can be corrected or removed from the setting, so that it will be correct according to the proposal for a new kindergarten law that the Government has promoted. In fact, I will praise the parties to the government, and I will commend the work done in the Committee on this matter. The reason for this is that one has simply experienced an attendance where one has actually been willing to listen to the opposition's remarks. There has been a willingness to engage in dialogue to see how the law can be optimised, how we can manage to achieve good and appropriate research and working conditions for research environments, while ensuring the integrity and well-being of individuals, so that research does not predate privacy. I think we've done well. Relatively large changes have been proposed to some paragraphs in the current treatment setting, compared with what was presented in due course. The rapporteur has done a very good job, I would say, just to try to link these different things together, so that the law will be the best for research. Research is not to be done on the premises of research, and research is not to be done just because you want to research. The research must have a purpose, and the aim is to be able to improve even better in the treatment of diseases, to know more about the diseases and how to prevent and treat the diseases. And not least, how are we going to be able to make the Norwegian health system even better - and not just Norwegian? How are we going to be able to contribute by facilitating our research environments, so that we can also attract foreign competence to Norway? And how are we going to be able to contribute even more, including internationally, with the results we can get in Norway? Some of what Norway is known for is that we have a good and transparent society, we have good records, and we are a relatively small population. We've already started more major projects. I show you, among other things: to HUNT in the North Throne Team, so we have all the assumptions. But what this must never be at the expense of, is precisely what has to do with the integrity and well-being of the individual. It's also taken in several places, and it's very joyful, especially in one sentence that I want to refer, because here lies some of the main essence of the Progress Party, which shows what we mean by this: ‘The well-being and integrity of participants shall take precedence over the interests of science and society. ‘... In other words, the integrity and well-being of the individual shall be elevated. We've gotten this into more paragraphs, which just show the importance of these things. It is also fully in line with what is referred to as the Helsinki Declaration, which shows the relationship between the individual and what is involved in research. I think everyone sitting in this room knows one thing, and that's that there will always be scientists who want to research almost everything, if the possibilities are right for it. Then it's important that we from the political team go in and put our feet down and say, "Yes, but within given limits! We're going to set that limit in many ways here today. From the fact that this was a law in which one had in many ways two almost stony fronts, we have now met very well. It's really very little today that distinguishes between those behind the legal text itself, the majority position, and what a minority has as an alternative. But there is one thing in particular that we need to pay attention to, and that is the disagreement that is linked to the proposal of the government parties, which is that children between the ages of 12 and 16 in defined areas should be able to have a autonomy of consent. This must not be abused! This is a very important point. No one has to come and say that a 12-year-old - a person of 12 years - should be able to have such competence within a wide range and give consent! I'm warning you. That is why the Progress Party does not vote for it. That regulatory change should not have been there, but the rest of the Progress Party is behind it.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e111	The starting point for this bill is the desire to facilitate better medical research. All batches support the objective of simplifying the bureaucratic procedures associated with such research and thereby stimulating more knowledge of health and healthcare. Nevertheless, the case shows that the parties have fundamentally different views as to how far individual human beings can be sacrificed for the interests of the community. The right has always defended individual human rights, even when they are contrary to the interests of the community. We do it again today when we criticize the Government for sacrificing the interest of individual privacy and self-determination in order to achieve better health research. Our starting point is that health information is so sensitive and private information that privacy concerns are particularly important in this context. It is the individual human being, not the state, who has to have private health information. From the Right we are pleased that we are together with the Christian People's Party and the Left on all the key questions discussed in the vote. We also note that central professional environments and patient organisations share our concerns about the position of privacy in future health research. However, there is also reason to praise the government parties in Stortinget, as several have also done, for meeting us in respect of some parts of the bill. It is widely agreed that as a general rule, the patient must consent to research. This general rule is largely undermined by the far-reaching derogations proposed by the Government. The most comprehensive proposal is the provisions of Sections 28 and 35, which mean that both biological material and health information obtained in healthcare can be used for research without the consent of the patients. From the right-hand side, we're critical of this. The fact that sensitive information is distributed to more than those who have been given the information in confidence is problematic in itself. This is even more problematic when no attempt is made to obtain the patient’s consent. This means that the individual no longer has his or her own health information or biological material, but that it is controlled by the State. We also record that the government parties in Stortinget have met us on the basis of this criticism and have proposed a wording that the patient's welfare and integrity should be safeguarded. However, on the right-hand side, we would warn against these exceptions being practised in such a way that the general rule of consent is eroded. We also see it as essential that health information to be used in research be stored encrypted, in order to safeguard privacy as much as possible. This, together with the Christian People's Party and the Left, we have proposed inclusion in Section 32. It seems unintelligible that the government parties do not support this. In the light of the same considerations that I have now explained, the Right, together with the Christian People's Party and the Left, promotes proposals to tighten up the exemption provisions of Sections 15 and 16 of the bill. In the Odelstingsproposition, the Government promoted a proposal that health research could be carried out on children aged 12 to 16 without the consent of their parents. On the right, it appears quite unacceptable that parents should be deprived of the right, and the duty, to assess whether it is best for the child to participate in health research or not. We are therefore pleased that the government parties in Stortinget have met us by proposing a general rule that consent be obtained from the parents as a prerequisite for participating in such research. Of course, the child’s right to privacy applies independently. However, the right cannot support the Government Party's proposal for a regulatory body where the Ministry may in practice derogate from the requirement of parental consent in relation to research into children of this age group. This may help to erode the general principle of consent in this area as well. For the Right, it is essential that the consideration of the individual must outweigh the consideration of the research and the interests of the community. History is full of ugly examples of the consequences of the opposite. If there really is concern for the individual who is to be the most important, the right to privacy and the right to have access to personal and health information must be real. The right is concerned that this law is leading us in the wrong direction - towards a society where privacy and self-determination are becoming weaker. I refer to the proposals that have been put forward in the vote, where we are co-sponsored.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e132	The representative Sonja Irene Sjøli has taken up the suggestions she referred to.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e135	There are many examples that we need to focus on ethics in research. Both the MIDI study, where the Biotechnology Act was broken, and the case where a scientist was taken for cheating, illustrate that. The Health Research Act shall safeguard the rights of test persons and the protection of personal integrity. The Christian People's Party therefore welcomes a health research law. First of all, the law has a purpose paragraph to ensure good and sound medical and health research. With this law, we have passed a series of unwritten research rules. Requirements for consent have been laid down in the law. That's good, and it'll hopefully strengthen privacy. Furthermore, responsibility and control of research have become clearer, and hopefully the law will also make it more transparent and predictable to be a health researcher. During the examination of the legislative proposal, it has been difficult to assess when it is to be opened in order to derogate from the consent requirement. In the eyes of the Christian People's Party there shall be very weighty reasons for it. The government has proposed the eroding of the requirement of consent in § 14, 15, 16, 28 and 35. Although research can contribute to new and important knowledge, the objective must not be sacred. Research must never be at the expense of privacy. Wide agreement means an exception to the requirement of consent, since it is granted for a research purpose, not for a specific project. This imposes extra requirements on the provision of detailed information. Bjørn Hofmann, researcher at the Department of Medical Ethics at the University of Oslo, suggests that information prior to examinations and tests should be thorough since we are getting more and better analytical methods. People can experience getting knowledge of their own health that they don't want to get. An example of this is the MIDI project, where many parents did not want to know that their child was equipped for type 1 diabetes since it could not be prevented or cured. It will be the responsibility of the researcher to ensure that participants understand what they are participating in and that they are prepared for the consequences of participating. The Christian People's Party is voting - as several have said here - against the Government's proposal to waive the requirement of consent both in the field of biological research and health information, when they are collected in healthcare in connection with diagnosis and treatment. If biological material or health information is to be used for research purposes, consent shall be obtained first. We believe that this is important for people's confidence in our health care. So for research on children and young people, i.e. people without consent, and they are in a special position. The Christian People's Party supports the principle that children should be able to participate in decisions involving themselves. Nevertheless, it is difficult to see the consequences of being involved in research projects as data protection and knowledge about disease risk are topics on which there is often little awareness among young people. Therefore, the Christian People's Party does not support the Government's proposal to let young people between 12 and 16 years of age decide whether to participate in research without parents knowing it. We do not believe it can be justified that this should happen in cases where serious incidents such as violence and abuse can occur, that is. that parents have a self-interest in not researching the children. Hopefully there are, and I think that in our society too, other ways to capture these children - like school, health center, child protection and other - than that it's going to come out through research. It may also be demanding for children to have to answer questions about violence and abuse, without perhaps getting involved there and then. Finally, it is very positive that the Committee agrees on the most general issues also in this legislative proposal. Like the representative of Mr Sonja Irene Sjøli, I would like to commend the parties to the government, not least the rapporteur, for the willingness to meet and change on many important points in this matter. It has been a very good work in the committee.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e152	I understand that one of the Committee's work on this matter has succeeded in reaching a large degree of agreement, which was not obvious when the bill was presented. There are several people who have been involved. The aim of the Act is to promote good and ethically sound medical research and health research. History shows that abuse has occurred in medical research, including in this country. It is therefore necessary to include medical and health research in a safe law to protect people from physical and mental harm, while at the same time providing researchers with clear and clear legislation and adequate control procedures. The legislative proposal, with the changes made to it, will contribute to the quality of research and facilitate the work of researchers by bringing together medical and health research into one law. It is important that the councils and committees which assess and approve research projects are broadly composed and competent in both medicine, law and ethics. REK, the Regional Ethics Committees, is entrusted with new tasks and is given sole responsibility for carrying out assessments carried out by other bodies. Therefore, competence is required when REK conducts a research ethical assessment for each project at the same time as the conditions of the law have to be tested. It is therefore essential that the Regional Ethics Committees allocate resources to build up the competences and capacities necessary to carry out the tasks assigned to them by the legislative proposal. As I said at the outset, the government bill has been the subject of a process in the committee's work. One of the areas in which the Committee has made a clarification and makes proposals is that the welfare and integrity of research participants must take precedence over the interests of science and society and that Section 5 on soundness must be seen as a guide to the whole of the law.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e163	As has been said before, we have spent a long time in the Committee on this matter. It's important that we spend time when we have complicated things. I must say that this matter has been difficult, and it has not least been important. The left has had many objections to the proposals that were originally made here, because we believe that some of them were contrary to important privacy principles and human rights. As many other speakers have said here today, we are very pleased that the Government has moved in this matter. It's true that when you're on two different sides of the path and meet in the middle, the starting point may be relatively far away, but still one comes to the center. There are some ball players here who might be playing long balls in the middle. I think I would be so honest to say that the case spokesman, the committee leader, the representative from the right, and not least the representative from the SV in the committee, have helped us get the result that is now on the table. I have to say that I have at least very much appreciated the recordings I have received from the representatives I mentioned, not least from the representative Ballo from SV, who unfortunately is not here. I believe that the views and the commitment he has with regard to privacy, research and human rights are important. I think it's necessary to stifle the researchers and the government's registry to some extent. What is it that's good to research? Well, it's up to who to access our health information, and what kind of consequences it has to introduce passive consent. That is what this debate, after the opinion of the Left, is primarily about. Let's say it immediately: The left will get more research. Increased knowledge of the context of health and social research is positive, but research within this area is much more challenging than other research, because it touches and approaches the individual. It may seem both invading and offensive if it is done incorrectly. A zero vision inside this field I think we're going to ignore. Here it is about making use of some limitations and making guidelines that are as good as possible. Therefore, we should be more cautious when it comes to health and social research than to much other research. Our health information and our personal history is the most private thing we have. It's about living together, it's about family relationships, and it defines us as human beings. Everyone has the right to a real privacy. Otherwise, it is very easy to say that we are going to solve all the world's problems, almost to say. Then we have to know more, we say. Then it's easy, not least for us politicians, to go into the trap and say, "Yes, we're going to do that, and we're going to do that." It's not like that, I think, that statistical information on death and life can lead to solutions for the individual. A solution for one individual can't transfer on the neighbor, to say it that way. In the Committee's work, we in the Left have pointed out the problem of classroom research on very sensitive topics. That is why the Left will have a review of the research on children and young people and their protection, and we are promoting an own proposal on this. I can immediately take up the suggestion that the Left Alone is behind.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e178	The representative Gunvald Ludvigsen has taken up the proposal he referred to.
