ParlaMint-NO_2008-02-28.ana.ud2591e47	The representative of Åse Gunhild Woie Duesund will present two proposals for representatives.
ParlaMint-NO_2008-02-28.ana.ud2591e50	I am pleased to make two representative proposals. The first is on behalf of the representatives of Ola T. Lånke, Laila Davøy and myself to simplify the free card system for medicines and healthcare. The second is on behalf of the representative Laila Davøy and myself on measures to reduce the number of young people who are suffering from mental illness.
ParlaMint-NO_2008-02-28.ana.ud2591e55	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2008-02-28.ana.ud2591e68	No one has asked for the floor. [[See page 2222]]
ParlaMint-NO_2008-02-28.ana.ud2591e83	The representative proposal touches on a wide range of themes and issues that both the Government and the various parties here at Stortinget focus on. The proposal concerns a number of areas which are partly comprehensive, where responsibility lies with different departments. This applies not least to the Ministry of Finance, the Ministry of Children and Gender Equality and the Ministry of Justice. I would like to make it clear at the outset that it is important to focus strongly on these challenges whether we have one or the other connection now. We can never be too good in this area, and should have a humble approach, as this is about individuals and families in different stages of life. As rapporteur of the case, I have attributed a very thorough reply dated 3 December 2007 to the Minister for Finance on behalf of the Committee. Here, state councils explain what has been done, what work is going on, and what is being assessed in the future. The letter from the Council of State shows that the Government is taking the debt problems seriously. The government is doing well to improve the situation of debtors in a difficult economic situation. In particular, I would like to point out that the Tax Directorate has started a working group specifically focused on the report ‘Taxetter management of disadvantaged taxpayers’. The report addresses changes in practices, practices, guidelines and legislation. In my opinion, the report signals a more open external position and a recognition that there are some taxpayers who are unable for shorter or longer periods to attend to their own interests, including the delivery of the tax return. With regard to measures that are being worked on, I would like to point out in particular: assessment of the need for adjustments to the Debt Schemes Act establishing a green number for the assessment of whether a debt register should be established in Norway considering the need for the introduction of a non-advisory credit purchase obligation Unfortunately, in my many years of life as a health and social manager, I have experienced many tragedies in the wake of the fact that individuals have been in a difficult situation of life mentally or socially, have experienced family tragedies, life crimes, drug use or imprisonment where they have not been able to discharge their responsibilities to the public authorities. This has in turn resulted in discretionary determinations of taxes that are not charged on the basis of the individual’s situation and where tax claims are not paid. Then it spins on new discretionary determinations and coercion of the requirements as a result. For many, lack of follow-up and assistance has led to the destruction of lives, and they are unable to get up again. In particular, I have experienced people in individual companies who have gone overboard for various reasons. I'm not saying this to mention a group negative, but I'm referring to the fact that ordinary employees and social security recipients have a tax advance scheme that in most cases prevents them from getting into the situation that the tax debt is growing above them. In my view, already implemented measures and measures under investigation and preparation will lead to the establishment of a more satisfactory regulatory framework, not least to the establishment of a policy for more outlying and outlying activities. In particular, it is important for individuals to be provided with information on the existing measures and on where to seek advice and guidance. Often, help seekers feel rejected by being thrown into the system or meeting reserved employees in the public sector. This is what needs to be changed, and many institutions have come a long way in showing a more open and outward-looking attitude. Unfortunately, in many cases customers may feel that they are meeting with a certain cool attitude from public authorities. We have both received written hearings and concluded an oral hearing in which the Norwegian Collection Agency's Association, the Debt Victim Alliance and the Juss-Bus participated. In other words, we have set up a broad process for this, as this is important for most people. The document proposals of the Progress Party cover, as mentioned above, a wide range of cases within a total of eight main areas with a number of sub-items. It is so extensive that the majority, all without the Progress Party itself, find it difficult to support the proposals without a wider review. However, I would like to commend the Progress Party on the fact that they have done some extensive work on the draft document. The majority propose, with some emphasis, that the proposals be annexed to the protocol, while the Progress Party would have voted on the individual proposals. I refer here to the unanimous comments of the Committee, comments by a majority other than the Advance Party, majority comments by the Government Parties, minority comments by the members of the Committee from the Right, the Christian People's Party and the Left. The Progress Party has its own comments. I assume that the various groupings within the Committee will present their specific comments. As I said at the outset, it is important to keep a constant focus on the debt problems and the challenges this creates for individuals. It will be necessary to have a critical look at whether public bodies and others involved in debt collection or debt collection activities have systems to address human aspects. It is important that we do not have such a rigid system, for example in the context of debt claims, that it creates further problems for individuals and their families. The provision of new skills for employees to deal with challenging issues in this field is important. For the sake of order, I would like to point out that there seems to be a misunderstanding in the background discussion of the scope and system of the Debt Regulation. It's about what happens where the creditor doesn't get hold of debts, and the good man's role in the debt regime. Here I would like to stress that it is only the debtor himself who can apply for debt negotiations, not the creditors. Nor is it the case that the tax collector can only take over and deal with the creditors. It is also the case that the principal may only send out a proposal in agreement with the debtor, who shall have signed the proposal. With this, I recommend the Committee's recommendation, which proposes that Document No. 8:16 is annexed to the Protocol for 2007-2008.
ParlaMint-NO_2008-02-28.ana.ud2591e134	Let me first of all thank the rapporteur for the commendation he gave to the Progress Party for the proposal we have made. I would also like to thank the rapporteur for a good cooperation on the procedure and progress, and that we were given an open consultation on the issues raised in the draft representative. So to the specific matter we're dealing with now. At the presentation of this proposal for a representative, the Progress Party has had a clear desire to focus on some major challenges we face in our welfare society. The representative proposal is based on two main themes. One is ‘improvement of the position of taxpayers in disputes’, and the other is ‘improvement of the situation of people with debt problems’. These are two important challenges, which, too often, are two sides of the same coin. Let me say right away: I do not claim that with this proposal for a representative, we are solving all the issues related to these important issues. However, the Progress Party has promoted a number of concrete proposals that will be able to correct some of the imbalances that many people experience with today's system and current rules. This view is also supported by the Hearing Officers. In the open hearing of the Financial Committee on 5 February, the Committee was clearly informed of several of the issues raised. I note that a number of the proposals of the Progress Party were endorsed by the hearing bodies present at the hearing. Many have worked on these issues for a long time. The Debt Victim Alliance has devoted many years of effort to this field, and the Progress Party has chosen to follow up proposals from the organisation. It is proposals that will improve the quality of life and the everyday life of many thousands of people, often without this imposing large financial costs on the state. On the contrary. Providing people with the opportunity to get back on their feet could help many to get out of today's hopeless situation and get back into paid work, to improve quality of life and to make up for themselves. In many ways, it's exactly what this case is about: taking people seriously and giving people a chance to get out of a debt nightmare. We read mostly daily about people who are in a difficult situation because of debt problems, and we are constantly hearing about people who experience the tax rate as anything but service-free. They experience that they are fighting red tape, a struggle that often loses each one because of lack of resources, and they feel that it is useless. I'm glad that an overall committee agrees that this is an area that requires the Storting and Government's attention. But I'm not going to hide that I'm disappointed that no other parties want to join any of the proposals of the Progress Party. It is precisely through concrete decisions and the follow-up to decisions that you can really show that you are taking this issue seriously. Our proposals are to a large extent investigation proposals, commissioned by the Government to continue working on the matter. Therefore, it is my clear opinion that several of the proposals should have been accepted by other parties, but I take note that this does not happen. Let me then come up with some of our suggestions. I'm not going to comment on all the suggestions. The representative proposals we have put forward are on twelve sides. All the proposals are discussed relatively in detail, but some I want to address here. The Party shall promote a number of proposals relating to the procedures of the Equation Authorities. Many people today raise a case against the equality authorities because of resources. This means that those with a good economy have the opportunity to advance their case, while many with small financial resources feel completely innocent in meeting the authorities. This is a problem which at least I have received a number of enquiries about. I also record through the media that a good number of people do not have the opportunity to fight this bureaucracy to promote their case, and that they feel unfair, bad and mistreated by the equality authorities. That should be a challenge. It should obviously also be a problem that involves more politicians. The Progress Party therefore wants the Government to look at this and to consider whether the burden of proof in judgments is to be placed more heavily on the Equality Offices and to allow taxpayers to be deducted from the expenses relating to disputes, including proposals to apply the rules on free legal aid in such cases. I am pleased to record that we receive support for the latter from the other opposition parties, at least in the form of a note. The Progress Party also believes that it is essential to review public practices and behaviour as a creditor, with a view to creating better, consistent and more humane practices. Indeed, many people experience the public as a tough creditor, in many cases perhaps as the toughest, despite the fact that the public can nevertheless be left with the bill if they do not get along after such a meeting with the public as a creditor body. Specific proposals we put forward related to this are among other things: that we want the Government to review those cases where the government has primacy as a creditor or a pledger and assesses the appropriateness. We also want to assess a change in the law that gives the lowest public priority to bankruptcy. Furthermore, we promote a number of proposals relating to debt collection activities in Norway, including when public intervention takes place. The Progress Party would like to consider bringing together the various drawdown bodies in debt to one drawdown body, establishing one indicative common rate of living, investigating the functioning of the debt collection market in Norway in relation to other countries, and proposing measures to contribute to the reduction of collection fees. The Progress Party is concerned that people who are in financial debt should settle separately. At the same time, it is important to have good systems, so that settlement can be made as smoothly as possible, to the minimum extent possible for all parties. It will definitely serve society as a whole. In particular, in the light of the debate over the last few years on combating poverty, the proposals of the Progress Party are important. Implementing these proposals would have helped to enable people with debt problems to move forward. That should be something we all joined. I have registered and of course read the reply letter we received from the Minister of Finance. I'm glad that in some areas she has absolutely focused on this. I'll be honest and admit it, but at the same time I miss a progress. We have made a number of proposals in this proposal for a representative, which, unfortunately, when they are not adopted, I hope to continue working with them. I have registered what the majority have submitted in comments on the matter, and as I read them, I feel that in many ways they are-- call it a marshaller to the Government for further work. The government itself has said that they want a further focus on this. I'm glad. I hope, as I said, that this can take place in these matters, because the individuals who are in this situation and experience the everyday life as incredibly tough cannot wait year after year. There are many tragedies behind the numbers that we often get presented related to this kind of thing. I hope, at least, that with this proposal, with the Government's response to the Storting and the majority's comments on the matter, we can get further and faster progress on these issues. Finally, I would like to address the proposals put forward by the Progress Party in the Committee's position.
ParlaMint-NO_2008-02-28.ana.ud2591e172	The representative Ulf Leirstein has taken up the suggestions he referred to.
ParlaMint-NO_2008-02-28.ana.ud2591e175	There may be many reasons why people have debt problems. Some people lack an overview of their economy. They obtain expensive credit cards to pay bills or finance further consumption. When they are unable to operate the loan, they are constantly taking up new consumption loans to serve old debts. The snowball starts rolling, and then you've put yourself in a very difficult situation that's even harder to get out of. There are many individual people with many different stories, and the reasons why they end up with big debt problems are many. Most of them, in my view, have one thing in common: it is a desire to get out of the impossible situation, pay back their debt and become innocent. People who have problems servicing their debt are basically in a very difficult situation. Many fall outside when they have debt problems. Then it is more important than anything else that these people are given the opportunity to come back to work and get help with their payment problems through different schemes. To the right, it is of the opinion that it is important to introduce preventive measures to address the debt problem. An important preventive action against debt problems, particularly among young people, is for example: education in the personal economy of the school. This has now been introduced both in primary and secondary schools and includes, among others, instruction on the consequences of borrowing. It is also important to market loan offers, in isolation and for example. in relation to the sale of dwellings, both the nights and adequate guidance are provided. Many of those affected by a debt crisis are often people who are initially poor in resources. People who experience themselves as poor are also affected by debt problems. I remember from the last big-time election campaign that Kristin Halvorsen at the TV 2 public meeting in August said that it is not difficult to combat poverty. It's about political will. The poverty debate does not belong to much of a day. Unfortunately, it seems that the Government does not have the power to respond to this demanding challenge, and that is sin. It's a shame, because even though this is demanding, in the Right's view, it's about giving people a new chance in life. In this context, it is very positive the proposal that the representatives of the Progress Party have now made. The right is in principle in favour of several of the proposals contained in this Document No. The 8th proposal. That is why we fully support the intention behind the proposal. But because the proposals together will have consequences that it will be very difficult to get an overview without further investigation, it is difficult to go in for each of them. Some of the individual proposals are also somewhat skeptical, as the comments show. But in general, there are several of the proposals it is relevant to look at. This applies, inter alia, to: the proposal that the rules on free legal aid may also apply in disputes with the EQUs, that the legal time limits for dealing with the debt regime should be respected, and that measures to contribute to the reduction of collection fees should be implemented, as well as an assessment of a legislative amendment which would give greater opportunity to set the period of debt to zero years. Research shows that the group applying for a debt regime is scarce. Many have challenges in terms of health, intoxication and financial capacity. In the opinion of the Right, the consideration of the people concerned is that a certain decoration is made in the requirements of the law. For particularly resource-impaired debtors, the prospects for positive changes in the period of the debt regime will be small, and we cannot see that some decoration in the law at this point will reduce the general payment morale or be offensive to the creditors. In conclusion, I would like to say that the right has noticed the recordings that have come from the various bodies that have been at the hearing on this matter. Special Juss-Bus and the Debt Sacrifice Alliance I will give a tribute for the help they give to people in a difficult situation, to those people who may need this help most.
ParlaMint-NO_2008-02-28.ana.ud2591e194	Let me also pay tribute to the Progress Party for the proposal that has been put forward here, which is widely welcomed in the comments of a large majority. Of course, you might want to get a vote on each proposal, but I also think it has something to do with the seriousness of doing that together and get an overall assessment. What was also said, that it was a kind of marshall from the majority, I think is a good description, and at least as I understood it, the council itself is concerned with the situation of the victims. This is not always the case with the legal text itself, but with the way in which the individual who administers the public authority meets with the victims of the debt. If you want to act with flexibility, maybe a lot can be done without having to change too much on different legal texts. The goal must be to solve the problems with the debtors, not to break them. At the same time, of course, it is not in the interests of society to weaken the general payment morality. Liability assumes responsibilities that are necessarily to be expected to be followed up. But debt problems also arise without the payment morality being the cause. In such situations, we know that it's the debtor, not the creditors, which is most often the weak party today. In its assessment of the individual proposals, the Councils of State have inter alia: referenced to the hearing in progress in relation to the organisation of public procurement and to ongoing work on the Debt Regulations Act. We know, as was also said by the rapporteur, that there are several departments involved, so good coordination is absolutely hopeful. When, on the part of the Christian People's Party, we do not vote positively for the individual proposals, but speak positively of them in the comments, we do so in confidence that the intention is taken seriously. In the ongoing consultation processes that are now taking place, we expect both this proposal and a previous proposal from the Christian People's Party, which was discussed one year ago, and which deals with much of the same, to be taken into account and evaluated collectively in the Government, for example. «green number» means, for debt-stricken, call-back obligations in the case of credit purchases and better protection of liabilities. It is not just about measures to get people out of the debt trap, but so much about preventing people from getting there in the first place. I think that both government parties and opposition parties have a common desire to make the situation better, and if we now approach a period of more rush -- to call it that -- in the national economy, there is absolutely reason to be on guard. The government has a large professional apparatus that it can use to investigate and propose effective measures that provide debt-related better protection, and I hope that is the basis for the work that the Government is doing now.
ParlaMint-NO_2008-02-28.ana.ud2591e207	As others have done, I would also like to thank the Progress Party for Document No. The 8th proposal. It is an important and very demanding matter. It's a very big dilemma that the Stortinget is facing here, because we, as legislators, are concerned that people are going to pay for themselves. One should settle separately. One shall be a legitimate economic person who takes the responsibility of buying a service or a good. At the same time, as legislators, we need to give people in economically problematic situations a real chance to get out of the situation they are in. If we tighten too much on one side or the other, this will lead to a new behaviour from, for example: those who sell a good or a service, which can easily result in those who are least involved, becoming more difficult to obtain from the better-fed people. What is well the purpose of this discussion is to ensure that the least is possible in such a situation. At the same time, as much as possible comes out of it, if they want to sail-- and I'll underline it: if they sail will. The dilemmas that we face here are parallel to other dilemmas that we face in society in terms of reactions and the possibility of rehabilitation in difficult situations, one of different reasons might arise. There is a balance between the responsibility for the weight of debt in relation to its own efforts and the responsibility of those who give credit. Those who are creditors have a greater risk of losing money, by selling it, for example. The laws and regulations of the authorities balance these interests. What may be particularly intimidating is the behaviour of the authorities which is the result of unpaid tax or levy. I have many examples that it is more difficult to obtain indebted arrangements, payment arrangements and chords from the public than from individuals or businesses that have given the indebted credit. There are many individuals who have come into an economic situation where, on account of the causes of the problems, it is too difficult to get back on track economically, and that is the point of those who have tabled the proposal. There are good input from the Debt Victims Alliance at the committee's proceedings, and I think, as many have said, that the attitude of the Government at the Finance Minister is positively seeking to balance this. We in the Center Party feel very comfortable that this is a priority area from the Ministry of Finance, and we are very pleased about it.
ParlaMint-NO_2008-02-28.ana.ud2591e218	I take the floor to stress that what is the purpose of this Document No. The 8 proposal and the commitment that lies behind it are shared by the Government, and we're doing an important work on this that involves several ministries. That is also evident from my response to the Committee. In addition, I would just like to highlight some of the issues raised by several speakers in the debate, namely how important it is to focus on the prevention work in these areas. Once the problems have grown one at a time, there are many of the solutions that the Progress Party is addressing, but I think that perhaps especially the public sector at a much earlier time can make contact with people who see themselves refusing to have contact. It is this that is the starting point of the report made by the tax authorities, which was actually made on the basis of an initiative by Jon Skau. He told me how he, as an individual, was able to get into a problem that just grew and grew and became completely unmanageable because he refused to open window envelopes, did not dare call the Equation Office, was not visited by the Equation Office when they saw that he had problems, etc. The tax authorities have taken this very seriously in that they now want to get into active contact with people who, because of illness or things that happen in the family or otherwise in life, are unable to deal with the equality authorities. It's a part that's got it like that. If you can get in touch at an early stage, you can prevent problems from getting big. I am very pleased that the tax authorities have started that work, because that means that we get fewer people who end up in major debt problems related to paying their taxes. Of course, we should also focus on the other proposals, which are primarily about those that have had problems anyway. But I think that's a huge amount we can pick up by having a preventive perspective, a friendly and constructive tone and trying to solve problems in collaboration with taxpayers -- instead of just growing and growing.
ParlaMint-NO_2008-02-28.ana.ud2591e231	No more people have asked for the word on case 2. [[See page 2222]]
