ParlaMint-NO_2008-02-13.ana.ud1703e22	The representative, Odd Einar Dørum, will put forward a proposal for a representative.
ParlaMint-NO_2008-02-13.ana.ud1703e25	I have the pleasure, on behalf of the representative Lars Sponheim and myself, to make proposals to raise the ceiling on the amount of the head office's management of the funds of unauthorised persons.
ParlaMint-NO_2008-02-13.ana.ud1703e30	The representative, Mr S. Woldseth, will put forward a proposal for a representative.
ParlaMint-NO_2008-02-13.ana.ud1703e33	I am pleased, on behalf of the representatives of Ulf Erik Knudsen, Kåre Fostervold and myself, to propose a non-legislative treatment of children in private and public kindergartens.
ParlaMint-NO_2008-02-13.ana.ud1703e38	The representative of Per-Kristian Foss will present a proposal for a representative.
ParlaMint-NO_2008-02-13.ana.ud1703e41	On behalf of the representatives of Erna Solberg, Olemic Thommess and myself, I am delighted to make proposals to re-examine the Equality and Discrimination Ombudsman, the Consumer Ombudsman and the Children's Ombudsman to bodies during the Stortinget. President: The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2008-02-13.ana.ud1703e70	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Åslaug Haga State Council Erik Solheim State Council Knut Storberget The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. AscendingSort order for mail groups We then start with the first main questions, from the representative Jan Arild Ellingsen.
ParlaMint-NO_2008-02-13.ana.ud1703e89	I have a question for the Minister of Justice. Last week I perceived the Minister of Justice as unusually high and dark when he presented the Government's new initiative to strengthen the possibilities for victims of criminal acts. Many of the things that were presented greatly appreciated the Advance Party, and they were absolutely required. Nevertheless, there is no doubt that we still have major challenges. This week we've seen two examples of that. TVNORGE has run a case about a traffic-damaged girl from Bergen who was hit by a prom drive. Afterwards she was awarded a replacement, but since the perpetrator is not medicated, she does not get access to it, and the replacement appears only as a number on a piece of paper. Another -- maybe as grotesque, if not more grotesque -- example we've seen from Buskerud. One girl, who was 13 years old, was raped, has subsequently been awarded compensation for late injuries of 1 million. kr. The same thing is true here: the businessman is not medicated. So she is aware of the compensation that she herself has to fight to try to get paid. We believe that in the Progress Party this is totally unheard of. The state has a clear responsibility to take care of the criminals - to facilitate them, the content of the compensation, etc. How we - and the Council of State - can then defend that we have a system in which victims in many cases become double victims is completely incomprehensible to us. In view of this, the Progress Party has proposed and asked for an investigation into a system whereby those who are awarded compensation as a result of a criminal offence and who are not covered by the compensation for violence are also to be paid their compensation via the State and that the State then applies a right of recourse. We believe that this is actually going to be a much better arrangement than what you have today. Then my specific question becomes to the Council of State: What is the reason why the Minister of Justice and the Government have such strong objections to looking at a system of advance protection, thus helping to strengthen the position of more victims?
ParlaMint-NO_2008-02-13.ana.ud1703e108	I am, at first, happy to be called high and dark. It's not that often. With regard to our efforts in relation to the offended, I fully agree with the representative Ellingen, and also with the Progress Party, that there were important decisions by the Stortinge last week. It was a system shift in the sense that we are now going to have clear rules on how to deal with insults in the criminal justice area, and that will help - that is the ambition of the Government - that more insulted people report not only to the police but also to the children's houses we create, and also to civil society when they have been subjected to criminal action. I am pleased that the Progress Party also supported the main features of these proposals. I think it's incredibly important. As regards the question of compensation, there is already a system for those who are subjected to violence and abuse: the system of compensation for victims of violence. I believe - and the Government also stands for it - that it is certainly important that we strengthen the system of compensation for victims of violence. This is the background for, for example, over the last few years. have raised the ceiling on how much compensation can be paid. That is also the background for extending the scope, which is now done, and which is embedded in the budget of the year, including the following: children shall be more likely to receive compensation for the victims of violence. That is also why those who are subjected to violence and abuse at home, in particular women and children, are more likely to be in a position to be replaced. I believe that it is precisely the victim compensation system that needs to take care of the economic needs and meet the needs of victims, and then it is the system that we should do better, as we did last week. But I also believe that we have work to do, and that is why I have said that we should come back to Stortinget when it comes to assessing, among other things. the roof and the question of compensation payments where there are several abuses, and where there are several victims.
ParlaMint-NO_2008-02-13.ana.ud1703e117	Of course, I thank the Council of State for the answer. To what extent he is tall and dark, we can follow. The point of the problem is that although we have a good system of compensation for victims of violence - which can clearly be better - we have people who fall outside and who clearly feel like double victims. The perpetrator is convicted and punished, they are awarded compensation, and then they are not paid because the system is not such that they can access the funds they are actually given. Then I think a lot of people feel like a double victim. They have confidence that the government will settle with the perpetrator. They have confidence that the State will clean up and assist them, etc. When that doesn't happen, they hit twice. So I welcome the invitation of the Council of State to take a closer look at the Victim Compensation Act and the arrangements we have. The most important thing is to make sure that those who are victims of crime actually avoid becoming double victims, but that they achieve being protected and that they get their rights strengthened. So I hope that the Council of State can confirm that the two examples I referred to in my first question will be taken into account and assessed as a starting point, as examples of the new system - and a better system.
ParlaMint-NO_2008-02-13.ana.ud1703e126	We're going through several cases, especially those cases that are now reaching the maximum for victims of violence. There are some thirty things that you have a review on, and I will also take along the issues that the representative asks about. At the same time, it must be a pleasure that we are actually using the victim compensation system and the discussion we have had around it to extend the scope. Young children who are witnesses to abuse at home now have an opportunity to seek compensation for the victims of violence. This is an example of the fact that we are making extensions to particularly vulnerable groups. Then there's reason to point out that even here, the heads that come from the public -- and some from the private as well -- won't be alpha and omega in terms of rehabilitation. We don't just solve these problems by replacing them. We don't want a society to praise that kind of assault just in dollars and dollars. That is why we also need to be aware of other measures.
ParlaMint-NO_2008-02-13.ana.ud1703e135	It's going to be follow-up questions -- first Solveig Horne.
ParlaMint-NO_2008-02-13.ana.ud1703e138	We have heard here that the Minister of Justice has spoken warmly about the extension of the system of compensation for victims of violence as the solution. But we have also been given more examples of this not being done well enough - examples of young girls being raped not getting the compensation they are going to have, because the culprit does not have the money. Does the Council of State feel that these young girls who are exposed to this criminal act are being cared for well enough?
ParlaMint-NO_2008-02-13.ana.ud1703e143	The impatience of government in meeting victims of rape, and in particular violence in what is often called close relations, shows that here we are not satisfied with the situation, neither criminal law nor the economic and health follow-up of these victims. That is the background to the action plan we put forward before Christmas called the turning point, which involves 50 specific points, and which I believe is actually important in order to raise the status of these victims. It is precisely the system of compensation for victims of violence that is intended to meet the victim for economic reasons. The ceiling has expanded significantly - up to 1.3 million. kr - and we also see that there has been a much higher level of compensation measurement than in the past, which actually benefits the victims pointed out by the representative.
ParlaMint-NO_2008-02-13.ana.ud1703e151	Elisabeth Aspaker - for follow-up questions.
ParlaMint-NO_2008-02-13.ana.ud1703e154	It is correct that the Stortinget last week put new, important things in place in relation to being offended and left behind in Norwegian law. But it is unfortunately also a fact that many victims of crime have to wait a very long time for their compensation. They may not get it at all, because the offender is unable to settle. It is a difficult issue, and consideration for the victims suggests that consideration should be given to the possibility of avoiding long-term compensation. There is a difference between being subjected to an intrusion on the car and being subjected to rape or other serious damage to the body. So my question to the Council of State is whether he will consider taking a closer look at the possibility of delimiting civil claims on the part of the state for the most serious crimes that have led to great harm to life and health.
ParlaMint-NO_2008-02-13.ana.ud1703e161	After all, the State is already making a payment, and in many ways it is making an advance, in relation to the civil claim, by establishing the system for the compensation of victims of violence. I do not believe in a general scheme in which the state is almost a guarantor of all claims. I understand that neither will the Right want to move in when you talk about delimitation. It is Governmentan view that there is a very good system of compensation for the victims. And that's what I said in my previous answer, that's why we're just using the victim compensation system when we now choose to extend the compensation payments from the public to those who need it the most. There are those groups that are weakest, whether they are children who are subjected to violence, or women who are subjected to domestic violence, gross rapes, or minor rapes, out in public or private space. I also think that there's a right way to do it -- rationally and well. We also know that the system of compensation for victims of violence is well practised in Finland.
ParlaMint-NO_2008-02-13.ana.ud1703e168	Let's go to the next main question.
ParlaMint-NO_2008-02-13.ana.ud1703e171	I have a question to Haga, the Council of State. It is not unknown to anyone in this room that the red-green parties have a burning desire for more and more political governance of the company StatoilHydro. The latter has been seen in this turn through the clear announcement by the Council of State that she intends to hold four so-called owner’s meetings with the company – no more and no less. And when we see the red-green thread taken over from government responsibility, from the attempt to appoint new director in Hydro, how Eivind Reiten's fate was sealed, how we've seen the rise further, how a group manager was publicly taken in school by representatives of the Government, we see how one almost has a wish and expects StatoilHydro in many ways through its future activity to pursue a sort of red-green policy. But aren't you now complete in a grey zone, where the executive, where the concessionary, the authority that issues blocks on the base of a dominant company - Nordic's largest company - are now actually in a situation where in a closed forum in the department you exchange control signals with owner signals? Are you not afraid that information and inside information can now slip into each other? Are you not afraid that exchange rules and laws will be broken? Are you not afraid that you will receive different treatment from owners in the company? How in the name of the world does this harmonize with the principle of government?
ParlaMint-NO_2008-02-13.ana.ud1703e180	In St.meld. No 13 for 2006-2007, An active and long-term ownership, is described in detail how the relationship between the country as owner and state-owned companies is to be organised. All meetings that I want with StatoilHydro will, of course, be in line with the provisions of the Public Share Act and with the principles of good business management. Then it's advisable for the company's board and management to include in its further decisions the recordings and views that come out of it. All decisions of an ownership nature shall be taken by sea at the general meeting and shall be made by shareholder democracy in an ordinary manner. For several years, the Ministry of Oil and Energy has had regular meetings with Statoil, now StatoilHydro, at the office level. There have normally been four of these meetings. It's the same practice that I want to follow. The only change is that political leadership will participate more in these meetings than has been the case in the past. This does not imply any modification of the systems and procedures in this field. The ministry of a department is, as is known at any time, subject to the decisions of the Council of State. So there's no fundamental difference between the meetings we've had with the company in the past and the meetings that we're going to have in the future.
ParlaMint-NO_2008-02-13.ana.ud1703e189	Here the Council of State confirms that it wishes to continue a line in which the informal structures on the outside of the formal structures provided for in the Shares Act will in many ways now provide the future governance signals. One thing is that this is a political soup of a grey zone. The second is that I think this also contributes to putting the Nordic sovereign largest company in a difficult -- not to say impossible -- situation. So we're talking about closed forums here. The council points back to St.meld in its reply. No 13th@item: So let's say we have points 1, 2 and 3, and I'm assuming that they're not randomly numbered. ‘1. Actionaries shall be treated in a non-discriminatory manner. 2nd@item: inlistbox It shall be transparent in relation to the ownership of the companies by the State. 3rd@item: inlistbox Ownership decisions and decisions shall be taken at the general meeting.» It has its own policies in all these areas.
ParlaMint-NO_2008-02-13.ana.ud1703e202	In no way - then the representative heard poorly according to what I said. And at the same time, I can point out what Helge Lund has said, that StatoilHydro is conducting regular meetings with a number of shareholders, including the State of the Oil and Energy Department. There are systems and procedures on this side of StatoilHydros, they follow the same procedures and procedures to the State of the Ministry of Oil and Energy as they do to other major shareholders. Meetings are handled within the framework of company and securities laws, and the same information is provided to all shareholders.
ParlaMint-NO_2008-02-13.ana.ud1703e207	There will be follow-up questions - first Per-Christian Foss.
ParlaMint-NO_2008-02-13.ana.ud1703e210	It is not a very small change in the nature of these meetings that political leadership, even from several departments, participates in the meetings. With all due respect for the Council of State, I do not consider her to be an extension of the office, but as something else, to say so. And if these meetings are in line with the ownership principles of St.meld. No 13, I take it for granted that the minutes of the meetings will be available and public. Question 2: What is it that, in addition to the Letter of Ownership, which is issued once a year with guidance signals to Statoil - it is generally accepted and accepted in Stortinget, of course, and openly - sees the need to conclude four secret meetings in order to communicate with the company? How, then, can other owners be sure that this owner - that is, the largest, the state - does not receive information other than other owners, minority shareholders?
ParlaMint-NO_2008-02-13.ana.ud1703e215	There's nothing new in the way we handle StatoilHydro. This is also confirmed by Helge Lund. Helge Lund states that they meet the State at the Ministry of Oil and Energy in the same way as they meet a number of shareholders, and they meet with these shareholders in the context of the quarterly overviews. They want that with the state that owns it in the future. There's nothing new in this, there's nothing to suggest that other shareholders should somehow feel threatened. Here you talk to a professional owner, from our side, and you talk about a professional company. So it's quite natural that we have meetings with StatoilHydro to be informed about different questions. [[The President announces the next speaker]]
ParlaMint-NO_2008-02-13.ana.ud1703e223	Lars Sponheim - for follow-up questions.
ParlaMint-NO_2008-02-13.ana.ud1703e226	There is a fine balance that the Council of State has taken, and it is not an unimportant step that the meetings of information meetings with the owner and the government representative of a large owner are extended to include political leadership in these meetings. For the state has invited others to attend and own StatoilHydro. The market place for those shares is the stock exchange, and then it is crucial for the value and trust of StatoilHydro that no owner is or is given information. It's absolutely crucial. And when the Council of State itself enters these meetings, there is a danger -- one may suspect -- that common red-green eggshells are brought into them. Then transparency, what the content of these conversations is, is absolutely vital for this to go on. Can the Council of States promise us that there will be transparency about what is happening in these meetings?
ParlaMint-NO_2008-02-13.ana.ud1703e231	It is quite obvious, as the representative Sponheim says, that no shareholder should be assigned. It is the basis of all our treatment of StatoilHydro. It was just supposed to be missing. I have received a question, a letter from the representative of Korsberg from the Progress Party - i.e. I have not received it, however, he has announced in today's business that he will send a letter to see the minutes of such meetings. I have not received the letter that has been notified during the business life of the day, but I will reply to it when I receive it. It is not common for reports to be given from meetings between the shareholder and the company, even for the state, but I will come back to this and answer this wisely. Is there something I've put into all my work as Minister of Oil and Energy, it's just to increase transparency? [[The President announces the next speaker]]
ParlaMint-NO_2008-02-13.ana.ud1703e238	Bente Thorsen - to follow-up questions.
ParlaMint-NO_2008-02-13.ana.ud1703e241	The oil and energy minister, on behalf of the state as a partner, has announced that she will have four briefings with StatoilHydro. I have to say that I see it much more as an impact meeting with StatoilHydro. Information is always important and sensible for all owners, whether large or small. Now the state is not at all an exclusive shareholder in StatoilHydro. What about the other owners? Should they feel inferior to the state? How will that be perceived from their point of view? Would it not be much more business-oriented for all shareholders to have access to the same information at the general meeting of the company? And a tip: Perhaps more frequent general meetings could be about non-discrimination with regard to information to all shareholders?
ParlaMint-NO_2008-02-13.ana.ud1703e246	For this State Council, equal treatment of shareholders is an obvious issue. For this State Council, it is perfectly obvious that all shareholders should have access to information in parallel. That's the way it is. This is definitely how it should continue to be. StatoilHydro conducts meetings with the state that owns the same line as other major shareholders. In addition, it is quite natural that the state has meetings with StatoilHydro when special things occur, such as: the situation on Snow White. I don't think the Stortinget would be satisfied if the Council of State hadn't got into the conditions of the huge investments in Snow White, where you're now in a situation that you're struggling with. The facility is facing challenges, and if the Council of State were not to be informed about that kind of thing, I think the Storting would have asked big questions. [[The President announces the next speaker]]
ParlaMint-NO_2008-02-13.ana.ud1703e253	The President will remind the Council of State that we have a whole new arrangement. You get interrupted when the time is up.
ParlaMint-NO_2008-02-13.ana.ud1703e256	President, I'll see to it that I can live by.
ParlaMint-NO_2008-02-13.ana.ud1703e261	Ingredient S. Sørfonn - for follow-up questions.
ParlaMint-NO_2008-02-13.ana.ud1703e264	I am a little busy with what is happening in the contact between the state and StatoilHydro. The state ownership of StatoilHydro provides both opportunities and challenges. One of the challenges is when investment is seen as an environmentally harmful project, while the Government wants to be environmentally friendly and support sustainable development. StatoilHydro has purchased licenses in the sea outside Alaska. From the past we know that one has invested in a tar sand project in Canada. At the Sandefjord Conference, one of the business leaders who had decided to invest in tar sands in the 1970s said that there is money we shouldn't spend. What does the red-green government mean? Is there any money the Norwegian state shouldn't spend through its state ownership? And is the council comfortable with the investments that StatoilHydro now makes in tar sands in Canada?
ParlaMint-NO_2008-02-13.ana.ud1703e271	This was not really a follow-up to the main question, but the Council of State will have to assess whether she will answer.
