Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-09-25-upper	ParlaMint-NO_2008-09-25-upper.ana.ud99e24	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-25	2008-09-25	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-25	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2008-09-25-upper	ParlaMint-NO_2008-09-25-upper.ana.ud99e55	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-25	2008-09-25	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-25	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.GOG	Gundersen, Gunnar Owe	M	1962	
ParlaMint-NO-en_2008-09-25-upper	ParlaMint-NO_2008-09-25-upper.ana.ud99e86	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-25	2008-09-25	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-25	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2008-09-25-upper	ParlaMint-NO_2008-09-25-upper.ana.ud99e96	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-25	2008-09-25	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-25	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TELA	Aasland, Terje	M	1965	
ParlaMint-NO-en_2008-09-25-upper	ParlaMint-NO_2008-09-25-upper.ana.ud99e111	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-25	2008-09-25	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-25	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.OBM	Moe, Ola Borten	M	1976	
ParlaMint-NO-en_2008-09-25-upper	ParlaMint-NO_2008-09-25-upper.ana.ud99e124	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-25	2008-09-25	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-25	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LHH	Holten, Line Henriette	F	1971	
ParlaMint-NO-en_2008-09-25-upper	ParlaMint-NO_2008-09-25-upper.ana.ud99e133	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-25	2008-09-25	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-25	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2008-09-25-upper	ParlaMint-NO_2008-09-25-upper.ana.ud99e144	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-25	2008-09-25	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-25	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2008-09-25-upper	ParlaMint-NO_2008-09-25-upper.ana.ud99e151	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-25	2008-09-25	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-25	-	Reference	English	Regular	notMP	Minister	Sp	Senterpartiet	Coalition	Centre	person.TRJ	Riis-Johansen, Terje	M	1968	
ParlaMint-NO-en_2008-09-25-upper	ParlaMint-NO_2008-09-25-upper.ana.ud99e162	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-25	2008-09-25	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-25	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2008-09-25-upper	ParlaMint-NO_2008-09-25-upper.ana.ud99e183	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-09-25	2008-09-25	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-09-25	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
