ParlaMint-NO_2008-05-09.ana.ud1168e43	The representative Ib Thomsen will present a proposal for a representative.
ParlaMint-NO_2008-05-09.ana.ud1168e46	On behalf of the big business representatives Per-Willy Amundsen, Åge Starheim and myself, I would like to promote a representative proposal to give municipalities the right to veto the establishment of asylum recipients.
ParlaMint-NO_2008-05-09.ana.ud1168e51	The representative, Martin Engeset, will put forward a proposal for a representative.
ParlaMint-NO_2008-05-09.ana.ud1168e54	On behalf of the representative Bent Höie and myself, I am delighted to propose a modernisation and improvement of the housing support system.
ParlaMint-NO_2008-05-09.ana.ud1168e59	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2008-05-09.ana.ud1168e73	Today, we are discussing a proposal for a document from representatives of the Right and the Left where they want to ensure equal treatment of disability pensions from private and public occupational pension schemes. A proposal is promoted in the document asking the Government as soon as possible, and at the latest in the context of the revised national budget for 2008, to promote the necessary amendments to the Act on Occupational Pensions, in order to eliminate the discrimination between private and public occupational pensions with regard to access to disability pension while receiving short-term benefits. I am quite sure that the proposers and the opposition parties themselves will give their own reasons for their views. Whereas, during the examination of this matter within the Committee, there has been both written and open consultation; The Hearing Officers have, in my opinion, made clear their views and have also made constructive representations. The majority, consisting of the government parties, propose that the proposed document be annexed to the Minutes. The background for this is that it seems natural for the majority to see this matter in conjunction with another related work done by the Government in this area. In this context, I would like to point out that the Government of the Great Britain Communication on Work, Welfare and Inclusion has made proposals to replace rehabilitation money,refunds and time-limited unpaid pay with a new, temporary public benefit. The Ministry of Labour and Inclusion has had a note out at the hearing proposing to call the benefit work clearance. Furthermore, the Government intends to submit a legislative proposal in the spring of 2008 as a follow-up to the proposals in the consultation note. The majority believe that it would be appropriate for the Government to provide an assessment of the possibility of supplementing social security benefits with disability pensions from private occupational pension schemes after this consultation and review has been carried out. In the view of the majority, this is a real issue which should be further assessed. This is also the starting point for the document proposal not to be rejected, but to be proposed to be annexed to the minutes. In addition, I refer to the work on a broader pension reform that includes the social security and occupational pension schemes. In this context, there is also a need to review the various occupational pension schemes in the private sector. In the view of the majority, it will not be possible to promote a case, if any, already in the context of the review of an amendment to the Occupational Pensions Act in this area. This document was submitted on 29 April and is being debated today, 9 May. At the same time, we know that the Government is fully inquired about its work in connection with the revision. An assessment seen in the context of this work in the Ministry of Labour and Inclusion is a much more sensible approach to addressing this issue in a holistic way. In principle, the question of whether the occupational pension schemes in the private sector should be complementary to short-term benefits in social security was addressed in St.meld. No 35 for 1994-1995, the so-called welfare communication. The working line, which meant that short-term benefits from popular security were not to be supplemented by unearned pensions from occupational pension schemes, was given political support in the Stortingen. So this is followed up by concrete proposals for rules in the Occupational Pensions Act and through the treatment of Ot.prp. No 47 for 1998-1999, Entrepreneurship Pension Act. I am referring here to the fact that in its attitude to this odelstingsproposition, an overall finance committee joined the Ministry's proposal for Section 6-1, second paragraph. This section deals with the payment of a disability pension at the same time as sickness benefits or redundancy benefits from social security. The total membership of the Financial Committee is shown by Innst. O. No 50 for 1999-2000. In this case, the disability pension starts to run twelve months after the acquisition capacity was reduced. If the payment of sickness or reinsurance benefits prior to such payment is suspended, the invalidity pension shall be paid from the same date, provided that appropriate professional recovery has been tested. There has since been no reassessment of these principles. That's right in Ot.prp. No 32 for 2006-2007 a legislative clarification of the applicable law has been interpreted by many, including proposers, as a narrowing. It is possible that practice before this clarification has been somewhat different and that the clarification of the applicable law in Section 6-1 of the legal text itself is interpreted as a tightening. I also refer to the Minister of Finance's emphasis on this in his letter to the Financial Committee dated 7 March 2008. I also see that in the comments of the Hearing Officers on Ot.prp. No 32, as we dealt with last year, came statements that indicate that the provision is interpreted differently in terms of rehabilitation and payment of disability pension from the scheme at the same time as the short-term benefits of the people's rights. If there is to be a change in this area, there has to be a change in the corporate pension law itself, which then specifies that it is possible to pay disability pension at the same time as short-term benefits. Without anticipating the timing of events, this question needs to be considered. The question that is then raised is whether this can be done in such a way that it does not weaken the working line, on which there is a broad political consensus. Here I have noticed that the main organisation of the financial industry has proposed that a change in the law of the pension can be made so that what is paid out from private occupational pension schemes is the difference between the level of the pension plan and the short-term benefit in the period of redundancy payments, if that is what will become the future concept. There may be a road that needs to be considered to prevent what I would call an opposite injustice. The Ministry has also had a working group such as: has assessed the changes proposed by the FVO in this field to change the wording of some sections of Section 6-1. It is also part of the story that the main business organisation of the economy has gone against the amendment to the main business organisation of the financial industry. I am not saying this to weaken the basis for a new assessment of the question, but to stress that there has been different perception in different camps in this area. That being said, I see that there is a difference between disability pensions from private and public pension schemes. This is the basis on which, as I have pointed out in the past, the majority of their comments consider that the issue should be subject to a broader assessment, but then in relation to the work done in the Ministry of Labour and Inclusion. In the proposal for a document, the other proposers also mention that they will reintroduce the tax exemption for the benefit of employees in terms of the employer’s coverage of the costs of treatment or health insurance. The proposers do not propose this in connection with this proposal for a document. The general rule is that any benefit gained from employment is taxable, even if this is a cover for the private expenditure of employees. In our opinion, such a tax exemption has a small social profile. Often, it is the most resource-intensive workers who can most easily achieve that the employer covers treatment insurance, etc. The vast majority do not receive such ‘goods’ from their employer, but they themselves have to pay such expenditure on taxed funds. By means of such a scheme, we can obtain a classed system depending on the economy of the individual enterprise and thus the ability of the enterprise to cover such expenses. From our point of view, we are concerned with a good public and not least equivalent health care. There are many reasons for equality and distribution which suggest that such types of benefits in kind should not be made tax-free. Finally, I would recommend that the majority vote be taken on the matter of attaching the proposed document to the protocol.
ParlaMint-NO_2008-05-09.ana.ud1168e111	The Progress Party supports the proposal of the Right and the Left to treat non-pension from private and public occupational pension schemes in a non-discriminatory manner. For the treatment of Ot.prp. No 32 for 2006-2007, the Progress Party supported the law in force to ensure that disability pensions are not complementary to return payments. We did this for the sake of enabling people to come back to work, which is the best thing for individuals and for society. We pointed out in this regard the discrimination between private and public employees. We are aware that the Government aims to make a legislative proposal during the spring. However, the party concerned fears that this proposition will not sufficiently ensure effective non-discrimination between public and private schemes. Equal treatment is an important principle for the Progress Party, and we therefore support the proposal for non-discrimination of private and public occupational pensions in the area of access to disability pension while receiving short-term benefits from social security. Like the proposers, the Progress Party also wants to reintroduce tax exemptions for the benefit of employees in terms of the employer’s coverage of the costs of treatment or health insurance. On the other hand, the Progress Party is surprised by the majority’s claim that it is “the most resource-intensive workers who can most easily obtain that the employer covers treatment insurance”, as the case-law rapporteur, Mr Jakobsen, also pointed out. The Progress Party shall refrain from classifying workers into groups of resource strengths and weaknesses. When the comments of the majority of the Committee mention resource-intensive workers, there must also be low-resource workers. So this is taking away from the Progress Party. For the Progress Party, such a claim represents a prejudiced attitude towards the ability and willingness of ordinary workers to prioritise their own health. The Progress Party believes that the equal worker himself is capable of caring for his own interests at his own workplace, and we believe that the law must encourage such a process to be strengthened. Furthermore, the Progress Party believes that reintroducing the tax exemption will strengthen the social profile - and that is the opposite of what the case rapporteur said - not least because workers often have the most physically aggravating jobs and will therefore often benefit from such a tax exemption.
ParlaMint-NO_2008-05-09.ana.ud1168e124	The rapporteur has given a clear explanation of what has taken place in the Committee. It does not prevent us from having legislation that allows 200,000 workers in the private sector to lose an important part of their social security network in the event of a long-term illness beyond one year. It is unreasonable that employees in the private sector should not have the same safety net in the case of long-term illness as those in the public sector, in particular when the employer has put in place schemes that allow it. Sickness and disability always lead to a significant loss of income, in addition to other disadvantages. As the arrangement now stands, public servants retain the right to 66 pst. of wages and salaries at the end of the sick pay period, while in the private sector there is a need to deal with the benefits of social security, no matter how good the pension scheme is. An uncertainty about the economic situation of a long-term illness is an additional burden on sick workers who are hardly particularly encouraging to get into work, rather, it may be an additional burden that can make you stay out of work. Most people at work have an economy based on the current income from full-time work. A reduction to 66 pst. is bad enough in a strenuous economy. Needless to say, getting benefits reduced over time is a disaster. That's what this case is about, and that's what you do with this Document No. The 8 proposal wants to change. The public sector has good occupational pension schemes that contribute to economic security when affected by long-term illness. We think that is excellent, but what is wrong with private employers wanting to offer something similar for their employees? This dilemma also does not answer the rapporteur or the position in his comments. I record that you claim, and so does the case rapporteur in his post, that Ot.prp. No 32 for 2006-2007, which the Stortinge treated at this time last year, did not introduce anything new and was not a tightening but a clarification of the existing law. She can do that right. But the opposition also pointed to this problem when it was dealt with last year and proposed to change it so that workers with the same schemes could receive the same benefits. Then we promoted an alternative bill. Today, we are promoting a proposal to the Government to look at this. So the rapporteur said in his statement that it would be a little strange to have to deal with this today, on 9 May, while the revised national budget is due to be presented on 15 May, and that of course it is too short a time to do something about it. Now I have not realized that it is the main argument against it, but nevertheless I have understood from the press in the last few days that neither agricultural settlement nor local economy has been fully cleared, until actually tonight, so that this relatively small case would of course not be impossible, but I understand that there are other things that are in the way. The applicant's rapporteur also rightly points out that a legislative proposal is to be made in the wake of the notification by St.meld. No 9 for 2006-2007, on work, well-being and inclusion, assessing the possibility of supplementing social security benefits with disability pensions from private occupational pension schemes. However, the majority also writes in the statement that they intend to follow up the proposals in the consultation note - it has been sent out a consultation note from the ministry, and it is said that they will follow up the proposals in the proposal. That really must mean, as I interpret it, that there is no intention of doing anything about this, because the consultation note does not give any indication that any change is proposed. On the contrary, the proposal to amend § 11-20, which is contained in the consultation note, will, as far as I can see, in reality deny any possibility for private enterprises to secure employee benefits in addition to the public interest in the event of long-term illness. And then it's to hope -- and I might interpret, if I'm very willing, the case rapporteur so -- that you want to take the recordings that have come to the committee during the consideration of this matter, and not least a series of recordings that are available to the hearing memo in the Ministry of Labour and Inclusion on the upcoming proposition, which is quite strong on this very thing. There has been a sharp public search on this from the media, from employee organisations and from employers since last summer, and it is surprising that the consultation note does not take this into account. But we can hope, as I said. I also think - I have to say it - that it is a little surprising that parties who communicate on every occasion that they are concerned with the welfare of employees do not see it as more positive that private sector employers want to contribute to the protection of their own employees for their own resources. In my world, I see it as a social good. We all remember that there has been a great deal of force in election campaigns and otherwise has been a strong fight against reduced sick pay in other contexts, a fight that I support in many ways, but then I have a little difficulty understanding this approach to illness that lasts longer than a year. And once again, I've said it a few times, I don't think the comments from the positioning parties bear the impression that you think it's urgent, but I hope the will becomes strong when this matter comes from the Ministry of Labour and Inclusion, because I think that will actually be quite important. The law as it is now has worked for five months. So in the summer, if there's no bill on this, people will still feel uncertain about how their economy is going after a year. I think we have a commitment to do something about this. I recommend, and take up, the proposal that we are also on.
ParlaMint-NO_2008-05-09.ana.ud1168e143	The representative of the Svein Fleet has taken up the proposal he referred to.
ParlaMint-NO_2008-05-09.ana.ud1168e146	This is a very good debate. It has been highlighted here by the rapporteur on both the subject matter and the justification for a part of the framework of the laws and for the rejection of the second part of the proposed document, which concerns the reintroduction of tax exemptions for the benefit of employees in terms of the employer’s coverage of the costs of treatment or health insurance. Nor has it been mentioned as a proposal in connection with the treatment we now have in Stortinget. With regard to the matter itself, it is true that we believe that, in connection with the bill submitted, there has not been a tightening, but only a clarification of the applicable law. Nevertheless, I think it is quite clear to most members of the Committee that this is a matter of discrimination against employees in the private and public sectors. Both the Minister of Finance in his letter and the President-in-Office say that there is a process going on now. A letter of consultation has been delayed until 13 March. We're going to have to make a proposition in the spring. In addition, the consideration of the opposition’s proposal in the context of the revised national budget is totally improbable and unrealistic. Then my question is whether it is not possible for the opposition in the light of the debate we have now, and the speeches that have been made, to transform this proposal into a transmission proposal, so that we go the time that is in the process of working and inclusion Minister Bjarne Håkon Hanssen, and that we take that debate. If there's still a real disagreement when the bill is presented, we'll have to take the fight instead of voting on the proposal now. In other words, I encourage the opposition to convert the proposal into a transmission proposal.
ParlaMint-NO_2008-05-09.ana.ud1168e155	I'm going to be pretty short. In Ot.prp. No 32 for 2006-2007, the Government promoted a legislative clarification of the Occupational Pensions Act § 6-1. As others have argued, it does not imply any tightening of the conditions for the payment of a disability pension; it is merely a clarification of the applicable right. What is happening then is that after the hearing that has now taken place, the Government will provide an appropriate assessment of the possibility of supplementing social security benefits with disability pensions from private occupational pension schemes. So this is very well going on. The second point raised by the opposition relates to tax exemptions for the benefit of employees in covering the costs of treatment or health insurance by the employer. Such a tax exemption would be unfair to the many who do not receive this benefit from any employer but who have to pay such expenditure from taxed resources. In many contexts, it's talking about getting them to the benefit that needs it the most. It is not here today, nor from the Progress Party. Measures to reduce sick leave should, in the opinion of the Centre Party, be general. Such measures should benefit those who need it the most, and not primarily those who are in a negotiating position with employers. We see a number of examples of this, and it's important that the Government corrects this and ensures a greater degree of jealousy than what you can achieve in an organized market. The government is concerned with a good public health service and does not want people to have to take out private treatment insurance in order to get prompt and good medical treatment. I think it's too little noticed from the opposition. When one goes on a line where one is required to have tax-positive benefits from taking out private treatment insurance, it will over time dampen public liability for securing a public, good offer and it is not in line with this Government’s position.
