Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-05-20-lower	ParlaMint-NO_2008-05-20-lower.ana.ud1363e46	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-20	2008-05-20	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.IHE	Heggø, Ingrid	F	1961	
ParlaMint-NO-en_2008-05-20-lower	ParlaMint-NO_2008-05-20-lower.ana.ud1363e76	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-20	2008-05-20	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2008-05-20-lower	ParlaMint-NO_2008-05-20-lower.ana.ud1363e92	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-20	2008-05-20	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2008-05-20-lower	ParlaMint-NO_2008-05-20-lower.ana.ud1363e99	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-20	2008-05-20	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-20	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AC	Chaudhry, Akhtar	M	1961	
ParlaMint-NO-en_2008-05-20-lower	ParlaMint-NO_2008-05-20-lower.ana.ud1363e122	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-20	2008-05-20	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2008-05-20-lower	ParlaMint-NO_2008-05-20-lower.ana.ud1363e130	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-20	2008-05-20	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2008-05-20-lower	ParlaMint-NO_2008-05-20-lower.ana.ud1363e175	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-20	2008-05-20	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2008-05-20-lower	ParlaMint-NO_2008-05-20-lower.ana.ud1363e186	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-20	2008-05-20	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2008-05-20-lower	ParlaMint-NO_2008-05-20-lower.ana.ud1363e196	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-20	2008-05-20	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2008-05-20-lower	ParlaMint-NO_2008-05-20-lower.ana.ud1363e261	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-20	2008-05-20	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2008-05-20-lower	ParlaMint-NO_2008-05-20-lower.ana.ud1363e271	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-20	2008-05-20	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2008-05-20-lower	ParlaMint-NO_2008-05-20-lower.ana.ud1363e447	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-20	2008-05-20	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
