Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-10-07	ParlaMint-NO_2008-10-07.ana.ud1616e43	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-10-07	2008-10-07	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-10-07	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.KHA	Halvorsen, Kristin	F	1960	
ParlaMint-NO-en_2008-10-07	ParlaMint-NO_2008-10-07.ana.ud1616e295	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-10-07	2008-10-07	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-10-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2008-10-07	ParlaMint-NO_2008-10-07.ana.ud1616e304	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-10-07	2008-10-07	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-10-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.RS	Sandal, Reidar	M	1949	
ParlaMint-NO-en_2008-10-07	ParlaMint-NO_2008-10-07.ana.ud1616e332	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-10-07	2008-10-07	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-10-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.UIL	Leirstein, Ulf Isak	M	1973	
ParlaMint-NO-en_2008-10-07	ParlaMint-NO_2008-10-07.ana.ud1616e353	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-10-07	2008-10-07	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-10-07	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.KHA	Halvorsen, Kristin	F	1960	
ParlaMint-NO-en_2008-10-07	ParlaMint-NO_2008-10-07.ana.ud1616e365	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-10-07	2008-10-07	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-10-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.UIL	Leirstein, Ulf Isak	M	1973	
ParlaMint-NO-en_2008-10-07	ParlaMint-NO_2008-10-07.ana.ud1616e378	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-10-07	2008-10-07	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-10-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2008-10-07	ParlaMint-NO_2008-10-07.ana.ud1616e394	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-10-07	2008-10-07	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-10-07	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.KHA	Halvorsen, Kristin	F	1960	
ParlaMint-NO-en_2008-10-07	ParlaMint-NO_2008-10-07.ana.ud1616e403	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-10-07	2008-10-07	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-10-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2008-10-07	ParlaMint-NO_2008-10-07.ana.ud1616e410	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-10-07	2008-10-07	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-10-07	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HEH	Holmås, Heikki Eidsvoll	M	1972	
ParlaMint-NO-en_2008-10-07	ParlaMint-NO_2008-10-07.ana.ud1616e434	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-10-07	2008-10-07	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-10-07	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.HOSY	Syversen, Hans Olav	M	1966	
ParlaMint-NO-en_2008-10-07	ParlaMint-NO_2008-10-07.ana.ud1616e457	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2008-10-07	2008-10-07	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2008-10-07	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.KHA	Halvorsen, Kristin	F	1960	
