Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e26	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e33	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LD	Dåvøy, Laila	F	1948	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e50	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOM	Mandt, Sonja	F	1960	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e67	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VKG	Giltun, Vigdis	F	1952	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e82	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e85	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SONS	Sjøli, Sonja Irene	F	1949	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e96	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e105	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GUNL	Ludvigsen, Gunvald	M	1949	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e120	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.SKB	Brustad, Sylvia	F	1966	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e137	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e141	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ANML	Larsen, Anne Margrethe	F	1950	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e154	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e162	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e172	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e197	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e218	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TALI	Lien, Tord	M	1975	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e223	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e251	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e289	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2008-05-08-2	ParlaMint-NO_2008-05-08-2.ana.ud128e323	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-05-08	2008-05-08	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-05-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
