ParlaMint-NO_2008-10-01.ana.ud2223e30	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2008-10-01.ana.ud2223e40	The President-in-Office of the Council will ask the Secretary of the last big thing, Signe Eye, to act temporarily as a secretary. A roll call was then made. The following representatives were absent: Inger Løite, Åse Gunhild Woie Duesund, Morten Høglund, Jan Petersen, Gunvor Eldegard, Åslaug Haga, Trond Helleland, Lise Christoffersen, Eva M. Nielsen, Per Rune Henriksen, Gjermund Hagesetter, Karin S. Woldseth, Dag Ole Teigen, Karita Bekkemellem, May-Helen Molvær Grimstad, Eli Sollied Överaas, Bjørn Jacobsen, Thore A. Nistad, Per-Kristian Foss, Akhtar Chaudhry, Trine Skei Grande, Øyvind Vaksdal, Bent Höie, Trond Lode, Bendiks H. Arnesen, Øyvind Korsberg, Lena Jensen, Gunn Karin Gjul, Børge Brende, Eva Kristin Hansen, Andersen. The following representatives had notified the case: Inger Løite, Åse Gunhild Woie Duesund, Morten Højlund, Jan Petersen, Gunvor Eldegard, Trond Helleland, Per Rune Henriksen, Dag Ole Tegen, Karita Bekkemellem, Bjørn Jacobsen, Thore A. Nistad, Per-Kristian Foss, Akhtar Chaudhry, Bent Höie, Trond Lode, Øyvind Korsberg and Inga Marte Thorkildsen. From the other representatives present the application for leave [[see below]]
ParlaMint-NO_2008-10-01.ana.ud2223e54	The President-in-Office shall propose that the Rules of Procedure used last time be put into effect. – It shall be deemed to have been adopted. A number of permit applications are available: from the Workers' Party's Grandfather's Group on Sickness Permition from 2 October to 1 October and until further from the Central Party's Group on Sickness Permition of the Representative Eli Solleid is elected from 1 October onwards and from the Central Party's Group on Sickness Permition of the Representative Åslaug Haga from 1 October onwards and until further from the Right's Group on the Permition of the Representative Burge Børge Børge Börde from 1 October onwards and the Spring Session of the United Kingdom in Geneva from 1 October to 17 October from the representatives Anders Anundsen, Bendiks H. Arnesen, Trine Skei Grande, Gjermund Hagestseter, Eva Kristin Hansen and Lena Jensen from 1 October to the Permium of the European Parliament from 1 October to 1 October. Those applications are proposed to be examined without delay and accepted. – It shall be deemed to have been adopted. The first representative of the South Trondelag County, Linda C. Hofstad Helleland, currently holds maternity leave and is therefore prevented from meeting in the Stortinge from 1 October to 31 December under the permission of the representative Børge Brende. From the first alternate of the Moravian and Romesdal counties, Oddbjørn Vatne, there is an application to be exempted from meeting in the Stortinge under the authority of the representative Eli Sollied Överaas, for reasons of well-being. Those applications are proposed to be examined without delay and accepted. – It shall be deemed to have been adopted. The following alternates are proposed to meet during the leave period: For Akershus County: Anita Orlund and Kari Mette Prestrud For the Province of Buskerud: Nina Mjøberg For Finnmark County: Ann-Kristin Engstad For the Hordaland County: Georg Indrevik and Roald Stenseide For the Mora and Romesdal counties: Modulf Aukan and Jenny Klinge For Oslo: Alvhild Hedstein For the Rogaland State: Bente Thorsen and Magnhild Eia For Troms County: Knut Werner Hansen and Ole-Anton Tegen For South Trondelag County: Knut Gravrök, Linda C. Hofstad Helleland, Michael Momyr and Oddlaug Børseth Brekken For the Westfold counties: Jan Fredrik Vogt and Merete Hannevig For Eastfold County: Thor Erik Forsberg – It shall be deemed to have been adopted. Kari Mette Prestrud, Nina Mjøberg, Ann-Kristin Engstad, Georg Indrevik, Roald Stenseide, Modulf Aukan, Jenny Klinge, Alvhild Hedstein, Bente Thorsen, Knut Werner Hansen, Ole-Anton Teigen, Knut Gravrøk, Michael Momyr, Oddlaug Børseth Brekken, Jan Fredrik Vogt and Thor Erik Forsberg are present and will take the seat.
ParlaMint-NO_2008-10-01.ana.ud2223e243	The Presidents and Secretaries shall then be elected. The President-in-Office will refer to the fifth paragraph of Section 4 of the Rules of Procedure, which reads as follows: ‘In the first election of Presidents and Vice-Presidents, the votes shall be in the case of non-signatured banknotes. In the case of subsequent elections in the same parliamentary term, the rules in paragraph 44, first paragraph, point (d), first and second sentences shall apply.’ That provision of the Rules of Procedure means, therefore, that the election of Presidents and Vice-Presidents can now be made in a normal manner, without the use of ballots. The President-in-Office will then propose that we vote in the usual manner. – It shall be deemed to have been adopted. The President-in-Office of the Council is asking for proposals from the President of Stortinget.
ParlaMint-NO_2008-10-01.ana.ud2223e258	I have the pleasure of proposing Thorbjørn Jagland.
ParlaMint-NO_2008-10-01.ana.ud2223e267	Thorbjørn Jagland has been proposed to the President of Stortinget. Other proposals are not available.
ParlaMint-NO_2008-10-01.ana.ud2223e276	The President then asks for proposals from the Vice-President of Stortinget.
ParlaMint-NO_2008-10-01.ana.ud2223e282	I have the pleasure of rejecting Carl I. Hagen.
ParlaMint-NO_2008-10-01.ana.ud2223e290	Carl I. Hagen has been proposed as Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2008-10-01.ana.ud2223e299	The Secretary of State and the Secretary of State, the First and Second Vice-President and the Secretary of State of the Grand Duchy shall then be elected. The President is asking for a proposal from the Secretary.
ParlaMint-NO_2008-10-01.ana.ud2223e307	I suggest Signe Eye.
ParlaMint-NO_2008-10-01.ana.ud2223e315	Signe Eye has been proposed to the Secretary of the Storting. Other proposals are not available.
ParlaMint-NO_2008-10-01.ana.ud2223e324	The President then asks for a proposal from the Secretary of State.
ParlaMint-NO_2008-10-01.ana.ud2223e331	I suggest Karin S. Woldseth.
ParlaMint-NO_2008-10-01.ana.ud2223e339	Karin S. Woldseth was proposed as Secretary of State. Other proposals are not available.
ParlaMint-NO_2008-10-01.ana.ud2223e348	The first and second vice-presidents of Stortinget shall then be elected. The President will first ask for proposals from the first Vice-President.
ParlaMint-NO_2008-10-01.ana.ud2223e354	I suggest Eirin Fallet.
ParlaMint-NO_2008-10-01.ana.ud2223e362	Eirin Faldet is proposed as the first Vice-President of the Stortinget. Other proposals are not available.
ParlaMint-NO_2008-10-01.ana.ud2223e371	The majority has then come to the election of the other vice-president. The President is asking for proposals.
ParlaMint-NO_2008-10-01.ana.ud2223e377	I suggest Lodve Solholm.
ParlaMint-NO_2008-10-01.ana.ud2223e385	Lodve Solholm is proposed as other vice-president. Other proposals are not available.
ParlaMint-NO_2008-10-01.ana.ud2223e395	It shall then be elected Secretary of State. The President is asking for proposals.
