ParlaMint-NO_2008-04-30.ana.ud2456e24	The representative of Mr Sonja Irene Sjøli will present a proposal for a representative.
ParlaMint-NO_2008-04-30.ana.ud2456e27	On behalf of the representatives of Linda C. Hofstad Helleland, Olemic Thommessen and myself, I would like to propose a better maternity care, a safer provision of food and a better follow-up in maternity.
ParlaMint-NO_2008-04-30.ana.ud2456e32	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2008-04-30.ana.ud2456e35	On behalf of Siv Jensen and myself, I would like to make suggestions to ensure that the hospital is completed at the Radium Hospital/Montebello. I would also ask that this matter be dealt with promptly in view of the content of the proposal.
ParlaMint-NO_2008-04-30.ana.ud2456e42	The representative Line Henriette Holten Hemdal will present a proposal for a representative.
ParlaMint-NO_2008-04-30.ana.ud2456e45	On behalf of the representative Bjørg Tørresdal and myself, I would like to propose the launch of a potential study for energy efficiency improvement in different sectors and purposes.
ParlaMint-NO_2008-04-30.ana.ud2456e50	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2008-04-30.ana.ud2456e57	Having regard to the wish of the Progress Party to have its proposal dealt with quickly, the President, on the basis of the fourth paragraph of Section 26 of the Rules of Procedure, will propose that today, as case No. 2, set up Unit, so that the Storting can decide how that proposal is to be dealt with. The President will also propose that the matter be referred to the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, and the - It is deemed to have been adopted.
ParlaMint-NO_2008-04-30.ana.ud2456e85	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. AscendingSort order for mail groups We then start with the first main questions, from the representative, Siv Jensen.
ParlaMint-NO_2008-04-30.ana.ud2456e94	There has been an acute and very special situation in connection with the decision in Health South-East not to realise the new medical hotel. It is serious because this is an offer that concerns very sick people and their relatives. There are no other hotel options in this area. It's long distances to the nearest accommodation. It is also a fact that very many of the neighbors in the area around the Radium Hospital have, over several years, put their private homes at the disposal of relatives who want to be closest to their very, very ill loved ones in a very difficult situation. In addition, in the current situation, there are private actors who have also been through cancer treatment themselves and who want to implement this private-funded project to ensure that the hospital is put in place. Then it means that there was a signal from the Government, at the Prime Minister, that he is willing to accept that private completion of this medical hotel when, unfortunately, the state has chosen to say no. Of course, it should be in the richest country in the world to build such a medical hotel, for there is a great need for it. When, for some mysterious reason, the state chooses not to do so, the aversion of the red-green government to private solutions should not stand in the way of the realization of this medical hotel for the benefit of those who are undergoing very serious treatment and all their relatives.
ParlaMint-NO_2008-04-30.ana.ud2456e101	First of all, I would like to say that the Government and the Stortinget believe that it is necessary to spend more money on hospitals, hospital services and offers such as: hospital hotel. That is why we have also significantly increased hospital appropriations. This year alone, we're increasing by almost $4 billion. In addition, we allocate more than NOK 3 billion to compensate for increased price and salary increases. So NOK 4 billion is a real increase after taking into account price and salary increases. This means that we are now treating more patients than ever before in Norwegian hospitals. This means that there are more Norwegian hospital employees than ever before, and this is absolutely necessary in view of new technology. Fortunately, we are getting older, so we still have to and should treat more patients, and there are still many unsolved tasks in the Norwegian health system. In addition to spending more money, we're concerned that we spend the money in a better way, because we can get more health again. We are. Because when we look at international comparisons, Norway is at the top -- either completely up, or among the countries in the world that spend the most on health, compared to the number of inhabitants. It's e.g. barely any country in the world with more doctors and nurses compared to its inhabitants. We use a lot of resources, and then we're busy getting more for it. That was why we made a health reform, including: supported by the Progress Party, where the whole point was that the Storting should determine the framework, how many patients, how much money, and then we should let the hospitals and those who were closest, decide how this should be organized. And when Health South-East believes that it is more important to spend money on the other major projects, whether there are emergency departments or new hospitals in Buskerud or Eastfold, than to fund the health hotel, it is a decision I respect, in line with the reform for which the Progress Party, the Workers' Party and many other parties were. Health South-East assessment is that this is not a gift. State budgets must be used to finance operations and capital costs for this project, and therefore Health South-East believes that other things are more important.
