ParlaMint-NO_2008-04-04.ana.ud1664e57	The representative, Olemic Thommess, will present a proposal for a representative.
ParlaMint-NO_2008-04-04.ana.ud1664e60	On behalf of Erna Solberg, Martin Engeset, Elisabeth Aspaker, Sonja Irene Sjøli and myself, I will be allowed to make a proposal to restore and extend the trial scheme with municipal responsibility for the child protection services.
ParlaMint-NO_2008-04-04.ana.ud1664e65	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2008-04-04.ana.ud1664e81	Today, 10 250 disabled Nordics aged 18 to 30 are registered among the 330,000 unemployed in the population as a whole. Only in the last year has there been 2,240 new deaths in the youngest age group. The proportion of young people who are unemployed is increasing. It worries me, and in particular the fact that about one third of these people have mental disorders as the main reason for transferring them to social security. It's worrying. Through the NAV reform, we are now in a period when welfare management is being reorganised and the instruments are changing. It gives us the opportunity to do something about the biases that have developed. I hope today's interpellation debate can be a small element in the extensive work that needs to be done to help young people who are struggling with health, so that their life situation as 17-18-year-olds does not become something they are locked up to through a long life. I also believe, as the Council of State does, on the working line as a leading element of welfare policy. However, in this context, the working line is our responsibility to develop a labour market that also accommodates jobseekers with varying or reduced working capacity. NAV shall provide closer follow-up to the individual and the measures of the auxiliary equipment shall be coordinated. This is the main objective of the NAV reform. Instead of many offices and faces, the user shall meet a coordinated device, which knows his or her history and follows all the way to work, education or, finally, disability. Disadvantage shall be a last resort, but nevertheless a worthy way out and right when it proves to be the right solution. The problem today is that a good deal ends up in disability even if they personally want something different, and even if they have a working capacity that means that they have opportunities in their working life, possibly in combination with social security. Auxiliaries don't have the power to clear the roadblocks. We know that especially young people with mental disorders have had too poor follow-up. The Norwegian Research Council will now carry out a comprehensive evaluation of the NAV reform and will provide us with information on how far we have come to rectify these issues. I do not expect the Council of State to conclude now that the NAV reform has given the answer. But the task of auxiliaries is to ensure that young people who need it get proper medical help and training and work opportunities when they are healthy enough. The mandate of NAV, given by a majority here at Stortinget, is to see the opportunities of the individual and to strengthen their ability to take control of their own lives. However, we cannot just point to NAV. Perhaps we do it a little too often in these times, because the focus is on NAV as strongly as a comprehensive reform. Schools, health services, working life and social policy are only in time in the links of social institutions that can eventually end up in a meeting with NAV when the problems have towered. Ensuring equivalent opportunities for citizens from birth onwards is the universal instrument for preventing social marginalisation. The National Institute for Safety and Health at Work estimates that young people with disabled parents are at three times as likely to get young themselves and that completing secondary school marks a distinction. Today there's a quarter that doesn't complete high school, and a majority of these are boys. Most of the young people with mental disorders are also boys. We need to be much more effective at finding appropriate prevention measures that are implemented at an early age. A study conducted by SINTEF in 2007 showed that a wide range of measures against high school dropouts produced results. The same applies to the numbers from jobs that fulfil the legal obligation to summon all those who have been sick for more than 12 weeks to the dialogue meeting so that the employer, employee and doctor will jointly find measures that can speed up the return of the sick person to work. This type of follow-up may constitute the difference between a youth, who may have a lower threshold than more experienced workers in order to give up his or her career, being given strength to get back to work instead of seeing a long life as a social welfare beneficiary. An ongoing effort to strengthen public health and ensure that psychiatry has the capacity and ability to help young people who need it will also appear on disability statistics. Researchers report that mental disorders are still shameful, and that many people are afraid to seek help. At the same time, working life reports that it is difficult to get involved in the health situation of employees with mental health problems. It also testifies to the need for change of attitude. We have a labour market that needs labour, but that demands success to such an extent that it disqualifies a number of us from getting into work. This does not make the situation easy for a case handler in NAV, who will try to communicate the same persons into good working conditions. The alternative can often be a long round dance in a series of labour market measures, which ultimately only reinforces the image of a disqualifying rather than a qualifying CV. As politicians, it is therefore our responsibility to ensure that not only is the number of labour market measures that count, but also that the measures are so good that they actually lead to qualification and opportunities for normal work. Too many young people have been reduced in the face of school, health, employment and working life. Too many people feel that their abilities are not seen in this process. They express arrogance because they lack a social work life that gives self-confirmation, but they, like all of us, want to contribute to their own income and their own living. And it's our challenge to get them an opportunity to do that. These young people deserve to be able to stand up and know that they need to hurry to something they experience as necessary and meaningful. As a society, we can't afford not to give them that opportunity either. There are many, many community heads saved if we can do this. Our new welfare office, the NAV offices, which in about a year and a half will be in all municipalities - they are still under development, we need to be aware of it once in a while when we talk about them - cannot do the job alone. They must build alliances with working life, school and health. Among other things, we must: develop better mechanisms to ensure the follow-up of young people leaving high school. It is very gratifying to read in the evening post today that the ‘Spabel project’, which is just targeted at this group of young people, has now signed an agreement with NAV on the financing of several hundred sites in its actions. I also know that the management companies believe that they can do a job for young people who need alternatives to the ordinary course of education, but that it requires better cooperation with the states as school owners. We know that child and youth psychiatry must strengthen its ability to meet children and young people at risk with timely action. In my interpellation, I ask the Council of State whether he believes that the reforms that are under way will ensure a better interaction between the health and welfare services, so that young people with mental disorders can become more likely to enter education and work rather than to be disembarked. I hope the Council of State can respond positively to that, and that the cooperation we have decided to establish across the boundaries of social security, employment and social security, will also be accompanied by a significantly better interaction with school, healthcare and work. It is this whole thing that is necessary to give more young people opportunities for a future where they can experience themselves as included and valued citizens, and that can lead us finally to see a disability statistics that point downwards instead of upward, in a situation where we do not fully understand why the numbers should go up when the labour market is like that.
ParlaMint-NO_2008-04-04.ana.ud1664e104	The interpellant points to what is a very important issue related to the increase in the number of young people who are infirm, and in particular the increase in the number of young people who suffer from mental illness. I am very concerned that we set up health and welfare systems so that young people can be in education and work as much as possible when appropriate and they want it for themselves. I have great faith that the reforms we are now implementing and the measures taken will contribute to a more inclusive working life and that they will provide a better basis for the necessary coordination between health care and labour and welfare management. I am informed that there is no evidence that overall there is an increased incidence of mental illness in the population. We don't know enough about the causes of the growth of disability renunciation due to mental disorders. We need to get more knowledge about that. I have not intended to speculate for possible reasons, because regardless of the reasons for development, it is important that employees in the management of labour and welfare have knowledge and competence that helps to support and develop individual resources and plans for education/work and help for self-help. This applies not least when they assist users with mental illness and complex needs. Both for occupational and welfare management and for healthcare, the law now provides for individual rights and obligations for those who need coordinated assistance over a period of time. An important objective of the NAV reform is to provide better framework conditions for user follow-up and to provide a comprehensive range of services to the individual. In addition to the organisational reform, we are in the process of making several major changes to the legislation as a follow-up to St.meld. No 9 for 2006-2007, Work, well-being and inclusion. The NAV reform shall ensure that the overall apparatus of labour and welfare management is better coordinated. An organisational framework is thus established to provide a better basis for catching up people who have difficulties in getting into work, including young people who are disabled. Experience shows that many people with mental disorders fall out in the process of reintroduction. Many in the target population also need treatment services in parallel with the route of reintroduction. The new system of redundancy payments will provide greater flexibility in relation to the content of the individual’s process against work, thereby providing a better opportunity to adapt the situation of the user at all times, whether under medical treatment and/or reintroduction. The interpellant discusses the cooperation between the health sector and the management of labour and welfare. Last autumn, the Minister of Health and I launched a national strategy plan for work and mental health for the years 2007 to 2012. Through the strategy, we want to build a bridge between labour and welfare management and the health sector, thereby helping to ensure an overall public effort to maximise the use of resources in the workplace by people with mental disorders and to facilitate the provision of services and measures. The national strategy plan for work and mental health identifies several measures to help people with mental health problems get into work. Among other things, the Employment and Welfare Unit works to create its own guidance and follow-up unemployment for people with mental health problems and disorders. One of the key tasks of the job losses will be to follow up and guide the individual with mental health problems, employers and others dealing with the individual with mental health problems. The Roadmap for Mental Health has expanded services both in municipalities and in the specialist health service. An important contribution to the escalation plan is information and information activities to contribute to greater transparency in mental health. It has been aimed at reaching children and young people, among others. through the ‘Psychiatric health at school’ programme, which is a training programme specifically organised for teachers and students. The government has notified St.meld. No 20 for 2006-2007, the National Strategy to Balancing Social Health Differences, to further strengthen school health services. This is an important prevention measure to reach young people with mental disorders. There is clearly a need to systematise and improve cooperation between school, labour and welfare management and the health sector, and to strengthen the interface to the labour market. It is important to ensure that people with mental disorders are caught at an early stage. The Ministry of Labour and Inclusion and the Federation of Municipalities and Local Governments have concluded an agreement to strengthen cooperation between the State of Labour and Welfare, the counties and municipalities on services and actions in the field of education. The aim is to increase the number of people involved in work or education, and the agreement will help to improve the implementation of training and other services for groups responsible for both municipalities, county councils and the State of Labour and Welfare. Finally, I would like to say that both the national strategy plan for work and mental health and other measures are aimed at ensuring good and relevant work and health-oriented actions and services for individuals. Furthermore, these measures shall ensure good competence in work and mental health in the workplace and in the public service. At the same time, I am aware that this is demanding and challenging for those who work with people with mental disorders for daily, with mental health work in the municipalities, at district psychiatric centres, at local NAV offices or in other agencies. I hope and believe that the efforts we are now making will contribute to the inclusion of young people with mental disorders to a greater extent than today in working and social life.
ParlaMint-NO_2008-04-04.ana.ud1664e127	I thank the Council of State for the answer, and it proves that there is work to be done, not only by solving the challenge through the NAV reform, but also by making continuous efforts to find solutions across the board. In this context, I refer not least to the strategy plan signed by the Minister of Health and Labour and the Minister of Inclusion to focus on work and mental health. The Councils of State indicated three possible explanations for the increase in the growth of disability in young people with mental illness. He says that there may be something that has to do with diagnostic practice. He points out that the health care system captures these better than before, and that there can be one relationship. I hope that's the case-- it'll be valuable. Then, the Council of State also pointed to factors related to working life. I'm going to focus on that in my comment, because I just think that factors related to work are so important that we're going to get on with this that there's special reason to focus on it. It is also a special challenge for NAV, which I feel in a way a relationship with all the time it belongs to the labour and social field. A DeFacto report concludes that in order to achieve the objective of the NAV reform, it does not mean that young people with disabilities want to get into work and that NAV can qualify them for it. The employer’s side must also want to hire them. In other documentation - I left it down - it refers to a phone survey MMI has done for the Mental Health Council, where employers are asked about their attitudes. Then I think it was the way the large majority of employers say that they see the responsibility for having an inclusive working life that also helps workers with mental disorders to keep their job, or come to work, but there is a small minority, or only a third, of employers who say that they will personally be able to imagine that employees they know have mental disorders, or -- and that's worse -- are treated for mental illness. It is such a great deal of uncertainty in the work of this group of people that it is in itself a huge challenge that we have to face and that becomes a special challenge, of course, for NAV, but also for us politicians to focus on. I thank you for the answer, which shows that something is happening here, and that there is systemicity in the work to get closer to solutions to this problem.
ParlaMint-NO_2008-04-04.ana.ud1664e138	I agree with the representative Sundsbø that it is right in any case of us, I mean the Minister of Labour and Inclusion and the Labour and Social Committee, to focus very strongly on working life when we are going to meet these challenges. I think, and experience it this way, that really there are a lot of employers who have quite positive attitudes, they want to try. They're not repudiating on a principle basis, but what they're saying to me is that all these financial support schemes are fine. It helps make it easier for them to give people a chance. But what many people say is that they want there to be someone they can call when they feel that there are challenges and problems in everyday life. In this way, it will be exciting to follow this work of setting up guidance and follow-up solutions. They should be free of people who have a mental illness and who are going to try out in the workplace, but it should also be a person who is there for the employer, and with whom the employer can have a dialogue if he feels that it is a matter of concern when things are going well and when things are not going well. Just building up an apparatus around these financial support schemes will be very exciting to follow. Then we have to admit that there is a lot of faith and doubt here. It strikes me that the more I work with the social policy area, to call it a little bit broad, that this isn't very much basic systematic research over time that can give us exact knowledge. Therefore, I believe that some of what we now need is to strengthen research efforts in the workplace and the way in which working life works. What leads to exclusion, and what leads to inclusion? How can we use systematic knowledge to make sure that the measures we are taking are good enough? My impression is that there is no lack of schemes, but there is a shortage of resource people to follow up both users and employers who are in existing schemes.
ParlaMint-NO_2008-04-04.ana.ud1664e149	At the beginning of December last year, we had an interpellation debate here in the Chamber that was about the apparent paradox in that Norway is the country in the OECD area that spends the most money on rehabilitation and rehabilitation, while at the same time we are among those who have the highest number of deaths in our part of the world. We were concerned with many possible reasons, and researchers point out that it has become more difficult for people with health problems to live up to the demands of working life. We are talking about exclusion or exclusion, and that there have been new diagnostic groups, but also that many people with disabilities and health problems would like to work, in whole or in part, but will not be able to do so. It may be due to everything from purely discrimination in the workplace to slightly diffuse, unreflected attitudes that health disorders are not as productive as others, to a lack of knowledge of rules and support schemes that employers can use to facilitate a job. Today, we are discussing the situation of some of those who are perhaps the most difficult to deal with, the young people who are struggling with mental problems, who have a lack of treatment and a suffering that, unfortunately, is still partly preoccupied with shame, although this has probably started to improve. Now one is going to be a little bit careful in grading people's problems, but yet I dare say that both for the individual and for society as a whole, it's almost worse that young people are unretired before they've even started their adult life than that well-adults are retiring after many years of working life. So if you're dependent on targeting efforts and concentrating resources, this is a group that points out as an important target group. I also think that the current government has shown that these problems are being taken seriously, through all the measures that have now been taken and that are in the process of being implemented. The Council of State stated that it does so both in its own system and in interaction with the health services in terms of work and mental health, so that interventions are introduced into early school age. However, it remains an important challenge, which the interpellant also had to face, namely to ensure a good interaction between health services and welfare services, ensuring that the service is in place in a timely and cross-sectoral manner. So to this group we're talking about now, and as the council was talking about, we don't know enough, but we know a little bit. We know that there has been a steady increase in the number of young people unemployed since the 1990s, and if we look at the benefits of disability pension, rehabilitation and rehabilitation in the context, we see that there has been a rather significant growth. Most people end up with a full disability pension, and over half of them -- the young -- have mental disorders as a diagnosis. If we go to the group 25 years and below, there is an even greater proportion who have mental illness as a diagnosis. Few have education beyond high school. They have little professional experience. When they are disabled, they have almost no income other than disability pension. It is only the group of chromosomal errors that have lower incomes as well as disability pensions than those with mental disorders. Then there are rather uncertain indications as to why more young people get disabled, but one important explanation is that the ones we're talking about here, have actually not pulled footholds in the workplace, so they're hard to get back. We're talking about exclusion, which may make it harder to bring them back than those who are outlawed and who have had a base in the workplace in the past. Some people might say that the disability pension for young people is too favourable, but studies show that the young people themselves are not very satisfied with life. ‘Loneliness’ and ‘chainness’ are words that go back in their feedback, and it is also true that when loneliness and boredom are what dominate everyday life, you easily get into an evil spiral, where mental disorders are also amplified, and for some, the outcome of it may also be completely fatal. While there are no better performances initially as the solution for this group, unfortunately, studies show that there is a meeting with the auxiliaries that may be the most problematic. They feel stamped. They feel that the interaction in the meeting with the welfare movement is the hardest, and the result is a weakening of self-understanding and a reduction in belief in our own abilities and opportunities, that is, the opposite of what we really want to achieve. However, the same surveys also show that the employer is initially positive, but they do nothing special to implement inclusive measures at the workplace. The point of light is that both of these things - both the operation of the auxiliary device and concrete inclusion measures at a workplace - have something to do with. Public employers should feel a special responsibility here, and the new reforms should provide opportunities and a space for action. Then it's a political responsibility to keep track of the results being achieved, and I feel sure that the Council of State -- or maybe you should say the relevant Councils -- will take it very seriously.
ParlaMint-NO_2008-04-04.ana.ud1664e168	Let me first of all thank the interpellant for addressing a very big and complicated, but also important, question. We got a good insight into that when we heard the interpellant's posts, and also when we heard the Council's answers, because it's not just some simple magic formulas that are needed to get a better everyday life for young people and those with mental disorders. If we go back a few years in time, we also had a big debate on this, which was also part of, among other things. Set up of the Sandman Committee. The Sandman Committee pointed out that employers should perhaps be much more good at facilitating people with mental health problems, but also for those outside the labour market, i.e. a better inclusion. So you can always ask the question, Have you got there today? Have you received the optimal inclusion? Do you have a good enough job for young people who suffer from mental illness? I'm afraid we don't have it. Now I don't know statistics for the past few years, but I'm sure the Council of State can correct me. If we go back to the beginning of 2000, at least statistics show that only 40 pst. of young people aged between 20 and 24 have received an offer of employment-oriented recruitment. They have therefore been disabled without a job-oriented rehabilitation offer. When we know that one of the criteria for getting disability benefit is that reintroduction should have been tried, I think it's a little bit of a worry that there are so many in this group who don't even get an offer, but are put directly on disability benefit. It causes them to come into a situation where they are condemned to have - as the representative Christoffersen was in - a life of poor income and to be among those with the lowest income, without having the opportunity to get into a working situation in order to improve their ability to earn. Then also my question becomes to the Council of State, a question that I also asked him in the Questionnaire for a while ago: what is the situation today in terms of recruitment places for young people with mild mental disorders? Do we have a lot of backplaces, or do we still need a bigger effort in this area to get more places, so that we get a good enough offer that we can actually offer reintroductions to young people instead of disability? I think that might be the best way to limit even new cases of disability. I think all the political parties are working for this. I do not doubt that the Council of State also focuses on this every day, and I think we still have to focus on it. I think one of the solutions might have been that the next step would be to get a separate qualification programme through the NAV system in order to avoid young people in this situation becoming dissatisfied - i.e. a separate qualification programme to follow up young people with mental illness, so that they are not left out of the labour market, but that action and perhaps an action plan should be taken to help them in such a situation. In conclusion, I think the figures I referred to from around the year 2000 are alarming, and that is not a situation that we should be satisfied with. That is why I also hope, if not that the offer has improved considerably in the last two years, that it will also do something about it and get a more targeted and professional job offer for young people with mental health problems.
ParlaMint-NO_2008-04-04.ana.ud1664e185	Unfortunately, the growth in the number of disabled people in Norway has not slowed down, as we have all been concerned about. Nevertheless, there is a strong growth in the number of new malformations, and the most alarming is the growth in the number of young malformations. The inter-pellant must therefore be commended for raising this debate. It's important. In fact, this development needs to be reversed. In these days we talk a lot about sustainability in welfare to ensure future generations the same benefits that we have. It's a very central goal to make sure that anyone who can and will work actually participates in the world of work. That's the situation. Everyone who was dissatisfied at an early age has had a desire to do something completely different. They have had the same goal of life as all of us, namely a life of work, security, leisure and expansion. When a person is under 30 years of age, it must be because all other measures have been tried and have not proved to be sufficient. Imperfection of young people under 30 years of age must be an absolute last resort. I have registered that the representative Karin Andersen and others in the government party SV say that they are tired all of the talk about unemployees who do not come back to work, and claim that disability is the nobility's mark of well-being. Although I am glad that we have a system for people who, for health reasons, cannot be helped back to work, I am convinced that none of those who are under 30 years of age feel that they are being raised. I'm sure of that. On the contrary, a recent report by De Factor shows that many of those who are ill-satisfied with young people want a daily life in which they contribute and experience mastery, and they appreciate their demands. All of these people deserve a new chance. What I really perceive is that Karin Andersen is really saying, is that young people who have had disability should be at peace, and that any assessment of the individual's opportunities, desires and needs should be closest to stigmatizing to those who receive social security. I will not accept such an attitude. I do not want the welfare society to say to young people that they are permanently stamped out of participation in working and social life. We should also ask ourselves questions about what is the most stigmatizing: giving up young people by telling them that they are not expected to ever provide something to society, or offering proper rehabilitation and rehabilitation services, in line with what the individual needs. The newspaper could tell about Geir Sindre Ringdal on Monday, February 18. As a 21-year-old, he was hit by a stroke during a military exercise. When he woke up, he was paralyzed in half his body. The offer from NAV was a job intended for mentally retarded people. When I read his story, it is clear that the NAV reform has a way to go before all the goals of getting people from social security to work become reality. We can all be hit by the unexpected, and we all expect help to get back to normal life. But seeing young, motivated and resourceful people put screws in a plastic bag instead of being offered a setup of school, qualification and higher education is both shocking and sad, but unfortunately nothing new. Similar stories about how the helper meets some young people, as a politician, I hear a lot of them. Another prerequisite for young people suffering from mental illness to have a new chance rather than disability is that we must have a health care system capable of treating people. The proportion of young people in Norway today who report having mental problems is high. Often it is not about serious rashes, but that the time it takes to get into a treatment course has long-standing adverse effects. Psychiatric disorders, like all other disorders, must be treated as quickly as possible. For this reason, on several occasions the Right has made proposals here in the United Kingdom to provide rapid health care, for example. by shortening the path to psychological treatment. These are proposals that I consider to be in line with what the interpellant has signalled the wish. I also record that the Government has now announced - despite the fact that the government parties voted against a few months ago - a trial scheme with the right to medical attention for psychologists. Finally, I just want to point out the fact that the numbers we now see for the alarmingly high proportion of young people dropping out of high school are not a particularly uplifting signal of the evolution that we might have in store for. It's too many times the beginning of a sad development that we have to take on the deepest seriousness.
ParlaMint-NO_2008-04-04.ana.ud1664e200	I am pleased with a very important and necessary debate, which was also factual and good until the representative Engeset took the floor. What I've said about disability is that I'm tired of hearing that it's the disability that's the problem, and that people should be given a bad conscience to be sick and ill. I've addressed that, and I'm going to keep doing that. There is a lack of proper health care at the right time, help against violence and abuse in the home and in close relationships, early help when you get drug problems, help from child protection, rehabilitation of the right quality and at the right time and a work life that does not accept you, which is the problem - not that people get something to live from when they do not get work and are sick. If I were to twist what anxiety said, in a just as malicious way as what he wants to twist what I say, that he wants to give people one chance, I think he's relatively greedy. People who are sick and suffer from mental disorders should be given many more opportunities than one to return to work. Because people can get better. I think it's very important to remember that part of the mental illness we see in society, it takes time to get good. That means that we can't have a vision that means that if you get sick once and fall out of work, it's once and for all. It is therefore extremely important that NAV also gradually have the means and tasks to ensure that those who have been disadvantaged and want to return to work also have access to the instruments available. We have a working life that's been a big change. I think there's some of the problems people are experiencing today. Knowledge and competence requirements have increased, not least in the social field, and we need to be able to deal with different people and masters of rapid change. It may be one of the problems that makes it more difficult for people with mental problems to fit into their working life today. We need to look at this, including employers in the public sector - state and municipality - who are large employers and who have to take responsibility in this area. Getting young is not attractive. There's no situation anyone wants to get into. What is characteristic is, as others have said here: little education, please a little job, low income and poor health. They have a very curved way into work. They are met by stereotyped attitudes also in the auxiliaries, and they lose courage and motivation. Nordlandsforschung presented a report on this in 2007 and the Oslo High School examined and found out how sick people are when they do not get into the labour market, whether they are on social assistance, as many of these young people do first, or they end up in dissatisfaction. It is a knowledge summary called ‘Preliminary intervention in the field of drugs’, which was made by the International Research Institute in Stavanger, which clearly shows that early intervention and assistance to children and families who are struggling with drug abuse and mental health problems are helping. I think that is very important, and in particular that we get this cross-cutting, sectoral cooperation between child protection, health care, working life, school and education, because we know that it is possible to help, and it is easier to help its former intervention. But that doesn't mean that you shouldn't use much stronger tools even when people get into such a situation when they're out of that system. The study from Nordic research also shows that there is a very critical transition between school and work. Therefore, I believe it is important to look at how to link these young people to working life much earlier. The mob project, which is now under way, which has been mentioned before today, is such a link and the recovery companies with e.g. The measure PIA, which we have discussed here before. Durable work can be a good opportunity for young people with mental problems, precisely because it may take time to recover, and you can be in a work situation that is a little more protected for a period of time. The Qualification Programme has been mentioned, and this has also been mentioned by the Council of State with regard to the use of unemployed persons in the labour market. I believe that very much, precisely because I believe that some employers do not only have negative attitudes, but feel very uncertain about how they should deal with this in practice. Then I think such a ransom scheme can provide a security for both the employee and the employer, which means that far more people will succeed.
