ParlaMint-NO_2008-12-03.ana.ud109e99	The representative Finn Martin Vallersnes, who has been on leave, has once again taken up his seat.
ParlaMint-NO_2008-12-03.ana.ud109e116	The propulsion party has in the vote a proposal that I am referring to, and I would like to justify it. Let me begin by stressing that the Progress Party has not in any way intended to interfere in which candidates the various parties want to nominate the Nobel Committee. What we are concerned about, on the other hand, is that the Nobel Committee should be set up with the independence and weight that the Committee needs. And sometimes it's the way that the Nobel Committee presents candidates, people, who, for political reasons, may need to have an arm's length distance. It may be for security, foreign policy and diplomatic reasons. That's why we think it's unfortunate that sitting poachers join the Nobel Committee. That is also why we have allowed ourselves to propose that the candidates in this case refrain from meeting in the Nobel Committee until they are formally and effectively out of the Storing. We are even prepared to draw our proposal if, during this possible debate, it is made clear that we are prepared to follow the advice to refrain from meeting the Nobel Committee until we are formally no longer a big-time representative.
ParlaMint-NO_2008-12-03.ana.ud109e125	The representative, Siv Jensen, has taken up the proposal she referred to.
ParlaMint-NO_2008-12-03.ana.ud109e128	A brief comment on the problem that Siv Jensen is raising: it is correct, as the setting shows, that it has been discussed in the past. When you're stuck with the practice that you are, it's because this has a rather inward and outward side. Of course, it's okay within a body that you agree that a person who is formally appointed as a member does not meet for a certain period, but it's not as good outside. And it is above all to protect the independence of the Committee in relation to the normal Norwegian political system, including the Storing and the Government, that one has adhered to that line, because otherwise it could easily be perceived from the world as if one did not uphold the principle that the Nobel Committee was properly appointed by the Norwegian Magnificent, in accordance with the Nobel's will, but it is not the Norwegian Magnificence that governs the activities of the Committee in any way or affects the work of the Committee. That's why, for my part, I want to maintain the majority's view, that it's wise to keep the lines just as clear as you've done before. Otherwise, without at all going into any assessment of the setting – it is certainly excellent, and it has emerged according to the practice that is common – I just want to point out what we also had a little discussion about in the Presidency in advance of this, namely that the way we do this, by the fact that the parties by the order of magnitude that sovereignly nominees their candidates, makes it no instance responsible for the whole of what arises. If you had thought that this time you had a position that would have given you a committee with four male and one female members, it would certainly have had a debate in relation to the equality requirement. Now you've got an attitude that's just mirrored, and basically it's the exact same thing, but by itself very understandable reasons it doesn't trigger any public debate. It just illustrates the point: there is no body that has any overall responsibility to ensure that the whole thing is balanced.
ParlaMint-NO_2008-12-03.ana.ud109e135	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 967]]
ParlaMint-NO_2008-12-03.ana.ud109e151	The Committee hereby submits a budget entry. S. No 10 for 2008-2009. I'm the spokesman for the race. 43, the mayor of the county, and I'll come back to it a little bit. To the extent that the other case spokesmen thought it necessary to make comments, I expect them to do so. There are two minority proposals, one from the Right and one from the Progress Party. From the point of view of the Progress Party, the proposal will be put forward and founded by Mr Carl I. Hagen. In the case of the Civilo Ombudsman, I will briefly mention that the Ombudsman in the draft budget from the Ministry has received an increase of 11.6 p.m., and the Committee suggested that everything important is used to shorten the procedure. It is particularly important that when people have been able to come over the threshold to submit a complaint to the Civilo Ombudsman – which is a useful institution in our society – that the procedure time is as short as possible, so that the individual gets a relatively rapid response. As I have said, the Civil Ombudsman is an important pillar of our democracy. It is important to take care of that pillar and develop it further. The Committee has seen and learned in recent days about societies and states that have not developed a democracy that is on our edges, among others. The Civilo Ombudsman and not least the Riksrevision have an insignificant role, but where there is a need to build it up, so that democracy can be further developed. We know that both the Riksrevision and, to the extent that the Civilobodsman are also involved in the construction of democracy in the world, in a number of co-operation countries that Norway has. The Committee will also look at Serbia in the new year, and perhaps be involved in the participation in that area. In these words, I present the Committee's configuration.
ParlaMint-NO_2008-12-03.ana.ud109e166	I have a proposal to raise – proposal No. 2, from the Right – and I would like to explain it briefly. It's two-part. One is a cut in the Storting's general allocation, and there I will refer to the justification in the financial position. The second is a proposal relating to the allocation to the King's seat. Three of the members of the Committee last year had a comment asking the Ministry to look at the need to refurbish the King's seat. The King's seat is a popular gift to the Norwegian king and is unfortunately in a very bad condition today – in such a bad constitution that it makes it more expensive in many ways to clean everything up. In our opinion, it would have been reasonable to put it into the allocation and to allow for a refurbishment. When it's not followed up this year, we're going to go to the unusual, in this area at least, to make a suggestion that it's given 2.5 million. kr for refurbishment of the King's seat. It is the Right's proposal, which is partly in line with a broader proposal from the Progress Party.
ParlaMint-NO_2008-12-03.ana.ud109e175	The representative Per-Kristian Foss has taken up the proposal he referred to.
ParlaMint-NO_2008-12-03.ana.ud109e178	Let me first take up the proposal of the members of the Progress Party in the Committee, proposal No. 1, which has a cut of 12.5 million. kr in the support of the party groups here in Stortinget. There is, of course, a significant increase for the batch groups, despite the significant savings of several groups. There's plenty of room to show some moderation, which was a popular word in yesterday's debate, and not have an increase to the party groups on the Storting that go far beyond the rise in price and cost in society, that is, a real strengthening of the party groups that we don't think is necessary. We will then reduce our original budget – what was in the financial situation – by 30 million. kr. Our framework was not adopted, and then we must stay within the framework of this budgetary position. We're proposing to cut 12.5 million. kr. We are cutting along like the Right, which has made a proposal that we will subsidize if our proposal falls. We also increased by 2.5 million, just like the one on the right, the appropriations for the King's seat. kr. I share the view of Per-Kristian Foss, but will be allowed to add that it is difficult to accept gifts that, after a while in reality, result in the need for maintenance that does not come with the gift, and in the case of funds intended for entirely different purposes within the Royal House, for a minimum of cleaning, so that neither the building nor parts of it roughly fall apart. I think it's embarrassing, when one year is a unanimous committee of control and constitution that opens the way for the private property of the King's seat to also be granted funds above heading 51, which is otherwise intended for state-owned properties and their maintenance used and managed by the King's House, and asks the Department to see if it can obtain funds for the absolutely necessary repair and maintenance of the King's seat, that a government neglects a unanimous wish from the Grand Duchy. The royal house actually took it seriously and believed that Stortinget meant it, and applied for funds for refurbishment and maintenance of the King's seat. They thought that when a unanimous magnification had expressed it, a government would in fact add weight to the Big One's request. The sitting government has not done that. I also pointed that out last year. I guess the same thing did Per-Kristian Foss. Nevertheless, the Ministry and the Government have not undertaken anything, but have accepted that the King must use anti-tampers not intended for the maintenance of buildings for the implementation of the completely necessary maintenance and refurbishment of the King's seat. It is embarrassing that the sitting government treats the Kinghouse that way. I think it's sad and can only regret that a large number of people do exactly the same thing, saying that what we said a few years ago, we didn't mean. It has thus been said that in the case of the Royal House, the Royal House must not take seriously unanimous comments from a committee. You can't give it the weight to trust it. I think that's embarrassing, and I'm really ashamed on behalf of the Storting. This is totally unnecessary, especially at a time when everyone is talking about that now there is a need for work for building workers. Now it would be the perfect time to speed up the necessary maintenance and refurbishment of the King's seat. But here too, the red-green government shows its smallness, and perhaps it is also the old-fashioned – let's say – poor uproar about the monarchy and the poor view of the importance of the Royal House. I'm embarrassed. The other 10 million. If we cut down on the support for the party groups, we have distributed it to the Supervisory Boards of the Storting, i.e. the EOS Committee, the Civil Ombudsman and the Riksrevision, according to the size of the appropriations allocated to them. We are in a time when there is ever more power gathered in the executive. There are more and more areas where citizens and businesses need to ask nicely for permission to do things, including their own properties and businesses – but in the sense that they don't ask for permission, as we did when we were young children. We in our industry, politicians, have managed to wrap it into completely different terms, so instead of saying that you have to ask politicians and bureaucrats nicely for permission, we have said that you have to apply for concession, you have to apply for waiver, you have to apply for permission, you have to apply for permission, you have to apply for permission, and you have to apply for permission. It all means asking nicely for permission, and then the other thing is deciding. With this power in the public sector, we think that the need for control is growing. We have taken note of this by strengthening the Supervisory Board of Storting also to reduce the processing time of some of them, and to ensure that we have effective control.
ParlaMint-NO_2008-12-03.ana.ud109e189	The representative Carl I. Hagen has taken up the proposal he referred to.
ParlaMint-NO_2008-12-03.ana.ud109e192	Only a few brief comments in relation to the dissent relating to the proposal for admissibility to initiate what may be necessary to do on the King's seat. It's true that there was an agreement to open up that it could happen even through donations directly and not just via the apanage, which is common to do in terms of the private properties of the royal family. But I actually think that it might be a little wise to do things in order, because there have been considerable funds spent in recent years on a necessary and proper refurbishment of the Castle, where there are actually certain needs left, even outside, in the Castle Square, with which there is a need to do something. Then have we built a King's Court, which is established. It was also necessary, and you're going to the Oscarshall, where you're not done yet. I think it's an advantage that this is taken into account in turn and order, so it won't be too large a volume in too short a time. I think that makes sense in view of the royal family's reputation as a reasonably sober royal family in terms of consumption and money use. With regard to the link to activity-creating measures, for which Mr. Carl I. Hagen pointed out that it could be the right time, it must be allowed to say that I think the royal family is actually doing its good job of increasing activity through various cab projects, even though the King's seat might have to wait a little.
