ParlaMint-NO_2008-05-29.ana.ud558e57	The representative Lise Christoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-05-29.ana.ud558e66	The President will propose the election of a President-in-Office of the European Parliament today and tomorrow - and consider it adopted. The President will propose Solvency Horne. Other proposals are not available, and Solvency Horne is considered unanimously elected president of today's and tomorrow's meetings. The representative, Ulf Leirstein, will put forward a proposal for a representative.
ParlaMint-NO_2008-05-29.ana.ud558e73	On behalf of the representatives of Gjermund Hagesetter, Ketil Solvik-Olsen and myself, I would like to promote a proposal by a representative on the review of tax depreciation rates.
ParlaMint-NO_2008-05-29.ana.ud558e78	The representative, Torbjørn Hansen, will present a proposal for a representative.
ParlaMint-NO_2008-05-29.ana.ud558e81	On behalf of the representatives of Elisabeth Røbekk Nørve, Bent Höie, Peter Skovholt Gitmark, André Oktay Dahl and myself, I would like to make a proposal to strengthen the supervision of public acquisitions.
ParlaMint-NO_2008-05-29.ana.ud558e86	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2008-05-29.ana.ud558e100	For us who are concerned that gender equality and women's rights should have their place in all policy areas, and equally fully that we should have women-settled measures, this is a big day. I would like to thank the Committee on Good Cooperation. On most of the points, the Committee is unanimous, and it promises well for the further work in this important area. The committee members have shown great commitment, so if, against assumption, I would not have time to explain the whole setting, I am sure that others will fill in. I would like to thank the Council of State and the Government, which have submitted the message. There is reason to be proud today, because we are dealing with a message that is the first in its kind in the world, as we know. Not least, I would like to thank all the organisations, who have great competence and who have challenged, made representations, asked the wise questions and contributed to the Committee not only confirming the government's policy in this area, but continuing the policy. Women's and women's organisations around the world have great skills that we have to listen to, we're going to move on. This is the beginning of taking equality seriously, not only in development policy, but also in foreign policy. The job is not done, the job is done. The women’s perspective must be included in the design of other staging messages, for example: in the major communication on corporate social responsibility and in the development message coming next year. Because there is no automation in the inclusion of the women's perspective. I would like to mention the Sudan Conference that took place here a while ago. One suddenly discovered that no women were invited to the important conference. Fortunately, the ministry discovered it and was invited to women from Sudan. Not enough that they were not invited in advance, but they had to fight to the conference. This shows that women across the world must fight not only against reactionary regimes, but also against the fact that the Security Council resolution on women, peace and security in many countries is still at the honorary stage. We know that the fight for women's rights had not progressed without the pioneers, the brave ones who went ahead. I'll tell you about some brave and tough women that I've met. The first is Marguerite Barankitse from Burundi. In the worst civil war, she took care of 150 Hutu and Tutsi children. Hutsibarn she called them. She felt that she had to show that it was for them to live together, for she had threatened it. She described how young boys, lit by drugs and other drugs, were used in the civil war for men to have power, but also how women are Africa’s hope. Now she runs the Maison Shalom organization. She runs a house for orphans and former child soldiers and gives them work and school. The second is Koso-Thomas, the Sierra Leoneian play that I met at the UN Women's Conference in 2000. For years she has been in the fight against genital mutilation. She has helped African women overcome feelings of shame and remorse over this gross assault. She's made many African women stand out as illegitimate organizers in this work. The third thing I want to point out is the women in the village of Bangladesh that I met on a committee trip. They had all the meetings in the square and spoke forcefully about the fight against violence against women. Finally, they went to the mayor to say from. It's these altering actors, women on grassroots, who don't find themselves in oppressive patriarchal and reactionary structures, and who want to have power over their own lives and bodies, who speak clearly, often at the risk of their own lives, we need to support and make them visible. For this work is not about charity. It's about moving power. Through our work, we should not just be a voice for the deaf. We're going to fight for a voice to the deaf. This means, among other things: support for women's self-organisation and mobilization at grassroots level, support for civil society involvement, including women's organisations in e.g. work on the «Oil for Development» programme in the poverty processes of the co-operation countries with the World Bank. We must support their inclusion when decisions are taken, for there is no automatic presence where power is exercised and decisions are taken. While women’s liberation and equality are a matter for their own rights, it is also necessary to achieve other development policy objectives. The UN and large parts of the international community have recognised that if one is to overcome poverty in the world and create conditions for giving more people a decent and better life, as defined in the Millennium Goals, women’s rights and living conditions need to be strengthened and improved. Women's resources and competences must be put into practice. Policies need to be developed with women's glasses on. 80 pst. of the world's poor are women and their children. Between 80 and 90 pst. of the poorest families have female single-parent families. Therefore, the entire international community must be mobilised for women's rights and central women's requirements as they were fought and as they are enshrined in both the Women's Convention, the Beijing Platform and Security Council Resolution 1325 on Women, Peace and Security. Women's equality has been a goal for years. The effort has been evaluated by NIBR on behalf of NORAD. The evaluation shows that this area is full of failure sins, whoever has been sitting with the government. The message is an answer to this criticism, and some of the answers are: yes, the women’s perspective must be integrated into all policy areas, but at the same time it must focus on women’s specific measures such as: the allocation of women. However, this two-track requires drivers with competence and a significant enhancement of competence for all development cooperation partners. The work must be anchored both at management level, in the department, in the embassies and in NORAD. The Committee notes the importance of research in the field, including studies on the situation of women and the power relationship between women and men in countries of cooperation. The Committee is committed to setting clear objectives and promoting measurable actions. The majority therefore ask the Government to consider allowances as an instrument. And I want to add that we have to have equality budgeting, that is. a gender monitoring of the assistance money. We need to know if resources actually lead to equality. At the UN's 52nd Women's Commission meeting in February, civil society was very clear on the need for the UN to have a strong and powerful unit for women's issues and equality. We know that Norway has been clear on this, first in the High Level Panel, then at Commission meetings. We know there's resistance, but it's about moving on with this. At the Women's Commission meeting, it was also clear that work on gender equality was underfunded. Central reports show it. Therefore, Norway must be an ambassador for funding and women’s rights at the follow-up meetings following the ‘Monterrey consensus’ in 2002 and the Paris Declaration of Aid Efficiency and National Ownership. Both meetings are going to be known this year, and I would like to hear the Council of State assess how he will promote women's rights and equality at these meetings too - raise this perspective. The Committee is concerned that the competences that we know exist in many women’s organisations, including women’s organisations. in the umbrella organisation FOKUS, and also in other organisations, need to be strengthened. In particular, we highlight the potential of minority women in Norway for development, but this means that they need to be made available. Here we have come too short both in action and thinking. Then we highlight the importance of taking a roof for indigenous women and disabled women. Both are dual discrimination groups, with less access to work, education and health services, and more than other groups are subjected to violence and harassment. The message and setting focus on lesbian, gay, biphil and transgender rights in development work, groups that are definitely attached to a rights and development perspective. The government has been clear on their rights, including: it has been clear on the decriminalisation of homophilis. The Committee asks the Government to remain clear. At one of the reflection conferences organised by the Ministry of Foreign Affairs, this was a theme, and I have to say it made the impression to hear what lesbian female speakers in Africa are exposed to. That is why it is important to support and protect these courageous human rights activists and to bring the voices into international forums. Then it is important to stress that the work to strengthen the rights of these groups must not be confined to a question of sexual and reproductive rights, but that work must also include rights to political and economic participation, the right to education and the right to life free of violence and gender-based persecution. In view of this, the Committee considers that an offensive policy must be pursued along seven main axes. Firstly, women and men must participate in the policy on equal terms. I have previously pointed out the importance of supporting women's self-organisation and grassroots work, but there is also a need for strong figures in several arenas in the decision-making process, including at the highest level. In several countries, changes have been made to the better, as in Rwanda, the country that has the most female parliamentarians. It was important that Ellen Johnson-Sirleaf, one of the authors of the incredibly important report on women, war and security, an important report in the work of the 1325 resolution on women, peace and security, was elected president of war-torn Liberia. It was not obvious that she would be elected, but it happened after a mobilization of female voters. They must still have hope. Therefore, Norway must continue to work for equality in weak countries, working for women to be represented at a high level, as we committed ourselves to at the 52nd UN Conference on Women. And we must support those who dare challenge fundamentalist forces, such as the female Afghan parliamentarian Malalai Joya and those who redefine dogmas, such as. Islamic women activists and female theologians. Secondly, women must participate on equal terms in economic policy. We know how much economic independence has had to say for women in Norway. The same will apply in developing countries, where many women work in the informal sector, with miserable wages and without contracts and social rights. Norway supports the work of decent work. It is also important to ensure access to small loans and other financial services to support women’s entrepreneurship. At the February Women's Conference, the message was ready: Women must have access to the money in the large Multi-Donor Trust Funds. In transitional stages following war and conflict, it is particularly important that women have access to the large amount of money provided by the world community through these funds. Women's right to property - including collective rights - and inheritance - in trade policy and in programmes such as the 'Oil for Development' must be strengthened. Thirdly, equal access to education shall be granted to women and men. Education is and will be a priority area of development policy. It is good that this message has a life-cycle view. The Women's Convention also applies to girls. It is particularly important in this area, because in many countries it is not said that girls get started, or get completed, a training course. The Committee emphasises the importance of the provision of education and training to promote equality and the importance of higher education and vocational training, which can guarantee women the right to participate in society and mean something. Fourth, women must be entitled to health care and control over their own bodies and sexuality. An overall committee agrees that reproductive and sexual rights and health are fundamental to women's right to participate in society. There is a need to work hard for -- in a world where thousands of women and girls die as a result of unsafe abortions, or as a result of the lack of access to basic health services in connection with pregnancy and childbirth. I am proud that the Minister of Development has lifted this up in the international arena. This requires long-term and systematic work, which must be given even greater priority in, for example: Our work in the UN Women's Commission. Fifthly, women are entitled to a life without violence. Violence, in the form of either domestic violence, annihilation, coercion, or trafficking in human beings, is about the control of men over women. That is why the UN's campaign against violence against women and the work of the Council of Europe deserve all support. As part of this work, UNIFEM has launched a signature campaign, and I now encourage the Storting to engage in that signature campaign. Sixth, women shall have an equivalent role in the peace and reconciliation process. Women and children are the biggest losers in war and conflict. But women also have resources. It's those who make everyday life go around during wars and conflicts, and it's those who know how a reconciliation process can be viable. Security Resolution 1325 was a milestone, but - as I said when I told you about what happened at the Sudan Conference - it is still a long time before it is said that women automatically play a role around the negotiating table or in the processes afterwards. Therefore, this work must be lifted. Norway has an action plan that we are proud of, and we need to help other countries to do the same. Seventh, women and men shall participate on equal terms in the work on climate, environment and humanitarian crises. Women and their children are vulnerable to climate change and to crises, but they often have the greatest knowledge of local natural resources, food security and prevention strategies. I want to promote the work of the right to water as a human right in this perspective. On this joy day, as it seems that we will succeed in banning the worst class weapons, I will also highlight the importance of continuing the work on removing landmines. I know that women's funding can be a topic. I will then tell here and now that the women's allowance has been restored. And I hope that we can continue to increase this allocation, which is incredibly important. Then it is a pleasure to present the vote and recommend the committee's proposal for a decision.
ParlaMint-NO_2008-05-29.ana.ud558e174	I am proud that women and equality are the main priority of the Government in development policy. And I am very pleased that the Government dares to be a strong and visible player in promoting precisely women's rights and equality in all development work, both bilaterally and multilaterally. Norway is, and must be, an unreasonable champion of women's rights and equality - and is, and must be, against persecution and discrimination based on sex, disability and orientation, even where this is controversial and sensitive. As the rapporteur, Valle, said in his statement, this communication is not just about women and women's rights, but about women and minorities in development policy. It's important to get there. And Norway is just an unreasoning champion of their rights. It's absolutely necessary - if we're going to be able to achieve the Millennium Goals. Our goals of increased development, poverty reduction and the realisation of universal human rights can only be achieved through a strong focus on precisely women, minorities and equality. Women's rights are human rights, not a separate and subordinate category with rights that can come in second row. That's why we need to have a woman's perspective with us in everything we do, but we also need to focus on it through our own strategies and efforts. We must bet on women in development policy because poverty has a woman's face. Poverty is a bigger problem for women than for men. 75 pst. of the world's poorest are women. Women are also hit harder. 90 pst. of those affected by war and conflict, are the innocent civilian population, they are women and they are children. Women are now more affected by the HIV/AIDS epidemic than men, and women lack reproductive rights. Many places in the world are much of the man's honor attached to the woman's body, and that's a problem. Lack of control over one's own body and sexuality is just associated with basic lack of respect for women. This leads to the spread of HIV/AIDS, violence and assault, poor care at birth and pregnancy and poor safety at abortion. Reproductive health and sexuality is a very charged topic, and very many forces international jobs to counteract openness around this. Many demand jobs to combat prevention, prevention of HIV/AIDS and safe abortions. Unfortunately, several members of the Committee have experienced that the US- Vatican alliance, together with some Islamic states, is blocking progress in women and reproductive health and sexuality, for example. in the United Nations system. It's a very serious challenge. It also makes the world need countries like Norway, which dare there other tens. We need those who speak to decriminalize abortion, we need those who speak to let the woman decide on her own body, and we need those who actively work against assault and violence against women. Most of the world's illiterates are women. Women have fewer rights than men, but at the same time women have a greater workload than men. Women are often responsible for the main part of the household and food production, not talking about caring for children. Nevertheless, women have fewer formal rights than men - they have no ownership, they have no inheritance, they are not economically independent or equal, and they often have no right or real opportunity to take a job. Women across large parts of the world do not have the right to vote. Women are under-represented at all decision-making levels worldwide as a result of attitudes and traditional gender roles. This means that women do not have a real opportunity to participate, or there are legal barriers that simply prohibit women from participating. Women's right to education is crucial and central to the fight against poverty, in order to make women participate and strengthen their rights. The fact that women receive education also has ring-fenced effects. When we train girls, we also increase the chance that their children will be educated. When women receive education and knowledge of nutrition and health, it also strengthens children’s health. When women get school, they give birth to fewer children. Education is in many ways the way out of poverty for the woman. The fact that women receive education also means economic growth for the society in which they live. That women do not receive education and that women do not participate in decisions is not only discriminatory to the women of the world, but it is also a brake on just economic development in very many developing countries. Just as with women's participation in decision-making processes, there are many documents and resolutions that establish the importance of, but I would like to mention in particular the importance of taking a force to make the world follow up UN Security Council Resolution 1325. The UN Resolution on Women, Peace and Security highlights the importance of women participating at all levels in conflict management, peace negotiations and reconstruction in war zones. 1325 states that women's participation is a prerequisite for peace. That's why it's so important. Unfortunately, it is not that women's participation is a prerequisite in large parts of the world. If women participate, their work is often marginalised, but the main problem is that they are not allowed to participate. We have a lot of examples that it's just women and the groups of women that in many cases go ahead. In Bosnia, there were just women's groups who were first out to meet, despite ethnic barriers. They formulated a platform for how the country would move forward. In Israel and in the Palestinian territories, women's organisations cooperate across borders - the ethnic boundaries, the religious boundaries and the political boundaries. They're trying to see possible solutions to the conflicts. The same is true in very many conflict-affected areas, for example: in Africa. In Iraq, women are fighting against religious extremism and against terrorism. We have a lot of other examples of women going in the front line. The problem is that their work is invisible and marginalised by the major policy actors who are just dominated by men. The reasons why poverty has a great deal of a woman's face are women's lack of rights, there is a lack of power and equality, there is a lack of right to reproductive health and there is a lack of education, property and productive resources. This is once again about basic attitudes and social structures. It's about responsible men and changing people's attitudes. We must dry out challenging men in power positions around the world to take responsibility for promoting equality. We have to do that for women's self-esteem, but also if we mean something by achieving the Millennium Goals, and if we mean something by creating growth and development in the poorest parts of the world. It should therefore be lacking that Norway does not prioritise this high in our development strategies - politically, by just drying where other tens, speaking the case of women where others leave off, and also economically and concretely through development assistance priorities, such as: the allocation of women. I will support what the case rapporteur, Mr Ågot Valle, said, that the women's allocation is going to be untouched. I also hope that we can increase it in the future.
ParlaMint-NO_2008-05-29.ana.ud558e204	The Government claims in the Single European Act that women’s rights and gender equality are one of the most important areas of development policy. The discussion of the communication by the Foreign Affairs Committee shows that Stortinget shares this view, as the vote we are considering today is unanimous on most of the points, as the case-law rapporteur, Mr Ågot Valle, was concerned about. Improvements in women’s position and rights are often long-term work, as they include: is about changing power structures and power relationships. It is therefore important that the authorities, together with civil society, further develop policies in this area, and we look forward to the forthcoming Communication of Development, in which policies in this field can be further developed. We are pleased that a unanimous Committee on Foreign Affairs in the vote states that evaluation of aid results can be difficult to achieve without clear objectives and measurable measures. Since the UN's first women's conference, in 1975, there has been many progress, especially with a view to getting more women to participate in the decision-making process. However, there is still a long way to go in many places. Women’s discrimination, which hinders women’s participation, is often justified by culture, tradition and religion. Fundamentalists and fundamentalist movements threaten women's rights and equality. I am very pleased that a unanimous committee states that Norwegian citizens should be clear and say from there, and hold national authorities responsible for rights conventions. It is also important to support women who, through their own organisation, challenge patriarchal power structures, as we see examples from among others. Islamic women activists. The participation of women in the value-creating sector is crucial in development policy, both to ensure their economic independence and to combat poverty. Access to capital through micro-credit has proved to be a very positive contribution to this. The members of the Foreign Affairs Committee received close experience during a visit to Angola in the last harvest. There we met small business owners, both women and men, who proudly told us about their projects. It is also very important that the laws of each country provide both property rights and rights of use for women in order to strengthen their opportunities for entrepreneurship. In many places, it is also necessary to incorporate women's inheritance rights into legislation. Without this, many poor women are at risk today of standing on a bar without the possibility of caring for themselves and their children. Nutrient development and trade are crucial to combating poverty. Small enterprises with local anchoring are often important elements of future economic development, and even here women who are active can play a crucial role. Education for girls is another and very important prerequisite for eradicating poverty and must be a priority area both for development and for efforts to strengthen women's rights and equality. Combating violence against women must also be a priority area. The Vienna Declaration of the Council of Europe and the United Nations campaign must therefore be actively followed up by Norway. Gender-based violence is an obstacle to women's development, realization and participation and must be combated. Gender mutilation, the killing of new-born girls and the killing of honors are totally unacceptable and must be countered with active action both by the Norwegian side and by the world community. Finally, I would like to stress that women in poor countries do not automatically have to be defined into a victim role, although unfortunately this is the case in many places. Women are a significant resource in many countries, which has not been widely known. A clearer awareness of this need to be sought, as well as a much stronger need to facilitate active female participation at all levels of society. This is an important prerequisite for the success of policies that can contribute to a positive development in poor countries.
ParlaMint-NO_2008-05-29.ana.ud558e230	Thank you to the case rapporteur, who has done a considerable work on the subject -- with great commitment and great experience. The rapporteur has also made a detailed and comprehensive presentation of the communication in his statement. The scope and diversity of themes involved in the communication are quite comprehensive and in many ways reflect the fact that women’s rights and gender equality in development work were previously generally embedded in so-called ‘mainstreaming’. That wasn't good enough. Now we're getting further, and that's good. There are two main steps that are essential for us to get a better treatment of these issues in the time to come. The first is that we've got our own budget chapter for the topic, and it's an expression of an increased systematic investment. It needs to be seen as embarrassing that the appropriations were proposed to be reduced in the revised national budget, some of which have been received, while at the same time dealing with the programming message. That timing was striking. We hope that this is not an expression of how deep the priorities really are at the Council of State, but I understand, of course, the government parties, who already now announce that they will not be involved in our treatment of the revised national budget. The second main thing that has been done is that we have received our own message. It believes that the Right is positive for several reasons - firstly, because these issues are put high in focus, and solutions are better integrated in different contexts, and secondly because a more systematic planned work based on a debate on the Single European Act also provides a better opportunity to define performance targets, to provide an evaluation and to document achievement in a completely different way than before. For this reason, we are somewhat surprised that the communication is not clearer in its priorities with the precise design of performance targets, possible indicators and concrete plans for the evaluation of the achievement of the target. As stated in a joint comment from the opposition parties, the expected improvement was not least due to the fact that one has behind six action plans and a position note as one of the basis for the preparation of the notification. Without such an approach, we're at risk of this becoming a lot of well-meaning words, a lot of big words, and it could be empty words. And that's our job to prevent. Right hope that this is not also an expression of the priorities of the Council of State, but we are excited about the follow-up, and we are responding to a more prioritised, performance-oriented approach, for example. in the draft budget for the autumn.
ParlaMint-NO_2008-05-29.ana.ud558e245	Strengthening women's rights and promoting equality is an important part of development cooperation. It is important in itself, but it is also important to improve the situation of the poorest and most vulnerable groups. Strengthening the position of women in general, and their health and education in particular, is a key to achieving results in a much wider field. With this key, we can improve the growing-up conditions for children and young people, but also care for the sick and the elderly. Let me illustrate this with some examples. Women often play a key role in the production of food for their own use. Women play a key role in the family’s cooking and nutrition situation. Women and girls often have to go a long way to get both water and fuel. Women play a key role in child education. Often it is the mothers who help the children with homework in primary school. Women take care of a lot of home-based care for the sick and the elderly. When the gender role pattern gives women such a key role in key welfare areas, it is strategically crucial to reach women with education, knowledge, health care and the development of rights. There are therefore many good reasons for improving women's rights and living conditions. Firstly, they have the right to equality and to benefit from the fundamental human rights in line with men. Secondly, it is also strategically important in combating poverty and in working for more general development purposes. The gender equality work here at home has a long history. It is not that long in development policy, but also here it has been part of the political agenda for decades. The first Development Minister who launched an Action Plan for Women's Assistance was the first Minister of Development we have had, namely Reidun Brusletten from the Christian People's Party. It happened in 1985, more than 20 years ago. For several decades, we have been committed along two lines: specific appropriations for women’s assistance and the integration of women’s concerns into aid cooperation in general. Much has been done through state aid, through international aid organisations and through non-governmental organisations working with partners in the south. But changing attitudes and gender roles takes time. Overall efforts by the authorities of the developing countries and by the international aid community have been too small. The Christian People's Party is impatient on behalf of the poorest, who deserve a better life. We should have wanted an even stronger poverty orientation from the Government, because the poorest and most needy people have the greatest need for assistance. We are impatient on behalf of women who deserve equality instead of discrimination. We're impatient on behalf of girls who need education. The Christian People's Party regrets that the Government no longer has education as a priority field. We want to work for it to become a priority again, not least for the sake of girls' right to education. If we're going to achieve the Millennium Goals, we're going to have to invest more here, not less. We are impatient on behalf of women who deserve better health care, so that we reduce maternal mortality and child mortality. There is broad support for heavy efforts to achieve the Millennium Goals on reduced maternal mortality and child mortality. It is positive that this is being followed up, and I will give the Government the approval of its international initiative in this field, which has raised great and wide awareness and has gained support. The Christian People's Party is impatient on behalf of women. That is why we are pleased that the big message is ambitious in its general objectives. But we might have expected more operational performance targets that allow us to measure how effectively you achieve what you want. This message is not good enough. We point that out in a note that the entire opposition in Stortinget is behind. It is also a weakness that the notification does not adequately explain the development of a centre of competence. We have previously supported the idea of this, but the government has not given the necessary concreteness of the idea in the communication. The work on women's rights and gender equality requires a comprehensive strategy. The battle must take place along seven main axes: Women and men shall participate in the policy on equal terms. They shall participate on equal terms in economic life. They shall have equal access to education. They shall have the right to health care and to have sexual integrity. They shall be entitled to a life without violence. Women shall have an equivalent role in peace and reconciliation work and participate on equal terms in work on climate, environment and humanitarian crises. These general objectives are widely agreed at Stortinget. In this context, I would like to pay tribute to the rapporteur and the rest of the Committee for the willingness to find common wording on virtually all points in this position. It's important, because it's a hard job, and we're on it together. This also applies to the following point: the notification points to the problem that in some parts of the world there are more abortions on the female foetuses than on the male foetuses. According to estimates presented by the organization Plan, this results in a girl deficit of about 100 million girls. This is mentioned in the communication, but surprisingly, without any guidance as to what you will do from the Norwegian side. There's something that the committee's fixing up together. It is positive that the entire committee believes that the consideration of these unborn girls who are being aborted is a major problem based on their human dignity. It says, ‘in the fight against discrimination and for human dignity and equality, gender discrimination is a major problem’. We are pleased that we have helped the entire committee to establish that active action is needed on the Norwegian side to combat this discriminatory practice of abortion. With the strong and broad support that the whole Stortinget provides for the work of women-oriented assistance and women's rights, ambitious goals have been set. Now it is the government's responsibility to deliver results. Now, as before, we have to assume that we need patience before the goals are achieved. The patience and the perseverance of the effort we must show. This issue is too important for it to be deprioritised in favour of changing media attention or political trend shifts.
