ParlaMint-NO_2008-04-29-lower.ana.ud1e24	The representative, Robert Eriksson, will put forward a draft representative law.
ParlaMint-NO_2008-04-29-lower.ana.ud1e27	I am delighted to present a proposal for a representative on behalf of the representatives Carl I. Hagen, Kenneth Svendsen and myself on the law amending the law of 6 July 1957 No. 26 on the coordination of pension and social security benefits.
ParlaMint-NO_2008-04-29-lower.ana.ud1e32	The legislative proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2008-04-29-lower.ana.ud1e46	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines after the intervention by the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - This is deemed to have been adopted.
ParlaMint-NO_2008-04-29-lower.ana.ud1e55	SV is pleased that we are now addressing a change in the Child Protection Act in which we strengthen the rights of lone minor asylum seekers. Norway has been criticized by the United Nations for discriminating against these children. The proposal was promoted several times in the previous period, and there was a majority in favour of unaccompanied minor asylum seekers under the care of child protection at the end of the previous ageing period. SV is pleased that the Government is following up this and the Soria Moria statement. The Committee is very much in agreement to strengthen the rights of these children, and we are together about a great deal. It is children and young people who have come to the country without parents and superiors. There are children with different backgrounds and life experience. But regardless of their background, they are in a vulnerable situation as a result of leaving their family. They need protection, care, security and close follow-up pending treatment of the asylum case and subsequent residence or return. In the 2006 budgetary procedure, it was decided that, from the autumn of 2007, the protection of children should take over the care of lone minor asylum seekers under the age of 15 in the period leading up to their residence in a municipality or return. The responsibility for the group over the age of 15 was to be transferred to the protection of children by the non-resident authorities and in the budget for 2008 it was set at 5 million. NOK to start work on the transfer. It was assumed that responsibility for the group of lone minor asylum seekers over 15 years of age was transferred to child protection as soon as practicable in 2009. A new Chapter 5a on care centres for minors is now adopted in the Act on Child Welfare Services of 17 July 1992 No. 100. Responsibility is proposed to the State Regional Child Protection Authority. The Committee stresses that care centres should be special child protection institutions for lone minor asylum seekers under the age of 18 regulated by the Child Protection Act. The measure covers up to now only those under 15 years of age, but all lone minor asylum seekers under 18 years of age are to be offered a residence at a care centre. In order to ensure the legal certainty of children, guards shall be appointed on arrival in Norway. The National Regional Child Protection Authority shall be responsible for the establishment and operation of the care centre. The current provisions for child protection institutions shall apply to the exercise of the rights, supervision, quality requirements and the approval of private and municipal actors. All unaccompanied minor asylum seekers shall enjoy the same rights as other children in Norway without parents or guardians. Single asylum seekers who, in the context of the registration of the asylum application, are considered to be under the age of 18 shall immediately be allowed to stay in a care centre. The children need to be individually assessed in order to meet the individual’s needs for adapted measures. Within six weeks of the child’s arrival at the care centre, the Regional National Child Protection Authority shall take a follow-up decision. The decision shall be a single decision following the rules laid down in the Act on the procedure of administrative proceedings of 10 February 1967 and shall be subject to appeal to the State. Proposals for decisions shall be drawn up in cooperation with the child and the breed. The obligation of professional secrecy and the requirement of a police record for those who are required to perform the service or work for a care centre are proposed as being the same as for the ordinary child protection institutions. The care situation of lone minor asylum seekers over the age of 15 must now be closely monitored pending the transfer of responsibility for this group to the protection of children. If a child does not want to stay at the care centre, the municipal child protection service must assess the decision on the placement according to the provisions of Chapter 4 of the Children’s Protection Act. Lone minor asylum seekers shall be heard in line with other children under the care of child protection. If trafficking in human beings is suspected, care centres must immediately notify both local police and child protection in order to assess the child’s risk situation and the need for action. If children disappear from a reception, investigations and search operations must be carried out immediately. I would also like to stress that the Committee believes that there should be a requirement for a police record for single minor asylum seekers. We ask the Government to consider whether it is possible to introduce a requirement for a police certificate before the work on the new law is completed.
ParlaMint-NO_2008-04-29-lower.ana.ud1e83	Young people coming to Norway alone as asylum seekers and refugees are definitely a very vulnerable group, which needs very special help and follow-up. We don't know what they have in their luggage of traumatic experiences and impressions. Only being separated from parents and carers is in itself a heavy burden for a young child. These kids need protection and are also very vulnerable to cynical traffickers. Since December 2007, single minor asylum seekers under the age of 15 have received an offer and have been taken care of by the child protection centre of Eidsvoll. From Easter another centre has been established in the Skiptvet in Eastfold. The Odel Sting to be adopted today is a new chapter, Chapter 5(A), care centres for minors, of the Child Welfare Services Act. This implies a statutory responsibility for the protection of children by the State to provide a housing and care service to minors in the form of a stay in a care centre for minors. Until now, the responsibility and quality of the offer made to lone minor asylum seekers in receptions has been very little regulated by law or by rules or regulations. The same applies to the legal certainty of these children during their stay. For several years, there has been strong criticism of the situation of lone minor asylum seekers in state asylum recipients. The fact that unaccompanied minor asylum seekers on reception do not have the same quality of the offer as children in child protection institutions has also been criticised by the Forum of the Convention Group on Children in Foreign Affairs. In the 2005 UN Children’s Committee it was stated in the country report made by Norway that reception provision should be improved both in terms of resources and the competence of employees. They also considered that the offer made to these children should be at the same level as in institutions in the field of child protection. With regard to the 2007 budget, the majority of the Stortinget decided that the child protection authorities should be responsible for minor asylum seekers under 15 years of age and then take responsibility for them under 15 years of age during 2009. The budget for 2008 is set at 5 million. to prepare for the takeover of the oldest children group. The aim of the acquisition of child protection is to provide these children with a housing and care service that takes care of their very special needs, and which is also as good an offer as that given to other kids for whom child protection is the responsibility. We know that the majority of lone young asylum seekers are granted their asylum applications. It is therefore important that these young people receive, as early as possible, an offer that can help prevent psychosocial problems and crime and also contribute to a good growth and housing situation in Norway - or a best return to their home country for the minority who are not allowed to stay. Through the consultation process, there has been a debate on how to transfer children on arrival in Norway to care centres. Is to be done by a single decision, cf. Chapter 4 of the Children’s Act, or shall they be transferred directly to a care centre? The Labour Party agrees with the Ministry that this is a group which is distinct from the situation of other children being protected by child protection. These kids have come to the country without parents. Their history and individual needs are completely unknown. They have no or little knowledge of the language or the country. They have no local connection, and they are all in the country temporarily pending the examination of their asylum application and the decision as to whether to stay in the country or not. Ergo, for the vast majority of these kids, an immediate location in a care centre for minors upon arrival in the country will be the very best. Where individual decisions are to be taken first, young people must wait before receiving an appropriate offer. By an individual decision, municipal child protection services must first use time and resources to examine and assess whether individual children need to be offered and then take decisions. A placement in a care centre, in conjunction with the adoption of a follow-up decision within six weeks of the child’s arrival at the centre, will provide the best care, follow-up and legal certainty for the young. By the law we adopt today, we will take a long step towards securing children who are very vulnerable and vulnerable, good and safe conditions after arriving in Norway.
ParlaMint-NO_2008-04-29-lower.ana.ud1e98	It is good when something finally falls into place, and we can say that concerns this matter. In its last ten years' budget proposals, the Progress Party has proposed that single minor asylum seekers should be under the responsibility of child protection, and now, unfortunately not for all minors yet, and not in that way the Progress Party would have wanted, but this is a significant improvement. I would like to thank the rapporteur, who has worked out a broadly coordinated draft of the Committee. What we find to be the greatest defect in this proposition is that it's not equal to the law in Norway. We are clearly discriminating against the children who come here as single minor asylum seekers. We do not give them a good enough offer, and the law on child protection services applies to children up to 18 years of age, but not to lone minor asylum seekers. This puts these young people at risk, especially when we know that they are not allowed to live in asylum receptions, but can go to family and friends. Last week I attended a seminar in Riga on trafficking in human beings, on behalf of the Nordic Council. The head of the Europol Human Trafficking Department, Steve Harvey, said that the trade that increased most was trafficking in children - trafficking in children. Why? Well, that's because governments all over Europe are now focusing on trafficking women into the sex industry. But children who cross the border are not followed up in the same way. They are often placed in open reception, where they can escape to the person who trades them, or the traders go out to be family, and then no one misses the child. The worst thing about this is that it happens in Norway too. It's been pointed out by the United Nations Children's Committee that we're violating human rights, and we're breaking the Children's Convention. Then it is that I have to ask SV in particular, who, together with the Progress Party, have fought both for the asylum seekers and for the other vulnerable children: do you have a conscience for this? Do you have a conscience to know that children are exposed to trafficking in human beings in Norway? How can you have time to wait until 2009? Maybe it'll be a year, maybe more. How many children will disappear and be sent out to the sex industry and others, before you take the responsibility you have now, seriously and ensure that these children are kept safe as long as they are in Norway, whether they are to be sent out or remain? Last year, nine children disappeared, no one knows where they've gone. Additional eleven have come to terms again, but nevertheless there are nine children for whom no one can prepare. It is, when it comes to the matter, this government's responsibility to ensure that nine children do not disappear from state reception in Norway. The Progress Party proposes to change Section 5A-1 of the Act to say that children are going to care after their age has been determined. The wording of the law is now to be offered. If the child does not wish to do so, it may be present, following a single decision in the field of child protection, together with family or acquaintances who are already in Norway. It's for the same reason that I mentioned earlier, namely trafficking in human beings, that I want to change Section 5A-1. I don't want to accept that we leave children's fate to chance. I decided, when I was in St. Petersburg, that I would do everything in my power to fight the trade of children, and I do now. In St. Petersburg, I was at an orphanage for children who had been trafficked. There were children down to three years. They had been sold by their parents and found running around St. Petersburg on their way to the sex industry in Europe. I have to ask the government parties to make sense and not wait a year or two. The fate of children is not waiting. There's a lot of good else in this proposition. The guards have come into place, and we're on the right track. But I had hoped that we would receive support for the proposal that those between the ages of 15 and 18 should also be in the care centre by the end of August 2008. I hope that the Council of State has heard my contribution.
ParlaMint-NO_2008-04-29-lower.ana.ud1e121	Would the representative, Mr Woldseth, like to make suggestions?
ParlaMint-NO_2008-04-29-lower.ana.ud1e124	I would like to include the proposal of the Advance Party in the vote.
ParlaMint-NO_2008-04-29-lower.ana.ud1e129	The representative Karin S. Woldseth has then taken up the suggestions she referred to.
ParlaMint-NO_2008-04-29-lower.ana.ud1e132	Lone minor asylum seekers are a highly vulnerable group, with additional need for protection and care. The right considered that this would be best achieved by appropriate receptions of asylum. When the majority of the Stortinget would change it and shift responsibility to child protection, we take note of it at this crossroads and support the proposals the proposition makes. We hope, of course, that a child-restraint that has already been tried and tested has the power to carry out this rather demanding task for such a vulnerable group. In this context, I would also like to encourage when this work goes on, that time and effort are spent on how to set up care centres - it is suggested that there will be more of them - but that there is also a special follow-up of the municipalities that get care centres added to them. Now it's the first thing to do at Eidsvoll. I think that the municipality of Eidsvoll feels a great responsibility, but also as a demanding task. Questions have been raised about the legal certainty of these children. We agree with the Government's proposal for this and believe that legal certainty is well maintained, even though of course we should follow this further. We also agree that there is a requirement for a police record to be filed. We note that this question will be raised in connection with a new law on defence, but I am probably in favour of the rapporteur's view on this and hope that the system can be started before. I don't think there's any reason to go deeper into the individual points. The comments have taken care of what is the Right’s position. We support the Government's proposal and believe it meets the needs of these children within the framework of child protection.
