Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2008-06-04-lower	ParlaMint-NO_2008-06-04-lower.ana.ud248e33	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-04	2008-06-04	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-06-04-lower	ParlaMint-NO_2008-06-04-lower.ana.ud248e36	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-04	2008-06-04	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-04	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KSW	Woldseth, Karin S.	F	1954	
ParlaMint-NO-en_2008-06-04-lower	ParlaMint-NO_2008-06-04-lower.ana.ud248e41	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-04	2008-06-04	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-06-04-lower	ParlaMint-NO_2008-06-04-lower.ana.ud248e53	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-04	2008-06-04	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-06-04-lower	ParlaMint-NO_2008-06-04-lower.ana.ud248e56	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-04	2008-06-04	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-04	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.INGR	Ryan, Inge	M	1956	
ParlaMint-NO-en_2008-06-04-lower	ParlaMint-NO_2008-06-04-lower.ana.ud248e61	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-04	2008-06-04	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-06-04-lower	ParlaMint-NO_2008-06-04-lower.ana.ud248e81	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-04	2008-06-04	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-04	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TSOL	Olsen, Tom Strømstad	M	1971	
ParlaMint-NO-en_2008-06-04-lower	ParlaMint-NO_2008-06-04-lower.ana.ud248e94	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-04	2008-06-04	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-06-04-lower	ParlaMint-NO_2008-06-04-lower.ana.ud248e102	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-04	2008-06-04	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-06-04-lower	ParlaMint-NO_2008-06-04-lower.ana.ud248e157	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-04	2008-06-04	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-06-04-lower	ParlaMint-NO_2008-06-04-lower.ana.ud248e167	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-04	2008-06-04	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2008-06-04-lower	ParlaMint-NO_2008-06-04-lower.ana.ud248e223	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2008-06-04	2008-06-04	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2008-06-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
