ParlaMint-NO_2008-06-20.ana.ud1237e36	The representative Per-Kristian Foss will present a draft constitution.
ParlaMint-NO_2008-06-20.ana.ud1237e39	I would like to make a constitutional proposal on behalf of Inge Wohnning, Marianne Aasen Agdestein and Svein Roald Hansen and myself on amendments to the Basic Law § 93 in order to allow consent to the transfer of sovereignty to be given by a 2/3 majority if an advisory referendum was first held.
ParlaMint-NO_2008-06-20.ana.ud1237e44	The representative of Mr Øystein Djupedal will present two draft constitutions.
ParlaMint-NO_2008-06-20.ana.ud1237e47	I am pleased to present two constitutional proposals, the first on behalf of the representatives of Rolf Reikvam, Ågot Valle and myself, on amendments to the Basic Law § 1, 3, 12-14, 16-22, 25-31, 62, 67-69, 74-81, 86 and 112, on the repeal of the Basic Law §§4-9, 11, 23, 24, 32, 34-37, 39-41, 43-48, on new § 113 and on the amendment of the Basic Law heading. This is about the introduction of republican state form. Then I will present a draft constitution on behalf of the representatives of Hallgeir H. Langeland, Ågot Valle and myself on amendments to the Basic Law Sections 2, 4, 12 and 16 with a view to abolishing the Basic Law provisions on the state church system and establishing the constitutional state and human rights obligations of the country.
ParlaMint-NO_2008-06-20.ana.ud1237e54	No Marte Thorkildsen will put forward two basic legislative proposals.
ParlaMint-NO_2008-06-20.ana.ud1237e57	I am pleased to present two constitutional proposals, the first on behalf of the representatives of Hallgeir H. Langeland, Karin Andersen and myself on the new section 110 d, alternatively, new section 110 e of the Constitution - on the right to housing. The second proposal is on behalf of the representatives of Heikki Holmås, Åsa Elvik, Odd Einar Dørum and myself on amendments to the Constitution § 12, 50 and 61, on the introduction of 16 years of voting rights in the event of a major election.
ParlaMint-NO_2008-06-20.ana.ud1237e64	The representative, Hallgeir H. Langeland, will present a draft constitution.
ParlaMint-NO_2008-06-20.ana.ud1237e67	On behalf of the representatives of Karin Andersen, May Hansen, Lars Peder Breck, André N. Skkelstad and myself, I am delighted to make a proposal to introduce a separate constitutional law on protection against discrimination on grounds of sex and discrimination against minorities.
ParlaMint-NO_2008-06-20.ana.ud1237e73	Constitutional proposals will be dealt with in a regulatory manner. The representative, Mr Gjermund Hagesetter, will make a proposal for a representative.
ParlaMint-NO_2008-06-20.ana.ud1237e78	On behalf of the representatives of Ulf Leirstein, Jørund Rytman, Christian Tybring-Gjedde about myself, I am delighted to make a proposal to ban the publication of tax lists.
ParlaMint-NO_2008-06-20.ana.ud1237e83	The representative of Kåre Fostervold will present a proposal for a representative.
ParlaMint-NO_2008-06-20.ana.ud1237e86	On behalf of the representatives of Ketil Solvik-Olsen, Tord Lien, Bård Hoksrud, Øyvind Korsberg and myself, I have delighted to promote a proposal for a representative to have a government responsibility to remove and deposit the radioactive material from the areas of Sove Mining in Nome Municipality.
ParlaMint-NO_2008-06-20.ana.ud1237e91	The representative of Trine Skei Grande will put forward a proposal for a representative.
ParlaMint-NO_2008-06-20.ana.ud1237e94	I have, on behalf of the representatives of André N. Skjelstad, Vera Lysklattit and myself, the pleasure of promoting a proposal for a representative on start-up loans and housing policy.
ParlaMint-NO_2008-06-20.ana.ud1237e99	The representative, Elisabeth Aspaker, will put forward a proposal for a representative.
ParlaMint-NO_2008-06-20.ana.ud1237e102	On behalf of the representatives Odd Einar Dørum, Laila Davøy, Karin S. Woldseth and myself, I am delighted to present a proposal for a representative in which we ask the Government to take the necessary steps to ensure that the State does not claim limitation in proceedings of former children's homes etc.
