ParlaMint-NO_2008-11-25.ana.ud2412e74	The representative Finn Martin Vallersnes, who has been on leave, has once again taken up his seat.
ParlaMint-NO_2008-11-25.ana.ud2412e83	The President will propose the election of three presidents of the Stortinges meetings today and the rest of the current week – and consider it adopted. The President will propose Solveig Horne, Anders Anundsen and Hans Frode Kielland Asmyhr. – Other proposals are not available, and Solvency Horne, Anders Anundsen and Hans Frode Kielland Asmyhr are unanimously elected presidents of this week’s meetings.
ParlaMint-NO_2008-11-25.ana.ud2412e104	At the request of the Business Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose that three lines of reply be given to comments by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2008-11-25.ana.ud2412e113	This is about the so-called random fishing scheme, which is a system in which sea fishing boats can transfer residual quotas — ‘random’ — between boats in different fleets. The system was established to allow more rational fishing. One should skip to take an extra trip to get a little bit of the quota, and may instead allow another boat to take it. The system of random fishing is regulated by the Structural Quota Regulations, etc. for the sea fishing fleet. So far, the system has allowed up to 20 pst to be transferred. of most of the species of fish of another vessel belonging to the same owner, after a date of cutting set to 1 October. The industry has made proposals for changes in the scheme earlier this year, and has highlighted in particular the challenges of high bunker prices, which made it extraneous to be able to operate rational fishing. As the proposers see, flexibility could also have a beneficial effect on the environment, as more rational fishing would reduce the emission of harmful environmental gases from the fishing fleet. This is a matter that the department has been working on for a long time. Already in March, a group was set up to identify technological, logistical and administrative factors that could help reduce greenhouse gas emissions from fishing fleets and more environmentally friendly fishing. In connection with this, the industry is occupied with the need to adjust the random fishing system in order to make better and more efficient use of the allocated quotas. The Ministry also has other concerns that they have been concerned about, for example. the stability of the allocation of allowances between the different groups, the costs associated with increased quota turnover, and the consideration of the ceiling of the structural arrangements. It has been important to adapt the long-term fleet structure in relation to the resource base and the cost level of the fishing fleet, while, in the longer term, it is important to avoid different quota arrangements undermining the objective of the structural system itself. Various alternatives have been evaluated, but in September the department sent out on hearing suggestions for a simpler and improved random fishing system. The proposed changes were widely supported and the changes to the scheme were adopted on 17 October 2008 and have entered into force. This matter has therefore been resolved, in line with the intentions set out in the draft representative. There is a joint committee that joins the changes that have now been made, except the Right and the Advance Party. I expect that they will do their best for their own vision. The fact that we have now put in place a system that will lead to greater flexibility and make fishing more rational, profitable and environmentally friendly is very enjoyable. On behalf of the case spokesman, Steinar Gullvåg, I put forward this Innst. S. No 39 for 2008-2009, to improve the quota flexibility of the sea fishing fleet and to advise the Stortinget to support the plurality of its recommendations.
ParlaMint-NO_2008-11-25.ana.ud2412e132	The previous speaker explained why the proposal was being put forward. It was probably promoted in May this year, so it has been a while since the proposal was promoted until it is discussed in the Chamber. Since then, changes have also been made to the Random Fishing Scheme – a change made by the Government in October this year. What is gratifying is that we have succeeded in pressing the Government in the right direction in this matter. But what we in the Progress Party also address in the proposal is that the Government should have the opportunity to go further. We record that the industry also wants this change. Norges Fiskarlag wants it, FHL wants it and Innovation Norway wants it, and then it's okay that we get the proposal, and then we get the vote on it in the hall today. I shall therefore refer to the motion in the vote.
ParlaMint-NO_2008-11-25.ana.ud2412e146	The representative of Øyvind Korsberg has taken up the proposal to which he referred.
ParlaMint-NO_2008-11-25.ana.ud2412e149	Good and predictable framework conditions for the fishing fleet are a major concern of the Right in the Fisheries Policy. Although the fishing industry is important in order to ensure ‘light in the house’, fishermen must have framework conditions such as other competitive industries. Thus, district policy objectives must not overshadow the fact that the fishing industry, like other industries, must have good framework conditions for producing healthy food to the people, economic surpluses to the owners, tax revenues to society, safe jobs and activity and coastal settlement. The situation of the fishing industry has been challenging. High fuel prices and competition for partly government-subsidised labour have been part of everyday life. Nor did the NOx tax, one of the government's really big faults in the fisheries sector, improve the situation. The effect of a high level of costs is to reduce the profitability of fisheries. The result is that quotas are not being fished and that the industry is not getting the raw material it needs. As a result, the number of persons employed in the whitefish industry has decreased by about 2 %. 3 000 annual works, or 46 p.m., for the period 1995–2005. Of course, there are several factors that have occurred, but the profitability of fishing is part of this. The actual regulation of the way fisheries are carried out is crucial. Its more efficient fishing, its greater value creation and its less fuel use. Today’s Business Day, April 26, we could read that there were fish quotas for half a billion dollars unfished in 2007. According to the Federation of Fishery Shipowners, the corresponding quota values remained unfished after the 2005 season only in the case of cod, hay and seine. This is largely lost activity for the fishing industry and lost opportunities for our coastal industry. If a vessel is able to release a residual remainder of an allowance, so-called random, to another vessel that is in any case going out of control, it will be possible to save both fuel and environmental emissions. The so-called random fishing scheme shall thus contribute to the flexibility of the sea fishing fleet. This is about finding good solutions for the practical fishing at sea. However, the scheme has had some rather square requirements that have limited its use. Therefore, the right-hand proposal of 22 May this year was aimed at improving the random fishing system so that fishing could become more efficient and the quotas could be better used. It is positive that the Government has responded to the proposal and the corresponding requirements of the fishing industry. The amendments to the regulation on random fishing of 17 October now in the autumn are, as the rapporteur's spokesman said, in line with the intentions of our proposal. To this end, the right supports the amendments, which include: the requirement that a single-boat carrier must enter into a three-year cooperation contract in order to operate the random fishing system, the removal of a single-boat carrier shall be allowed to cooperate with a multi-boat carrier and the reverse ship transferring the quota to another vessel may no longer be withdrawn from other fishing operations and the interception date of the random fishing system, 1 October, has been removed for all fisheries other than cod; Furthermore, a vessel emitting the quota is required to have fished half of the quota before the vessel receiving the quota can start fishing. This came from the Fiskarlag and shall prevent vessels which did not intend to participate in the fishing operation from selling 20 pst. of the quota under the random fishing scheme. The Committee has noted that the Minister for Fisheries is considering further measures to improve quota flexibility, including: to change the allowance year and the establishment of an allowance bank for the transfer of the allowance from one year to another. This is a positive step from the Government to which we join. However, we must take into account the fact that a nearly total fishing industry at the Fiskerlag, FHL and Innovation Norway will go beyond the Government. The main proposal they are making is to increase the percentage of maximum random fishing from 20 pst. to 30 pst. This is a powerful tool, because it really means a 50 pst. increase in relation to current arrangements. Furthermore, the industry considers that the date of cutting must also be removed for cod. These proposals are re-launched by the Right Party, the Advance Party and the Christian People's Party. I cannot see any good reason to say no to the proposals when the signal from the industry is so clear. The government is justifying the resistance to 30 pst. that this – as opposed to 20 pst. – is not a coincidence that would not be fished due to lack or marginal profitability. I don't think this argument is particularly convincing or clarifying. I think a lot of fishermen can increase profitability, save fuel, increase quota withdrawal and increase the volume of the fishing industry if this limit is further increased to 30 pst. There is a distinction in Norwegian fisheries policy between those who enjoy regulation and those who are engaged in robust and forward-looking fishing with good profitability and safe jobs. The right is definitely in the last group, and therefore we want further improvements in the random fishing system to improve the efficiency and profitability of the Norwegian fishing industry.
ParlaMint-NO_2008-11-25.ana.ud2412e195	The random fishing system is hardly a theme for the coffee table conversation in most Norwegian homes. But it's an important theme, because this is about sensible resource withdrawals within the fisheries that are set out in the quota allocations. Of course, resource withdrawals mean a lot to fishermen who depend on just these resources for income. However, resource withdrawals also mean resource access for fish industry farms and for other actors both in the processing and sales chain. This is once again about the bushing along the coast, the fact that we can have busses throughout our country. This is about the production of food, and it is a theme that is becoming more important and more important, not least in a global perspective. The government has done something, and it's positive. We don't have a problem saying that what's done is positive. It has added flexibility, but more can be done. The Christian People's Party supports what is in the proposal, that more can be done. In order to help the Government on the road, we have supported the proposal to remove the date of cutting for cod quotas as well as to increase the percentage of what can be delivered to 30 pst.
ParlaMint-NO_2008-11-25.ana.ud2412e202	The left is pleased that the Government in this matter has made a number of necessary changes to improve the quota flexibility of the sea fishing fleet, in the light of the proposal from the Right. The left suggests that the extensive regulatory framework under which the fishing industry operates has in many cases led to poor exploitation of available fish resources. It is also gratifying that the Ministry of Fisheries and the Coast will look at schemes such as quota banks and changes in the quota year. I am aware that making changes here may be in contrast to international agreements Norway has concluded, but if the changes in the allowance year and the introduction of an allowance bank scheme do not conflict with international agreements, the Left is in favour of such changes. The left-hander expects the Government to inform the Size in its own way when this is done. The left does not coincide with the rest of the opposition to cancel the intersection date and increase the rate that can be issued to 30 pst. in the case of cod fishing – this is because we believe that the cod is very vulnerable, and that the stock of cod has been very variable in recent years. To put in place arrangements that could lead to an additional overfishing of the cod and the extra truy the existence of the cod, my left is wrong, and we therefore stare the Government and Government Party at this point.
ParlaMint-NO_2008-11-25.ana.ud2412e211	The Government is concerned that the regulation and structural arrangements of the fishing fleet facilitate the most efficient, rational and environmentally friendly fishing. Having assessed different solutions, I concluded that changing the random fishing system could help achieve this and improve quota flexibility. We therefore sent out on 18 September this year a proposal to simplify and improve the random fishing system for the sea fishing fleet, much in line with the proposals in Document No. The 8th proposal. The amendments were adopted on 17 October of this year and entered into force immediately. The amendments mean that the requirement for a three-year cooperation agreement to be concluded by a boat company to exploit the scheme is waived, that a boat company can cooperate with multi-boat carriers and vice versa, and that the vessel from which the transfer of allowances is carried out must no longer be withdrawn from other fishing activities. The date of entry into service of the random fishing system is removed, with the exception of cod quotas, because the Government considers that it is important to maintain at the end of the year for the supply of raw material to the agricultural industry on 1 October. These changes represent an improvement and simplification of the random fishing system that has been requested by the industry and which helps to make fishing more rational and profitable. The purpose is to avoid going on the last round of the season in order to take a small, remaining chance of the quota. Instead, this can be transferred to another boat. As a result, the total fishing effort for such residues of several vessels' allowances may become more rational. Similarly, the random fishing system will now have a certain impact on greenhouse gas emissions, and thus also an environmental benefit. At the same time, I would like to take the opportunity to point out that the regulatory system is based on the allocation of quotas by the fisheries authorities with the vessel allocated to the quota. There is a limit to the degree of flexibility we want for fishing quotas, because this flexibility also means increasing the degree of transferability of quotas. Therefore, the desire to facilitate further flexibility may be contrary to the basic principles of our fisheries policy. This should be borne in mind when discussing what appears on the surface as reliable proposals for additional flexibility. The overall political discussion on privatisation and negotiability should not lose its significance through ever-small changes that are being carried out without at any time taking up this overall political discussion. I have also taken note of the comments made by the Committee, and I can inform you that we have already introduced quota flexibility between the 2008 and 2009 regulatory years in the fisheries of Norwegian spring herring for the ring note and trawl groups. With regard to the Committee's comments on the change in the quota year, I will come back to this in an appropriate manner, as the Committee asks.
ParlaMint-NO_2008-11-25.ana.ud2412e224	It's going to be line change.
