ParlaMint-NO_2008-12-15.ana.ud2230e124	The representative of Marianne Marthinsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-12-15.ana.ud2230e133	The President will propose the election of two presidents for the Stortinges meetings today and the rest of the current week – and consider it adopted. The President will propose Sigvald Uppøen Hansen and Gunn Olsen. – Other proposals are not available, and Sigvald Oppebøen Hansen and Gunn Olsen are unanimously elected presidents of this week’s meetings. At the request of the Committee on Family Affairs and Culture, the President will propose that matters be referred to the Committee on the Environment, Public Health and Consumer Protection. 1 to 4 is dealt with as a whole, and considers it to be adopted.
ParlaMint-NO_2008-12-15.ana.ud2230e184	At the request of the Committee on Family Affairs and Culture, the President will propose that the debate on the budgetary position be divided into two groups, first dealing with the Ministry of Children and Gender Equality and St.prp. No 23 and St. Prp. No 25, and then the Framework Area 3 Ministry of Culture together with St.prp. No 27. Furthermore, the President will propose that each of the debates be limited to 65 minutes and that speaking time be allocated as follows: Working Party 20 minutes, Progress Party 10 minutes, Right 10 minutes, Socialist Left Party 10 minutes, Christian People's Party 5 minutes, Center Party 5 minutes and Left 5 minutes. In addition, it is proposed that the Minister for Children and Gender Equality and the Minister for Knowledge should be given a speaking time of up to 5 minutes each during the treatment of Framework Area 2 and that the Minister for Culture and the Church should be given a speaking time of up to 5 minutes during the treatment of Framework Area 3. Furthermore, the President will propose that, in both debates, there be a succession of up to three lines with replies from the main speakers of the parties and five lines with replies from members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted. Since the debate is divided into two, the President will ask the representatives to present their proposals in the first debate, even if the proposal concerns the cultural aspect.
ParlaMint-NO_2008-12-15.ana.ud2230e199	Thank you very much to the Committee on Budgetary Cooperation. There's a lot of commitment in the committee to care about the vulnerable children. Redd Children recently launched an anti-violence campaign, "please disturb", where there was light for the girl who didn't get to sleep tonight, and for the good that doesn't dare go home, and for the neighbor who dares to care. Violence against children is one of Norway's most under-communicated social problem. During one week, there were 274 children who contacted the auxiliaries because they were exposed to the power of their mother or father. This impresses us all. The pain and despair such children experience is a tragedy. We need a lot of different tools to help and secure these children and other children who, for different reasons, cannot live with their family, a safe everyday life. Different parties may have different answers. But cross-political cooperation is important to find solutions that provide security for the children. I assume that the different parties will come up with their views on this and other areas in the budget. I want to focus on the Christian People's Party's policy. Too many children actually have an important role to play in the protection of children throughout their childhood. Therefore, it is important that child protection has a framework that allows them to give the children what they think is best for them. The Christian People's Party believes that the provision of child protection is not suitable for competition. Then someone will think that the Christian People's Party was involved in introducing offer when we were in government, and that's right. At the same time, however, we made exceptions for supply requirements when it applied to ideal businesses without a commercial purpose. This was found in, among others. St.meld. No 15 for 2004–2005. Feedback from non-profit organisations operating within the field of child protection is that they experience much more difficult conditions under this government than under the previous one. We know that Bufetat has had a limited bidding competition for non-profit organisations these days. But based on the information that the Christian People's Party has been given access to, there are several points that the ministry has given in its leadership to non-profit organizations and foundations, which have not been followed up in the bidding competition. We've become aware that Styve Gard in Hordaland has been accommodated three places, while they today have 14 and had been approved for 18 places one week before they were offered only three places. It goes without saying that operating an institution based on only three places is very difficult. The institution is in demand. No other institution of this type is in the vicinity. If this institution is laid down, the children must travel far away. The subsidiarity criterion may not have been emphasised. It has taken 20 years to build up skills that can now go doll. This is serious. This is one of several examples that make the Christian People's Party present proposals today where we ask the Government to ensure that the child protection institutions as per. today has an operating agreement with Bufetat, is extended until 31 December 2009. At the same time, we are asking for a case to be brought to the Stortinget for a new scheme for the protection of children. Many contributors to institutions report concerns related to price pressure and short-sightedness and lack of focus on quality and on children’s needs. There are children in institutions who live in fear that the world in which they live is going to go bankrupt. The Christian People's Party is concerned about whether the children get the most tailored offerings, or whether it is the economic priorities that govern what the children are offered. I sincerely hope that the Government will now stop and support the proposals submitted in order to get into the situation that has arisen. The Christian People's Party has in its alternative budget proposals of 50 million. kr more for child protection. We want all child-restraints to have access to after protection, and seen by 10 million. extra kr to strengthen this. Christian People's Party proposes 10 million. extra to measures for the elderly and better follow-up of children in the foster home. Professional rights for all foster parents and increased focus on the recruitment of foster homes are important. It is tragic that many children today are waiting to come to a foster home. Good leisure activities are important, especially for children and young people. Then it becomes a paradox that we received a message on Thursday that the Salvation Army's child and youth work was told from the Distribution Committee that they will miss 1.2 million for 2009. in the case of State aid because of new instructions on the award of State aid to children’s and youth organisations. Thus, 6,000 children and young people who enjoy going to the corps, choirs or spears of the Salvation Army can become frames because the mother organization has guidelines that the Government does not like. In this case, a lot of tolerance will not be signaled. The guidelines are adopted politically. The Christian People's Party expects the Council of State to review them and to ensure that it provides State aid without directing the views of the organisations. As appeals, we hope that the Council of State will ensure that the Salvation Army is given the support of the important low-threshold service they provide to many children and young people. On Friday, the government came with a human message. It's great to focus on the role and equality of men. It's very important. We are disappointed, however, that after more than three years of plural power, the Government has not fulfilled its promise to impose self-rights for fathers. The Christian People's Party has proposed it several times, most recently in our alternative budget. Furthermore, we have actually proposed to extend the paper issue by four weeks without taking off the already existing leave period, as the government has done with two of the four weeks they have now proposed. The Christian People's Party believes that all fathers should be able to be home for the first two weeks. In the first part of life, contact with parents is the most important thing. It is important for the whole family that all fathers are given the opportunity to take part in the parental leave, both to strengthen the role of fathers as carers and for gender equality. Gender equality is also a question of wage policy. We are therefore surprised that no one else has joined the Christian People's Party's proposal on pay policy. It is important that a good family policy facilitates childbirth – for those who want it. In order for a life course to begin at all, parents must see that it is economically possible to put a child into the world. Today, it is very difficult if one or both parents are not in the workplace. We are therefore proposing in our alternative budget to radically increase the single-entry benefit at birth and adoption to 1 G, i.e. from approx. NOK 33 000 to NOK 70 000. A good childcare policy combined with cash support is important. The Minister of Knowledge said a short time ago that those who have access to kindergarten would rather do so. Cash support is a system that benefits very little, and even less is going to benefit from it when we get full coverage, the Council of State has said. BLD has looked at a selection of 18 municipalities – one municipality from each of the counties outside Oslo – that according to the Ministry of Knowledge had full child care coverage by the end of 2007. According to data from the Labour and Welfare Directorate, an average of 52 psts was received at the same time. by the parents of the one- and two-year-olds in these municipalities. That's the cut. In some municipalities there were as many as 83 pst. who received cash support. For the Christian People's Party, it's not a goal that most people should benefit from cash support, but it's not true that full coverage means that there's no end to the need for cash support. Therefore, the Christian People's Party proposes to increase the cash support to NOK 4000 per person. month to ensure a greater freedom of choice for several parents. It's important that everyone who wants kindergarten is given it, and that kindergarten provision is of high quality. We are concerned about the lack of pre-school teachers and the strong increase in the number of dispensations from the qualification requirement. We need to do more to get more preschool teachers to stay in the profession. Many private kindergartens are difficult. That's especially true of the smallest. Many have to cut their wages and salaries and add them to their working conditions. They have to raise loans to survive, and they have to increase parental pay, cut quality, and, worst case, shut down operations. We are concerned that next year, too, the Government does not have proposals to ensure more equivalent treatment for private and municipal kindergartens. Therefore, the Government should immediately come up with a case on how they will ensure non-discrimination between municipal and private kindergartens. The inclusion of this in the framework of municipalities will not ensure the progress of private kindergartens. We want to continue to have a shortage of childcare facilities, both in terms of ownership and educational and valuable profiles. Many experience challenges in society – it is not always easy to live together. Therefore, it is so important to carry out preventive work on lifelong learning and good competence and access to family protection. In both of these areas, the Christian People's Party is proposing a strong increase. I believe that in many areas we will be able to do so, because preventive work may seem positive to very many people. It's a paradox when you know that there's a long queue in the family protection offices, and that many people who want help don't get it in time. I want to address the proposals of the Christian People's Party alone or together with the Left, when it applies to both frames.
ParlaMint-NO_2008-12-15.ana.ud2230e233	The representative May-Helen Molvær Grimstad has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e238	In the budgetary position, the Christian People's Party, together with the government parties, makes a comment saying that the appropriations for child protection purposes should go as far as possible to help children and young people who need it, and not to pay dividends to commercial operators. Does this mean that the Christian People's Party is now, for real and fundamental reasons, separating layers with the other opposition parties, which, in a note, say that private, commercial players are desirable and that a system of outsourcing of child protection services should be introduced?
ParlaMint-NO_2008-12-15.ana.ud2230e245	The most important thing for the Christian People's Party is that children get the care they need, regardless of which actors offer it. We have both ideal and commercial forces within child protection, and we will also need them in the future. But the Christian People's Party wants to give priority to the public and to the private, non-profit organizations. The resources used by the State for child protection purposes shall be as direct as possible to the work planned by the State as opposed to the payment of dividends. That's why we're a few in that twist. But we are concerned about many of the voluntary, non-profit organisations and the foundations that are operating within the field of child protection today, who feel that they get a lot more stringent working conditions with this government than they did with the previous one. I wish the Government could really take this, because we don't want to smother the private initiative and the non-profit organizations' important work in this area.
ParlaMint-NO_2008-12-15.ana.ud2230e252	Like the Christian People's Party, we in the Advance Party are aware that the church family protection offices were started long before family protection became part of the public offer. For many years, church family protection offices have been at the forefront of providing families with a safe and sound framework around a difficult topic. The prevention of family protection is invaluable and supports a committed parenthood and good cooperation between parents, even after a break in life. The government and Bufetat have been working for several years to ensure that the Church's family protection is integrated as much as possible into the state's family protection. If the Government succeeds in doing so in the future, it will no longer be possible to choose between a state and a non-state offer. How will the Christian People’s Party ensure genuine two - trailed family protection?
ParlaMint-NO_2008-12-15.ana.ud2230e261	I agree with the Progress Party that it is very important to have a lack of and good family protection, and that we should ensure a two-track family protection. But I'm not in agreement with the Progress Party that proposes to transfer money from public family protection to church family protection, because it's not every place we have a church family protection. Then it is important that we secure the most possible resources in total for family protection, and therefore the Christian People's Party has proposed a strong increase in the rights of family protection, which can benefit both the church and the public family protection offices. I could have wished that the Progress Party had also, in its alternative budget, prioritised this and focused on the need for more funds. But it's very important that anyone who wants to go to the family protection offices to get guidance and mediation gets a good deal. It's important that we have a lack that we've had up to today, and there might have been enough government to do even more.
ParlaMint-NO_2008-12-15.ana.ud2230e270	From the point of view of the SV, the introduction of cash support has had many negative consequences. One of the most serious is that kindergarten as a preventive child protection measure is not now being used to the same extent as before, because it costs a lot to say no to cash support. Degraded rates have also led to the fact that you cannot afford to say no to cash support. We believe that this has given less freedom of choice and no more. But the Christian People's Party now proposes is: ‘The Government asks the Government to present a case that provides children over 3 years of age with free core time in kindergarten if their parents receive cash support for younger siblings.’ Furthermore, it is important for children with a minority background to be in kindergarten for language development purposes. In the previous period, the small child supplement was taken from normal parents, while parents who had cash support were assigned to keep it. What about all the other children who do not have parents receiving cash support? Shouldn't they also have free core time?
ParlaMint-NO_2008-12-15.ana.ud2230e284	Cash support has been an important tool for giving an option, but I have registered that SV has in any case been against cash support and has used different arguments in this context. In any case, many with a minority background would have chosen to be home with their children in the early years. Cash support gives them better advice, it's more economical, and it means most for those who have the least. Then the Christian People's Party has a proposal here that those who are at home with children in cash support age, and have children older than the cash support age, will have free core time in the kindergarten, because we see that learning Norwegian can be challenging if the children are not allowed to go to kindergarten before they start school. That is why we have taken this challenge seriously, and in some areas of Oslo, children are offered free core time in kindergarten. We think that's positive. We also see good signs when it comes to language development, and that's why we're looking at this.
ParlaMint-NO_2008-12-15.ana.ud2230e291	So the chord change is over.
