ParlaMint-NO_2008-04-23.ana.ud1988e22	The representative Ivar Kristiansen will present a proposal for a representative.
ParlaMint-NO_2008-04-23.ana.ud1988e25	On behalf of the representatives of Øyvind Halleraker, Jan Tore Sanner and myself, I would like to put forward a proposal on the strategy for increased upgrading and expansion of existing hydropower plants.
ParlaMint-NO_2008-04-23.ana.ud1988e30	The representative of Trine Skei Grande will put forward a proposal for a representative.
ParlaMint-NO_2008-04-23.ana.ud1988e33	I have the pleasure and honour, on behalf of the representatives of André N. Skkelstad, Vera Lysklattit and myself, to promote a proposal for a representative to prevent the number of young debt slaves, the number of forced sales and bankruptcys in housing laws.
ParlaMint-NO_2008-04-23.ana.ud1988e38	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2008-04-23.ana.ud1988e64	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: State Council Life Signe Navarsete State Council Anniken Huitfeldt State Council Helga Pedersen The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. AscendingSort order for mail groups We will then start with the first main questions, from the representative Arne Sortevik.
ParlaMint-NO_2008-04-23.ana.ud1988e83	I have a question for the Minister of Transport. Norway needs a transport promise. In particular in the road sector, there is a high maturity, maintenance kit and a lack of capacity. The Norwegian road system appears to be inefficient, uncertain and less environmentally friendly. National road capital is disintegrating in the world's richest country. Tunnels are poorly secured. Yesterday we were told that the Railway Agency does not have control of the train safety. The maturity is shown in many ways, including: through a dramatic increase in traffic fatalities in March of this year and to date of this year. In the first three months of the year, 64 people lost their lives in traffic, compared with 44 in the same period last year. With a road network that is getting worse, there is a risk that this development will continue. I'm afraid as many as 300 people can die on Norwegian roads this year. We can do something about that. This government has provided the road sector with something more money than the previous government. That's good. But there are different governments in the last 30 years who have to take responsibility for the growing lag, even when the Senter Party has previously had the Minister of Transport. ‘Something’ is not close enough. Not a hint of 20 pst, either. in addition to the framework given for the preparation of a new national transport plan, it will be close enough. Norway needs a transport promise. We must be willing to invest heavily in Norwegian transport networks to reduce fatal accidents and strengthen the long-term growth capacity of the economy. Does the Minister for Transport have any new tools to provide Norway with a transport promise, a transport promise that can provide Norway with efficient, safe and environmentally friendly roads, without having to wait either 30, 40 or 50 years?
ParlaMint-NO_2008-04-23.ana.ud1988e96	This government has already given the country a trade lift. We've done it as one in the previous period said was impossible. What the opposition said was air money, was put in as an addition, which was also the Progress Party in the compromise with today's government party. We've been overfilling road and track for two years. It's a lift, and it's a turnaround in relation to what's been going on for many years under changing governments. Nor is it the case that if the Progress Party has been involved in budgetary conciliation, it turns out once again when it is involved in trade. It doesn't. This government intends to continue its efforts in the field of commerce. How to do so, which means we are going to use, will fall within the scope of what is being examined by this government in the field, the national transport plan, to be submitted in December. The existing national transport plan was signed in the previous period, and we follow it up in relation to funds. The next ten-year period shall be drawn up in the national transport plan which we are currently preparing, where the counties now have a hearing until 30 April. But, as I said, the tools--the tools--I have to come back to December.
ParlaMint-NO_2008-04-23.ana.ud1988e105	I thank you for your answer. The government tool will lead us to spend between 30, 40 and 50 years getting an efficient, safe and environmentally friendly road network in Norway. I'm afraid we're getting a lot of fatal accidents on the roads before we get there. It doesn't help to refer to the Bondevik government, when many former governments have to blame for the lack of road development. It does not help to refer to a new national transport plan, where the Government has set a ten-fold annual budget in 2007 and suggests 20 pst. extra. Nevertheless, this can take 50 years before we get a real road map in Norway. What helps is to do as the Progress Party says: change the system, look at road development as an investment, use money from the oil return, government loans and project financing. Does the Council not see that, without new tools, Norwegian transport policy will appear to be the worst in Europe?
ParlaMint-NO_2008-04-23.ana.ud1988e116	I do not point to the Bondevik government in particular. I only established the fact that the existing national transport plan was drawn up in the previous period and signed. I also said that trade has been neglected for many, many years and also through many different governments. At least there are quite a few of us. The frame in the budgets is a technical calculation framework that is created in the same way as one has done in previous national transport plans, i.e. the last known budget, the 2007 budget, and then plus/minus 20 pst. What the government will end on in December, no one knows today, nor the Minister of Transport, for that discussion has not begun. Then we have enough ambitions, both the Minister of Transport, and certainly Blackevik, for what should be the framework when national transport plans are presented. I can promise that I will keep those frames so high that we will have a safe, secure and good transport network that will also be in line with the society we otherwise have in 2008.
ParlaMint-NO_2008-04-23.ana.ud1988e125	There will be follow-up questions - first Bård Hoksrud.
ParlaMint-NO_2008-04-23.ana.ud1988e128	In addition to the fact that there were major deficiencies and maintenance delays in Norwegian tunnels last year, we learned yesterday that very serious safety deficiencies have been identified at the railway station, and they are so serious that the railway supervision actually goes so far as to assess the closure of all railway traffic from 1 July due to a lack of control and control in dealing with the activities for which the railway station is responsible. This is very serious. It is known that there has been a conflict between the supervision and the Railway Agency over a period of time. But this cannot continue anymore, because it threatens passenger safety. Does the Council of State see that, in such circumstances, questions can be raised in the organisation of the railways in Norway and that immediate action must be taken to ensure that the train is safe for passengers to use? How will the State Council keep Stortinget informed about the safety of the railway?
ParlaMint-NO_2008-04-23.ana.ud1988e135	The safety of the railway has the highest priority in the further development of the railway in Norway -- let it be absolutely clinking clear. The work on safety approval of the Railway Agency is a follow-up to an EU Directive. Throughout Europe, a now - parallel to what we do in Norway - is working to obtain written documentation of all processes in the construction, maintenance and operation of the network. It goes without saying that this is a demanding job. There are many thousand pages written, and more will probably be worth it. There is little experience from other countries, because there are only two countries in Europe, so far, that have such an approval of their network. We attach great importance to the railway works delivering what is required by the supervision. A deadline has been set for now in July - with a possible three-month extension of it - and I expect the railway works to do the job they are going to do. Of course, we should be briefing the Storing at conditions.
ParlaMint-NO_2008-04-23.ana.ud1988e145	Jan Sahl - for follow-up questions.
ParlaMint-NO_2008-04-23.ana.ud1988e148	I noticed that the minister's rhetoric changes a little from time to time. Now it was said that the goal achievement is «overfilled» in the last two years, but the truth is that it is a lag over three years. But I want to focus my question about road safety, about the fact that we have increasing rates of accidents in traffic. In the 2008 downturn forecast, a total of 45 psts for the period 2006-2008 is estimated to have been achieved. in the case of road safety. Then my question to the Minister, who is very satisfied with the fact that the crown has been met: is she equally satisfied with the achievement of the goal in the field of road safety?
ParlaMint-NO_2008-04-23.ana.ud1988e155	As long as we have traffic accidents with severe damage and fatalities, a Minister of Transport cannot be satisfied. Nor can we be content that the goal achievement is not greater than it is. The reason for this is that we have a much larger growth in traffic than had been foreseen. There are also other ways in which the work I am going to do is that an existing national transport plan has a far too low forecast of traffic growth. We have a strong growth in traffic, especially in heavy goods transport. We work along a broad line to increase the effort when it comes to road safety, both towards the road body, towards the drivers and towards driving gear. All three areas are equally important, and we must continue to work intensively in time.
ParlaMint-NO_2008-04-23.ana.ud1988e162	Øyvind Halleraker - for follow-up questions.
