ParlaMint-NO_2008-12-09-upper.ana.ud161e201	There is no record.
ParlaMint-NO_2008-12-09-upper.ana.ud161e215	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e231	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e247	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e263	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e279	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e295	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e311	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e327	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e343	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e360	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e376	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e392	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e408	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e424	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e440	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e456	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e472	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e488	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e504	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e520	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e537	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e553	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e569	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e585	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e601	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e617	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e633	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-12-09-upper.ana.ud161e649	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution. Thus, the layering has finished the matter on today's map. Does anyone ask for the word before the meeting is cancelled? - Hallgeir Langeland.
ParlaMint-NO_2008-12-09-upper.ana.ud161e656	I would like to praise the President of the Grand Voice!
ParlaMint-NO_2008-12-09-upper.ana.ud161e661	Thanks and bows!
