ParlaMint-NO_2008-04-09.ana.ud1393e22	The representative, Hans Frode Kielland Asmyhr, will present a proposal for a representative.
ParlaMint-NO_2008-04-09.ana.ud1393e25	On behalf of the representatives of Øyvind Korsberg, Kåre Fostervold and myself, I am delighted to propose the development of an action plan to make food supervision a service establishment.
ParlaMint-NO_2008-04-09.ana.ud1393e30	The representative of Torbjørn Hansen will present a proposal for a representative.
ParlaMint-NO_2008-04-09.ana.ud1393e33	On behalf of the big business representatives Elisabeth Røbekk Nørve, Gunnar Gundersen, Bent Höie and myself, I would like to propose a representative to remove market regulation on pigs.
ParlaMint-NO_2008-04-09.ana.ud1393e38	The representative, Mr Sortevik, will make a proposal for a representative.
ParlaMint-NO_2008-04-09.ana.ud1393e41	On behalf of Per Sandberg, Bård Hoksrud and myself, I have the pleasure of proposing measures to ensure the removal of mercury in submarine U864 at Fedje in Hordaland.
ParlaMint-NO_2008-04-09.ana.ud1393e46	The representative, Gunvald Ludvigsen, will put forward a proposal for a representative.
ParlaMint-NO_2008-04-09.ana.ud1393e49	On behalf of Lars Sponheim, Vera Lysklätt and myself, I would like to propose an action plan to reduce coerciveness in mental health protection.
ParlaMint-NO_2008-04-09.ana.ud1393e55	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2008-04-09.ana.ud1393e81	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Kristin Halvorsen State Council Sylvia Brustad State Council Terje Riis-Johansen The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. AscendingSort order for mail groups We then start with the first main questions, from the representative Sonja Irene Sjøli.
ParlaMint-NO_2008-04-09.ana.ud1393e100	I would like to ask the Minister of Health and Health a question. To Dagbladet on 31 March 2005, the representative of Brustad said that she was shocked that the hospitals were considering cutting food supply, and said that we have to put the foot down, so that lack of money and saving measures do not always affect women and children. Minister of Health and Health, Brustad, has now been responsible for the provision of food for two and a half years, and we see that cuts in hospital budgets affect women and children throughout the country. At St Olav's Hospital, a whole new maternity ward closes half a day and on weekends. Several maternity wards have to close this summer to save money, and feeding women in the districts have to travel for several hours by boat and bus to get to the maternity ward. The preparedness of midwives and accompanying services in the districts is being reduced or cut completely. This occurs during a period of the year when most children are born. The National Council for Paternity Care, which is to advise the Council of State on maternity and maternity care, withdrew from her duties in protest during the harvest because she did not follow up professional advice to ensure a proper supply of food throughout the country. For two years she has promised a national plan for maternity and maternity care, but it has boiled away in the cabbage. So it looks like the government has surrendered and just gave up. What is now happening at many maternity wards and in the municipalities is causing great anxiety and concern in many pregnant and pregnant women. And as a former midwife, I am upset that many birthers now do not have the necessary security and predictability and a proper offer. Will Minister of Health and Welfare Brustad now put his foot down to prevent savings from affecting women and their children?
