ParlaMint-NO_2008-12-09.ana.ud1828e61	The representative Dagfinn Højbrätt, who has been on leave, has again taken the seat.
ParlaMint-NO_2008-12-09.ana.ud1828e78	At the request of the Health and Welfare Committee, the President will propose that the debate be limited to 2 hours and 5 minutes and that speaking time be allocated to the groups as follows: Working Party 45 minutes, Progress Party 25 minutes, Right 15 minutes, Socialist Left Party 10 minutes, Christian People's Party 10 minutes, Center Party 10 minutes and Left 10 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2008-12-09.ana.ud1828e89	Initially, I will be allowed to thank the Committee for a very tidy process also in connection with the next year's budget. Cleanness is important in such extensive work as the State budget is, so that, within a relatively short period of time, a budget can be put in place that is as useful as possible, and for the benefit of Health-Norway. I think the committee has done this in a good way. Despite the fact that there is, of course, a relatively large political disagreement in many areas, one has also clearly signed up in those areas where this has been possible. Most of the Norwegian healthcare system is very good, and I find reason to pay tribute to all those who do a fantastic job in the health and care sector in Norway. Every day, thousands of Nordics receive top-class health and care services. But it is also not possible to get under the chair that even in the health sector there is still a lot that has been undone, and much that can be better. We as politicians are often accused of black-painting the reality of health care, and to some extent you might get the impression of this, if you just read the tabloid press. However, I believe that one of the most important political tasks that politicians have is to get what doesn't work, to start working. And then it often happens that the debates are in the fields where the shortcomings are. Just because it's doing so very well out there in the health and care sector, I've chosen to point this out before I start on my own post on the state budget, and what changes the government should have made to make at a time when the revenues of the state have never been as high as they are today. The budget is now more than NOK 131 billion under the responsibility of the Health and Welfare Committee. In other words, the government has had an opportunity that no other government has had when it comes to getting the best possible health budget. Despite the fact that there is very much good in the budget, the government does not fulfill the promises and expectations that they themselves have created. Following the 2005 elections, the red-green lots negotiated a document on what they would accomplish during the flooding period. This was the Soria Moria statement. In this statement there were several concrete promises that created great expectations for many sick and nursing people in Norway. Among other things, these were in the health and care sector: strengthen the economy of hospitals, so that more patients are treated and waiting times are kept low safe rehabilitation and training for those who need more intensive work to remove the problem of patients being placed on a hospital corridor and the last thing I want to mention is to reduce self-esteem in health services and keep them at a low level. Today's self-exploitation policy creates major economic problems for very many sick people who initially have more than enough to deal with their own disease in many ways. Those who are particularly hard hit are chroniclers and those who have lower or medium income. These are usually not those who have come out very well in recent years, with good pay, but unfortunately also those who are in a situation where they have trouble getting their daily lives to spend financially. The party is concerned about all the increases in the excesses of the red-green government parties since they came to power in 2005. The Progress Party has stressed in its alternative budget the need to reduce today's self-payment rates, all the time it has now come to a point where the excess has become so high that there is actually a tax on sickness. Since 2005, the red-green lots have increased self-esteem 1 by 12,3 pst. The percentages of medical help have increased by 10.25 pst., reimbursement for physiotherapy by 10.25 pst. and equivalent for medical and psychological care. This is in stark contrast to what you say in your own government statement. The Progress Party zeros all self-proprietary applications in its alternative budget and reduces equity participation 1 to NOK 1500. There is a need for major changes in the structure, funding and instruments of Norwegian health policy. Interaction problems between different levels of administration cannot be solved through small adjustments, but by taking structural action. Financial responsibility must be attributed to the level of government administration, in order to ensure patient provision throughout the country and to ensure an effective and appropriate use of resources at the appropriate level of healthcare. Furthermore, there is a need to remove regional health businesses, which have evolved into a cost-effective health regime. Regional health establishments should be replaced by a state hospital directorate, so that both responsibility and planning are of a national nature. Furthermore, the healthcare system needs to be organised in such a way that medical personnel – doctors, nurses, caregivers, etc. – are related to patient-related work to a greater extent than today, and commercial employees are taking on administrative tasks that are currently carried out by health professionals. We look forward to the Minister of Health and Welfare's informed interaction reform. It's going to be interesting when it finally comes to treatment in this house, to see what you can get in place. The Minister of Health and Health will have the honour to make as extensive an approach as has been announced, because it is needed. In the case of specialist healthcare, the economy of hospitals is very worrying. The same applies to developments related to increasing waiting lists and waiting times in the ordinary specialist health service, but also in the area of rehabilitation and care. It is unsustainable that about 230,000 people are in a state of health in one of the richest countries in the world. We see that the waiting times are now increasing. The Progress Party proposes to improve the economy of hospitals for 2009 by DKK 2 billion in its alternative budget. This includes, inter alia: that the Progress Party removes the remaining distribution of bias between the different health establishments. Once the Government has recognised that there is a division of inequalities between regional health businesses and yet only chooses to correct half, the Government has signalled that it is okay for some to receive less and less patient treatment from a residence address. The Progress Party does not agree to do so. In addition, we have seen that for the current year it is moving towards a budget of approx. 900 million. kr within the specialist health care of hospitals. The government has announced and has made proposals on in St.prp. No 13 for 2008-2009 an additional allocation of 500 million. kr for the current year. That appropriations shall not be continued because there is an additional appropriations within the budget of the year. In other words, healthcare businesses will continue to face major challenges in the context of next year’s budget. In addition, the Party proposes more equalising private and public providers, which means that the total capacity of the healthcare system will be used. What we are talking about in particular is, among other things, the contract specialists, which are part of the responsibility of the regional health establishments. With better use this could lead to shorter waiting lists and waiting times. In order to ensure increased patient treatment and effectiveness, the input-driven funding is also increased from 40 to 60 pst. in the alternative budget of the Progress Party. There is an urgent need to treat patients, and the policies of the current government have led to an increasing number of cows in the health system. The government is adding up to a continuation of purchases of private ideal rehabilitation sites in 2009. This is not satisfactory all the time each six-bed rehabilitation has disappeared under the seated government. All the parties at Stortinget have said that rehabilitation would be the next big bet area. As a representative of the current state council, Bjarne Håkon Hanssen also stated this in a meeting with LHL just before the 2005 elections. Since it's been the most chatted. It's important that we now show that rehabilitation is going to be the next bet area. The first thing you should do is at least make use of the beds that are out there. In this context, reference is made to the alternative budget of the Progress Party, which earmarks 300 million. kr for the purchase of rehabilitation facilities, so that the capacity of both public and private institutions and non-profit institutions can be used and thus the need for these services is met. In addition, the considerable investment in hospitals’ finances will ensure that funds are released for increased efforts to rehabilitate. Rehabilitation is highly socio-economically profitable, while the quality of life for the person concerned is significantly increased. 4 000 drug users are waiting for help. This occurs at the same time as institutional places are laid down or are empty. The Progress Party takes action in its alternative budget to ensure that the many vacant beds of private and private non-profit institutions are used. In this context, I will in fact give tribute to the Committee, and in particular to the Government Parties, which have met the other Committee in order to put in place good measures, additional measures, in the context of the care of cattle. I want to give a great reward to the committee for that. I also hope that it can help put in place a better offer in the long term, so that not the only debate we get is whether or not heroin should be given on a blue prescription. There is so much more that must also be part of this debate. Medical research in Norway does not maintain a satisfactory level of funding. The 2009 alternative budget of the Progress Party proposes an increase in research of a total of 100 million. kr. Diabetes, dementia, cancer, ADHD and stem cell research are priority areas of the Progress Party. In this respect, it is once again surprising to read that one does not follow up on one’s own document, the National Action Plan on Diabetes. What goes on is a grant linked to Diaphon. In addition, there is little good to read about what to do in the context of their own action plan and strategy. This is not sustainable. It gives the impression that even if we get a plane or a document, you don't follow up. After all, we need to follow up the planning documents we ourselves produce, which create credibility for us politicians. If we just make plan documents but don't follow up with measures, the political debate will also come. A number of recordings have been made, including: from the Register of Cancer, which is well-founded. For this reason, the Progress Party has strengthened regional health businesses, so that development is as desired. In this context, we need to look at the cancer-related sub-registration and the benefits that these could have for research, development and ultimately cancer treatment in Norway. Finally, I would like to address those proposals in which the Progress Party either stands alone or with others.
ParlaMint-NO_2008-12-09.ana.ud1828e155	The representative Harald T. Nesvik mentioned the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2008-12-09.ana.ud1828e160	I'd like to ask Nesvik about two things. One: In the case of excesses, last year TNF-inhibitors, i.e. psoriatic and remathetic medicinal products, were transferred to health care establishments. We have now seen that there are more than 1 billion kroner spent on this via healthcare companies. Patients receive treatment and follow-up via them, and they release excesses, which the representative stressed in his post. Why, then, does the Progress Party want to turn back on the good development that has been in that field, and bring the TNF-inhibitors back to popular fear, which was the old scheme? My second question concerns the consequences of the reasoning. When the Hagen Committee's position on bias was presented a few years ago, the Progress Party joined with other parties in order to spend five years correcting the bias and taking half of what was then the setting. When the government now decides to take it over two years, which is a fast pace compared to the Progress Party went in for that time, why aren't you on the same course now?
ParlaMint-NO_2008-12-09.ana.ud1828e167	I'll try to spend as much time as possible. The TNF-inhibitors are to restore the Progress Party, because as long as you have a stressed hospital economy and there are no clear bindings on what kind of drugs you should actually have, there is reason to fear that hospitals can make a choice, not necessarily based on what the patient needs most, but based on the fact that, down to the level of the department, it can be a consequence of poor hospital economy that you have to give the cheapest preparation. That is a problem, and that is why we need to change the funding system. That's why the Progress Party wants both Tysabri, MS medicine, and TNF-inhibitors to be returned to the population and refunded within the blue recipe system, which is the best arrangement. Now, in terms of what's going on with bias, the whole point here is that the government has accepted that there's bias. Then it would be completely wrong to continue the distribution of bias one more year and say that you are sorry, you are less valuable than others in the healthcare system.
ParlaMint-NO_2008-12-09.ana.ud1828e176	Also in 2009, the Advance Party would reduce the alcohol charge by 670 million. kr. With its alcohol policy, which seeks Swedish alcohol taxes, beer sales around the clock, wine and alcohol in shops, alcohol advertising and a liberal gift policy, we will have a massive increase in alcohol-related problems, which not least health services and justice will notice. In Oslo, the City Council, resigned from the Right Party and the Advance Party, proposed a roster that was regularly slaughtered by the Oslo Police in the summer. I quote Vice President Roger Andresen: ‘Things indicate that the Nordics and the high availability of alcohol are a poor combination.’ Does not the Progress Party see the relationship between access to alcohol and the resulting health damage? And what preventive measures to combat alcohol consumption is the Progress Party considering?
ParlaMint-NO_2008-12-09.ana.ud1828e188	I think it might be okay if the representative Saxi reads his own budget position, because the Progress Party actually stands for exactly the same line as the government parties in terms of appropriations for prevention work also within the Ru area. In addition, The progress party went into the rush to launch a campaign aimed at just young people, considering how we're going to get young people to postpone their alcohol debuts and other things. When the representative Saxi here tries to attack the Progress Party, it is problematic that the government parties themselves are not even willing to say that these campaigns should continue. One is so afraid of being tied up that one will not even send a signal to those young people who do a lot of work to reduce alcohol consumption and get their debut age; one cannot support it. It is problematic, and the representative, Saxi, should go in his own right and assess it.
ParlaMint-NO_2008-12-09.ana.ud1828e193	At the end of this, we saw that an attack can be the best defense when you don't have so much to defend. I have a question for the representative. In the general notes, there are actually two things that point to. It points to the need to take structural action in the area of health, and points out that the structural approach of the Progress Party to ensure a majority in terms of health reform has led to a very large cost increase. But the grip the Progress Party points to is very much the same grip as the health reform suggested: moving things up. They want to take responsibility for the municipalities and make it a state financial responsibility. My question to Nesvik is, does he think it'll be a better health care for people when it's moved further away from people? And how are you going to design a differentiated price? How can you find a system suitable for both Engerdal, Oslo, Volda, Ørsta – the whole country? I think it's an impossibility, it's going to create more bureaucracy, just like the health reform. Is that the answer: more government control, removers from people?
ParlaMint-NO_2008-12-09.ana.ud1828e202	Already today you get help based on your health status, also in the different municipalities. There is an assessment of your needs, wherever you live – whether you live in Oslo, Volda, Ørsta or Inner Hedmark. That is actually the case today. That is why one has to set the cost concept. As far as the representative Vedum refers to, that we want more of the same thing as the health reform, that's not right, it's just a reversal. It's part of the health reform that doesn't work, as the Progress Party says we have to do something about, among other things. the regional health enterprises, which have now developed into four health republics instead of bringing Norway together into a health realm, which was the very basic idea of the health reform. It hasn't worked in today's system, then we have to do something to change it. The Progress Party has also said that much more needs to be done outside the municipalities. We therefore welcomed the initiative of the Council of State to bring about an interaction reform. There is a need for that, we support it and look forward to its adoption. Then it is only the action of the Government that remains.
ParlaMint-NO_2008-12-09.ana.ud1828e211	The cord shift is over.
