ParlaMint-NO_2008-06-20-upper.ana.ud1824e111	There is no record.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e125	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e143	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e161	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e179	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e197	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e215	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e233	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e251	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e272	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e291	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e309	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e327	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2008-06-20-upper.ana.ud1824e345	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution. Thus, today's map has been processed. The President will allow himself to wish the members of the Lamentations a well-deserved summer vacation. It's been a long time since you've had as many hours in the bedroom as in the session we finish with this. Does anyone want a word before the meeting is cancelled? - The meeting's been cancelled.
