Session,Date,Coalition,Opposition
ParlaMint-ES-en_2015-06-09-CD150609-meta.tsv,2015-06-09,6,29
ParlaMint-ES-en_2016-01-13-CD160113-meta.tsv,2016-01-13,4,8
ParlaMint-ES-en_2016-07-19-CD160719-meta.tsv,2016-07-19,4,7
ParlaMint-ES-en_2017-05-09-CD170509-meta.tsv,2017-05-09,9,33
ParlaMint-ES-en_2017-09-26-CD170926-meta.tsv,2017-09-26,4,13
ParlaMint-ES-en_2017-09-27-CD170927-meta.tsv,2017-09-27,7,21
ParlaMint-ES-en_2018-02-20-CD180220-meta.tsv,2018-02-20,8,38
ParlaMint-ES-en_2018-05-08-CD180508-meta.tsv,2018-05-08,9,35
ParlaMint-ES-en_2018-05-09-CD180509-meta.tsv,2018-05-09,13,19
ParlaMint-ES-en_2018-07-10-CD180710-meta.tsv,2018-07-10,0,0
ParlaMint-ES-en_2018-07-16-CD180716-meta.tsv,2018-07-16,0,0
ParlaMint-ES-en_2018-07-25-CD180725-meta.tsv,2018-07-25,0,0
ParlaMint-ES-en_2019-05-21-CD190521-meta.tsv,2019-05-21,4,8
ParlaMint-ES-en_2019-12-03-CD191203-meta.tsv,2019-12-03,6,9
ParlaMint-ES-en_2020-07-21-CD200721-meta.tsv,2020-07-21,12,22
ParlaMint-ES-en_2021-02-04-CD210204-meta.tsv,2021-02-04,13,26
ParlaMint-ES-en_2021-03-25-CD210325-meta.tsv,2021-03-25,11,24
ParlaMint-ES-en_2021-04-13-CD210413-meta.tsv,2021-04-13,15,31
ParlaMint-ES-en_2021-05-27-CD210527-meta.tsv,2021-05-27,0,0
ParlaMint-ES-en_2021-10-21-CD211021-meta.tsv,2021-10-21,5,18
ParlaMint-ES-en_2021-11-24-CD211124-meta.tsv,2021-11-24,32,42
ParlaMint-ES-en_2021-12-14-CD211214-meta.tsv,2021-12-14,10,30
ParlaMint-ES-en_2021-12-28-CD211228-meta.tsv,2021-12-28,3,11
ParlaMint-ES-en_2022-03-29-CD220329-meta.tsv,2022-03-29,12,38
ParlaMint-ES-en_2022-06-28-CD220628-meta.tsv,2022-06-28,10,38
ParlaMint-ES-en_2022-09-15-CD220915-meta.tsv,2022-09-15,13,34
ParlaMint-ES-en_2022-09-20-CD220920-meta.tsv,2022-09-20,12,32
ParlaMint-ES-en_2022-09-27-CD220927-meta.tsv,2022-09-27,10,30
ParlaMint-ES-en_2022-09-28-CD220928-meta.tsv,2022-09-28,7,14
ParlaMint-ES-en_2022-09-29-CD220929-meta.tsv,2022-09-29,15,39
ParlaMint-ES-en_2022-12-13-CD221213-meta.tsv,2022-12-13,13,29
ParlaMint-ES-en_2022-12-20-CD221220-meta.tsv,2022-12-20,13,39
